player,pos,team,season,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,ttl,avg
Beau Brinkley,TE,TEN,2018,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
Sean Culkin,TE,LAC,2018,0,0,0,0,0,0,0,NA,0,0,0,1,0,NA,NA,NA,0,1,0.1
Alex Ellis,TE,KC,2018,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Demarcus Robinson,WR,KC,2018,0,1,1,3,1,0,2,1,2,4,2,NA,1,7,3,3,2,33,2.1
DaeSean Hamilton,WR,DEN,2018,0,0,0,0,3,1,0,NA,NA,NA,2,2,0,9,12,9,8,46,3.3
C.J. Prosise,RB,SEA,2018,0,3,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,3,0.6
Darrell Daniels,TE,ARI,2018,0,0,0,NA,1,0,NA,0,0,0,0,NA,0,NA,NA,NA,1,2,0.2
Dalton Schultz,TE,DAL,2018,0,NA,NA,NA,NA,NA,3,NA,0,2,0,1,2,3,4,0,2,17,1.5
Trent Sherfield,WR,ARI,2018,0,NA,0,0,0,NA,0,NA,NA,0,2,1,3,7,5,6,4,28,2.2
J.J. Nelson,WR,ARI,2018,0,1,1,1,0,2,4,1,NA,1,1,0,0,7,0,NA,NA,19,1.4
Cam Sims,WR,WAS,2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jeremy Sprinkle,TE,WAS,2018,0,0,0,NA,0,0,1,0,0,1,1,0,0,0,3,3,0,9,0.6
Robert Tonyan,TE,GB,2018,0,0,0,0,0,0,NA,1,0,0,1,0,1,0,0,1,2,6,0.4
Darius Jackson,RB,DAL,2018,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0.3
Marcedes Lewis,TE,GB,2018,0,1,0,0,0,0,NA,0,1,1,0,1,0,0,0,0,0,4,0.3
Equanimeous St. Brown,WR,GB,2018,0,NA,NA,NA,5,1,NA,2,4,3,4,5,1,3,3,5,NA,36,3
Ben Braunecker,TE,CHI,2018,0,0,0,0,NA,1,0,0,NA,1,1,0,1,0,0,1,0,5,0.3
Kevin White,WR,CHI,2018,0,0,0,0,NA,0,2,3,NA,NA,NA,0,NA,NA,NA,NA,3,8,0.9
Chris Herndon IV,TE,NYJ,2018,0,4,2,1,0,2,7,2,4,4,NA,8,6,2,4,7,3,56,3.5
Josh Reynolds,WR,LAR,2018,0,0,0,1,3,2,1,5,0,0,8,NA,5,7,12,2,7,53,3.3
Mike Thomas,WR,LAR,2018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Johnny Mundt,TE,LAR,2018,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0.1
Tyler Higbee,TE,LAR,2018,0,2,2,1,4,0,1,1,4,3,7,NA,4,1,2,1,1,34,2.1
Gerald Everett,TE,LAR,2018,0,1,2,1,3,4,2,2,5,2,4,NA,3,7,7,6,1,50,3.1
Josh Adams,RB,PHI,2018,0,0,0,0,0,0,0,1,NA,0,6,1,0,0,1,1,3,13,0.8
Marlon Mack,RB,IND,2018,NA,2,NA,NA,NA,2,3,4,NA,2,2,2,1,1,1,3,3,26,2.2
JoJo Natson,WR,LAR,2018,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
T.J. Logan,RB,ARI,2018,NA,0,NA,NA,NA,NA,NA,0,NA,2,0,1,0,0,4,0,0,7,0.7
Sony Michel,RB,NE,2018,NA,2,3,0,1,1,1,NA,NA,0,NA,2,1,0,0,0,0,11,0.8
Jacob Hollister,TE,NE,2018,NA,3,NA,NA,0,0,NA,NA,NA,2,NA,0,0,0,NA,0,NA,5,0.6
Mike Davis,RB,SEA,2018,NA,1,1,4,2,3,NA,1,8,6,2,1,0,1,8,1,3,42,2.8
Brian Hill,RB,ATL,2018,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,0,0,1,1,2,0.2
Marcus Johnson,WR,IND,2018,NA,0,0,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1.6
Damion Ratley,WR,CLE,2018,NA,0,0,NA,NA,8,3,4,4,0,NA,0,1,0,0,0,0,20,1.5
Richie James Jr.,WR,SF,2018,NA,0,NA,NA,1,0,0,0,3,0,NA,2,2,0,0,1,5,14,1.1
Anthony Firkser,TE,TEN,2018,NA,0,NA,NA,NA,2,0,NA,0,1,3,4,3,3,0,3,1,20,1.7
Daniel Brown,TE,CHI,2018,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
MyCole Pruitt,TE,TEN,2018,NA,0,0,0,0,0,0,NA,0,0,1,1,1,1,2,3,2,11,0.7
Buddy Howell,RB,HOU,2018,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
William Fuller V,WR,HOU,2018,NA,9,11,5,3,3,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,6.4
Vance McDonald,TE,PIT,2018,NA,5,4,5,2,8,NA,3,6,4,6,5,7,4,3,4,6,72,4.8
Demetrius Harris,TE,KC,2018,NA,0,3,3,2,0,2,0,1,0,2,NA,6,3,2,1,0,25,1.7
Jermaine Kearse,WR,NYJ,2018,NA,2,6,5,4,10,2,10,9,5,NA,12,0,2,5,4,NA,76,5.4
KhaDarel Hodge,WR,LAR,2018,NA,NA,0,0,1,0,0,0,0,0,1,NA,0,0,1,0,0,3,0.2
Elijhaa Penny,RB,NYG,2018,NA,NA,0,0,0,0,0,0,NA,2,2,1,1,1,0,1,1,9,0.6
Jaylen Samuels,RB,PIT,2018,NA,NA,0,0,0,0,NA,0,0,4,0,2,3,7,2,3,8,29,2.1
Cody Core,WR,CIN,2018,NA,NA,0,0,0,3,3,0,NA,2,2,2,4,4,4,3,1,28,2
Aaron Jones,RB,GB,2018,NA,NA,1,1,3,1,NA,2,4,5,6,5,4,3,0,NA,NA,35,2.9
Jordan Matthews,WR,PHI,2018,NA,NA,2,3,1,3,0,5,NA,3,4,1,2,1,0,3,0,28,2
Mike Boone,RB,MIN,2018,NA,NA,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,0.4
Ray-Ray McCloud III,WR,BUF,2018,NA,NA,1,0,1,1,NA,1,1,0,NA,NA,NA,0,0,NA,1,6,0.6
DeVante Parker,WR,MIA,2018,NA,NA,3,NA,NA,1,NA,9,2,11,NA,3,7,4,1,3,3,47,4.3
Kenjon Barner,RB,CAR,2018,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0,1,NA,1,0.1
Kalen Ballage,RB,MIA,2018,NA,NA,NA,0,0,NA,0,0,2,1,NA,2,0,0,1,4,1,11,0.9
Jeremy McNichols,RB,IND,2018,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Mo Alie-Cox,TE,IND,2018,NA,NA,NA,2,NA,2,1,1,NA,4,1,NA,NA,NA,1,1,1,14,1.6
Keke Coutee,WR,HOU,2018,NA,NA,NA,15,7,5,3,NA,NA,NA,9,2,NA,NA,NA,NA,NA,41,6.8
Javon Wims,WR,CHI,2018,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,4,5,1.3
Ronald Jones II,RB,TB,2018,NA,NA,NA,2,NA,3,1,1,NA,NA,NA,NA,0,0,2,0,0,9,1
Justin Watson,WR,TB,2018,NA,NA,NA,0,NA,0,0,1,0,0,0,0,1,0,0,NA,1,3,0.3
Dwayne Washington,RB,NO,2018,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Jackson,RB,LAC,2018,NA,NA,NA,0,0,1,1,NA,0,0,0,0,1,2,4,10,0,19,1.5
Alshon Jeffery,WR,PHI,2018,NA,NA,NA,9,8,12,10,5,NA,8,5,3,5,9,8,5,5,92,7.1
Julian Edelman,WR,NE,2018,NA,NA,NA,NA,9,7,8,10,10,12,NA,5,8,12,11,10,6,108,9
Curtis Samuel,WR,CAR,2018,NA,NA,NA,NA,4,0,1,3,4,4,7,2,11,8,4,13,4,65,5
Hayden Hurst,TE,BAL,2018,NA,NA,NA,NA,2,1,2,3,2,NA,0,4,0,0,3,2,4,23,1.9
Ameer Abdullah,RB,MIN,2018,NA,NA,NA,NA,0,NA,1,1,NA,NA,1,1,0,0,0,0,0,4,0.4
Garrett Dickerson,TE,NYG,2018,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0
Victor Bolden Jr.,WR,BUF,2018,NA,NA,NA,NA,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,4,0.7
Mark Ingram II,RB,NO,2018,NA,NA,NA,NA,3,NA,2,3,2,3,0,2,3,3,2,2,2,27,2.3
Nick O'Leary,TE,MIA,2018,NA,NA,NA,NA,0,4,3,0,0,1,NA,0,1,0,1,0,0,10,0.8
Dan Arnold,TE,NO,2018,NA,NA,NA,NA,0,NA,3,0,1,3,2,6,2,NA,2,NA,0,19,1.9
Tyrone Swoopes,TE,SEA,2018,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Dontrell Hilliard,RB,CLE,2018,NA,NA,NA,NA,NA,0,0,1,1,1,NA,0,4,2,0,1,0,10,0.9
Samaje Perine,RB,WAS,2018,NA,NA,NA,NA,NA,1,0,NA,3,0,NA,NA,NA,NA,NA,NA,0,4,0.8
Cameron Batson,WR,TEN,2018,NA,NA,NA,NA,NA,0,1,NA,3,3,1,1,2,0,0,0,0,11,1
Gus Edwards,RB,BAL,2018,NA,NA,NA,NA,NA,0,0,1,0,NA,0,0,0,0,0,1,0,2,0.2
Ross Dwelley,TE,SF,2018,NA,NA,NA,NA,NA,0,0,0,1,0,NA,0,0,0,0,0,1,2,0.2
Breshad Perriman,WR,CLE,2018,NA,NA,NA,NA,NA,NA,1,1,6,2,NA,1,2,2,2,4,4,25,2.5
Deontay Burnett,WR,NYJ,2018,NA,NA,NA,NA,NA,NA,2,4,2,NA,NA,NA,NA,NA,NA,2,5,15,3
Bennie Fowler III,WR,NYG,2018,NA,NA,NA,NA,NA,NA,1,7,NA,1,1,3,2,1,4,3,4,27,2.7
Dontrelle Inman,WR,IND,2018,NA,NA,NA,NA,NA,NA,0,7,NA,4,6,4,6,NA,1,5,6,39,4.3
Blake Bell,TE,JAC,2018,NA,NA,NA,NA,NA,NA,0,2,NA,3,0,1,0,2,1,1,1,11,1.1
Isaiah McKenzie,WR,BUF,2018,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,3,4,7,7,8,0,30,3.8
Brandon Powell,WR,DET,2018,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA,NA,NA,NA,3,2,9,17,2.8
Jordan Franks,TE,CIN,2018,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,0,1,0,NA,NA,NA,3,0.5
DeAndre Washington,RB,OAK,2018,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0.1
Deon Yelder,TE,KC,2018,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0
Chad Beebe,WR,MIN,2018,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,0,NA,4,1.3
Elijah McGuire,RB,NYJ,2018,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,3,2,4,4,5,2,31,3.9
Taquan Mizzell,RB,CHI,2018,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,3,2,0,1,2,0,10,1.1
River Cracraft,WR,DEN,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,2,2,0.3
Malik Turner,WR,SEA,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,2,1,0,0,NA,NA,3,0.5
Noah Brown,WR,DAL,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,2,2,1,8,1
Corey Coleman,WR,NYG,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,2,2,1,0,8,1
Lance Lenoir Jr.,WR,DAL,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0
Darrel Williams,RB,KC,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,2,0,0,3,0.5
Auden Tate,WR,CIN,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,NA,0,0,0,3,12,1.7
Keith Kirkwood,WR,NO,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,3,2,2,4,0,21,2.6
Trevor Davis,WR,GB,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0
Dare Ogunbowale,RB,TB,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0
Godwin Igwebuike,RB,SF,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0
Marcell Ateman,WR,OAK,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,4,4,5,0,3,31,4.4
Richard Rodgers,TE,PHI,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0.1
Adam Shaheen,TE,CHI,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,0,2,2,0,6,1
Johnny Holton,WR,OAK,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
Jeff Wilson Jr.,RB,SF,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,2,1,2,0,15,2.5
Isaiah Ford,WR,MIA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1
Jake Kumerow,WR,GB,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,3,4,11,2.2
Gehrig Dieter,WR,KC,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,2,3,0.8
J.D. McKissic,RB,SEA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0.2
Danny Vitale,RB,GB,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0.4
Temarrick Hemingway,TE,DEN,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Darren Waller,TE,OAK,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,6,1.5
John Kelly Jr.,RB,LAR,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,3,0.8
Trey Edmunds,RB,PIT,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
Daurice Fountain,WR,IND,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0
Boston Scott,RB,PHI,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
D'Onta Foreman,RB,HOU,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2
Darvin Kidsy,WR,WAS,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1
Steven Mitchell Jr.,WR,HOU,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
Allen Lazard,WR,GB,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
Chris Lacy,WR,DET,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
Mike Davis,RB,CAR,2019,7,0,0,NA,0,NA,0,1,0,NA,NA,NA,0,0,0,0,0,8,0.7
David Montgomery,RB,CHI,2019,1,3,3,5,1,NA,2,5,4,0,3,3,2,1,1,1,0,35,2.2
Cordarrelle Patterson,RB,CHI,2019,3,0,1,1,0,NA,3,2,1,0,0,0,0,1,4,1,0,17,1.1
Anthony Miller,WR,CHI,2019,1,1,3,3,7,NA,9,3,1,2,11,9,13,4,15,2,1,85,5.3
Allen Robinson II,WR,CHI,2019,13,7,7,7,9,NA,16,7,5,9,6,10,12,8,14,12,12,154,9.6
Tarik Cohen,RB,CHI,2019,10,5,4,5,7,NA,12,3,5,4,6,9,4,6,10,4,10,104,6.5
Adam Shaheen,TE,CHI,2019,2,3,1,2,0,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,13,1.6
Javon Wims,WR,CHI,2019,2,0,1,5,1,NA,1,0,0,0,2,2,6,3,0,9,7,39,2.4
Taylor Gabriel,WR,CHI,2019,5,2,7,NA,NA,NA,2,6,3,6,14,3,NA,NA,NA,NA,NA,48,5.3
Jamaal Williams,RB,GB,2019,2,4,2,1,NA,5,5,3,6,1,NA,8,4,1,1,2,NA,45,3.2
Marquez Valdes-Scantling,WR,GB,2019,6,5,10,7,4,2,3,2,2,1,NA,3,2,0,1,1,7,56,3.5
Aaron Jones,RB,GB,2019,1,6,1,7,8,7,4,8,3,0,NA,1,6,7,0,3,6,68,4.3
Davante Adams,WR,GB,2019,8,9,4,15,NA,NA,NA,NA,11,10,NA,12,10,6,13,16,13,127,10.6
Marcedes Lewis,TE,GB,2019,3,1,2,2,2,2,0,1,0,0,NA,0,2,1,1,1,1,19,1.2
Robert Tonyan,TE,GB,2019,1,0,3,1,1,NA,NA,NA,NA,NA,NA,2,1,1,2,0,3,15,1.4
Jimmy Graham,TE,GB,2019,5,1,1,9,3,5,4,5,4,3,NA,2,1,5,4,1,7,60,3.8
Trevor Davis,WR,MIA,2019,1,0,NA,0,4,NA,2,2,0,0,0,2,0,NA,0,0,0,11,0.8
Dalvin Cook,RB,MIN,2019,2,3,5,8,6,2,2,6,7,7,6,NA,4,2,3,NA,NA,63,4.5
Alexander Mattison,RB,MIN,2019,0,0,0,1,0,0,0,2,1,1,0,NA,5,2,NA,NA,NA,12,0.9
Ameer Abdullah,RB,MIN,2019,0,0,1,3,0,0,0,0,1,0,2,NA,0,1,2,7,4,21,1.3
Kyle Rudolph,TE,MIN,2019,1,4,1,1,1,3,6,3,5,5,5,NA,6,2,3,2,0,48,3
Chad Beebe,WR,MIN,2019,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.7
Adam Thielen,WR,MIN,2019,3,8,5,6,8,8,2,NA,1,NA,NA,NA,NA,NA,3,4,NA,48,4.8
Stefon Diggs,WR,MIN,2019,2,7,3,7,4,11,8,7,5,6,5,NA,9,9,6,5,NA,94,6.3
Russell Gage,WR,ATL,2019,2,1,0,0,2,1,2,9,NA,5,4,10,9,4,6,6,13,74,4.6
Ito Smith,RB,ATL,2019,1,3,0,4,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2
Devonta Freeman,RB,ATL,2019,4,4,4,9,5,3,3,8,NA,4,NA,NA,5,4,3,10,4,70,5
Calvin Ridley,WR,ATL,2019,6,10,1,6,9,6,6,7,NA,5,8,14,10,5,NA,NA,NA,93,7.2
Luke Stocker,TE,ATL,2019,1,1,4,1,0,1,0,1,NA,0,0,1,NA,1,1,1,1,14,0.9
Austin Hooper,TE,ATL,2019,9,6,7,11,9,8,5,7,NA,5,NA,NA,NA,6,6,9,9,97,7.5
Julio Jones,WR,ATL,2019,11,10,9,7,7,9,9,12,NA,9,8,10,NA,8,20,15,13,157,10.5
Justin Hardy,WR,ATL,2019,5,1,1,0,1,0,2,4,NA,0,4,0,3,1,0,1,3,26,1.6
Mohamed Sanu Sr.,WR,NE,2019,6,7,6,12,5,4,2,5,14,NA,4,NA,5,1,8,5,5,89,5.9
Kenjon Barner,RB,ATL,2019,0,0,1,NA,NA,0,1,0,NA,0,0,2,2,0,2,0,0,8,0.6
Darren Sproles,RB,PHI,2019,3,3,1,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,10,1.7
Jordan Howard,RB,PHI,2019,3,1,1,4,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,0,14,1.4
Alshon Jeffery,WR,PHI,2019,7,0,NA,9,8,12,5,6,8,NA,NA,NA,16,2,NA,NA,NA,73,7.3
Miles Sanders,RB,PHI,2019,2,4,4,0,5,3,3,3,3,NA,4,5,5,5,6,6,5,63,3.9
Zach Ertz,TE,PHI,2019,7,16,7,8,7,9,6,4,11,NA,11,14,6,13,10,6,NA,135,9
DeSean Jackson,WR,PHI,2019,9,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,3.3
Nelson Agholor,WR,PHI,2019,5,11,12,1,3,7,3,4,8,NA,9,NA,6,NA,NA,NA,NA,69,6.3
Dallas Goedert,TE,PHI,2019,3,NA,1,3,3,8,4,5,5,NA,6,8,7,6,6,12,10,87,5.8
J.J. Arcega-Whiteside,WR,PHI,2019,0,4,3,0,0,0,0,0,0,NA,1,5,2,3,2,2,0,22,1.4
Derrius Guice,RB,WAS,2019,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,NA,NA,NA,9,1.8
Chris Thompson,RB,WAS,2019,10,8,5,5,7,3,NA,NA,NA,NA,NA,NA,2,8,3,4,3,58,5.3
Jeremy Sprinkle,TE,WAS,2019,1,1,4,3,3,3,2,2,1,NA,3,2,4,0,2,3,6,40,2.5
Terry McLaurin,WR,WAS,2019,7,9,8,NA,7,7,2,6,6,NA,4,12,4,7,5,9,NA,93,6.6
Kelvin Harmon,WR,WAS,2019,2,0,0,2,1,1,0,1,2,NA,6,6,5,4,3,6,5,44,2.8
Trey Quinn,WR,WAS,2019,6,7,7,4,4,4,3,3,3,NA,4,1,1,NA,NA,NA,NA,47,3.9
Paul Richardson Jr.,WR,WAS,2019,7,3,9,5,2,4,1,4,5,NA,NA,2,NA,NA,NA,NA,NA,42,4.2
Vernon Davis,TE,WAS,2019,7,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4.8
Steven Sims Jr.,WR,WAS,2019,0,1,2,0,3,0,3,0,1,NA,4,2,4,7,11,10,8,56,3.5
J.P. Holtz,TE,CHI,2019,0,NA,0,1,2,NA,0,0,0,0,0,0,0,3,1,1,0,8,0.5
Kenyan Drake,RB,ARI,2019,3,6,6,5,NA,9,4,NA,4,7,7,NA,5,3,1,4,4,68,4.9
Albert Wilson,WR,MIA,2019,4,NA,NA,NA,NA,6,2,2,2,3,6,7,5,2,8,7,8,62,4.8
Kalen Ballage,RB,MIA,2019,1,5,3,1,NA,0,0,1,1,4,6,1,1,NA,NA,NA,NA,24,2
Mike Gesicki,TE,MIA,2019,6,2,3,0,NA,7,4,3,6,6,6,7,7,5,8,12,7,89,5.6
DeVante Parker,WR,MIA,2019,7,7,6,4,NA,4,10,8,6,10,10,11,10,2,7,15,11,128,8
Jakeem Grant Sr.,WR,MIA,2019,4,7,7,1,NA,NA,0,3,5,2,3,1,NA,NA,NA,NA,NA,33,3.3
Preston Williams,WR,MIA,2019,5,6,12,7,NA,6,8,7,9,NA,NA,NA,NA,NA,NA,NA,NA,60,7.5
Allen Hurns,WR,MIA,2019,2,2,2,NA,NA,2,3,1,3,4,6,7,4,8,1,2,NA,47,3.4
Mark Ingram II,RB,BAL,2019,0,2,4,1,2,2,1,NA,3,0,4,1,2,3,2,2,NA,29,1.9
Gus Edwards,RB,BAL,2019,0,0,2,1,1,0,0,NA,0,0,0,0,1,0,0,1,1,7,0.4
Justice Hill,RB,BAL,2019,0,2,3,2,0,0,0,NA,1,0,1,0,0,0,0,4,2,15,0.9
Seth Roberts,WR,BAL,2019,1,0,2,5,2,2,4,NA,1,0,1,4,2,4,3,3,1,35,2.2
Marquise Brown,WR,BAL,2019,5,13,9,7,5,NA,NA,NA,4,4,4,7,2,3,4,2,2,71,5.1
Nick Boyle,TE,BAL,2019,3,3,5,1,2,4,1,NA,5,4,3,1,2,3,0,4,2,43,2.7
Hayden Hurst,TE,BAL,2019,3,1,5,2,4,1,2,NA,2,2,2,1,4,3,2,3,2,39,2.4
Willie Snead IV,WR,BAL,2019,3,1,5,2,5,5,1,NA,2,3,3,3,2,4,1,1,5,46,2.9
Patrick Ricard,RB,BAL,2019,1,1,0,0,0,1,0,NA,1,0,3,0,2,0,2,0,0,11,0.7
Mark Andrews,TE,BAL,2019,8,9,7,8,7,8,8,NA,3,8,4,3,6,3,7,9,NA,98,6.5
Miles Boykin,WR,BAL,2019,1,3,1,3,0,3,2,NA,1,0,2,2,0,0,1,1,2,22,1.4
Ryquell Armstead,RB,JAC,2019,1,0,0,1,1,0,1,0,5,NA,2,1,1,2,0,0,9,24,1.5
Dede Westbrook,WR,JAC,2019,6,5,9,6,11,8,9,1,NA,NA,6,9,8,7,4,4,8,101,6.7
Leonard Fournette,RB,JAC,2019,6,6,8,3,7,6,2,7,6,NA,7,12,11,6,7,6,NA,100,6.7
DJ Chark Jr.,WR,JAC,2019,4,9,5,8,11,7,5,12,9,NA,15,6,5,10,NA,7,5,118,7.9
Chris Conley,WR,JAC,2019,7,5,3,4,3,3,7,7,7,NA,8,9,5,3,8,5,6,90,5.6
Geoff Swaim,TE,JAC,2019,4,4,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2.8
James O'Shaughnessy,TE,JAC,2019,5,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4
Tyler Ervin,RB,GB,2019,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,1,3,4,0.4
Keelan Cole Sr.,WR,JAC,2019,0,0,0,1,1,0,2,2,6,NA,5,2,2,3,6,2,4,36,2.3
LeSean McCoy,RB,KC,2019,1,3,3,4,2,2,2,4,1,NA,6,NA,3,3,0,NA,NA,34,2.6
Damien Williams,RB,KC,2019,6,5,NA,NA,4,1,3,0,2,5,1,NA,NA,NA,NA,3,7,37,3.4
Tyreek Hill,WR,KC,2019,2,NA,NA,NA,NA,10,5,9,9,19,2,NA,8,8,7,5,5,89,7.4
Demarcus Robinson,WR,KC,2019,2,6,4,9,6,4,5,2,2,5,1,NA,0,2,3,2,2,55,3.4
Travis Kelce,TE,KC,2019,8,9,8,8,10,6,8,8,9,7,10,NA,9,9,13,9,5,136,8.5
Blake Bell,TE,KC,2019,1,1,1,0,0,1,1,1,1,0,NA,NA,1,0,2,3,2,15,1
Sammy Watkins,WR,KC,2019,11,13,8,6,0,NA,NA,8,10,9,3,NA,3,8,4,5,2,90,6.4
Anthony Sherman,RB,KC,2019,1,0,0,0,1,0,0,0,0,0,0,NA,1,0,0,0,0,3,0.2
Darwin Thompson,RB,KC,2019,1,0,0,0,NA,0,NA,1,NA,1,NA,NA,0,5,1,0,1,10,0.8
Mecole Hardman,WR,KC,2019,1,6,5,5,6,4,3,2,0,1,4,NA,0,1,2,0,1,41,2.6
Nick Chubb,RB,CLE,2019,4,4,7,4,1,6,NA,1,5,4,1,3,2,1,3,1,2,49,3.1
Jarvis Landry,WR,CLE,2019,7,7,9,10,6,5,NA,10,13,10,7,13,11,7,8,9,6,138,8.6
