player,pos,team,season,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,ttl,avg
Tevin Coleman,RB,ATL,2016,6,2,3,4,6,2,1,NA,NA,NA,NA,2,2,3,2,3,4,40,3.1
Devonta Freeman,RB,ATL,2016,4,0,5,3,5,5,6,6,2,3,NA,3,5,3,2,8,5,65,4.1
Mohamed Sanu Sr.,WR,ATL,2016,8,5,4,3,6,10,4,10,7,2,NA,8,3,NA,3,4,4,81,5.4
Justin Hardy,WR,ATL,2016,2,3,2,0,0,3,2,1,0,0,NA,4,3,2,2,0,7,31,1.9
Patrick DiMarco,RB,ATL,2016,1,0,0,2,1,1,1,0,1,0,NA,1,0,1,0,1,0,10,0.6
Julio Jones,WR,ATL,2016,8,5,7,15,6,9,15,5,11,16,NA,7,9,NA,NA,7,9,129,9.2
Austin Hooper,TE,ATL,2016,1,3,0,1,1,0,0,5,6,3,NA,2,1,3,1,NA,NA,27,1.9
Adam Humphries,WR,TB,2016,5,8,12,4,2,NA,3,4,7,8,7,1,2,NA,5,2,13,83,5.5
Russell Shepard,WR,TB,2016,0,2,2,0,0,NA,6,3,NA,NA,4,3,2,3,3,5,7,40,2.9
Mike Evans,WR,TB,2016,7,18,14,11,12,NA,13,11,17,5,13,11,6,8,8,8,11,173,10.8
Cameron Brate,TE,TB,2016,3,4,10,8,3,NA,3,5,6,7,3,5,9,5,8,2,NA,81,5.4
Levine Toilolo,TE,ATL,2016,0,2,0,1,1,4,1,1,1,0,NA,1,1,1,1,1,3,19,1.2
Luke Stocker,TE,TB,2016,0,0,NA,NA,NA,NA,0,2,0,2,0,1,0,NA,1,1,1,8,0.7
Peyton Barber,RB,TB,2016,0,NA,0,0,0,NA,0,0,5,0,0,1,0,0,0,0,0,6,0.4
Chris Conley,WR,KC,2016,7,4,5,7,NA,4,2,5,4,3,8,4,2,3,4,2,5,69,4.3
Tyreek Hill,WR,KC,2016,1,2,4,7,NA,2,1,6,5,13,5,10,6,6,3,5,7,83,5.2
Albert Wilson,WR,KC,2016,5,3,0,8,NA,1,1,0,8,7,4,6,4,1,1,1,1,51,3.2
Demetrius Harris,TE,KC,2016,3,1,3,1,NA,2,3,4,1,1,0,1,1,0,0,9,1,31,1.9
