player,pos,team,season,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,ttl,avg
Dallas Goedert,TE,PHI,2022,4,6,4,6,9,6,NA,6,9,3,NA,NA,NA,NA,NA,3,NA,NA,56,5.6
Zach Pascal,WR,PHI,2022,1,2,3,1,NA,0,NA,2,1,2,1,0,3,1,1,1,NA,NA,19,1.4
Noah Togiai,TE,PHI,2022,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
A.J. Brown,WR,PHI,2022,13,8,10,7,7,8,NA,10,6,4,7,6,10,6,16,8,NA,NA,126,8.4
DeVonta Smith,WR,PHI,2022,4,7,12,4,11,5,NA,8,2,8,9,9,8,8,8,12,NA,NA,115,7.7
Britain Covey,WR,PHI,2022,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0
Quez Watkins,WR,PHI,2022,0,2,1,1,4,1,NA,2,2,4,2,5,6,5,6,5,NA,NA,46,3.1
Joshua Kelley,RB,LAC,2022,2,2,2,2,2,NA,NA,NA,NA,NA,NA,3,1,2,2,1,NA,NA,19,1.9
Joshua Palmer,WR,LAC,2022,4,8,9,1,6,12,NA,NA,10,8,10,7,11,6,5,3,NA,NA,100,7.1
Zander Horvath,RB,LAC,2022,2,2,1,1,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,8,1
Sony Michel,RB,LAC,2022,0,1,2,3,0,3,3,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,13,1.3
Austin Ekeler,RB,LAC,2022,4,10,8,7,4,16,12,NA,8,12,2,15,6,8,3,4,NA,NA,119,7.9
Mike Williams,WR,LAC,2022,4,10,6,11,13,6,9,NA,NA,NA,1,NA,NA,6,8,4,NA,NA,78,7.1
Tre' McKitty,TE,LAC,2022,4,NA,0,1,2,0,0,NA,NA,6,NA,0,1,1,NA,2,NA,NA,17,1.5
Richard Rodgers,TE,LAC,2022,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1.3
Keenan Allen,WR,LAC,2022,4,NA,NA,NA,NA,NA,2,NA,NA,NA,8,7,14,14,9,14,NA,NA,72,9
Gerald Everett,TE,LAC,2022,4,10,6,6,3,7,9,NA,8,2,NA,4,6,8,6,NA,NA,NA,79,6.1
DeAndre Carter,WR,LAC,2022,4,3,4,3,2,5,7,NA,6,4,3,10,2,2,2,0,NA,NA,57,3.8
Jalen Guyton,WR,LAC,2022,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2
Brandon Bolden,RB,LV,2022,2,NA,2,1,3,NA,0,NA,1,NA,1,NA,NA,0,0,0,NA,NA,10,1
Josh Jacobs,RB,LV,2022,1,1,5,6,5,NA,4,4,3,8,4,7,2,2,3,1,NA,NA,56,3.7
Hunter Renfrow,WR,LV,2022,6,10,NA,NA,4,NA,3,2,4,NA,NA,NA,NA,NA,3,7,NA,NA,39,4.9
Ameer Abdullah,RB,LV,2022,1,1,0,0,0,NA,2,5,3,4,4,3,1,2,2,2,NA,NA,30,2
Mack Hollins,WR,LV,2022,1,8,11,5,4,NA,3,8,4,6,9,5,9,4,8,2,NA,NA,87,5.8
Jakob Johnson,RB,LV,2022,1,NA,0,NA,1,NA,0,NA,0,0,1,1,NA,1,0,NA,NA,NA,5,0.5
Darren Waller,TE,LV,2022,6,8,5,5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,5,NA,NA,32,4.6
Davante Adams,WR,LV,2022,17,7,10,13,7,NA,9,5,17,14,13,11,12,7,9,9,NA,NA,160,10.7
Dalvin Cook,RB,MIN,2022,5,6,0,2,2,1,NA,6,6,5,1,5,3,2,4,4,NA,NA,52,3.5
Alexander Mattison,RB,MIN,2022,0,5,1,1,4,0,NA,0,1,1,1,0,2,0,0,0,NA,NA,16,1.1
Irv Smith Jr.,TE,MIN,2022,2,8,6,4,5,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,4.7
Adam Thielen,WR,MIN,2022,4,7,8,9,7,8,NA,7,7,7,3,10,6,8,4,5,NA,NA,100,6.7
Ben Ellefson,TE,MIN,2022,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.5
C.J. Ham,RB,MIN,2022,1,NA,3,1,NA,0,NA,0,NA,0,NA,NA,0,1,1,1,NA,NA,8,0.8
K.J. Osborn,WR,MIN,2022,4,2,8,2,5,5,NA,5,2,11,3,2,3,5,16,4,NA,NA,77,5.1
Justin Jefferson,WR,MIN,2022,11,12,6,13,13,8,NA,8,13,16,5,11,11,15,16,16,NA,NA,174,11.6
Johnny Mundt,TE,MIN,2022,3,3,2,1,2,2,NA,1,1,NA,1,2,1,NA,1,1,NA,NA,21,1.6
Jalen Reagor,WR,MIN,2022,0,2,1,1,1,0,NA,0,0,0,1,1,1,1,2,0,NA,NA,11,0.7
Kene Nwangwu,RB,MIN,2022,0,0,0,0,0,0,NA,0,0,0,1,0,NA,NA,0,NA,NA,NA,1,0.1
Christian Watson,WR,GB,2022,4,3,NA,3,1,NA,NA,1,2,8,6,6,6,NA,6,8,NA,NA,54,4.5
Aaron Jones,RB,GB,2022,5,3,4,4,3,4,10,5,2,2,7,4,5,NA,5,2,NA,NA,65,4.3
AJ Dillon,RB,GB,2022,6,3,3,2,0,6,0,1,4,0,1,4,3,NA,3,3,NA,NA,39,2.6
Romeo Doubs,WR,GB,2022,5,3,8,8,5,9,4,7,1,NA,NA,NA,NA,NA,5,6,NA,NA,61,5.5
Tyler Davis,TE,GB,2022,1,1,2,0,2,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,7,0.8
Robert Tonyan,TE,GB,2022,5,2,7,2,4,12,4,6,4,1,4,3,2,NA,2,2,NA,NA,60,4
Juwann Winfree,WR,GB,2022,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.3
Randall Cobb,WR,GB,2022,3,3,2,4,13,1,NA,NA,NA,NA,6,4,4,NA,4,2,NA,NA,46,4.2
Sammy Watkins,WR,BAL,2022,3,4,NA,NA,NA,NA,4,1,5,3,2,NA,NA,NA,NA,1,NA,NA,23,2.9
Josiah Deguara,TE,GB,2022,2,NA,NA,1,2,1,NA,1,5,NA,NA,NA,1,NA,NA,1,NA,NA,14,1.8
Amari Rodgers,WR,HOU,2022,0,0,0,0,0,1,3,3,1,0,NA,NA,NA,5,4,2,NA,NA,19,1.5
Derrick Henry,RB,TEN,2022,1,0,6,5,2,NA,3,1,0,3,2,3,3,5,4,2,NA,NA,40,2.7
Dontrell Hilliard,RB,TEN,2022,4,NA,1,4,5,NA,2,1,1,2,1,3,2,0,NA,NA,NA,NA,26,2.2
Chigoziem Okonkwo,TE,TEN,2022,1,0,NA,3,1,NA,1,2,3,2,2,5,5,6,5,2,NA,NA,38,2.7
Austin Hooper,TE,TEN,2022,2,5,2,1,1,NA,3,1,3,7,4,4,5,5,4,4,NA,NA,51,3.4
Treylon Burks,WR,TEN,2022,5,6,2,3,NA,NA,NA,NA,NA,6,8,6,1,NA,NA,2,NA,NA,39,4.3
Cody Hollister,WR,TEN,2022,1,NA,NA,NA,0,NA,2,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,5,0.8
Kyle Philips,WR,TEN,2022,9,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3.3
Robert Woods,WR,TEN,2022,2,5,9,4,8,NA,4,2,2,7,7,6,5,7,4,4,NA,NA,76,5.1
Nick Westbrook-Ikhine,WR,TEN,2022,2,4,3,NA,3,NA,2,0,1,8,2,6,2,8,2,3,NA,NA,46,3.3
Geoff Swaim,TE,TEN,2022,4,NA,3,NA,1,NA,1,NA,NA,1,1,1,1,0,NA,1,NA,NA,14,1.4
Trenton Cannon,RB,TEN,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Saquon Barkley,RB,NYG,2022,7,4,4,2,6,3,4,5,NA,1,5,6,5,2,8,10,NA,NA,72,4.8
Matt Breida,RB,NYG,2022,0,1,0,0,2,2,1,2,NA,0,1,1,1,4,1,0,NA,NA,16,1.1
Kadarius Toney,WR,KC,2022,0,3,NA,NA,NA,NA,NA,NA,2,5,1,NA,NA,NA,1,2,NA,NA,14,2
Richie James Jr.,WR,NYG,2022,6,6,5,3,2,2,2,0,NA,NA,3,6,3,9,5,12,NA,NA,64,4.6
Wan'Dale Robinson,WR,NYG,2022,1,NA,NA,NA,NA,4,8,3,NA,2,13,NA,NA,NA,NA,NA,NA,NA,31,5.2
Chris Myarick,TE,NYG,2022,1,0,1,NA,1,NA,2,1,NA,1,NA,1,0,0,NA,NA,NA,NA,8,0.8
Sterling Shepard,WR,NYG,2022,4,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,8
Kenny Golladay,WR,NYG,2022,2,NA,3,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,10,2
Gary Brightwell,RB,NYG,2022,0,0,NA,0,0,0,NA,0,NA,0,0,2,0,3,0,0,NA,NA,5,0.4
James Conner,RB,ARI,2022,6,4,5,3,1,NA,NA,NA,5,3,5,3,NA,7,5,8,NA,NA,55,4.6
Eno Benjamin,RB,HOU,2022,4,4,4,1,4,3,5,7,1,0,NA,NA,NA,0,NA,NA,NA,NA,33,3
Andy Isabella,WR,BAL,2022,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,1.7
Greg Dortch,WR,ARI,2022,9,4,10,1,0,0,1,3,1,0,10,NA,NA,0,0,11,NA,NA,50,3.6
A.J. Green,WR,ARI,2022,4,7,2,NA,5,4,NA,1,NA,2,9,2,NA,2,2,NA,NA,NA,40,3.6
Marquise Brown,WR,ARI,2022,6,11,17,11,10,9,NA,NA,NA,NA,NA,8,NA,8,8,6,NA,NA,94,9.4
Zach Ertz,TE,ARI,2022,4,11,10,6,10,10,4,5,8,1,NA,NA,NA,NA,NA,NA,NA,NA,69,6.9
Jonathan Ward,RB,TEN,2022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0
Stephen Anderson,TE,ARI,2022,0,1,0,0,NA,NA,0,NA,NA,1,1,NA,NA,2,NA,2,NA,NA,7,0.8
