"Team","WR Targets","WR %","RB Targets","RB %","TE Targets","TE %","Total Targets"
"Arizona Cardinals","376","69.1","100","18.4","68","12.5","544"
"Atlanta Falcons","395","65.3","106","17.5","104","17.2","605"
"Baltimore Ravens","221","56.4","62","15.8","109","27.8","392"
"Buffalo Bills","427","74.9","77","13.5","66","11.6","570"
"Carolina Panthers","371","70.5","114","21.7","41","7.8","526"
"Chicago Bears","347","58.3","113","19.0","135","22.7","595"
"Cincinnati Bengals","391","69.2","102","18.1","72","12.7","565"
"Cleveland Browns","247","53.1","79","17.0","139","29.9","465"
"Dallas Cowboys","398","64.8","111","18.1","105","17.1","614"
"Denver Broncos","313","58.7","72","13.5","148","27.8","533"
"Detroit Lions","324","58.1","106","19.0","128","22.9","558"
"Green Bay Packers","290","58.0","115","23.0","95","19.0","500"
"Houston Texans","335","63.8","90","17.1","100","19.0","525"
"Indianapolis Colts","281","52.4","135","25.2","120","22.4","536"
"Jacksonville Jaguars","361","61.8","113","19.3","110","18.8","584"
"Kansas City Chiefs","331","54.4","111","18.2","167","27.4","609"
"Las Vegas Raiders","237","45.5","112","21.5","172","33.0","521"
"Los Angeles Chargers","325","53.2","156","25.5","130","21.3","611"
"Los Angeles Rams","365","64.9","71","12.6","126","22.4","562"
"Miami Dolphins","315","57.7","95","17.4","136","24.9","546"
"Minnesota Vikings","285","58.6","94","19.3","107","22.0","486"
"New England Patriots","263","62.9","122","29.2","33","7.9","418"
"New Orleans Saints","257","50.5","143","28.1","109","21.4","509"
"New York Giants","280","56.1","83","16.6","136","27.3","499"
"New York Jets","327","70.5","75","16.2","62","13.4","464"
"Philadelphia Eagles","294","52.5","97","17.3","169","30.2","560"
"Pittsburgh Steelers","459","70.4","81","12.4","112","17.2","652"
"San Francisco 49ers","281","50.7","136","24.5","137","24.7","554"
"Seattle Seahawks","330","61.6","98","18.3","108","20.1","536"
"Tampa Bay Buccaneers","349","57.6","119","19.6","138","22.8","606"
"Tennessee Titans","270","57.9","58","12.4","138","29.6","466"
"Washington Commanders","296","51.7","161","28.1","116","20.2","573"
""
""
