Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
75,Alshon Jeffery,PHI,10,32,WR,WR30,null,null,null,null,null,71.9
76,Drew Brees,NO,9,43,QB,QB6,null,null,null,null,null,73.9
77,Carson Wentz,PHI,10,29,QB,QB7,225,225,225,151.1,249,74.6
78,Vance McDonald,PIT,7,32,TE,TE8,null,null,null,null,null,75.1
79,Robbie Anderson,NYJ,4,29,WR,WR31,166,166,166,134.7,201,75.9
80,Latavius Murray,NO,9,32,RB,RB34,null,null,null,null,null,76.4
81,Allen Robinson II,CHI,6,29,WR,WR32,53.9,53.9,53.9,53.5,81.4,76.6
82,Emmanuel Sanders,DEN,10,35,WR,WR33,null,null,null,null,null,80.6
83,Jared Goff,LAR,9,28,QB,QB8,227,227,227,156.8,250,81.5
84,William Fuller V,HOU,10,28,WR,WR34,null,null,null,null,null,81.6
85,Kenyan Drake,MIA,5,28,RB,RB35,226,226,226,156.2,860,82.9
86,Tony Pollard,DAL,8,25,RB,RB36,69.9,69.9,69.9,64.5,87.5,83.3
87,David Njoku,CLE,7,26,TE,TE9,152.5,152.5,152.5,147.2,329,83.5
88,Devin Singletary,BUF,6,25,RB,RB37,71.7,71.7,71.7,67.7,89.4,83.9
89,Matt Breida,SF,4,27,RB,RB38,234,234,234,144.4,269,84.8
90,Darwin Thompson,KC,12,25,RB,RB39,385,385,385,349,1214,86
91,Andrew Luck,IND,6,33,QB,QB9,null,null,null,null,null,87.8
92,Curtis Samuel,CAR,7,26,WR,WR35,178,178,178,178,208,88
93,Russell Wilson,SEA,11,34,QB,QB10,72,72,72,71.7,91.5,88.4
94,Christian Kirk,ARI,12,26,WR,WR36,96.2,96.2,96.2,95.7,119.6,89.9
95,LeSean McCoy,KC,12,34,RB,RB40,null,null,null,null,null,90.8
96,Sterling Shepard,NYG,11,29,WR,WR37,172,172,172,134.5,207,92.2
97,Chicago Bears,CHI,6,null,DST,DST1,159.4,159.4,159.4,143,179,92.4
98,Darrell Henderson Jr.,LAR,9,25,RB,RB41,113.6,113.6,113.6,94.2,115.6,93
99,Cam Newton,CAR,7,33,QB,QB11,null,null,null,null,null,94.4
100,Rashaad Penny,SEA,11,26,RB,RB42,63,63,63,62.9,68.6,95.3
101,Austin Hooper,ATL,9,28,TE,TE10,316,316,316,151.4,336,95.4
102,Sammy Watkins,KC,12,29,WR,WR38,195,195,195,155.4,212,96.1
103,Lamar Jackson,BAL,8,25,QB,QB12,51.5,51.5,51.5,48.1,54.3,97.6
104,Geronimo Allison,GB,11,28,WR,WR39,848,848,848,321,1016,98.7
105,Marquez Valdes-Scantling,GB,11,28,WR,WR40,130.2,130.2,130.2,127.3,158.1,100.6
106,Kareem Hunt,CLE,7,27,RB,RB43,69.2,69.2,69.2,65.1,75.5,100.8
107,James Washington,PIT,7,26,WR,WR41,null,null,null,null,null,101.3
108,Jordan Howard,PHI,10,28,RB,RB44,null,null,null,null,null,103.7
109,Jameis Winston,TB,7,28,QB,QB13,148.1,148.1,148.1,148.1,165.5,105.1
110,Marvin Jones Jr.,DET,5,32,WR,WR42,162,162,162,158.7,200,105.3
111,Los Angeles Rams,LAR,9,null,DST,DST2,129.8,129.8,129.8,123.5,151.1,105.6
112,Larry Fitzgerald,ARI,12,39,WR,WR43,null,null,null,null,null,106.5
113,Ben Roethlisberger,PIT,7,40,QB,QB14,null,null,null,null,null,106.8
114,Royce Freeman,DEN,10,26,RB,RB45,325,325,325,270,352,108.1
115,Jacksonville Jaguars,JAX,10,null,DST,DST3,192,192,192,192,192,109.3
116,Dante Pettis,SF,4,27,WR,WR44,376,376,376,307,484,109.8
117,Corey Davis,TEN,11,27,WR,WR45,171,171,171,105.4,202,110.8
118,Kyler Murray,ARI,12,25,QB,QB15,62.1,62.1,62.1,36.8,62.1,110.9
119,Kalen Ballage,MIA,5,26,RB,RB46,null,null,null,null,null,113.5
120,Michael Gallup,DAL,8,26,WR,WR46,119,119,119,101.7,121.4,113.8
121,Tom Brady,NE,10,45,QB,QB16,86.7,86.7,86.7,85.5,141.9,114.6
122,Delanie Walker,TEN,11,38,TE,TE11,null,null,null,null,null,115.4
123,Philip Rivers,LAC,12,41,QB,QB17,null,null,null,null,null,116.1
124,Baltimore Ravens,BAL,8,null,DST,DST4,158.5,158.5,158.5,151.8,193.1,117
125,Eric Ebron,IND,6,29,TE,TE12,null,null,null,null,null,117.5
126,Jaylen Samuels,PIT,7,26,RB,RB47,669,669,669,368,1127,119
127,DeSean Jackson,PHI,10,36,WR,WR47,null,null,null,null,null,119.4
128,Donte Moncrief,PIT,7,29,WR,WR48,null,null,null,null,null,119.8
