"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Robert Woods","WR","TEN","46","37","42","41","54","bye","44","38","32","50","50","46","51","58","","","","","589","45.3"
"Devin Duvernay","WR","BAL","29","32","35","45","47","40","42","50","50","bye","58","56","68","35","","","","","587","45.2"
"Austin Ekeler","RB","LAC","33","47","34","41","42","61","55","bye","47","40","45","46","45","47","","","","","583","44.8"
"Mac Jones","QB","NE","57","68","66","0","0","0","18","78","63","bye","63","55","54","59","","","","","581","58.1"
"Najee Harris","RB","PIT","37","42","47","48","37","44","58","54","bye","50","67","20","43","31","","","","","578","44.5"
"David Njoku","TE","CLE","71","63","63","67","57","56","37","0","bye","0","28","64","0","69","","","","","575","57.5"
"Zach Ertz","TE","ARI","39","73","77","62","64","68","53","69","61","9","0","0","bye","0","","","","","575","57.5"
"JuJu Smith-Schuster","WR","KC","46","42","44","50","62","59","35","bye","83","24","0","29","42","55","","","","","571","47.6"
"Foster Moreau","TE","LV","0","41","35","0","0","bye","54","58","57","67","66","77","55","60","","","","","570","57.0"
"Tee Higgins","WR","CIN","26","62","46","49","0","49","57","52","46","bye","52","58","67","0","","","","","564","51.3"
"Marquise Brown","WR","ARI","62","81","79","71","67","68","0","0","0","0","0","64","bye","72","","","","","564","70.5"
"Allen Robinson II","WR","LAR","65","57","44","73","54","56","bye","54","51","55","53","0","0","0","","","","","562","56.2"
"Dalton Schultz","TE","DAL","69","55","0","55","10","0","41","41","bye","63","46","63","49","66","","","","","558","50.7"
"Leonard Fournette","RB","TB","47","58","59","39","49","59","40","49","52","22","bye","0","48","36","","","","","558","46.5"
"Nick Westbrook-Ikhine","WR","TEN","44","34","33","0","59","bye","45","43","40","48","52","43","52","64","","","","","557","46.4"
"Marvin Jones Jr.","WR","JAC","57","64","52","43","65","0","40","39","39","44","bye","38","38","35","","","","","554","46.2"
"Pat Freiermuth","TE","PIT","56","48","45","47","37","0","44","47","bye","58","52","49","36","31","","","","","550","45.8"
"Miles Sanders","RB","PHI","40","39","41","55","54","44","bye","29","42","29","44","43","39","45","","","","","544","41.8"
"Andy Dalton","QB","NO","0","0","0","57","68","63","71","54","46","43","40","49","52","bye","","","","","543","54.3"
"Dallas Goedert","TE","PHI","71","61","45","74","70","70","bye","42","59","50","0","0","0","0","","","","","542","60.2"
"Rhamondre Stevenson","RB","NE","14","42","41","32","54","60","40","49","46","bye","49","45","53","13","","","","","538","41.4"
"Matthew Stafford","QB","LAR","67","62","48","74","65","65","bye","58","57","0","38","0","0","0","","","","","534","59.3"
"Olamide Zaccheaus","WR","ATL","45","26","38","31","44","43","29","54","43","48","42","42","47","bye","","","","","532","40.9"
"Dak Prescott","QB","DAL","53","0","0","0","0","0","63","58","bye","83","64","75","65","71","","","","","532","66.5"
"Alec Pierce","WR","IND","47","0","32","29","47","53","62","33","44","42","46","45","51","bye","","","","","531","44.3"
"Cooper Kupp","WR","LAR","67","62","48","74","64","63","bye","55","57","40","0","0","0","0","","","","","530","58.9"
"Quez Watkins","WR","PHI","41","43","33","49","43","42","bye","37","35","29","36","66","37","32","","","","","523","40.2"
"Jonathan Taylor","RB","IND","70","37","54","58","0","0","35","40","0","61","49","59","59","bye","","","","","522","52.2"
"Elijah Moore","WR","NYJ","75","61","73","63","39","32","0","10","0","bye","27","22","58","61","","","","","521","47.4"
"Gerald Everett","TE","LAC","44","50","46","46","46","51","40","bye","47","10","0","38","44","58","","","","","520","43.3"
"Travis Etienne Jr.","RB","JAC","36","26","33","24","40","29","57","57","56","50","bye","5","49","54","","","","","516","39.7"
"Equanimeous St. Brown","WR","CHI","44","29","54","59","31","46","42","25","52","31","50","23","30","bye","","","","","516","39.7"
"Patrick Ricard","RB","BAL","36","37","39","49","0","45","56","39","46","bye","38","53","25","45","","","","","508","42.3"
"Dameon Pierce","RB","HOU","20","39","35","39","46","bye","34","42","47","46","43","34","47","36","","","","","508","39.1"
"Mike Williams","WR","LAC","62","66","55","65","60","87","54","bye","0","0","6","0","0","52","","","","","507","56.3"
"Aaron Jones","RB","GB","37","40","39","45","46","41","40","44","30","45","40","35","25","bye","","","","","507","39.0"
"Juwan Johnson","TE","NO","45","53","47","29","44","56","53","47","38","31","36","27","0","bye","","","","","506","42.2"
"Will Dissly","TE","SEA","37","23","43","51","33","44","54","50","43","22","bye","48","35","21","","","","","504","38.8"
"Derrick Henry","RB","TEN","44","26","43","37","41","bye","44","43","30","36","47","32","30","50","","","","","503","38.7"
"Chris Olave","WR","NO","45","51","53","41","31","0","55","37","46","36","28","38","41","bye","","","","","502","41.8"
"Darius Slayton","WR","NYG","0","0","0","39","33","45","44","48","bye","55","66","54","61","53","","","","","498","49.8"
"Joe Mixon","RB","CIN","73","53","45","53","44","41","49","38","48","bye","14","0","0","39","","","","","497","45.2"
"Hayden Hurst","TE","CIN","75","57","26","36","51","40","42","38","34","bye","43","46","9","0","","","","","497","41.4"
"Nick Chubb","RB","CLE","42","36","45","40","35","31","34","37","bye","32","41","47","32","45","","","","","497","38.2"
"Taylor Heinicke","QB","WAS","0","0","0","0","0","0","74","61","64","83","68","62","85","bye","","","","","497","71.0"
"David Montgomery","RB","CHI","38","33","11","0","36","56","40","55","52","40","55","39","40","bye","","","","","495","41.3"
"Noah Fant","TE","SEA","31","26","39","41","31","43","52","46","44","27","bye","40","45","30","","","","","495","38.1"
"Brandin Cooks","WR","HOU","64","55","51","46","45","bye","58","44","0","41","45","45","0","0","","","","","494","49.4"
"DeVante Parker","WR","NE","57","52","64","56","31","55","48","1","0","bye","25","47","47","6","","","","","489","40.8"
"James Conner","RB","ARI","47","18","50","50","24","0","0","0","45","65","55","64","bye","71","","","","","489","48.9"
"Alvin Kamara","RB","NO","38","0","48","0","56","50","52","46","45","37","40","38","35","bye","","","","","485","44.1"
"Jakobi Meyers","WR","NE","50","56","0","0","48","57","52","63","51","bye","60","16","31","0","","","","","484","48.4"
"Josh Reynolds","WR","DET","55","44","62","62","60","bye","47","48","0","0","0","0","60","43","","","","","481","53.4"
"Michael Gallup","WR","DAL","0","0","0","39","30","51","42","49","bye","69","45","57","45","54","","","","","481","48.1"
"Jerry Jeudy","WR","DEN","59","10","44","47","61","53","70","52","bye","1","0","0","20","60","","","","","477","43.4"
"Demarcus Robinson","WR","BAL","25","23","22","39","49","45","0","48","34","bye","54","43","55","37","","","","","474","39.5"
"Trent Sherfield","WR","MIA","21","25","27","40","44","52","35","40","37","45","bye","46","30","31","","","","","473","36.4"
"Kalif Raymond","WR","DET","8","6","13","38","56","bye","53","54","59","51","57","54","13","8","","","","","470","36.2"
"Noah Gray","TE","KC","37","28","26","46","29","28","37","bye","40","29","39","50","32","39","","","","","460","35.4"
"Tony Pollard","RB","DAL","38","24","28","24","23","27","41","31","bye","72","39","44","28","41","","","","","460","35.4"
"Rondale Moore","WR","ARI","0","0","0","65","63","70","59","77","57","66","2","0","bye","0","","","","","459","57.4"
"Corey Davis","WR","NYJ","57","55","68","52","45","47","13","0","0","bye","0","43","69","9","","","","","458","45.8"
"Isaiah McKenzie","WR","BUF","26","31","47","31","0","37","bye","31","41","52","26","56","39","38","","","","","455","37.9"
"Logan Thomas","TE","WAS","48","54","50","55","0","0","0","0","46","61","46","44","48","bye","","","","","452","50.2"
"A.J. Green","WR","ARI","48","74","28","0","50","49","0","37","0","30","55","35","bye","45","","","","","451","45.1"
"Nico Collins","WR","HOU","47","42","40","44","47","bye","30","0","0","50","48","46","47","0","","","","","441","44.1"
"Robert Tonyan","TE","GB","22","27","36","32","28","46","30","49","34","41","36","25","34","bye","","","","","440","33.8"
"Jahan Dotson","WR","WAS","68","73","67","44","0","0","0","0","0","34","45","38","67","bye","","","","","436","54.5"
"Kyle Pitts","TE","ATL","63","57","38","34","0","33","37","50","42","56","24","0","0","bye","","","","","434","43.4"
"Baker Mayfield","QB","Multi","53","58","61","52","60","0","0","0","31","0","57","0","0","61","","","","","433","54.1"
"Antonio Gibson","RB","WAS","49","40","34","30","20","15","29","22","37","40","46","26","42","bye","","","","","430","33.1"
"Raheem Mostert","RB","MIA","25","39","24","46","46","48","44","44","27","19","bye","0","28","37","","","","","427","35.6"
"Kendall Hinton","WR","DEN","0","55","32","30","0","12","7","0","bye","77","56","55","41","62","","","","","427","42.7"
"DeAndre Hopkins","WR","ARI","0","0","0","0","0","0","61","78","59","64","49","49","bye","64","","","","","424","60.6"
"Carson Wentz","QB","WAS","77","74","77","74","63","57","0","0","0","0","0","0","0","bye","","","","","422","70.3"
"Terrace Marshall Jr.","WR","CAR","0","0","0","0","26","20","43","74","45","59","53","41","bye","61","","","","","422","46.9"
"AJ Dillon","RB","GB","31","39","33","42","20","36","16","28","49","24","29","21","45","bye","","","","","413","31.8"
"Romeo Doubs","WR","GB","35","25","55","70","54","70","48","54","1","0","0","0","0","bye","","","","","412","45.8"
"Zach Wilson","QB","NYJ","0","0","0","70","59","55","59","59","60","bye","50","0","0","0","","","","","412","58.9"
"Jerick McKinnon","RB","KC","27","27","33","18","38","29","28","bye","62","24","34","26","26","39","","","","","411","31.6"
"Chris Moore","WR","HOU","34","41","31","32","0","bye","36","0","44","34","33","36","36","53","","","","","410","37.3"
"Kareem Hunt","RB","CLE","45","31","32","36","33","30","28","33","bye","24","32","32","24","28","","","","","408","31.4"
"Jeff Wilson Jr.","RB","Multi","40","37","41","33","39","31","26","19","28","42","0","46","17","8","","","","","407","31.3"
"David Bell","WR","CLE","0","20","40","19","29","44","34","34","bye","35","48","50","3","49","","","","","405","33.8"
"Greg Dulcich","TE","DEN","0","0","0","0","0","41","47","49","bye","71","53","52","38","54","","","","","405","50.6"
"Michael Carter","RB","NYJ","50","43","38","31","25","27","43","33","31","bye","25","19","0","37","","","","","402","33.5"
"Ezekiel Elliott","RB","DAL","40","41","41","39","36","41","31","0","bye","0","21","38","38","35","","","","","401","36.5"
"C.J. Uzomah","TE","NYJ","0","0","27","31","41","43","36","37","32","bye","33","48","39","34","","","","","401","36.5"
"Mike Gesicki","TE","MIA","25","44","17","28","36","50","38","31","28","32","bye","41","9","20","","","","","399","30.7"
"Austin Hooper","TE","TEN","40","28","24","20","34","bye","26","27","31","38","30","38","27","36","","","","","399","30.7"
"Zach Gentry","TE","PIT","19","0","0","39","48","42","34","29","bye","43","30","36","48","25","","","","","393","35.7"
"Shi Smith","WR","CAR","41","41","22","39","43","24","25","38","39","16","34","0","bye","24","","","","","386","32.2"
"Harrison Bryant","TE","CLE","38","31","0","49","38","25","34","0","bye","51","55","21","36","8","","","","","386","35.1"
"Dante Pettis","WR","CHI","23","23","36","36","30","44","22","42","27","27","18","23","34","bye","","","","","385","29.6"
"Kenneth Walker III","RB","SEA","0","12","9","25","30","47","52","49","56","45","bye","46","14","0","","","","","385","35.0"
"Robbie Anderson","WR","Multi","53","54","51","50","53","0","12","7","52","0","0","28","0","23","","","","","383","38.3"
"Kyle Juszczyk","RB","SF","25","40","35","32","38","32","38","0","bye","0","25","30","46","41","","","","","382","34.7"
"Kylen Granson","TE","IND","51","27","30","30","38","31","21","32","26","30","25","0","41","bye","","","","","382","31.8"
"Ian Thomas","TE","CAR","35","43","38","15","27","23","31","44","0","0","31","38","bye","46","","","","","371","33.7"
"Brock Wright","TE","DET","0","22","0","24","0","bye","31","23","50","46","50","48","35","40","","","","","369","36.9"
"Russell Gage","WR","TB","26","44","52","41","58","55","41","0","0","0","bye","0","26","25","","","","","368","40.9"
"Richie James Jr.","WR","NYG","42","31","53","21","33","22","7","4","bye","0","17","45","34","58","","","","","367","30.6"
"Rachaad White","RB","TB","17","9","6","24","31","16","29","18","29","48","bye","62","33","40","","","","","362","27.8"
"Samaje Perine","RB","CIN","26","14","23","12","19","14","20","13","27","bye","46","56","60","29","","","","","359","27.6"
"Jamaal Williams","RB","DET","23","21","35","36","22","bye","26","22","38","25","32","30","23","26","","","","","359","27.6"
"Daniel Bellinger","TE","NYG","0","42","43","39","45","61","26","0","bye","0","0","0","64","39","","","","","359","44.9"
"Mo Alie-Cox","TE","IND","50","27","42","46","35","0","0","29","34","0","40","22","31","bye","","","","","356","35.6"
"Greg Dortch","WR","ARI","59","62","67","27","2","4","35","20","5","2","66","0","bye","4","","","","","353","29.4"
"Justin Watson","WR","KC","16","14","10","14","11","7","10","bye","26","46","57","64","34","44","","","","","353","27.2"
"Jack Stoll","TE","PHI","0","0","37","0","0","32","bye","30","23","11","55","64","54","47","","","","","353","39.2"
"Nelson Agholor","WR","NE","33","34","50","38","7","0","3","19","0","bye","37","43","30","57","","","","","351","31.9"
"Tommy Tremble","TE","CAR","18","0","24","22","39","0","32","46","27","39","21","49","bye","29","","","","","346","31.5"
"DJ Chark Jr.","WR","DET","56","40","62","0","0","bye","0","0","0","0","11","52","64","60","","","","","345","49.3"
"Marquise Goodwin","WR","SEA","28","26","30","29","0","31","38","25","0","41","bye","29","25","41","","","","","343","31.2"
"Parker Hesse","TE","ATL","48","40","43","48","41","0","0","29","0","22","0","35","34","bye","","","","","340","37.8"
"Tyler Allgeier","RB","ATL","0","19","21","24","39","33","29","40","23","30","30","22","28","bye","","","","","338","28.2"
"Kendrick Bourne","WR","NE","2","24","18","26","34","4","0","54","48","bye","24","38","20","42","","","","","334","27.8"
"Phillip Dorsett II","WR","HOU","4","0","13","11","11","bye","35","45","46","28","14","26","46","54","","","","","333","27.8"
"Tre' McKitty","TE","LAC","40","0","19","37","36","39","24","bye","0","45","0","26","25","41","","","","","332","33.2"
"Cooper Rush","QB","DAL","16","61","64","61","55","67","0","0","bye","0","8","0","0","0","","","","","332","47.4"
"Darrell Henderson Jr.","RB","LAR","55","35","24","44","37","46","bye","24","28","34","4","0","0","0","","","","","331","33.1"
"Christian Watson","WR","GB","40","22","0","18","18","0","0","6","17","54","49","45","61","bye","","","","","330","33.0"
"Trey McBride","TE","ARI","0","0","0","32","0","20","34","20","0","62","54","52","bye","55","","","","","329","41.1"
"Johnny Mundt","TE","MIN","40","28","28","20","35","29","bye","43","15","0","27","37","24","0","","","","","326","29.6"
"Eno Benjamin","RB","Multi","22","37","22","11","37","62","48","58","17","1","0","0","0","8","","","","","323","29.4"
"Jonnu Smith","TE","NE","39","39","32","0","0","30","17","50","34","bye","34","0","17","28","","","","","320","32.0"
"Keelan Cole Sr.","WR","LV","0","0","40","49","5","bye","0","18","0","48","44","50","35","29","","","","","318","35.3"
"Marquez Callaway","WR","NO","0","0","13","58","56","54","52","21","29","0","21","0","13","bye","","","","","317","35.2"
"Kenyan Drake","RB","BAL","33","16","0","0","27","34","17","44","46","bye","35","18","34","11","","","","","315","28.6"
"Durham Smythe","TE","MIA","38","35","32","40","33","0","0","0","33","37","bye","37","27","0","","","","","312","34.7"
"Geoff Swaim","TE","TEN","45","0","40","0","42","bye","37","0","0","33","47","31","20","17","","","","","312","34.7"
"Adam Trautman","TE","NO","0","0","44","39","50","16","0","0","18","19","40","35","47","bye","","","","","308","34.2"
"Julio Jones","WR","TB","32","0","0","18","0","0","0","39","30","38","bye","43","52","55","","","","","307","38.4"
"Jauan Jennings","WR","SF","41","35","26","18","15","19","32","0","bye","23","22","29","22","22","","","","","304","25.3"
"Mecole Hardman","WR","KC","39","31","43","37","29","30","40","bye","54","0","0","0","0","0","","","","","303","37.9"
"Tyquan Thornton","WR","NE","0","0","0","0","25","40","44","61","42","bye","17","0","21","52","","","","","302","37.8"
"Tre'Quan Smith","WR","NO","0","0","42","14","52","51","44","38","36","7","0","15","0","bye","","","","","299","33.2"
"Cameron Brate","TE","TB","42","38","58","22","0","34","0","0","0","34","bye","35","0","28","","","","","291","36.4"
"Latavius Murray","RB","Multi","0","0","0","26","0","27","31","27","0","25","32","49","36","38","","","","","291","32.3"
"Keenan Allen","WR","LAC","22","0","0","0","0","0","23","bye","0","0","44","59","72","69","","","","","289","48.2"
"Mitch Trubisky","QB","PIT","63","59","59","33","0","27","0","0","bye","0","0","0","0","47","","","","","288","48.0"
"Jarvis Landry","WR","NO","44","46","21","38","0","0","0","0","0","37","32","32","32","bye","","","","","282","35.3"
"D'Andre Swift","RB","DET","46","31","32","0","0","bye","0","33","10","19","21","24","39","25","","","","","280","28.0"
"Pharaoh Brown","TE","Multi","46","45","48","0","0","19","11","25","0","28","11","0","40","0","","","","","273","30.3"
"Eric Saubert","TE","DEN","18","26","35","41","41","0","15","10","bye","15","27","0","26","19","","","","","273","24.8"
"Cam Sims","WR","WAS","8","8","0","0","37","41","49","49","28","27","18","0","7","bye","","","","","272","27.2"
"James Robinson","RB","Multi","34","45","44","22","31","27","12","13","24","0","11","0","9","0","","","","","272","24.7"
"Cordarrelle Patterson","RB","ATL","49","36","35","16","0","0","0","0","24","24","27","33","25","bye","","","","","269","29.9"
"John Bates","TE","WAS","42","24","20","30","37","0","0","20","25","0","35","36","0","bye","","","","","269","29.9"
"Sammy Watkins","WR","GB","41","44","0","0","0","0","28","52","60","21","22","0","0","bye","","","","","268","38.3"
"D'Onta Foreman","RB","CAR","7","3","0","4","3","10","27","54","21","45","22","35","bye","34","","","","","265","22.1"
"Jake Ferguson","TE","DAL","0","0","53","17","0","34","24","32","bye","0","36","36","32","0","","","","","264","33.0"
"Jordan Akins","TE","HOU","0","0","17","20","10","bye","26","14","16","33","26","32","34","35","","","","","263","23.9"
"Randall Cobb","WR","GB","37","20","25","25","40","26","0","0","0","0","34","22","33","bye","","","","","262","29.1"
"PJ Walker","QB","CAR","0","0","0","0","9","37","50","80","18","66","0","0","bye","0","","","","","260","43.3"
"Braxton Berrios","WR","NYJ","39","16","24","8","13","16","33","30","21","bye","6","16","20","17","","","","","259","19.9"
"Brian Robinson Jr.","RB","WAS","0","0","0","0","18","27","35","15","28","43","23","30","40","bye","","","","","259","28.8"
"Skyy Moore","WR","KC","13","2","8","22","25","20","14","bye","26","16","27","35","23","27","","","","","258","19.8"
"Van Jefferson","WR","LAR","0","0","0","0","0","0","bye","0","20","17","47","47","64","62","","","","","257","42.8"
