"Team","WR Targets","WR %","RB Targets","RB %","TE Targets","TE %","Total Targets"
"Arizona Cardinals","407","64.0","142","22.3","87","13.7","636"
"Atlanta Falcons","330","62.3","117","22.1","83","15.7","530"
"Baltimore Ravens","350","52.7","156","23.5","158","23.8","664"
"Buffalo Bills","267","58.2","89","19.4","103","22.4","459"
"Carolina Panthers","331","60.2","70","12.7","149","27.1","550"
"Chicago Bears","362","65.9","86","15.7","101","18.4","549"
"Cincinnati Bengals","342","63.2","102","18.9","97","17.9","541"
"Cleveland Browns","317","56.8","139","24.9","102","18.3","558"
"Dallas Cowboys","290","60.5","79","16.5","110","23.0","479"
"Denver Broncos","382","68.7","91","16.4","83","14.9","556"
"Detroit Lions","372","64.1","115","19.8","93","16.0","580"
"Green Bay Packers","407","66.3","104","16.9","103","16.8","614"
"Houston Texans","314","54.5","83","14.4","179","31.1","576"
"Indianapolis Colts","314","55.0","108","18.9","149","26.1","571"
"Jacksonville Jaguars","388","62.4","109","17.5","125","20.1","622"
"Kansas City Chiefs","288","53.8","90","16.8","157","29.3","535"
"Las Vegas Raiders","382","65.0","123","20.9","83","14.1","588"
"Los Angeles Chargers","0","","0","","0","","0"
"Los Angeles Rams","331","62.5","83","15.7","116","21.9","530"
"Miami Dolphins","306","65.5","88","18.8","73","15.6","467"
"Minnesota Vikings","259","44.3","177","30.3","148","25.3","584"
"New England Patriots","301","55.2","130","23.9","114","20.9","545"
"New Orleans Saints","391","58.9","163","24.5","110","16.6","664"
"New York Giants","370","62.0","114","19.1","113","18.9","597"
"New York Jets","393","72.0","123","22.5","30","5.5","546"
"Philadelphia Eagles","303","50.2","115","19.1","185","30.7","603"
"Pittsburgh Steelers","338","57.3","126","21.4","126","21.4","590"
"San Francisco 49ers","292","60.1","86","17.7","108","22.2","486"
"Seattle Seahawks","328","60.1","95","17.4","123","22.5","546"
"Tampa Bay Buccaneers","372","65.1","83","14.5","116","20.3","571"
"Tennessee Titans","279","57.2","84","17.2","125","25.6","488"
"Washington Commanders","351","59.3","89","15.0","152","25.7","592"
""
""
