"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Damien Harris","RB","NE","3","2","3","1","1","-","2","2","-","bye","2","0","-","-","","","","","16","1.8"
"Cam Sims","WR","WAS","1","2","-","-","2","2","2","2","1","1","1","-","2","bye","","","","","16","1.6"
"Joshua Kelley","RB","LAC","2","2","2","2","2","-","-","bye","-","-","-","3","1","2","","","","","16","2.0"
"Alexander Mattison","RB","MIN","0","5","1","1","4","0","bye","0","1","1","1","0","2","0","","","","","16","1.2"
"Ty Johnson","RB","NYJ","-","3","-","0","0","-","1","2","0","bye","1","2","7","-","","","","","16","1.8"
"Brock Wright","TE","DET","-","1","-","0","-","bye","4","1","1","1","2","3","2","1","","","","","16","1.6"
"Keelan Cole Sr.","WR","LV","-","-","4","0","0","bye","-","5","-","2","2","2","0","1","","","","","16","1.8"
"JaMycal Hasty","RB","JAC","-","-","1","2","0","1","0","4","1","2","bye","5","-","0","","","","","16","1.6"
"Marcus Johnson","WR","NYG","-","-","-","-","3","4","3","6","bye","-","-","-","0","-","","","","","16","3.2"
"Steven Sims Jr.","WR","PIT","-","-","-","-","0","0","-","3","bye","2","2","3","2","4","","","","","16","2.0"
"Tre' McKitty","TE","LAC","4","-","0","1","2","0","0","bye","-","6","-","0","1","1","","","","","15","1.5"
"Matt Breida","RB","NYG","0","1","0","0","2","2","1","2","bye","0","1","1","1","4","","","","","15","1.2"
"Mike Boone","RB","DEN","1","-","1","3","3","4","0","-","bye","-","-","-","1","2","","","","","15","1.9"
"Tanner Hudson","TE","NYG","-","3","-","2","-","-","1","5","bye","3","-","1","-","-","","","","","15","2.5"
"Justin Jackson","RB","DET","-","0","0","2","1","bye","0","0","0","3","1","2","5","1","","","","","15","1.3"
"Tom Kennedy","WR","DET","-","-","-","5","0","bye","3","-","4","2","1","0","-","-","","","","","15","2.1"
"Rashid Shaheed","WR","NO","-","-","-","-","-","1","1","3","0","1","2","3","4","bye","","","","","15","1.9"
"Trenton Irwin","WR","CIN","-","-","-","-","-","-","-","3","1","bye","4","4","1","2","","","","","15","2.5"
"James Robinson","RB","NYJ","2","2","3","0","2","1","1","1","2","bye","0","-","0","-","","","","","14","1.3"
"Travis Homer","RB","SEA","0","4","0","0","-","0","-","1","3","0","bye","3","-","3","","","","","14","1.4"
"K.J. Hamler","WR","DEN","1","-","0","1","2","3","4","3","bye","-","-","-","-","-","","","","","14","2.0"
"Peyton Hendershot","TE","DAL","-","-","3","0","0","5","2","2","bye","1","1","0","0","-","","","","","14","1.4"
"Jamison Crowder","WR","BUF","4","2","3","4","-","-","bye","-","-","-","-","-","-","-","","","","","13","3.3"
"Patrick Ricard","RB","BAL","1","0","1","3","-","1","2","0","1","bye","0","3","1","0","","","","","13","1.1"
"Jamaal Williams","RB","DET","2","1","2","3","0","bye","1","3","0","0","0","0","0","1","","","","","13","1.0"
"Sony Michel","RB","LAC","0","1","2","3","0","3","3","bye","1","0","0","-","-","-","","","","","13","1.3"
"Josiah Deguara","TE","GB","2","-","-","1","2","1","-","1","5","-","-","-","1","bye","","","","","13","1.9"
"Amari Rodgers","WR","HOU","0","0","0","0","0","1","3","3","1","0","-","-","-","5","","","","","13","1.2"
"Kyle Philips","WR","TEN","9","1","-","1","2","bye","-","-","-","-","-","-","-","-","","","","","13","3.3"
"Geoff Swaim","TE","TEN","4","-","3","-","1","bye","1","-","-","1","1","1","1","0","","","","","13","1.4"
"Dee Eskridge","WR","SEA","2","1","-","1","1","3","1","2","2","0","bye","-","-","-","","","","","13","1.4"
"River Cracraft","WR","MIA","-","2","1","1","1","1","-","-","-","-","bye","4","3","-","","","","","13","1.9"
"Jack Stoll","TE","PHI","-","-","2","-","-","1","bye","1","2","1","1","0","3","2","","","","","13","1.4"
"James Proche II","WR","BAL","0","-","-","-","2","-","0","4","2","bye","2","0","2","-","","","","","12","1.5"
"Durham Smythe","TE","MIA","2","1","3","0","1","-","-","-","2","0","bye","1","2","-","","","","","12","1.3"
"Jody Fortson","TE","KC","1","1","0","1","-","-","2","bye","-","1","2","3","1","-","","","","","12","1.3"
"Dyami Brown","WR","WAS","-","-","0","4","4","1","-","-","1","1","-","1","-","bye","","","","","12","1.7"
"Taysom Hill","TE","NO","1","0","-","0","0","0","1","2","1","0","1","2","3","bye","","","","","11","0.9"
"Kadarius Toney","WR","KC","0","3","-","-","-","-","-","bye","2","5","1","-","-","-","","","","","11","2.2"
"Albert Okwuegbunam","TE","DEN","6","2","2","-","1","-","-","-","bye","-","-","-","-","-","","","","","11","2.8"
"Dan Arnold","TE","JAC","-","1","-","1","2","-","1","1","1","1","bye","-","0","3","","","","","11","1.2"
"Kyren Williams","RB","LAR","-","-","-","-","-","-","bye","-","-","3","2","3","1","2","","","","","11","2.2"
"Justice Hill","RB","BAL","2","0","0","2","-","-","0","0","1","bye","3","0","2","0","","","","","10","0.9"
"Mike Thomas","WR","CIN","5","-","-","-","3","-","-","1","0","bye","1","-","-","-","","","","","10","2.0"
"Trent Taylor","WR","CIN","0","0","0","0","0","0","0","1","2","bye","1","2","0","4","","","","","10","0.8"
"Connor Heyward","TE","PIT","0","0","-","-","2","3","1","0","bye","2","0","0","1","1","","","","","10","0.9"
"Chuba Hubbard","RB","CAR","0","0","0","0","-","1","3","-","-","0","3","0","bye","3","","","","","10","1.0"
"Anthony Schwartz","WR","CLE","2","-","-","-","1","3","-","-","bye","1","0","2","1","-","","","","","10","1.4"
"Brandon Bolden","RB","LV","2","-","2","1","3","bye","0","-","1","-","1","-","-","0","","","","","10","1.3"
"Kenny Golladay","WR","NYG","2","-","3","1","-","-","-","-","bye","2","2","-","-","-","","","","","10","2.0"
"Craig Reynolds","RB","DET","-","1","1","1","3","bye","3","1","0","-","-","-","-","-","","","","","10","1.4"
"Tyler Allgeier","RB","ATL","-","0","1","1","0","0","0","3","1","3","1","0","0","bye","","","","","10","0.8"
"Quintin Morris","TE","BUF","-","1","2","1","5","0","bye","-","-","-","-","1","-","-","","","","","10","1.7"
"Raheem Blackshear","RB","CAR","-","-","-","-","0","0","0","0","4","0","3","2","bye","1","","","","","10","1.1"
"Samori Toure","WR","GB","-","-","-","-","-","-","1","4","4","-","-","-","1","bye","","","","","10","2.5"
"DeSean Jackson","WR","BAL","-","-","-","-","-","-","-","-","2","bye","-","3","3","2","","","","","10","2.5"
"Brandon Johnson","WR","DEN","-","-","-","-","-","-","-","-","bye","-","2","4","-","4","","","","","10","3.3"
"Zonovan Knight","RB","NYJ","-","-","-","-","-","-","-","-","-","bye","-","3","5","2","","","","","10","3.3"
"Avery Williams","RB","ATL","1","1","0","0","2","1","1","2","1","0","0","0","0","bye","","","","","9","0.7"
"Parker Hesse","TE","ATL","2","1","0","1","1","-","-","1","-","0","-","2","1","bye","","","","","9","1.0"
"Lawrence Cager","WR","NYG","1","-","-","-","-","-","-","1","bye","2","3","2","-","-","","","","","9","1.8"
"D'Onta Foreman","RB","CAR","0","0","-","0","0","0","2","1","3","1","1","0","bye","1","","","","","9","0.8"
"Jalen Reagor","WR","MIN","0","2","1","1","1","0","bye","0","0","0","1","1","1","1","","","","","9","0.7"
"Isiah Pacheco","RB","KC","0","0","0","0","0","2","0","bye","1","0","0","1","2","3","","","","","9","0.7"
"Eric Tomlinson","TE","DEN","1","-","-","-","1","1","2","0","bye","1","-","-","-","3","","","","","9","1.3"
"Montrell Washington","WR","DEN","0","1","0","1","0","1","0","1","bye","1","0","3","1","0","","","","","9","0.7"
"Ko Kieft","TE","TB","-","0","0","1","0","0","1","1","2","-","bye","1","2","1","","","","","9","0.8"
"Mitchell Wilcox","TE","CIN","-","1","1","1","-","-","2","1","-","bye","-","-","1","2","","","","","9","1.3"
"Reggie Gilliam","RB","BUF","-","3","3","-","-","3","bye","-","-","-","0","0","-","-","","","","","9","1.8"
"Brian Robinson Jr.","RB","WAS","-","-","-","-","0","0","2","0","2","0","0","3","2","bye","","","","","9","1.0"
"Cole Turner","TE","WAS","-","-","-","-","3","2","2","-","-","-","1","1","0","bye","","","","","9","1.5"
"Cam Akers","RB","LAR","0","3","0","1","1","-","bye","-","0","1","0","0","1","1","","","","","8","0.7"
"Zack Moss","RB","IND","6","1","1","0","0","-","-","-","-","0","0","0","0","bye","","","","","8","0.9"
"Giovanni Ricci","TE","CAR","0","1","2","0","3","-","0","0","1","1","-","-","bye","-","","","","","8","0.9"
"Mike Strachan","WR","IND","2","3","-","1","-","2","-","-","-","-","-","-","-","bye","","","","","8","2.0"
"Zander Horvath","RB","LAC","2","2","1","1","0","1","-","bye","-","1","0","-","-","-","","","","","8","1.0"
"Chris Myarick","TE","NYG","1","0","1","-","1","-","2","1","bye","1","-","1","0","0","","","","","8","0.8"
"DeeJay Dallas","RB","SEA","0","0","2","0","1","0","2","0","0","0","bye","2","1","-","","","","","8","0.7"
"Tony Jones Jr.","RB","SEA","-","2","-","-","-","-","-","-","-","-","bye","-","4","2","","","","","8","2.7"
"Darrel Williams","RB","ARI","-","3","1","1","0","-","-","3","-","-","-","-","bye","-","","","","","8","1.6"
"Chris Manhertz","TE","JAC","-","-","-","1","2","0","0","1","2","-","bye","-","1","1","","","","","8","1.0"
"Phillip Lindsay","RB","IND","-","-","-","-","4","3","-","-","1","-","-","-","-","bye","","","","","8","2.7"
"MyCole Pruitt","TE","ATL","-","-","-","-","-","1","-","-","1","1","1","3","1","bye","","","","","8","1.3"
"Anthony Firkser","TE","ATL","2","-","1","-","1","-","-","-","-","-","-","1","2","bye","","","","","7","1.4"
"Dax Milne","WR","WAS","1","1","1","0","0","1","1","1","1","0","0","-","-","bye","","","","","7","0.6"
"Khalil Herbert","RB","CHI","1","1","2","1","0","0","2","0","0","0","-","-","-","bye","","","","","7","0.7"
"Byron Pringle","WR","CHI","2","0","1","-","-","-","-","-","-","2","0","2","-","bye","","","","","7","1.2"
"Tyler Davis","TE","GB","1","1","2","0","2","-","0","-","-","-","-","1","-","bye","","","","","7","1.0"
"Tyrie Cleveland","WR","DEN","0","3","-","-","1","0","-","-","bye","3","-","-","-","-","","","","","7","1.4"
"Danny Gray","WR","SF","-","2","-","-","2","-","2","-","bye","-","-","-","-","1","","","","","7","1.8"
"Andre Baccellia","WR","ARI","-","2","4","-","-","-","-","-","-","-","-","1","bye","-","","","","","7","2.3"
"Jake Kumerow","WR","BUF","-","3","2","-","-","-","bye","1","1","0","-","-","-","-","","","","","7","1.4"
"Grant Calcaterra","TE","PHI","-","-","1","-","-","-","bye","-","-","-","0","1","1","4","","","","","7","1.4"
"Teagan Quitoriano","TE","HOU","-","-","-","-","-","bye","-","-","1","-","1","2","3","-","","","","","7","1.8"
"Tylan Wallace","WR","BAL","1","2","-","-","2","1","-","-","-","bye","0","-","-","-","","","","","6","1.2"
"Gunner Olszewski","WR","PIT","0","0","0","0","-","0","0","0","bye","1","3","0","0","2","","","","","6","0.5"
"Armani Rogers","TE","WAS","1","-","0","-","0","0","3","2","0","0","-","-","-","bye","","","","","6","0.8"
"Ryan Griffin","TE","CHI","2","1","-","-","1","1","1","-","-","0","0","-","-","bye","","","","","6","0.9"
"C.J. Ham","RB","MIN","1","-","3","1","-","0","bye","0","-","0","-","-","0","1","","","","","6","0.8"
"Dennis Houston","WR","DAL","5","1","-","-","-","-","-","-","bye","-","-","-","-","-","","","","","6","3.0"
"Andrew Beck","TE","DEN","3","0","-","0","1","1","1","-","bye","-","-","-","-","-","","","","","6","1.0"
"Jeff Smith","WR","NYJ","-","1","-","1","1","-","1","1","1","bye","-","-","-","-","","","","","6","1.0"
"Dezmon Patmon","WR","IND","-","6","-","-","-","-","-","-","-","-","-","-","-","bye","","","","","6","6.0"
"J.K. Dobbins","RB","BAL","-","-","2","4","0","0","-","-","-","bye","-","-","-","0","","","","","6","1.2"
"Myles Gaskin","RB","MIA","-","-","-","-","5","-","-","-","-","-","bye","1","-","-","","","","","6","3.0"
"Michael Woods II","WR","CLE","-","-","-","-","-","2","-","2","bye","2","-","-","0","-","","","","","6","1.5"
"N'Keal Harry","WR","CHI","-","-","-","-","-","-","1","2","2","-","-","-","1","bye","","","","","6","1.5"
"Brycen Hopkins","TE","LAR","-","-","-","-","-","-","bye","-","1","2","-","2","-","1","","","","","6","1.5"
"Bryan Edwards","WR","ATL","1","2","-","-","1","-","-","1","-","-","-","-","-","bye","","","","","5","1.3"
"Trestan Ebner","RB","CHI","0","0","1","3","-","-","0","0","-","-","1","-","0","bye","","","","","5","0.6"
"Ross Dwelley","TE","SF","2","1","-","1","0","-","-","1","bye","-","-","-","-","-","","","","","5","1.0"
"Boston Scott","RB","PHI","0","1","0","-","-","0","bye","0","0","0","2","0","1","1","","","","","5","0.5"
"Jakob Johnson","RB","LV","1","-","0","-","1","bye","0","-","0","0","1","1","-","1","","","","","5","0.6"
"Cody Hollister","WR","TEN","1","-","-","-","0","bye","2","1","1","-","-","0","-","-","","","","","5","0.8"
"Gary Brightwell","RB","NYG","0","0","-","0","0","0","-","0","bye","0","0","2","0","3","","","","","5","0.5"
"Andy Isabella","WR","ARI","3","-","2","-","-","-","-","-","-","-","-","-","bye","-","","","","","5","2.5"
"Stephen Anderson","TE","ARI","0","1","0","0","-","-","0","-","-","1","1","-","bye","2","","","","","5","0.6"
"Rashaad Penny","RB","SEA","3","0","1","1","0","-","-","-","-","-","bye","-","-","-","","","","","5","1.0"
"Derek Watt","RB","PIT","-","0","-","-","1","0","0","2","bye","0","-","1","1","-","","","","","5","0.6"
"Marlon Mack","RB","DEN","-","0","-","0","-","-","-","-","bye","-","-","1","1","3","","","","","5","1.0"
"Shane Zylstra","TE","DET","-","-","0","-","-","bye","-","-","1","1","-","-","1","2","","","","","5","1.0"
"Cole Beasley","WR","TB","-","-","4","1","-","-","-","-","-","-","bye","-","-","-","","","","","5","2.5"
"Velus Jones Jr.","WR","CHI","-","-","-","0","1","1","-","3","-","-","0","0","0","bye","","","","","5","0.7"
"Kevin White","WR","NO","-","-","-","-","-","1","1","0","1","2","-","0","-","bye","","","","","5","0.8"
"Ronnie Rivers","RB","LAR","-","-","-","-","-","1","bye","4","-","-","-","-","-","-","","","","","5","2.5"
"James Mitchell","TE","DET","-","-","-","-","-","bye","-","1","2","1","-","1","-","-","","","","","5","1.3"
"Malik Davis","RB","DAL","-","-","-","-","-","-","-","2","bye","0","3","-","0","-","","","","","5","1.3"
"Jordan Wilkins","RB","IND","-","-","-","-","-","-","-","-","5","0","-","-","-","bye","","","","","5","2.5"
"Stone Smartt","TE","LAC","-","-","-","-","-","-","-","bye","-","-","1","-","3","1","","","","","5","1.7"
"Ty Montgomery","RB","NE","4","-","-","-","-","-","-","-","-","bye","-","-","-","-","","","","","4","4.0"
"Elijah Mitchell","RB","SF","0","-","-","-","-","-","-","-","bye","2","0","2","-","-","","","","","4","1.0"
"Tyler Kroft","TE","SF","2","-","-","-","-","-","-","1","bye","-","-","-","1","0","","","","","4","1.0"
"Chris Conley","WR","TEN","2","-","-","-","-","bye","-","-","1","-","-","-","-","1","","","","","4","1.3"
"Richard Rodgers","TE","LAC","1","-","-","-","-","-","-","bye","2","1","-","-","-","-","","","","","4","1.3"
"Jalen Guyton","WR","LAC","1","-","3","-","-","-","-","bye","-","-","-","-","-","-","","","","","4","2.0"
"Juwann Winfree","WR","GB","1","-","2","-","-","1","-","-","-","-","-","-","-","bye","","","","","4","1.3"
"Simi Fehoko","WR","DAL","3","0","1","-","-","-","-","-","bye","-","-","-","-","-","","","","","4","1.3"
"Stephen Sullivan","TE","CAR","-","1","-","0","-","0","-","2","-","-","-","-","bye","1","","","","","4","0.8"
"Lil'Jordan Humphrey","WR","NE","-","2","1","1","0","-","-","-","-","bye","-","-","-","-","","","","","4","1.0"
"Ihmir Smith-Marsette","WR","CHI","-","0","-","1","2","1","-","-","-","-","-","-","-","bye","","","","","4","1.0"
"Nick Vannett","TE","NYG","-","-","1","-","-","-","-","1","bye","-","-","-","0","2","","","","","4","1.0"
"Jesper Horsted","TE","LV","-","-","0","-","3","bye","-","1","-","-","0","0","-","-","","","","","4","0.8"
"Chris Evans","RB","CIN","-","-","1","1","0","0","0","1","0","bye","-","0","1","-","","","","","4","0.4"
"Kyle Rudolph","TE","TB","-","-","1","-","1","-","1","1","-","-","bye","-","-","-","","","","","4","1.0"
"Tim Jones","WR","JAC","-","-","0","1","-","1","1","-","-","-","bye","0","1","-","","","","","4","0.7"
"Jalen Nailor","WR","MIN","-","-","-","1","-","-","bye","-","-","0","3","0","-","0","","","","","4","0.8"
"Trevon Wesco","TE","CHI","-","-","-","2","-","-","-","0","0","1","-","1","-","bye","","","","","4","0.8"
"Marcedes Lewis","TE","GB","-","-","-","-","1","-","-","-","1","1","-","-","1","bye","","","","","4","1.0"
"Donald Parham Jr.","TE","LAC","-","-","-","-","1","3","-","bye","-","-","-","-","-","-","","","","","4","2.0"
"Malcolm Brown","RB","LAR","-","-","-","-","-","1","bye","0","1","-","-","-","-","2","","","","","4","1.0"
"Spencer Brown","RB","CAR","-","-","-","-","-","-","-","1","3","-","-","-","bye","-","","","","","4","2.0"
"Jalen Virgil","WR","DEN","-","-","-","-","-","-","-","-","bye","1","-","2","0","1","","","","","4","1.0"
"Lance McCutcheon","WR","LAR","-","-","-","-","-","-","bye","-","-","-","-","4","-","0","","","","","4","2.0"
"Austin Trammell","WR","LAR","-","-","-","-","-","-","bye","-","-","-","-","-","2","2","","","","","4","2.0"
"Racey McMath","WR","TEN","-","-","-","-","-","bye","-","-","-","-","-","-","-","4","","","","","4","4.0"
"Demetric Felton Jr.","RB","CLE","1","1","-","-","-","-","-","0","bye","-","-","-","1","0","","","","","3","0.6"
"Ben Ellefson","TE","MIN","1","-","2","-","-","-","bye","-","-","-","-","-","-","-","","","","","3","1.5"
"Michael Burton","RB","KC","0","1","0","-","-","1","0","bye","1","0","0","-","0","0","","","","","3","0.3"
"D'Ernest Johnson","RB","CLE","0","-","-","0","-","2","0","0","bye","1","0","-","-","-","","","","","3","0.4"
"Quintez Cephus","WR","DET","-","0","0","3","-","bye","-","-","-","-","-","-","-","-","","","","","3","1.0"
"Hassan Haskins","RB","TEN","-","1","0","0","0","bye","1","0","1","0","0","0","-","-","","","","","3","0.3"
"Jalen Tolbert","WR","DAL","-","-","2","-","-","-","-","-","bye","0","1","-","-","-","","","","","3","1.0"
"Tanner Conner","WR","MIA","-","-","-","-","1","2","-","-","-","-","bye","-","-","-","","","","","3","1.5"
"Tevin Coleman","RB","SF","-","-","-","-","3","0","-","-","bye","-","-","-","-","-","","","","","3","1.5"
"Luke Farrell","TE","JAC","-","-","-","-","-","1","-","-","1","-","bye","-","1","-","","","","","3","1.0"
"Sean McKeon","TE","DAL","-","-","-","-","-","1","-","-","bye","2","-","-","0","-","","","","","3","1.0"
"Isaiah Spiller","RB","LAC","-","-","-","-","-","-","0","bye","0","0","2","1","-","-","","","","","3","0.6"
"Trayveon Williams","RB","CIN","-","-","-","-","-","-","-","0","-","bye","1","1","0","1","","","","","3","0.6"
"Jameson Williams","WR","DET","-","-","-","-","-","bye","-","-","-","-","-","-","1","2","","","","","3","1.5"
"Deonte Harty","WR","NO","1","1","-","0","0","-","-","-","-","-","-","-","-","bye","","","","","2","0.5"
"Mike Davis","RB","BAL","0","0","-","-","0","-","-","-","1","bye","1","-","-","-","","","","","2","0.4"
"Drew Sample","TE","CIN","1","1","-","-","-","-","-","-","-","bye","-","-","-","-","","","","","2","1.0"
"Miles Boykin","WR","PIT","1","0","0","-","1","0","-","0","bye","-","-","-","-","0","","","","","2","0.3"
"Benny Snell Jr.","RB","PIT","0","-","-","0","-","-","0","-","bye","0","-","1","1","0","","","","","2","0.3"
"KaVontae Turpin","WR","DAL","0","0","0","0","0","1","0","0","bye","1","0","0","0","0","","","","","2","0.2"
"Jaelon Darden","WR","TB","0","0","1","0","0","0","1","0","0","0","bye","0","0","-","","","","","2","0.2"
"Pierre Strong Jr.","RB","NE","-","0","-","-","-","0","-","0","0","bye","0","0","-","2","","","","","2","0.3"
"Tyrion Davis-Price","RB","SF","-","0","-","-","-","-","2","-","bye","-","-","-","-","-","","","","","2","1.0"
"Caleb Huntley","RB","ATL","-","0","-","0","0","0","0","0","0","0","1","1","0","bye","","","","","2","0.2"
"Kendall Blanton","TE","LAR","-","-","1","1","-","-","bye","-","-","-","-","-","-","-","","","","","2","1.0"
"Devin Asiasi","TE","CIN","-","-","-","1","-","0","-","-","1","bye","0","-","-","-","","","","","2","0.5"
"Keith Smith","RB","ATL","-","-","-","1","0","1","-","0","0","0","-","-","0","bye","","","","","2","0.3"
"Mason Schreck","TE","HOU","-","-","-","1","1","bye","-","-","-","-","-","-","-","-","","","","","2","1.0"
"Charlie Woerner","TE","SF","-","-","-","1","0","1","-","-","bye","-","-","0","-","0","","","","","2","0.4"
"Ke'Shawn Vaughn","RB","TB","-","-","-","0","-","0","-","-","1","1","bye","0","-","-","","","","","2","0.4"
"Keith Kirkwood","WR","NO","-","-","-","-","1","1","-","-","-","-","-","-","-","bye","","","","","2","1.0"
"Keaontay Ingram","RB","ARI","-","-","-","-","-","0","2","0","0","0","0","0","bye","0","","","","","2","0.3"
"Jason Moore Jr.","WR","LAC","-","-","-","-","-","-","2","bye","-","-","-","-","-","-","","","","","2","2.0"
"Gus Edwards","RB","BAL","-","-","-","-","-","-","1","0","-","bye","-","1","0","0","","","","","2","0.4"
"Braylon Sanders","WR","MIA","-","-","-","-","-","-","-","2","-","-","bye","-","-","-","","","","","2","2.0"
"Corey Clement","RB","ARI","-","-","-","-","-","-","-","-","-","-","0","1","bye","1","","","","","2","0.7"
"Anthony McFarland Jr.","RB","PIT","-","-","-","-","-","-","-","-","bye","-","-","2","-","-","","","","","2","2.0"
"Julius Chestnut","RB","TEN","-","-","-","-","-","bye","-","-","-","-","-","-","0","2","","","","","2","1.0"
"Stanley Morgan Jr.","WR","CIN","0","-","0","-","1","-","-","-","0","bye","0","0","0","0","","","","","1","0.1"
"Noah Togiai","TE","PHI","1","-","-","-","-","-","bye","-","-","-","-","-","-","-","","","","","1","1.0"
"Kene Nwangwu","RB","MIN","0","0","0","0","0","0","bye","0","0","0","1","0","-","-","","","","","1","0.1"
"Dwayne Washington","RB","NO","-","0","0","-","0","-","0","0","1","-","-","0","-","bye","","","","","1","0.1"
"Adam Prentice","RB","NO","-","1","-","-","-","-","-","-","-","-","-","0","0","bye","","","","","1","0.3"
"Jeremy Ruckert","TE","NYJ","-","1","-","-","-","-","-","-","-","bye","-","-","-","-","","","","","1","1.0"
"Keke Coutee","WR","IND","-","0","-","-","-","0","-","0","0","1","0","-","-","bye","","","","","1","0.2"
"Josh Gordon","WR","TEN","-","1","-","-","-","bye","-","-","-","-","-","-","-","-","","","","","1","1.0"
"Miller Forristall","TE","CLE","-","-","1","-","-","-","-","-","bye","-","-","-","-","-","","","","","1","1.0"
"Jake Tonges","TE","CHI","-","-","1","-","-","-","-","-","-","-","-","-","-","bye","","","","","1","1.0"
"Khari Blasingame","RB","CHI","-","-","0","-","-","0","-","-","-","-","-","1","-","bye","","","","","1","0.3"
"Penny Hart","WR","SEA","-","-","1","-","-","-","-","-","-","-","bye","-","-","-","","","","","1","1.0"
"Jacob Harris","TE","LAR","-","-","0","-","-","-","bye","-","-","-","0","1","-","-","","","","","1","0.3"
"Maurice Alexander","WR","DET","-","-","-","0","0","bye","-","1","-","-","-","-","-","-","","","","","1","0.3"
"Tyron Johnson","WR","HOU","-","-","-","0","-","bye","-","-","1","-","-","-","-","-","","","","","1","0.5"
"Devine Ozigbo","RB","DEN","-","-","-","-","0","-","-","-","bye","-","-","1","-","-","","","","","1","0.5"
"Tanner Gentry","WR","BUF","-","-","-","-","1","-","bye","-","-","-","-","-","-","-","","","","","1","1.0"
"Tommy Sweeney","TE","BUF","-","-","-","-","-","1","bye","-","-","-","-","-","0","-","","","","","1","0.5"
"DJ Turner","WR","LV","-","-","-","-","-","bye","0","0","0","0","0","-","-","1","","","","","1","0.2"
"Mason Kinsey","WR","TEN","-","-","-","-","-","bye","1","-","-","-","-","-","-","-","","","","","1","1.0"
"Jalen Camp","WR","HOU","-","-","-","-","-","bye","-","-","1","-","-","-","-","-","","","","","1","1.0"
"J.J. Taylor","RB","NE","-","-","-","-","-","-","-","-","1","bye","-","-","-","-","","","","","1","1.0"
"C.J. Board","WR","TEN","-","-","-","-","-","bye","-","-","-","0","0","0","1","-","","","","","1","0.3"
"David Johnson","RB","NO","-","-","-","-","-","-","-","-","-","-","1","-","-","bye","","","","","1","1.0"
"Maxx Williams","TE","ARI","-","-","-","-","-","-","-","-","-","-","1","-","bye","-","","","","","1","1.0"
"Darrynton Evans","RB","CHI","-","-","-","-","-","-","-","-","-","-","-","1","0","bye","","","","","1","0.5"
"Ronald Jones II","RB","KC","-","-","-","-","-","-","-","bye","-","-","-","1","-","-","","","","","1","1.0"
"Cody White","WR","PIT","-","-","-","-","-","-","-","-","bye","-","-","1","-","-","","","","","1","1.0"
"Laquon Treadwell","WR","SEA","-","-","-","-","-","-","-","-","-","-","bye","-","1","-","","","","","1","1.0"
"John Brown","WR","BUF","-","-","-","-","-","-","bye","-","-","-","-","-","-","1","","","","","1","1.0"
"James Washington","WR","DAL","-","-","-","-","-","-","-","-","bye","-","-","-","-","1","","","","","1","1.0"
"Taiwan Jones","RB","BUF","0","0","-","-","0","-","bye","-","-","-","-","-","-","0","","","","","0","0.0"
"Damien Williams","RB","ATL","0","-","-","-","-","-","-","-","-","-","-","-","-","bye","","","","","0","0.0"
"Quinton Bell","WR","ATL","0","-","-","-","-","0","-","-","-","-","-","-","0","bye","","","","","0","0.0"
"Justin Hardee","WR","NYJ","0","0","-","0","0","0","0","0","0","bye","0","-","-","0","","","","","0","0.0"
"Jonathan Williams","RB","WAS","0","-","0","0","0","-","-","-","-","-","-","0","0","bye","","","","","0","0.0"
"Jordan Mason","RB","SF","0","0","0","-","0","-","-","-","bye","-","0","0","0","0","","","","","0","0.0"
"Andre Roberts","WR","CAR","0","-","-","-","-","-","-","-","-","-","-","-","bye","-","","","","","0","0.0"
"Jerome Ford","RB","CLE","0","0","0","0","-","-","-","-","bye","0","0","0","0","0","","","","","0","0.0"
"Britain Covey","WR","PHI","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","","","","","0","0.0"
"Trenton Cannon","RB","TEN","0","-","-","-","-","bye","-","-","-","-","-","-","-","-","","","","","0","0.0"
"Jonathan Ward","RB","ARI","0","-","-","-","-","-","-","-","-","-","-","-","bye","-","","","","","0","0.0"
"Rico Dowdle","RB","DAL","0","0","-","-","-","-","-","-","bye","-","-","-","-","-","","","","","0","0.0"
"Qadree Ollison","RB","DAL","0","-","-","-","-","-","-","-","bye","0","-","-","-","-","","","","","0","0.0"
"Jermar Jefferson","RB","DET","0","-","-","-","-","bye","-","-","-","-","-","-","-","-","","","","","0","0.0"
"Giovani Bernard","RB","TB","-","0","-","-","-","-","-","-","-","-","bye","-","-","-","","","","","0","0.0"
"Kenny Yeboah","TE","NYJ","-","0","-","-","-","-","-","-","-","bye","-","-","-","0","","","","","0","0.0"
"Raleigh Webb","WR","NE","-","0","-","-","-","-","-","-","-","bye","-","-","-","0","","","","","0","0.0"
"Zamir White","RB","LV","-","0","-","0","0","bye","0","-","0","0","-","0","0","0","","","","","0","0.0"
"Brandin Bryant","RB","BUF","-","0","-","0","-","-","bye","-","-","-","-","-","-","-","","","","","0","0.0"
"Chester Rogers","WR","CLE","-","-","0","-","0","0","-","-","bye","-","-","-","-","-","","","","","0","0.0"
"Hunter Long","TE","MIA","-","-","0","-","-","0","-","0","-","-","bye","-","-","-","","","","","0","0.0"
"Cody Thompson","WR","SEA","-","-","0","-","-","-","-","-","-","-","bye","-","-","-","","","","","0","0.0"
