"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Robert Woods","WR","TEN","2","5","9","4","8","bye","4","2","2","7","7","6","5","7","","","","","68","5.2"
"Jerry Jeudy","WR","DEN","7","3","6","5","8","7","11","7","bye","1","-","-","4","9","","","","","68","6.2"
"Jakobi Meyers","WR","NE","6","13","-","-","8","4","2","13","6","bye","6","4","5","-","","","","","67","6.7"
"Tyler Boyd","WR","CIN","7","2","5","5","4","6","9","5","6","bye","7","4","5","1","","","","","66","5.1"
"Nico Collins","WR","HOU","3","9","4","5","6","bye","3","-","-","10","7","9","10","-","","","","","66","6.6"
"Mike Williams","WR","LAC","4","10","6","11","13","6","9","bye","-","-","1","-","-","6","","","","","66","7.3"
"George Pickens","WR","PIT","3","2","7","8","8","6","6","3","bye","4","6","6","2","3","","","","","64","4.9"
"Leonard Fournette","RB","TB","2","4","6","7","11","6","3","3","7","1","bye","-","7","7","","","","","64","5.3"
"Hayden Hurst","TE","CIN","8","7","2","4","7","3","8","4","5","bye","3","9","3","-","","","","","63","5.3"
"Dalton Schultz","TE","DAL","9","4","-","3","1","-","5","7","bye","8","5","4","6","10","","","","","62","5.6"
"Darnell Mooney","WR","CHI","3","2","6","5","5","12","6","5","8","4","5","-","-","bye","","","","","61","5.5"
"David Njoku","TE","CLE","1","5","10","7","6","6","7","-","bye","-","3","7","-","9","","","","","61","6.1"
"Marquez Valdes-Scantling","WR","KC","4","7","7","5","8","3","4","bye","1","4","4","5","6","3","","","","","61","4.7"
"Alec Pierce","WR","IND","2","-","5","6","9","7","4","5","2","2","8","2","8","bye","","","","","60","5.0"
"Kyle Pitts","TE","ATL","7","3","8","4","-","3","5","9","7","8","5","-","-","bye","","","","","59","5.9"
"George Kittle","TE","SF","-","-","5","4","6","10","9","5","bye","2","6","4","3","5","","","","","59","5.4"
"Ben Skowronek","WR","LAR","6","3","4","3","8","5","bye","1","2","7","4","4","3","8","","","","","58","4.5"
"Marvin Jones Jr.","WR","JAC","6","5","7","1","11","-","8","3","6","3","bye","3","4","1","","","","","58","4.8"
"Aaron Jones","RB","GB","5","3","4","4","3","4","10","5","2","2","7","4","5","bye","","","","","58","4.5"
"K.J. Osborn","WR","MIN","4","2","8","2","5","5","bye","5","2","11","3","2","3","5","","","","","57","4.4"
"Demarcus Robinson","WR","BAL","4","2","1","3","2","5","-","8","4","bye","9","4","8","6","","","","","56","4.7"
"Robert Tonyan","TE","GB","5","2","7","2","4","12","4","6","4","1","4","3","2","bye","","","","","56","4.3"
"Rondale Moore","WR","ARI","-","-","-","5","8","10","2","8","10","13","0","-","bye","-","","","","","56","7.0"
"Isaiah McKenzie","WR","BUF","3","3","9","6","-","5","bye","1","3","4","1","10","5","5","","","","","55","4.6"
"Joe Mixon","RB","CIN","9","4","7","4","3","6","3","9","5","bye","3","-","-","2","","","","","55","5.0"
"DeAndre Carter","WR","LAC","4","3","4","3","2","5","7","bye","6","4","3","10","2","2","","","","","55","4.2"
"Darius Slayton","WR","NYG","-","-","-","2","7","3","6","6","bye","4","10","6","8","3","","","","","55","5.5"
"Michael Gallup","WR","DAL","-","-","-","3","5","7","2","6","bye","7","4","8","7","6","","","","","55","5.5"
"Saquon Barkley","RB","NYG","7","4","4","2","6","3","4","5","bye","1","5","6","5","2","","","","","54","4.2"
"Dallas Goedert","TE","PHI","4","6","4","6","9","6","bye","6","9","3","-","-","-","-","","","","","53","5.9"
"Noah Brown","WR","DAL","9","5","7","6","2","3","7","-","bye","4","2","0","2","6","","","","","53","4.4"
"Allen Robinson II","WR","LAR","2","5","5","6","5","6","bye","7","5","6","5","-","-","-","","","","","52","5.2"
"Elijah Moore","WR","NYJ","7","5","9","4","4","0","0","1","-","bye","4","2","6","10","","","","","52","4.3"
"Josh Reynolds","WR","DET","3","3","10","8","10","bye","2","6","-","-","-","-","4","6","","","","","52","5.8"
"Josh Jacobs","RB","LV","1","1","5","6","5","bye","4","4","3","8","4","7","2","2","","","","","52","4.0"
"Antonio Gibson","RB","WAS","8","4","1","3","4","4","4","7","3","3","3","3","4","bye","","","","","51","3.9"
"Chris Moore","WR","HOU","3","4","3","2","-","bye","4","-","5","6","7","3","3","11","","","","","51","4.6"
"Jerick McKinnon","RB","KC","4","2","1","1","3","3","3","bye","8","8","1","6","2","9","","","","","51","3.9"
"Dawson Knox","TE","BUF","2","5","4","6","-","3","bye","3","4","6","7","2","1","7","","","","","50","4.2"
"Cole Kmet","TE","CHI","1","1","3","3","4","3","3","2","6","7","4","6","7","bye","","","","","50","3.8"
"Romeo Doubs","WR","GB","5","3","8","8","5","9","4","7","1","-","-","-","-","bye","","","","","50","5.6"
"Cade Otton","TE","TB","0","2","-","4","7","3","5","5","6","3","bye","0","10","5","","","","","50","4.2"
"Juwan Johnson","TE","NO","5","7","1","4","2","6","5","4","2","7","4","2","-","bye","","","","","49","4.1"
"Keenan Allen","WR","LAC","4","-","-","-","-","-","2","bye","-","-","8","7","14","14","","","","","49","8.2"
"Corey Davis","WR","NYJ","10","4","5","6","4","4","1","-","-","bye","-","3","10","1","","","","","48","4.8"
"Kalif Raymond","WR","DET","2","0","1","5","7","bye","6","4","3","3","7","6","2","2","","","","","48","3.7"
"Richie James Jr.","WR","NYG","6","6","5","3","2","2","2","0","bye","-","3","6","3","9","","","","","47","3.9"
"Rachaad White","RB","TB","2","2","0","5","4","4","2","3","3","0","bye","9","8","5","","","","","47","3.6"
"Noah Fant","TE","SEA","4","2","4","1","5","7","3","2","6","4","bye","3","5","1","","","","","47","3.6"
"Devin Duvernay","WR","BAL","4","2","2","5","7","5","3","4","1","bye","1","5","6","1","","","","","46","3.5"
"Samaje Perine","RB","CIN","5","1","2","1","4","2","2","3","2","bye","4","7","7","5","","","","","45","3.5"
"Nelson Agholor","WR","NE","5","6","3","4","1","-","1","1","-","bye","3","8","3","10","","","","","45","4.1"
"D'Andre Swift","RB","DET","3","5","4","-","-","bye","-","5","4","3","3","8","6","4","","","","","45","4.5"
"Foster Moreau","TE","LV","-","4","4","-","-","bye","5","9","5","4","3","7","3","1","","","","","45","4.5"
"Greg Dulcich","TE","DEN","-","-","-","-","-","3","9","5","bye","4","5","3","8","8","","","","","45","5.6"
"Devin Singletary","RB","BUF","2","3","11","5","2","5","bye","2","5","2","2","1","2","2","","","","","44","3.4"
"Olamide Zaccheaus","WR","ATL","4","2","2","2","4","4","4","1","2","4","2","8","5","bye","","","","","44","3.4"
"Dalvin Cook","RB","MIN","5","6","0","2","2","1","bye","6","6","5","1","5","3","2","","","","","44","3.4"
"Jauan Jennings","WR","SF","6","2","3","4","2","3","4","-","bye","4","2","7","4","2","","","","","43","3.6"
"Austin Hooper","TE","TEN","2","5","2","1","1","bye","3","1","3","7","4","4","5","5","","","","","43","3.3"
"Russell Gage","WR","TB","2","6","13","4","6","4","5","-","-","-","bye","-","1","2","","","","","43","4.8"
"Michael Carter","RB","NYJ","9","5","2","3","2","1","2","7","1","bye","2","2","-","6","","","","","42","3.5"
"Trent Sherfield","WR","MIA","2","2","1","6","2","4","3","2","3","5","bye","5","3","4","","","","","42","3.2"
"Hunter Henry","TE","NE","3","1","1","4","5","7","2","1","4","bye","1","5","5","3","","","","","42","3.2"
"James Conner","RB","ARI","6","4","5","3","1","-","-","-","5","3","5","3","bye","7","","","","","42","4.2"
"Robbie Anderson","WR","ARI","8","5","4","5","5","-","1","3","3","-","-","3","bye","4","","","","","41","4.1"
"Nick Westbrook-Ikhine","WR","TEN","2","4","3","-","3","bye","2","0","1","8","2","6","2","8","","","","","41","3.4"
"Tony Pollard","RB","DAL","2","7","1","3","0","3","2","1","bye","6","6","2","3","5","","","","","41","3.2"
"Najee Harris","RB","PIT","2","6","3","0","4","3","4","6","bye","1","6","1","1","3","","","","","40","3.1"
"DeVante Parker","WR","NE","2","2","10","2","0","6","5","1","-","bye","2","4","4","2","","","","","40","3.3"
"J.D. McKissic","RB","WAS","3","7","9","4","7","3","2","5","-","-","-","-","-","bye","","","","","40","5.0"
"Logan Thomas","TE","WAS","6","5","3","6","-","-","-","-","3","4","6","3","4","bye","","","","","40","4.4"
"Christian Watson","WR","GB","4","3","-","3","1","-","-","1","2","8","6","6","6","bye","","","","","40","4.0"
"Randall Cobb","WR","GB","3","3","2","4","13","1","-","-","-","-","6","4","4","bye","","","","","40","4.4"
"Mike Gesicki","TE","MIA","1","4","1","4","2","7","7","4","2","3","bye","1","1","2","","","","","39","3.0"
"Dameon Pierce","RB","HOU","1","1","2","6","5","bye","4","5","0","3","3","6","3","0","","","","","39","3.0"
"Jonathan Taylor","RB","IND","7","1","5","3","-","-","8","1","-","2","4","4","4","bye","","","","","39","3.9"
"Greg Dortch","WR","ARI","9","4","10","1","0","0","1","3","1","0","10","-","bye","0","","","","","39","3.3"
"Julio Jones","WR","TB","5","-","-","2","-","-","-","4","5","5","bye","4","6","8","","","","","39","4.9"
"Jarvis Landry","WR","NO","9","5","5","2","-","-","-","-","-","6","4","4","3","bye","","","","","38","4.8"
