"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Cooper Kupp","WR","LAR","2018",4,4,"ppr","1","9","11","162","18.0","70","5","2","0","0","0","0","1","37.2","37.2","82.7%"
"2","Golden Tate","WR","FA","2018",4,4,"ppr","2","8","8","132","16.5","45","7","2","0","0","0","0","1","33.2","33.2","0.0%"
"3","DeAndre Hopkins","WR","ARI","2018",4,4,"ppr","3","10","12","169","16.9","30","6","1","0","0","0","0","1","32.9","32.9","98.4%"
"4","Corey Davis","WR","NYJ","2018",4,4,"ppr","4","9","15","161","17.9","51","7","1","0","0","0","0","1","31.1","31.1","17.1%"
"5","Taylor Gabriel","WR","FA","2018",4,4,"ppr","5","7","7","104","14.9","33","4","2","1","10","0","0","1","30.4","30.4","0.1%"
"6","Adam Thielen","WR","MIN","2018",4,4,"ppr","6","8","12","135","16.9","45","4","1","0","0","0","0","1","27.5","27.5","90.7%"
"7","Amari Cooper","WR","CLE","2018",4,4,"ppr","7","8","11","128","16.0","36","4","1","0","0","0","0","1","26.8","26.8","96.2%"
"8","Julio Jones","WR","TB","2018",4,4,"ppr","8","9","12","173","19.2","49","4","0","0","0","0","0","1","26.3","26.3","18.9%"
"9","Sterling Shepard","WR","NYG","2018",4,4,"ppr","9","10","10","77","7.7","23","1","1","0","0","0","0","1","25.7","25.7","1.3%"
"10","Brandin Cooks","WR","HOU","2018",4,4,"ppr","10","7","8","116","16.6","47","4","1","1","10","0","0","1","25.6","25.6","64.4%"
"11","Alshon Jeffery","WR","FA","2018",4,4,"ppr","11","8","9","105","13.1","31","2","1","0","0","0","0","1","24.5","24.5","0.0%"
"12","Stefon Diggs","WR","BUF","2018",4,4,"ppr","12","11","15","123","11.2","34","3","0","0","0","0","0","1","23.3","23.3","100.0%"
"13","Donte Moncrief","WR","FA","2018",4,4,"ppr","13","5","5","109","21.8","67","4","1","0","0","0","0","1","21.9","21.9","0.0%"
"14","Keke Coutee","WR","FA","2018",4,4,"ppr","14","11","15","109","9.9","19","0","0","2","-2","0","0","1","21.7","21.7","0.0%"
"15","Calvin Ridley","WR","JAC","2018",4,4,"ppr","15","4","6","54","13.5","30","2","2","1","1","0","0","1","21.5","21.5","1.6%"
"16","Robert Woods","WR","TEN","2018",4,4,"ppr","16","5","5","101","20.2","36","4","1","0","0","0","0","1","21.1","21.1","44.0%"
"17","Dede Westbrook","WR","FA","2018",4,4,"ppr","17","9","13","130","14.4","27","4","0","1","11","0","1","1","21.1","21.1","0.0%"
"18","Tyler Boyd","WR","CIN","2018",4,4,"ppr","18","11","15","100","9.1","13","0","0","0","0","0","0","1","21.0","21.0","74.0%"
"19","John Brown","WR","BUF","2018",4,4,"ppr","19","3","7","116","38.7","71","6","1","1","3","0","0","1","20.9","20.9","0.1%"
"20","Chester Rogers","WR","FA","2018",4,4,"ppr","20","8","11","85","10.6","22","1","0","0","0","0","0","1","18.5","18.5","0.0%"
"21","A.J. Green","WR","ARI","2018",4,4,"ppr","21","4","8","78","19.5","38","2","1","0","0","0","0","1","17.8","17.8","1.7%"
"22","Jordy Nelson","WR","FA","2018",4,4,"ppr","22","5","8","48","9.6","19","0","1","0","0","0","0","1","17.8","17.8","0.1%"
"23","Zach Pascal","WR","PHI","2018",4,4,"ppr","23","6","10","56","9.3","18","0","1","0","0","0","0","1","17.6","17.6","0.1%"
"24","Aldrick Robinson","WR","FA","2018",4,4,"ppr","24","2","2","33","16.5","17","0","2","0","0","0","0","1","17.3","17.3","0.0%"
"25","Antonio Brown","WR","FA","2018",4,4,"ppr","25","5","11","62","12.4","26","1","1","0","0","0","0","1","17.2","17.2","0.2%"
"26","Mohamed Sanu Sr.","WR","FA","2018",4,4,"ppr","26","6","9","111","18.5","36","4","0","0","0","0","0","1","17.1","17.1","0.0%"
"27","DeSean Jackson","WR","BAL","2018",4,4,"ppr","27","5","8","112","22.4","48","6","0","0","0","0","0","1","16.2","16.2","0.9%"
"28","Davante Adams","WR","LV","2018",4,4,"ppr","28","8","14","81","10.1","25","1","0","0","0","0","0","1","16.1","16.1","100.0%"
"29","Phillip Dorsett II","WR","HOU","2018",4,4,"ppr","29","4","7","55","13.8","20","1","1","0","0","0","0","1","15.5","15.5","0.7%"
"30","T.Y. Hilton","WR","DAL","2018",4,4,"ppr","30","4","6","115","28.8","42","6","0","0","0","0","0","1","15.5","15.5","3.8%"
"31","William Fuller V","WR","FA","2018",4,4,"ppr","31","4","5","49","12.3","22","1","1","0","0","0","0","1","14.9","14.9","0.1%"
"32","Taywan Taylor","WR","FA","2018",4,4,"ppr","32","7","9","77","11.0","19","0","0","0","0","0","0","1","14.7","14.7","0.0%"
"33","Tyreek Hill","WR","MIA","2018",4,4,"ppr","33","9","13","54","6.0","15","0","0","1","2","0","0","1","14.6","14.6","100.0%"
"34","Geronimo Allison","WR","FA","2018",4,4,"ppr","34","6","11","80","13.3","27","1","0","0","0","0","0","1","14.0","14.0","0.0%"
"35","Odell Beckham Jr.","WR","FA","2018",4,4,"ppr","35","7","11","60","8.6","27","1","0","1","10","0","0","1","14.0","14.0","19.2%"
"36","Jarvis Landry","WR","NO","2018",4,4,"ppr","36","4","10","34","8.5","15","0","1","0","0","0","0","1","13.4","13.4","21.3%"
"37","Keenan Allen","WR","LAC","2018",4,4,"ppr","37","7","10","63","9.0","18","0","0","0","0","0","0","1","13.3","13.3","98.1%"
"38","John Ross","WR","FA","2018",4,4,"ppr","38","2","2","52","26.0","39","2","1","0","0","0","0","1","13.2","13.2","0.0%"
"39","Jordan Matthews","WR","SF","2018",4,4,"ppr","39","1","3","56","56.0","56","4","1","0","0","0","0","1","12.6","12.6","0.0%"
"40","Kendrick Bourne","WR","NE","2018",4,4,"ppr","40","3","4","34","11.3","17","0","1","0","0","0","0","1","12.4","12.4","1.0%"
"41","Mike Evans","WR","TB","2018",4,4,"ppr","41","6","9","59","9.8","17","0","0","0","0","0","0","1","11.9","11.9","98.6%"
"42","Willie Snead IV","WR","SF","2018",4,4,"ppr","42","6","7","56","9.3","14","0","0","0","0","0","0","1","11.6","11.6","0.0%"
"43","Ryan Grant","WR","FA","2018",4,4,"ppr","43","5","7","64","12.8","23","1","0","0","0","0","0","1","11.4","11.4","0.0%"
"44","Kenny Golladay","WR","NYG","2018",4,4,"ppr","44","4","4","74","18.5","22","2","0","0","0","0","0","1","11.4","11.4","6.7%"
"45","Emmanuel Sanders","WR","FA","2018",4,4,"ppr","45","5","7","45","9.0","17","0","0","1","18","0","0","1","11.3","11.3","0.0%"
"46","Tajae Sharpe","WR","FA","2018",4,4,"ppr","46","2","3","27","13.5","16","0","1","0","0","0","0","1","10.7","10.7","0.0%"
"47","Quincy Enunwa","WR","FA","2018",4,4,"ppr","47","4","8","66","16.5","42","3","0","0","0","0","0","1","10.6","10.6","0.0%"
"48","Allen Robinson II","WR","LAR","2018",4,4,"ppr","48","2","4","23","11.5","14","0","1","0","0","0","0","1","10.3","10.3","36.3%"
"49","Tyler Lockett","WR","SEA","2018",4,4,"ppr","49","5","6","53","10.6","13","0","0","0","0","0","0","1","10.3","10.3","94.8%"
"50","Ryan Switzer","WR","FA","2018",4,4,"ppr","50","7","7","32","4.6","11","0","0","1","1","0","0","1","10.3","10.3","0.0%"
"51","Rashard Higgins","WR","CAR","2018",4,4,"ppr","51","4","5","61","15.3","23","2","0","0","0","0","0","1","10.1","10.1","0.1%"
"52","JuJu Smith-Schuster","WR","KC","2018",4,4,"ppr","52","4","11","60","15.0","38","2","0","0","0","0","0","1","10.0","10.0","93.5%"
"53","Adam Humphries","WR","FA","2018",4,4,"ppr","53","6","7","36","6.0","11","0","0","0","0","0","0","1","9.6","9.6","1.0%"
"54","Cole Beasley","WR","BUF","2018",4,4,"ppr","54","4","5","53","13.3","19","0","0","0","0","0","0","1","9.3","9.3","1.5%"
"55","Chad Williams","WR","FA","2018",4,4,"ppr","55","1","3","22","22.0","22","1","1","0","0","0","0","1","9.2","9.2","0.0%"
"56","Pierre Garcon","WR","FA","2018",4,4,"ppr","56","4","7","52","13.0","23","1","0","0","0","0","0","1","9.2","9.2","0.0%"
"57","Doug Baldwin","WR","FA","2018",4,4,"ppr","57","5","7","41","8.2","18","0","0","0","0","0","0","1","9.1","9.1","0.0%"
"58","Josh Bellamy","WR","FA","2018",4,4,"ppr","58","1","1","20","20.0","20","1","1","0","0","0","0","1","9.0","9.0","0.0%"
"59","Laquon Treadwell","WR","SEA","2018",4,4,"ppr","59","4","7","47","11.8","19","0","0","0","0","0","0","1","8.7","8.7","0.0%"
"60","Michael Thomas","WR","NO","2018",4,4,"ppr","60","4","4","47","11.8","15","0","0","0","0","0","0","1","8.7","8.7","26.7%"
"61","Marvin Jones Jr.","WR","JAC","2018",4,4,"ppr","61","3","6","56","18.7","34","2","0","0","0","0","0","1","8.6","8.6","13.1%"
"62","Antonio Callaway","WR","DAL","2018",4,4,"ppr","62","3","9","54","18.0","59","4","0","0","0","0","0","1","8.4","8.4","0.0%"
"63","Courtland Sutton","WR","DEN","2018",4,4,"ppr","63","3","6","51","17.0","42","3","0","0","0","0","0","1","8.1","8.1","80.1%"
"64","Martavis Bryant","WR","FA","2018",4,4,"ppr","64","3","7","51","17.0","28","2","0","0","0","0","0","1","8.1","8.1","0.0%"
"65","Tyrell Williams","WR","FA","2018",4,4,"ppr","65","3","5","48","16.0","24","2","0","0","0","0","0","1","7.8","7.8","0.0%"
"66","Zay Jones","WR","JAC","2018",4,4,"ppr","66","4","7","38","9.5","15","0","0","0","0","0","0","1","7.8","7.8","61.7%"
"67","Christian Kirk","WR","JAC","2018",4,4,"ppr","67","4","5","28","7.0","11","0","0","1","7","0","0","1","7.5","7.5","94.9%"
"68","Nelson Agholor","WR","NE","2018",4,4,"ppr","68","5","12","22","4.4","10","0","0","0","0","0","0","1","7.2","7.2","3.8%"
"69","Kenny Stills","WR","FA","2018",4,4,"ppr","69","3","6","40","13.3","22","1","0","0","0","0","0","1","7.0","7.0","0.0%"
"70","Michael Gallup","WR","DAL","2018",4,4,"ppr","70","2","5","45","22.5","37","2","0","0","0","0","0","1","6.5","6.5","65.8%"
"71","Demaryius Thomas","WR","FA","2018",4,4,"ppr","71","4","7","24","6.0","12","0","0","0","0","0","0","1","6.4","6.4","0.1%"
"72","Cameron Meredith","WR","FA","2018",4,4,"ppr","72","3","4","32","10.7","20","1","0","0","0","0","0","1","6.2","6.2","0.0%"
"73","Albert Wilson","WR","LV","2018",4,4,"ppr","73","4","6","19","4.8","13","0","0","1","2","0","0","1","6.1","6.1","0.0%"
"74","Allen Hurns","WR","FA","2018",4,4,"ppr","74","3","5","30","10.0","12","0","0","0","0","0","0","1","6.0","6.0","0.0%"
"75","Michael Crabtree","WR","FA","2018",4,4,"ppr","75","3","8","29","9.7","13","0","0","0","0","0","0","1","5.9","5.9","0.0%"
"76","David Moore","WR","FA","2018",4,4,"ppr","76","2","2","39","19.5","30","2","0","0","0","0","0","1","5.9","5.9","0.0%"
"77","Larry Fitzgerald","WR","FA","2018",4,4,"ppr","77","3","7","28","9.3","16","0","0","0","0","0","0","1","5.8","5.8","0.1%"
"78","Chris Conley","WR","TEN","2018",4,4,"ppr","78","4","6","13","3.3","5","0","0","0","0","0","0","1","5.3","5.3","0.1%"
"79","Josh Gordon","WR","FA","2018",4,4,"ppr","79","2","2","32","16.0","19","0","0","0","0","0","0","1","5.2","5.2","0.1%"
"80","Demarcus Robinson","WR","BAL","2018",4,4,"ppr","80","2","3","31","15.5","23","1","0","0","0","0","0","1","5.1","5.1","11.1%"
"81","Marquez Valdes-Scantling","WR","KC","2018",4,4,"ppr","81","1","3","38","38.0","38","2","0","0","0","0","0","1","4.8","4.8","45.8%"
"82","Marquise Goodwin","WR","SEA","2018",4,4,"ppr","82","2","4","24","12.0","20","1","0","1","4","0","0","1","4.8","4.8","2.0%"
"83","Kelvin Benjamin","WR","FA","2018",4,4,"ppr","83","1","6","34","34.0","34","2","0","0","0","0","0","1","4.4","4.4","0.1%"
"84","Marcus Johnson","WR","NYG","2018",4,4,"ppr","84","2","3","24","12.0","16","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"85","Jermaine Kearse","WR","FA","2018",4,4,"ppr","85","2","5","23","11.5","12","0","0","0","0","0","0","1","4.3","4.3","0.0%"
"86","Chris Godwin","WR","TB","2018",4,4,"ppr","86","2","2","22","11.0","11","0","0","0","0","0","0","1","4.2","4.2","96.0%"
"87","Danny Amendola","WR","FA","2018",4,4,"ppr","87","2","3","21","10.5","18","0","0","0","0","0","0","1","4.1","4.1","0.0%"
"88","Robbie Anderson","WR","ARI","2018",4,4,"ppr","88","2","6","18","9.0","12","0","0","0","0","0","0","1","3.8","3.8","6.7%"
"89","Jakeem Grant Sr.","WR","CLE","2018",4,4,"ppr","89","2","2","17","8.5","9","0","0","0","0","0","0","1","3.7","3.7","0.0%"
"90","Keelan Cole Sr.","WR","LV","2018",4,4,"ppr","90","2","3","15","7.5","9","0","0","0","0","0","0","1","3.5","3.5","0.1%"
"91","Chris Hogan","WR","FA","2018",4,4,"ppr","91","1","1","25","25.0","25","1","0","0","0","0","0","1","3.5","3.5","0.0%"
"92","Seth Roberts","WR","FA","2018",4,4,"ppr","92","2","3","12","6.0","9","0","0","0","0","0","0","1","3.2","3.2","0.0%"
"93","Trent Taylor","WR","CIN","2018",4,4,"ppr","93","2","3","12","6.0","7","0","0","0","0","0","0","1","3.2","3.2","0.1%"
"94","Chris Moore","WR","HOU","2018",4,4,"ppr","94","1","1","19","19.0","19","0","0","1","3","0","0","1","3.2","3.2","14.6%"
"95","De'Anthony Thomas","WR","FA","2018",4,4,"ppr","95","1","2","15","15.0","15","0","0","1","6","0","0","1","3.1","3.1","0.0%"
"96","James Washington","WR","DAL","2018",4,4,"ppr","96","2","4","10","5.0","6","0","0","0","0","0","0","1","3.0","3.0","0.7%"
"97","Andre Holmes","WR","FA","2018",4,4,"ppr","97","2","3","8","4.0","5","0","0","0","0","0","0","1","2.8","2.8","0.0%"
"98","Alex Erickson","WR","WAS","2018",4,4,"ppr","98","1","2","8","8.0","8","0","0","1","8","0","0","1","2.6","2.6","0.0%"
"99","Mike Williams","WR","LAC","2018",4,4,"ppr","99","1","3","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","95.8%"
"100","Tim White","WR","FA","2018",4,4,"ppr","100","1","1","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"101","Kamar Aiken","WR","FA","2018",4,4,"ppr","101","1","1","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"102","Sammie Coates","WR","FA","2018",4,4,"ppr","102","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"103","Justin Hardee","WR","NYJ","2018",4,4,"ppr","103","1","1","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"104","Russell Shepard","WR","FA","2018",4,4,"ppr","104","1","3","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"105","Jamal Agnew","WR","JAC","2018",4,4,"ppr","105","0","0","0","0","0","0","0","1","17","0","0","1","1.7","1.7","0.4%"
"106","DJ Chark Jr.","WR","DET","2018",4,4,"ppr","106","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","40.6%"
"107","Darius Jennings","WR","FA","2018",4,4,"ppr","107","1","2","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"108","Brandon Marshall","WR","FA","2018",4,4,"ppr","108","1","3","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","2.6%"
"109","Justin Hardy","WR","FA","2018",4,4,"ppr","109","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"110","J.J. Nelson","WR","FA","2018",4,4,"ppr","110","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"111","Travis Benjamin","WR","FA","2018",4,4,"ppr","111","1","1","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"112","Marvin Hall","WR","FA","2018",4,4,"ppr","112","1","1","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"113","Tavon Austin","WR","FA","2018",4,4,"ppr","113","0","1","0","0","0","0","0","1","7","0","0","1","0.7","0.7","0.0%"
"114","Ted Ginn Jr.","WR","FA","2018",4,4,"ppr","114","0","3","0","0","0","0","0","1","1","0","0","1","0.1","0.1","0.0%"
"115","KhaDarel Hodge","WR","ATL","2018",4,4,"ppr","115","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"116","Derrick Willies","WR","FA","2018",4,4,"ppr","116","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"117","Russell Gage","WR","TB","2018",4,4,"ppr","117","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","17.4%"
"118","Jawill Davis","WR","FA","2018",4,4,"ppr","118","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"119","Trent Sherfield","WR","MIA","2018",4,4,"ppr","119","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.5%"
"120","Justin Watson","WR","KC","2018",4,4,"ppr","120","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"121","Deonte Thompson","WR","FA","2018",4,4,"ppr","121","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"122","Rod Streater","WR","FA","2018",4,4,"ppr","122","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"123","Terrelle Pryor Sr.","WR","FA","2018",4,4,"ppr","123","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","Jaron Brown","WR","FA","2018",4,4,"ppr","124","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"125","T.J. Jones","WR","FA","2018",4,4,"ppr","125","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"126","Sammy Watkins","WR","GB","2018",4,4,"ppr","126","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.4%"
"127","Nick Williams","WR","FA","2018",4,4,"ppr","127","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"128","Matthew Slater","WR","NE","2018",4,4,"ppr","128","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"129","Brandon Tate","WR","FA","2018",4,4,"ppr","129","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"130","Darrius Heyward-Bey","WR","FA","2018",4,4,"ppr","130","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"131","Andre Roberts","WR","CAR","2018",4,4,"ppr","131","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"132","Tim Patrick","WR","DEN","2018",4,4,"ppr","132","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"133","Josh Malone","WR","FA","2018",4,4,"ppr","133","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"134","Austin Carr","WR","FA","2018",4,4,"ppr","134","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"135","Shelton Gibson","WR","FA","2018",4,4,"ppr","135","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"136","Josh Reynolds","WR","DET","2018",4,4,"ppr","136","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","6.3%"
"137","Jaydon Mickens","WR","NYG","2018",4,4,"ppr","137","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"138","Brandon Zylstra","WR","DET","2018",4,4,"ppr","138","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"139","Tre'Quan Smith","WR","NO","2018",4,4,"ppr","139","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.5%"
"140","Ray-Ray McCloud","WR","SF","2018",4,4,"ppr","140","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"141","DaeSean Hamilton","WR","MIA","2018",4,4,"ppr","141","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"142","Robert Foster","WR","IND","2018",4,4,"ppr","142","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"143","Javon Wims","WR","ARI","2018",4,4,"ppr","143","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"144","J'Mon Moore","WR","FA","2018",4,4,"ppr","144","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"145","Dante Pettis","WR","CHI","2018",4,4,"ppr","145","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"146","Marcus Kemp","WR","KC","2018",4,4,"ppr","146","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"147","Ty Montgomery","WR","NE","2018",4,4,"ppr","147","2","3","56","28.0","43","3","0","5","18","0","0","1","0.0","0.0","0.5%"
"148","Kevin White","WR","NO","2018",4,4,"ppr","148","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"149","Cody Core","WR","FA","2018",4,4,"ppr","149","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"150","Geremy Davis","WR","FA","2018",4,4,"ppr","150","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"151","DeAndre Carter","WR","LAC","2018",4,4,"ppr","151","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","14.3%"
"152","Dwayne Harris","WR","FA","2018",4,4,"ppr","152","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.0%"
