"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Davante Adams","WR","GB","17","3","-","-","bye","10","16","11","12","12","9","9","12","10","10","12","6","149","10.6"
"Keenan Allen","WR","LAC","8","10","19","11","2","bye","13","12","11","7","19","10","11","11","3","-","-","147","10.5"
"Stefon Diggs","WR","BUF","9","13","6","7","16","8","11","9","12","10","bye","9","10","14","13","11","8","166","10.4"
"DeAndre Hopkins","WR","ARI","16","9","12","9","7","8","12","bye","3","12","8","7","13","11","11","12","10","160","10.0"
"Travis Kelce","TE","KC","6","14","7","7","12","7","3","12","12","bye","10","8","12","10","12","13","-","145","9.7"
"Diontae Johnson","WR","PIT","10","13","2","bye","1","-","15","3","10","11","16","13","12","7","13","14","4","144","9.6"
"Calvin Ridley","WR","ATL","12","10","13","5","10","7","7","4","-","bye","9","9","10","12","14","9","12","143","9.5"
"Allen Robinson II","WR","CHI","9","9","13","10","16","9","4","7","9","9","bye","13","7","13","5","13","5","151","9.4"
"Darren Waller","TE","LV","8","16","4","11","7","bye","9","6","10","5","7","7","17","10","12","6","10","145","9.1"
"Tyreek Hill","WR","KC","6","11","6","6","6","3","10","6","18","bye","14","15","11","7","10","6","-","135","9.0"
"Terry McLaurin","WR","WAS","7","10","8","14","7","12","11","bye","8","9","7","9","6","6","12","-","8","134","8.9"
"Robbie Anderson","WR","CAR","8","10","5","11","12","5","8","8","13","6","9","7","bye","12","5","10","7","136","8.5"
"Tyler Lockett","WR","SEA","8","8","13","4","5","bye","20","5","7","9","9","4","9","5","7","5","14","132","8.3"
"Cooper Kupp","WR","LAR","5","6","10","7","8","9","6","20","bye","7","13","5","9","5","5","9","-","124","8.3"
"DK Metcalf","WR","SEA","8","6","8","6","11","bye","5","15","9","4","5","13","8","8","6","8","9","129","8.1"
"Robert Woods","WR","LAR","8","5","6","7","5","10","5","8","bye","6","15","12","11","8","7","9","7","129","8.1"
"Amari Cooper","WR","DAL","14","9","12","16","4","10","7","5","6","bye","7","8","9","5","3","6","9","130","8.1"
"JuJu Smith-Schuster","WR","PIT","6","8","5","bye","5","4","14","8","7","13","5","9","10","7","6","13","8","128","8.0"
"Brandon Aiyuk","WR","SF","-","3","8","5","6","3","7","10","-","14","bye","-","9","16","13","2","-","96","8.0"
"Brandin Cooks","WR","HOU","5","8","5","3","12","9","9","bye","9","8","5","5","8","-","7","10","16","119","7.9"
"DJ Moore","WR","CAR","9","13","4","6","5","11","5","6","3","7","11","9","bye","-","8","10","11","118","7.9"
"Michael Thomas","WR","NO","5","-","-","-","-","bye","-","-","6","7","12","6","11","8","-","-","-","55","7.9"
"George Kittle","TE","SF","5","-","-","15","8","10","7","4","-","-","bye","-","-","-","-","5","9","63","7.9"
"Justin Jefferson","WR","MIN","3","3","9","5","5","11","bye","4","4","10","5","13","12","8","11","10","12","125","7.8"
"Antonio Brown","WR","TB","-","-","-","-","-","-","-","-","5","8","13","3","bye","5","7","6","15","62","7.8"
"Julio Jones","WR","ATL","12","4","-","4","-","10","9","10","7","bye","2","-","10","-","-","-","-","68","7.6"
"A.J. Brown","WR","TEN","8","-","-","bye","9","7","8","7","9","4","7","6","7","9","6","8","11","106","7.6"
"Sterling Shepard","WR","NYG","6","4","-","-","-","-","8","10","8","6","bye","8","6","5","7","12","10","90","7.5"
"Jamison Crowder","WR","NYJ","13","-","-","10","10","13","-","-","2","bye","4","5","7","4","8","9","4","89","7.4"
"DeVante Parker","WR","MIA","4","8","5","12","3","8","bye","2","7","7","9","14","8","2","-","-","14","103","7.4"
"Tyler Boyd","WR","CIN","5","8","13","8","6","8","13","7","bye","8","11","6","4","9","1","-","3","110","7.3"
"DJ Chark Jr.","WR","JAC","3","4","-","9","4","14","7","bye","12","5","8","-","7","9","5","6","-","93","7.2"
"Adam Thielen","WR","MIN","8","8","5","10","13","5","bye","4","5","7","11","-","11","4","3","9","5","108","7.2"
"Marvin Jones Jr.","WR","DET","8","6","3","2","bye","5","6","7","4","10","6","12","12","8","12","3","11","115","7.2"
"Cole Beasley","WR","BUF","7","6","7","4","6","7","12","2","3","13","bye","4","11","10","10","5","-","107","7.1"
"Alvin Kamara","RB","NO","8","9","14","4","10","bye","8","13","6","8","1","2","3","10","6","5","-","107","7.1"
"Jerry Jeudy","WR","DEN","8","7","9","4","bye","5","4","10","14","8","8","1","4","4","5","15","7","113","7.1"
"Chris Godwin","WR","TB","7","-","6","-","-","7","9","-","6","6","10","9","bye","3","5","9","7","84","7.0"
"J.D. McKissic","RB","WAS","5","0","4","8","8","6","2","bye","14","15","4","2","10","4","10","10","8","110","6.9"
"Logan Thomas","TE","WAS","8","9","7","4","4","4","4","bye","6","5","5","4","9","7","16","12","6","110","6.9"
"CeeDee Lamb","WR","DAL","6","9","7","7","11","11","5","5","7","bye","6","7","9","2","7","5","7","111","6.9"
"William Fuller V","WR","HOU","10","0","5","7","8","11","6","bye","5","8","8","7","-","-","-","-","-","75","6.8"
"Russell Gage","WR","ATL","12","9","3","3","5","4","7","3","6","bye","12","5","8","7","10","5","10","109","6.8"
"Mike Evans","WR","TB","4","10","4","8","9","2","2","7","6","11","9","9","bye","5","7","12","4","109","6.8"
"Tee Higgins","WR","CIN","0","6","9","7","8","8","5","9","bye","9","10","5","8","8","6","9","1","108","6.8"
"Evan Engram","TE","NYG","7","8","5","10","2","3","9","10","10","3","bye","9","8","4","7","10","4","109","6.8"
"Chase Claypool","WR","PIT","2","3","4","bye","11","4","1","9","13","10","8","9","4","6","8","6","11","109","6.8"
"Jarvis Landry","WR","CLE","6","3","4","6","9","5","6","11","bye","5","2","11","10","9","8","-","6","101","6.7"
"Hunter Henry","TE","LAC","8","8","7","4","8","bye","7","4","7","6","7","10","2","8","7","-","-","93","6.6"
"Michael Gallup","WR","DAL","5","5","9","5","4","6","2","12","7","bye","5","8","11","6","4","8","8","105","6.6"
"Corey Davis","WR","TEN","8","5","6","bye","-","-","10","10","3","6","7","3","12","3","6","2","11","92","6.6"
