"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"1","Alvin Kamara","RB","NO","2020",3,3,"ppr","1","6","58","9.7","49","3","0","13","14","139","10.7","2","0","1","44.7","44.7","99.3%"
"2","Rex Burkhead","RB","HOU","2020",3,3,"ppr","2","6","49","8.2","17","0","2","7","10","49","7.0","1","0","1","34.8","34.8","12.7%"
"3","Austin Ekeler","RB","LAC","2020",3,3,"ppr","3","12","59","4.9","12","0","1","11","11","84","7.6","0","0","1","31.3","31.3","100.0%"
"4","James Robinson","RB","NYJ","2020",3,3,"ppr","4","11","46","4.2","11","0","2","6","6","83","13.8","0","0","1","30.9","30.9","39.4%"
"5","Derrick Henry","RB","TEN","2020",3,3,"ppr","5","26","119","4.6","16","0","2","2","3","11","5.5","0","0","1","27.0","27.0","100.0%"
"6","Dalvin Cook","RB","MIN","2020",3,3,"ppr","6","22","181","8.2","39","4","1","2","5","18","9.0","0","1","1","25.9","25.9","100.0%"
"7","James Conner","RB","ARI","2020",3,3,"ppr","7","18","109","6.1","25","1","1","4","5","40","10.0","0","0","1","24.9","24.9","97.8%"
"8","Nick Chubb","RB","CLE","2020",3,3,"ppr","8","19","108","5.7","25","2","2","1","1","2","2.0","0","0","1","24.0","24.0","99.9%"
"9","Mike Davis","RB","FA","2020",3,3,"ppr","9","13","46","3.5","25","1","0","8","9","45","5.6","1","0","1","23.1","23.1","1.0%"
"10","Jeff Wilson Jr.","RB","MIA","2020",3,3,"ppr","10","12","15","1.3","4","0","1","3","3","54","18.0","1","0","1","21.9","21.9","76.6%"
"11","Darrell Henderson Jr.","RB","FA","2020",3,3,"ppr","11","20","114","5.7","14","0","1","1","3","6","6.0","0","0","1","19.0","19.0","25.4%"
"12","Clyde Edwards-Helaire","RB","KC","2020",3,3,"ppr","12","20","64","3.2","16","0","0","5","6","70","14.0","0","0","1","18.4","18.4","40.4%"
"13","Ezekiel Elliott","RB","DAL","2020",3,3,"ppr","13","14","34","2.4","9","0","1","6","11","24","4.0","0","0","1","17.8","17.8","97.0%"
"14","Jerick McKinnon","RB","KC","2020",3,3,"ppr","14","14","38","2.7","11","0","1","3","4","39","13.0","0","0","1","16.7","16.7","68.7%"
"15","Aaron Jones","RB","GB","2020",3,3,"ppr","15","16","69","4.3","19","0","1","2","4","17","8.5","0","0","1","16.6","16.6","99.6%"
"16","Devin Singletary","RB","BUF","2020",3,3,"ppr","16","13","71","5.5","17","0","0","4","5","50","12.5","0","0","1","16.1","16.1","91.7%"
"17","Sony Michel","RB","LAC","2020",3,3,"ppr","17","9","117","13.0","48","5","0","2","2","23","11.5","0","0","1","16.0","16.0","2.2%"
"18","Todd Gurley II","RB","FA","2020",3,3,"ppr","18","14","80","5.7","16","0","1","1","2","2","2.0","0","0","1","15.2","15.2","0.1%"
"19","Brian Hill","RB","FA","2020",3,3,"ppr","19","9","58","6.4","35","2","1","1","3","22","22.0","0","0","1","15.0","15.0","0.0%"
"20","Miles Sanders","RB","PHI","2020",3,3,"ppr","20","18","95","5.3","19","0","0","4","8","12","3.0","0","0","1","14.7","14.7","96.5%"
"21","Myles Gaskin","RB","MIA","2020",3,3,"ppr","21","22","66","3.0","15","0","0","5","5","29","5.8","0","0","1","14.5","14.5","0.3%"
"22","Kareem Hunt","RB","CLE","2020",3,3,"ppr","22","16","46","2.9","11","0","0","2","3","18","9.0","1","0","1","14.4","14.4","76.3%"
"23","Jonathan Taylor","RB","IND","2020",3,3,"ppr","23","13","59","4.5","16","0","1","1","1","3","3.0","0","0","1","13.2","13.2","100.0%"
"24","Antonio Gibson","RB","WAS","2020",3,3,"ppr","24","9","49","5.4","13","0","1","3","3","11","3.7","0","1","1","13.0","13.0","85.6%"
"25","David Johnson","RB","NO","2020",3,3,"ppr","25","13","23","1.8","5","0","1","2","3","23","11.5","0","0","1","12.6","12.6","0.1%"
"26","Chris Carson","RB","FA","2020",3,3,"ppr","26","14","64","4.6","23","1","0","3","3","12","4.0","0","0","1","10.6","10.6","0.3%"
"27","Kalen Ballage","RB","FA","2020",3,3,"ppr","27","2","8","4.0","4","0","0","5","5","44","8.8","0","0","1","10.2","10.2","0.0%"
