"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"1","Derrick Henry","RB","TEN","2018",14,14,"ppr","1","17","238","14.0","99","8","4","0","0","0","0","0","0","1","47.8","47.8","100.0%"
"2","Ezekiel Elliott","RB","DAL","2018",14,14,"ppr","2","28","113","4.0","20","1","0","12","13","79","6.6","0","0","1","31.2","31.2","97.0%"
"3","Saquon Barkley","RB","NYG","2018",14,14,"ppr","3","14","170","12.1","78","8","1","4","5","27","6.8","0","0","1","29.7","29.7","100.0%"
"4","Christian McCaffrey","RB","SF","2018",14,14,"ppr","4","16","63","3.9","25","1","2","6","7","38","6.3","0","0","1","28.1","28.1","100.0%"
"5","Joe Mixon","RB","CIN","2018",14,14,"ppr","5","26","111","4.3","19","0","1","5","6","27","5.4","0","0","1","24.8","24.8","99.9%"
"6","Aaron Jones","RB","GB","2018",14,14,"ppr","6","17","78","4.6","29","1","1","3","3","28","9.3","0","0","1","19.6","19.6","99.6%"
"7","Dalvin Cook","RB","MIN","2018",14,14,"ppr","7","13","55","4.2","13","0","0","5","7","28","5.6","1","0","1","19.3","19.3","100.0%"
"8","Brandon Bolden","RB","LV","2018",14,14,"ppr","8","2","60","30.0","54","4","2","1","1","0","0.0","0","0","1","19.0","19.0","0.2%"
"9","Damien Williams","RB","FA","2018",14,14,"ppr","9","8","14","1.8","5","0","1","4","5","16","4.0","1","0","1","19.0","19.0","1.1%"
"10","Nick Chubb","RB","CLE","2018",14,14,"ppr","10","13","66","5.1","29","1","1","4","6","17","4.3","0","0","1","18.3","18.3","99.9%"
"11","Spencer Ware","RB","FA","2018",14,14,"ppr","11","15","75","5.0","13","0","0","5","5","54","10.8","0","0","1","17.9","17.9","0.0%"
"12","Austin Ekeler","RB","LAC","2018",14,14,"ppr","12","15","66","4.4","18","0","1","2","5","28","14.0","0","0","1","17.4","17.4","100.0%"
"13","Elijah McGuire","RB","FA","2018",14,14,"ppr","13","17","60","3.5","34","2","1","3","4","23","7.7","0","0","1","17.3","17.3","0.0%"
"14","Lamar Miller","RB","FA","2018",14,14,"ppr","14","14","33","2.4","13","0","1","5","6","19","3.8","0","0","1","16.2","16.2","0.0%"
"15","Jaylen Samuels","RB","FA","2018",14,14,"ppr","15","11","28","2.5","9","0","0","7","7","64","9.1","0","0","1","16.2","16.2","0.0%"
"16","Alvin Kamara","RB","NO","2018",14,14,"ppr","16","12","51","4.3","12","0","0","5","6","36","7.2","0","0","1","15.7","15.7","99.3%"
"17","Phillip Lindsay","RB","FA","2018",14,14,"ppr","17","14","30","2.1","5","0","1","4","7","21","5.3","0","0","1","15.1","15.1","0.4%"
"18","Chris Carson","RB","FA","2018",14,14,"ppr","18","22","90","4.1","11","0","1","0","0","0","0","0","0","1","15.0","15.0","0.3%"
"19","Kenneth Dixon","RB","FA","2018",14,14,"ppr","19","8","59","7.4","15","0","1","1","1","21","21.0","0","0","1","15.0","15.0","0.1%"
"20","Kenyan Drake","RB","BAL","2018",14,14,"ppr","20","6","24","4.0","11","0","0","1","1","55","55.0","1","0","1","14.9","14.9","26.8%"
"21","David Johnson","RB","NO","2018",14,14,"ppr","21","15","49","3.3","10","0","0","8","10","12","1.5","0","0","1","14.1","14.1","0.1%"
"22","Tarik Cohen","RB","FA","2018",14,14,"ppr","22","9","69","7.7","32","3","0","4","4","20","5.0","0","0","1","12.9","12.9","0.0%"
"23","Frank Gore","RB","FA","2018",14,14,"ppr","23","12","92","7.7","36","2","0","1","1","24","24.0","0","0","1","12.6","12.6","12.1%"
