"","player","pos","team","season","start_week","end_week","scoring","rank","passing_cmp","passing_att","passing_pct","passing_yds","passing_y_a","passing_td","passing_int","passing_sacks","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Jared Goff","QB","DET","2022",4,4,"ppr","1","26","39","66.7","378","9.7","4","1","1","1","1","0","0","1","34.2","34.2","60.4%"
"2","Geno Smith","QB","SEA","2022",4,4,"ppr","2","23","30","76.7","320","10.7","2","0","0","7","49","1","0","1","31.7","31.7","87.0%"
"3","Russell Wilson","QB","DEN","2022",4,4,"ppr","3","17","25","68.0","237","9.5","2","0","3","4","29","1","0","1","27.5","27.5","43.7%"
"4","Tom Brady","QB","TB","2022",4,4,"ppr","4","39","52","75.0","385","7.4","3","0","1","0","0","0","1","1","25.4","25.4","86.0%"
"5","Josh Allen","QB","BUF","2022",4,4,"ppr","5","19","36","52.8","213","5.9","1","1","1","11","70","1","0","1","24.5","24.5","100.0%"
"6","Patrick Mahomes II","QB","KC","2022",4,4,"ppr","6","23","37","62.2","249","6.7","3","1","3","4","34","0","0","1","24.4","24.4","100.0%"
"7","Kyler Murray","QB","ARI","2022",4,4,"ppr","7","23","32","71.9","207","6.5","2","1","1","12","26","1","0","1","23.9","23.9","62.1%"
"8","Daniel Jones","QB","NYG","2022",4,4,"ppr","8","8","13","61.5","71","5.5","0","0","1","6","68","2","0","1","21.6","21.6","58.2%"
"9","Justin Herbert","QB","LAC","2022",4,4,"ppr","9","27","39","69.2","340","8.7","2","0","1","4","-5","0","0","1","21.1","21.1","98.8%"
"10","Zach Wilson","QB","NYJ","2022",4,4,"ppr","10","18","36","50.0","252","7.0","1","2","1","2","15","0","0","1","20.8","20.8","5.7%"
"11","Joe Burrow","QB","CIN","2022",4,4,"ppr","11","20","31","64.5","287","9.3","2","0","1","5","6","0","0","1","20.1","20.1","99.4%"
"12","Matt Ryan","QB","IND","2022",4,4,"ppr","12","27","37","73.0","356","9.6","2","1","3","2","-4","0","1","1","18.8","18.8","10.6%"
"13","Cooper Rush","QB","DAL","2022",4,4,"ppr","13","15","27","55.6","223","8.3","2","0","1","2","7","0","0","1","17.6","17.6","0.5%"
"14","Aaron Rodgers","QB","GB","2022",4,4,"ppr","14","21","35","60.0","251","7.2","2","1","1","1","1","0","0","1","17.1","17.1","75.1%"
"15","Jalen Hurts","QB","PHI","2022",4,4,"ppr","15","16","25","64.0","204","8.2","0","1","2","16","38","1","0","1","17.0","17.0","99.9%"
"16","Jacoby Brissett","QB","CLE","2022",4,4,"ppr","16","21","35","60.0","234","6.7","0","1","1","5","16","1","0","1","16.0","16.0","4.8%"
"17","Davis Mills","QB","HOU","2022",4,4,"ppr","17","26","35","74.3","246","7.0","2","2","4","0","0","0","0","1","15.8","15.8","3.4%"
"18","Kenny Pickett","QB","PIT","2022",4,4,"ppr","18","10","13","76.9","120","9.2","0","3","0","6","15","2","0","1","15.3","15.3","10.2%"
"19","Lamar Jackson","QB","BAL","2022",4,4,"ppr","19","20","29","69.0","144","5.0","1","2","2","11","73","0","0","1","15.1","15.1","96.8%"
"20","Ryan Tannehill","QB","TEN","2022",4,4,"ppr","20","17","21","81.0","137","6.5","2","0","3","5","9","0","0","1","14.4","14.4","28.5%"
"21","Jimmy Garoppolo","QB","SF","2022",4,4,"ppr","21","16","27","59.3","239","8.9","1","0","0","1","3","0","0","1","13.9","13.9","16.2%"
"22","Kirk Cousins","QB","MIN","2022",4,4,"ppr","22","25","38","65.8","273","7.2","1","1","3","0","0","0","0","1","13.9","13.9","87.8%"
"23","Andy Dalton","QB","NO","2022",4,4,"ppr","23","20","28","71.4","236","8.4","1","0","2","1","3","0","1","1","13.7","13.7","12.2%"
"24","Teddy Bridgewater","QB","MIA","2022",4,4,"ppr","24","14","23","60.9","193","8.4","1","1","0","1","11","0","0","1","11.8","11.8","0.6%"
"25","Derek Carr","QB","LV","2022",4,4,"ppr","25","21","34","61.8","188","5.5","0","0","2","7","40","0","0","1","11.5","11.5","64.3%"
"26","Justin Fields","QB","CHI","2022",4,4,"ppr","26","11","22","50.0","174","7.9","0","0","6","7","52","0","1","1","10.2","10.2","95.3%"
"27","Carson Wentz","QB","WAS","2022",4,4,"ppr","27","25","42","59.5","170","4.0","1","2","2","1","5","0","0","1","9.3","9.3","6.5%"
"28","Baker Mayfield","QB","LAR","2022",4,4,"ppr","28","22","36","61.1","197","5.5","1","2","2","2","0","0","1","1","7.9","7.9","6.6%"
"29","Matthew Stafford","QB","LAR","2022",4,4,"ppr","29","32","48","66.7","254","5.3","0","1","7","2","6","0","1","1","7.8","7.8","29.7%"
"30","Trevor Lawrence","QB","JAC","2022",4,4,"ppr","30","11","23","47.8","174","7.6","2","1","4","2","7","0","4","1","6.7","6.7","75.8%"
"31","Bailey Zappe","QB","NE","2022",4,4,"ppr","31","10","15","66.7","99","6.6","1","0","3","0","0","0","1","1","6.0","6.0","0.3%"
"32","Marcus Mariota","QB","ATL","2022",4,4,"ppr","32","7","19","36.8","139","7.3","0","1","1","5","3","0","0","1","4.9","4.9","19.4%"
"33","Tua Tagovailoa","QB","MIA","2022",4,4,"ppr","33","8","14","57.1","110","7.9","0","1","1","0","0","0","0","1","3.4","3.4","94.7%"
"34","Mitch Trubisky","QB","PIT","2022",4,4,"ppr","34","7","13","53.8","84","6.5","0","1","3","1","1","0","0","1","2.5","2.5","0.8%"
"35","Tyrod Taylor","QB","NYG","2022",4,4,"ppr","35","1","3","33.3","11","3.7","0","1","0","3","30","0","0","1","2.4","2.4","0.1%"
"36","Brian Hoyer","QB","NE","2022",4,4,"ppr","36","5","6","83.3","37","6.2","0","0","1","0","0","0","0","1","1.5","1.5","0.1%"
"37","Mac Jones","QB","NE","2022",4,4,"ppr","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.1%"
"38","Ian Book","QB","PHI","2022",4,4,"ppr","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Trey Lance","QB","SF","2022",4,4,"ppr","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.3%"
"40","Feleipe Franks","QB","ATL","2022",4,4,"ppr","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","John Lovett","QB","MIA","2022",4,4,"ppr","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Jacob Eason","QB","SF","2022",4,4,"ppr","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Jake Fromm","QB","WAS","2022",4,4,"ppr","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"44","Jordan Love","QB","GB","2022",4,4,"ppr","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"45","Tyler Huntley","QB","BAL","2022",4,4,"ppr","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.0%"
"46","David Blough","QB","ARI","2022",4,4,"ppr","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Kellen Mond","QB","CLE","2022",4,4,"ppr","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Easton Stick","QB","LAC","2022",4,4,"ppr","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Will Grier","QB","DAL","2022",4,4,"ppr","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Brett Rypien","QB","DEN","2022",4,4,"ppr","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"51","Trace McSorley","QB","ARI","2022",4,4,"ppr","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"52","Jake Browning","QB","CIN","2022",4,4,"ppr","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Gardner Minshew II","QB","PHI","2022",4,4,"ppr","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"54","Jarrett Stidham","QB","LV","2022",4,4,"ppr","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Shane Buechele","QB","KC","2022",4,4,"ppr","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Desmond Ridder","QB","ATL","2022",4,4,"ppr","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.2%"
"57","Sam Ehlinger","QB","IND","2022",4,4,"ppr","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"58","Case Cookus","QB","LAR","2022",4,4,"ppr","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Brock Purdy","QB","SF","2022",4,4,"ppr","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.3%"
"60","Kyle Trask","QB","TB","2022",4,4,"ppr","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"61","Bryce Perkins","QB","LAR","2022",4,4,"ppr","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"62","Jake Luton","QB","NO","2022",4,4,"ppr","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Chris Streveler","QB","NYJ","2022",4,4,"ppr","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Anthony Brown","QB","BAL","2022",4,4,"ppr","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Skylar Thompson","QB","MIA","2022",4,4,"ppr","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"66","Malik Willis","QB","TEN","2022",4,4,"ppr","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"67","E.J. Perry","QB","JAC","2022",4,4,"ppr","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Chris Oladokun","QB","KC","2022",4,4,"ppr","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Davis Cheek","QB","CAR","2022",4,4,"ppr","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Stone Smartt","QB","LAC","2022",4,4,"ppr","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Jarrett Guarantano","QB","DEN","2022",4,4,"ppr","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Chase Garbers","QB","LV","2022",4,4,"ppr","72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Drew Lock","QB","SEA","2022",4,4,"ppr","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"74","Carson Strong","QB","ARI","2022",4,4,"ppr","74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Sam Howell","QB","WAS","2022",4,4,"ppr","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
