"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","C.J. Uzomah","TE","NYJ","2021",4,4,"ppr","1","5","6","95","19.0","31","4","2","0","0","0","0","1","26.5","26.5","0.3%"
"2","Dawson Knox","TE","BUF","2021",4,4,"ppr","2","5","8","37","7.4","25","1","2","0","0","0","0","1","20.7","20.7","74.4%"
"3","Mo Alie-Cox","TE","IND","2021",4,4,"ppr","3","3","5","42","14.0","28","1","2","0","0","0","0","1","19.2","19.2","2.0%"
"4","Jared Cook","TE","FA","2021",4,4,"ppr","4","6","7","70","11.7","22","1","1","0","0","0","0","1","19.0","19.0","0.0%"
"5","Dalton Schultz","TE","DAL","2021",4,4,"ppr","5","6","8","58","9.7","18","0","1","0","0","0","0","1","17.8","17.8","96.1%"
"6","Maxx Williams","TE","ARI","2021",4,4,"ppr","6","5","5","66","13.2","25","1","1","0","0","0","0","1","17.6","17.6","0.0%"
"7","Mike Gesicki","TE","MIA","2021",4,4,"ppr","7","5","6","57","11.4","22","2","1","0","0","0","0","1","16.7","16.7","37.4%"
"8","Noah Fant","TE","SEA","2021",4,4,"ppr","8","6","10","46","7.7","14","0","1","0","0","0","0","1","16.6","16.6","30.3%"
"9","Dallas Goedert","TE","PHI","2021",4,4,"ppr","9","5","5","56","11.2","21","1","1","0","0","0","0","1","16.6","16.6","88.2%"
"10","Darren Waller","TE","LV","2021",4,4,"ppr","10","4","7","50","12.5","21","1","1","0","0","0","0","1","15.0","15.0","74.7%"
"11","Hunter Henry","TE","NE","2021",4,4,"ppr","11","4","5","32","8.0","11","0","1","0","0","0","0","1","13.2","13.2","38.7%"
"12","Zach Ertz","TE","ARI","2021",4,4,"ppr","12","6","8","60","10.0","19","0","0","0","0","0","0","1","12.0","12.0","32.6%"
"13","Mark Andrews","TE","BAL","2021",4,4,"ppr","13","5","8","67","13.4","24","1","0","0","0","0","0","1","11.7","11.7","99.9%"
"14","Jonnu Smith","TE","NE","2021",4,4,"ppr","14","3","5","14","4.7","12","0","1","0","0","0","0","1","10.4","10.4","1.1%"
"15","Juwan Johnson","TE","NO","2021",4,4,"ppr","15","2","3","20","10.0","15","0","1","0","0","0","0","1","10.0","10.0","17.7%"
"16","Donald Parham Jr.","TE","LAC","2021",4,4,"ppr","16","2","3","17","8.5","13","0","1","0","0","0","0","1","9.7","9.7","0.1%"
"17","Ross Dwelley","TE","SF","2021",4,4,"ppr","17","1","1","21","21.0","21","1","1","0","0","0","0","1","9.1","9.1","0.0%"
"18","Kyle Pitts","TE","ATL","2021",4,4,"ppr","18","4","9","50","12.5","15","0","0","0","0","0","0","1","9.0","9.0","41.3%"
"19","Blake Jarwin","TE","FA","2021",4,4,"ppr","19","1","3","18","18.0","18","0","1","0","0","0","0","1","8.8","8.8","4.0%"
"20","T.J. Hockenson","TE","MIN","2021",4,4,"ppr","20","4","8","42","10.5","22","1","0","0","0","0","0","1","8.2","8.2","98.5%"
"21","George Kittle","TE","SF","2021",4,4,"ppr","21","4","10","40","10.0","18","0","0","0","0","0","0","1","8.0","8.0","98.9%"
"22","Tyler Higbee","TE","LAR","2021",4,4,"ppr","22","4","6","36","9.0","18","0","0","0","0","0","0","1","7.6","7.6","71.9%"
"23","Evan Engram","TE","JAC","2021",4,4,"ppr","23","5","6","27","5.4","8","0","0","1","-3","0","0","1","7.4","7.4","68.5%"
"24","Hayden Hurst","TE","CIN","2021",4,4,"ppr","24","4","4","29","7.3","12","0","0","0","0","0","0","1","6.9","6.9","38.8%"
"25","Travis Kelce","TE","KC","2021",4,4,"ppr","25","4","6","23","5.8","10","0","0","0","0","0","0","1","6.3","6.3","100.0%"
"26","Tyler Conklin","TE","NYJ","2021",4,4,"ppr","26","4","6","18","4.5","14","0","0","0","0","0","0","1","5.8","5.8","35.3%"
"27","Anthony Firkser","TE","ATL","2021",4,4,"ppr","27","3","5","23","7.7","10","0","0","0","0","0","0","1","5.3","5.3","0.0%"
"28","Dan Arnold","TE","JAC","2021",4,4,"ppr","28","2","2","29","14.5","17","0","0","0","0","0","0","1","4.9","4.9","0.1%"
"29","Cameron Brate","TE","TB","2021",4,4,"ppr","29","2","6","29","14.5","18","0","0","0","0","0","0","1","4.9","4.9","1.6%"
"30","Ian Thomas","TE","CAR","2021",4,4,"ppr","30","3","3","15","5.0","9","0","0","0","0","0","0","1","4.5","4.5","0.1%"
"31","MyCole Pruitt","TE","ATL","2021",4,4,"ppr","31","1","1","14","14.0","14","0","0","0","0","0","0","1","4.4","4.4","0.1%"
