"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Atlanta Falcons","DST","ATL","2018",15,15,"ppr",1,7,2,1,1,1,0,0,1,20,20,"1.7%"
"2","Tennessee Titans","DST","TEN","2018",15,15,"ppr",2,3,1,1,1,0,0,0,1,17,17,"26.3%"
"3","Indianapolis Colts","DST","IND","2018",15,15,"ppr",3,3,1,0,1,0,0,0,1,16,16,"52.4%"
"4","Washington Commanders","DST","WAS","2018",15,15,"ppr",4,6,1,1,1,0,0,0,1,14,14,"54.8%"
"5","Minnesota Vikings","DST","MIN","2018",15,15,"ppr",5,9,0,0,0,0,0,0,1,13,13,"23.7%"
"6","New Orleans Saints","DST","NO","2018",15,15,"ppr",6,4,1,1,1,0,0,0,1,12,12,"65.3%"
"7","Carolina Panthers","DST","CAR","2018",15,15,"ppr",7,2,1,0,1,0,0,0,1,10,10,"14.1%"
"8","Cincinnati Bengals","DST","CIN","2018",15,15,"ppr",8,5,0,2,2,0,0,0,1,10,10,"31.6%"
"9","Chicago Bears","DST","CHI","2018",15,15,"ppr",9,5,1,0,0,0,0,0,1,8,8,"2.2%"
"10","Philadelphia Eagles","DST","PHI","2018",15,15,"ppr",10,2,1,2,1,0,0,0,1,8,8,"58.2%"
"11","Kansas City Chiefs","DST","KC","2018",15,15,"ppr",11,5,2,0,1,0,0,0,1,8,8,"47.9%"
"12","Cleveland Browns","DST","CLE","2018",15,15,"ppr",12,2,2,0,0,0,0,0,1,7,7,"37.2%"
"13","Denver Broncos","DST","DEN","2018",15,15,"ppr",13,2,1,1,1,0,0,0,1,7,7,"38.8%"
"14","Pittsburgh Steelers","DST","PIT","2018",15,15,"ppr",14,1,1,0,0,0,0,0,1,7,7,"53.2%"
"15","Baltimore Ravens","DST","BAL","2018",15,15,"ppr",15,1,1,0,0,0,0,0,1,7,7,"89.6%"
"16","New England Patriots","DST","NE","2018",15,15,"ppr",16,2,2,0,0,0,0,0,1,7,7,"54.0%"
"17","Tampa Bay Buccaneers","DST","TB","2018",15,15,"ppr",17,2,0,2,0,0,0,0,1,7,7,"81.2%"
"18","Miami Dolphins","DST","MIA","2018",15,15,"ppr",18,2,1,0,0,1,0,0,1,6,6,"25.9%"
"19","Houston Texans","DST","HOU","2018",15,15,"ppr",19,3,0,1,1,0,0,0,1,5,5,"0.8%"
"20","New York Jets","DST","NYJ","2018",15,15,"ppr",20,6,0,0,0,0,0,0,1,5,5,"21.1%"
"21","Seattle Seahawks","DST","SEA","2018",15,15,"ppr",21,3,0,1,1,0,0,0,1,5,5,"20.5%"
"22","Jacksonville Jaguars","DST","JAC","2018",15,15,"ppr",22,3,0,0,1,0,0,1,1,4,4,"3.8%"
"23","Buffalo Bills","DST","BUF","2018",15,15,"ppr",23,0,0,0,0,0,0,0,1,4,4,"99.0%"
"24","Green Bay Packers","DST","GB","2018",15,15,"ppr",24,1,0,1,2,0,0,0,1,3,3,"80.7%"
"25","San Francisco 49ers","DST","SF","2018",15,15,"ppr",25,3,0,0,1,0,0,1,1,3,3,"95.5%"
"26","New York Giants","DST","NYG","2018",15,15,"ppr",26,1,0,0,0,0,0,0,1,2,2,"6.2%"
"27","Las Vegas Raiders","DST","LV","2018",15,15,"ppr",27,1,1,0,0,0,0,0,1,2,2,"14.2%"
"28","Detroit Lions","DST","DET","2018",15,15,"ppr",28,1,0,0,1,0,0,0,1,2,2,"2.5%"
"29","Dallas Cowboys","DST","DAL","2018",15,15,"ppr",29,0,0,1,1,0,0,0,1,2,2,"90.0%"
"30","Los Angeles Chargers","DST","LAC","2018",15,15,"ppr",30,2,0,0,0,0,0,0,1,1,1,"30.2%"
"31","Los Angeles Rams","DST","LAR","2018",15,15,"ppr",31,0,1,0,0,0,0,0,1,1,1,"34.3%"
"32","Arizona Cardinals","DST","ARI","2018",15,15,"ppr",32,2,0,0,0,0,0,0,1,1,1,"12.3%"
