"","player","pos","team","season","start_week","end_week","scoring","rank","passing_cmp","passing_att","passing_pct","passing_yds","passing_y_a","passing_td","passing_int","passing_sacks","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Josh Allen","QB","BUF","2018",17,17,"ppr","1","17","26","65.4","224","8.6","3","1","1","9","95","2","0","1","40.5","40.5","100.0%"
"2","Dak Prescott","QB","DAL","2018",17,17,"ppr","2","27","44","61.4","387","8.8","4","0","4","4","0","0","0","1","33.5","33.5","93.5%"
"3","Jameis Winston","QB","NO","2018",17,17,"ppr","3","22","35","62.9","345","9.9","4","1","1","2","23","0","0","1","30.1","30.1","5.6%"
"4","Matt Ryan","QB","IND","2018",17,17,"ppr","4","31","44","70.5","378","8.6","2","1","1","4","7","0","0","1","29.3","29.3","10.6%"
"5","Lamar Jackson","QB","BAL","2018",17,17,"ppr","5","14","24","58.3","179","7.5","0","0","2","20","90","2","1","1","26.2","26.2","96.8%"
"6","Tom Brady","QB","TB","2018",17,17,"ppr","6","24","33","72.7","250","7.6","4","0","1","0","0","0","0","1","26.0","26.0","86.0%"
"7","Kyle Allen","QB","HOU","2018",17,17,"ppr","7","16","27","59.3","228","8.4","2","0","0","5","19","1","0","1","25.0","25.0","0.7%"
"8","Jared Goff","QB","DET","2018",17,17,"ppr","8","15","26","57.7","199","7.7","4","0","0","1","0","0","0","1","24.0","24.0","60.4%"
"9","Andrew Luck","QB","FA","2018",17,17,"ppr","9","24","35","68.6","285","8.1","3","1","1","7","17","0","0","1","23.1","23.1","2.2%"
"10","Deshaun Watson","QB","CLE","2018",17,17,"ppr","10","25","35","71.4","234","6.7","0","0","6","13","66","1","0","1","22.0","22.0","75.7%"
"11","Baker Mayfield","QB","LAR","2018",17,17,"ppr","11","23","42","54.8","376","9.0","3","3","0","0","0","0","0","1","21.0","21.0","6.6%"
"12","Nick Mullens","QB","MIN","2018",17,17,"ppr","12","23","33","69.7","282","8.5","3","3","3","1","-2","0","0","1","19.1","19.1","0.0%"
"13","Matthew Stafford","QB","LAR","2018",17,17,"ppr","13","20","32","62.5","266","8.3","2","0","1","2","-2","0","0","1","18.4","18.4","29.7%"
"14","Eli Manning","QB","FA","2018",17,17,"ppr","14","24","41","58.5","301","7.3","2","1","1","1","2","0","1","1","18.2","18.2","2.3%"
"15","Patrick Mahomes II","QB","KC","2018",17,17,"ppr","15","14","24","58.3","281","11.7","2","1","0","2","1","0","0","1","17.3","17.3","100.0%"
"16","Nick Foles","QB","IND","2018",17,17,"ppr","16","28","33","84.8","221","6.7","2","1","3","2","4","0","0","1","15.2","15.2","0.0%"
"17","Ben Roethlisberger","QB","FA","2018",17,17,"ppr","17","31","45","68.9","287","6.4","1","1","1","3","3","0","0","1","13.8","13.8","13.6%"
"18","Case Keenum","QB","BUF","2018",17,17,"ppr","18","31","48","64.6","292","6.1","1","1","1","3","8","0","1","1","12.5","12.5","0.4%"
"19","Mitch Trubisky","QB","PIT","2018",17,17,"ppr","19","18","26","69.2","163","6.3","0","0","0","3","16","0","0","1","10.1","10.1","0.8%"
"20","Kirk Cousins","QB","MIN","2018",17,17,"ppr","20","20","33","60.6","132","4.0","1","0","4","1","7","0","0","1","10.0","10.0","87.8%"
"21","Taysom Hill","QB","NO","2018",17,17,"ppr","21","0","0","0","0","0","0","0","0","3","11","1","0","1","8.4","8.4","45.3%"
"22","Ryan Tannehill","QB","TEN","2018",17,17,"ppr","22","18","31","58.1","147","4.7","0","2","4","2","9","0","1","1","8.1","8.1","28.5%"
"23","Russell Wilson","QB","DEN","2018",17,17,"ppr","23","12","21","57.1","152","7.2","1","1","6","2","-2","0","0","1","7.9","7.9","43.7%"
"24","Teddy Bridgewater","QB","MIA","2018",17,17,"ppr","24","14","22","63.6","118","5.4","1","1","2","4","12","0","0","1","7.9","7.9","0.6%"
"25","Sam Darnold","QB","CAR","2018",17,17,"ppr","25","16","28","57.1","167","6.0","0","0","4","1","28","0","1","1","7.5","7.5","3.9%"
"26","DeShone Kizer","QB","FA","2018",17,17,"ppr","26","16","35","45.7","132","3.8","0","1","2","4","40","0","0","1","7.3","7.3","0.0%"
"27","Philip Rivers","QB","FA","2018",17,17,"ppr","27","14","24","58.3","176","7.3","1","2","0","1","0","0","0","1","7.0","7.0","20.6%"
"28","Blaine Gabbert","QB","TB","2018",17,17,"ppr","28","18","29","62.1","165","5.7","1","2","0","0","0","0","0","1","6.6","6.6","0.0%"
"29","Josh Rosen","QB","FA","2018",17,17,"ppr","29","18","34","52.9","149","4.4","1","0","6","0","0","0","2","1","6.0","6.0","0.0%"
"30","Jeff Driskel","QB","HOU","2018",17,17,"ppr","30","12","24","50.0","95","4.0","0","0","4","2","13","0","0","1","5.1","5.1","11.6%"
"31","Nate Sudfeld","QB","DET","2018",17,17,"ppr","31","1","1","100.0","22","22.0","1","0","0","2","-2","0","0","1","4.7","4.7","0.0%"
"32","Blake Bortles","QB","FA","2018",17,17,"ppr","32","15","28","53.6","107","3.8","0","1","3","4","15","0","0","1","3.8","3.8","0.0%"
"33","Josh Johnson","QB","SF","2018",17,17,"ppr","33","12","27","44.4","91","3.4","0","1","4","3","4","0","0","1","2.0","2.0","0.0%"
"34","Garrett Gilbert","QB","NE","2018",17,17,"ppr","34","2","3","66.7","40","13.3","0","0","1","0","0","0","0","1","1.6","1.6","0.0%"
"35","Chad Henne","QB","KC","2018",17,17,"ppr","35","2","3","66.7","29","9.7","0","0","0","1","3","0","0","1","1.5","1.5","0.1%"
"36","Derek Carr","QB","LV","2018",17,17,"ppr","36","24","33","72.7","185","5.6","0","2","3","0","0","0","1","1","1.4","1.4","64.3%"
"37","Aaron Rodgers","QB","GB","2018",17,17,"ppr","37","3","5","60.0","26","5.2","0","0","1","0","0","0","0","1","1.0","1.0","75.1%"
"38","Sean Mannion","QB","SEA","2018",17,17,"ppr","38","2","3","66.7","23","7.7","0","0","0","2","-8","0","0","1","0.1","0.1","0.0%"
"39","Joe Webb III","QB","FA","2018",17,17,"ppr","39","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"40","Kyle Lauletta","QB","FA","2018",17,17,"ppr","40","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"41","Brian Hoyer","QB","NE","2018",17,17,"ppr","41","0","0","0","0","0","0","0","0","3","-3","0","0","1","-0.3","-0.3","0.1%"
"42","Geno Smith","QB","SEA","2018",17,17,"ppr","42","0","0","0","0","0","0","0","1","2","-2","0","1","1","-2.2","-2.2","87.0%"
