"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Cleveland Browns","DST","CLE","2022",13,13,"ppr",1,0,2,2,1,2,0,1,1,27,27,"37.2%"
"2","Dallas Cowboys","DST","DAL","2022",13,13,"ppr",2,3,3,2,2,1,0,0,1,20,20,"90.0%"
"3","San Francisco 49ers","DST","SF","2022",13,13,"ppr",3,3,3,1,1,1,0,0,1,18,18,"95.5%"
"4","Los Angeles Chargers","DST","LAC","2022",13,13,"ppr",4,0,1,1,1,1,0,0,1,12,12,"30.2%"
"5","Denver Broncos","DST","DEN","2022",13,13,"ppr",5,4,2,0,1,0,0,0,1,12,12,"38.8%"
"6","Philadelphia Eagles","DST","PHI","2022",13,13,"ppr",6,6,0,0,0,0,0,0,1,10,10,"58.2%"
"7","Green Bay Packers","DST","GB","2022",13,13,"ppr",7,0,2,1,1,0,0,0,1,9,9,"80.7%"
"8","Los Angeles Rams","DST","LAR","2022",13,13,"ppr",8,4,1,1,1,0,0,0,1,8,8,"34.3%"
"9","Seattle Seahawks","DST","SEA","2022",13,13,"ppr",9,4,2,0,1,0,0,0,1,8,8,"20.5%"
"10","Las Vegas Raiders","DST","LV","2022",13,13,"ppr",10,5,0,1,2,0,0,0,1,8,8,"14.2%"
"11","Houston Texans","DST","HOU","2022",13,13,"ppr",11,1,1,1,1,0,1,0,1,8,8,"0.8%"
"12","New York Giants","DST","NYG","2022",13,13,"ppr",12,5,0,1,3,0,0,0,1,8,8,"6.2%"
"13","Washington Commanders","DST","WAS","2022",13,13,"ppr",13,4,0,1,1,0,0,0,1,7,7,"54.8%"
"14","New Orleans Saints","DST","NO","2022",13,13,"ppr",14,1,1,1,1,0,0,0,1,6,6,"65.3%"
"15","Miami Dolphins","DST","MIA","2022",13,13,"ppr",15,4,1,0,1,0,0,0,1,6,6,"25.9%"
"16","Baltimore Ravens","DST","BAL","2022",13,13,"ppr",16,2,0,0,0,0,0,0,1,6,6,"89.6%"
"17","Minnesota Vikings","DST","MIN","2022",13,13,"ppr",17,1,2,0,0,0,0,0,1,5,5,"23.7%"
"18","Detroit Lions","DST","DET","2022",13,13,"ppr",18,2,0,1,1,0,0,0,1,5,5,"2.5%"
"19","Buffalo Bills","DST","BUF","2022",13,13,"ppr",19,1,0,0,1,0,0,0,1,5,5,"99.0%"
"20","Cincinnati Bengals","DST","CIN","2022",13,13,"ppr",20,2,0,1,1,0,0,0,1,4,4,"31.6%"
"21","Pittsburgh Steelers","DST","PIT","2022",13,13,"ppr",21,1,1,0,0,0,0,0,1,4,4,"53.2%"
"22","New England Patriots","DST","NE","2022",13,13,"ppr",22,2,0,1,1,0,0,0,1,4,4,"54.0%"
"23","Tampa Bay Buccaneers","DST","TB","2022",13,13,"ppr",23,2,0,0,0,0,0,0,1,3,3,"81.2%"
"24","New York Jets","DST","NYJ","2022",13,13,"ppr",24,2,0,0,0,0,0,0,1,2,2,"21.1%"
"25","Kansas City Chiefs","DST","KC","2022",13,13,"ppr",25,1,0,0,0,0,0,0,1,1,1,"47.9%"
"26","Atlanta Falcons","DST","ATL","2022",13,13,"ppr",26,0,0,0,0,0,0,0,1,1,1,"1.7%"
"27","Indianapolis Colts","DST","IND","2022",13,13,"ppr",27,1,1,0,0,0,0,0,1,1,1,"52.4%"
"28","Carolina Panthers","DST","CAR","2022",13,13,"ppr",28,0,0,0,0,0,0,0,0,0,0,"14.1%"
"29","Arizona Cardinals","DST","ARI","2022",13,13,"ppr",29,0,0,0,0,0,0,0,0,0,0,"12.3%"
"30","Chicago Bears","DST","CHI","2022",13,13,"ppr",30,0,0,0,0,0,0,0,1,-1,-1,"2.2%"
"31","Jacksonville Jaguars","DST","JAC","2022",13,13,"ppr",31,2,0,0,0,0,0,0,1,-2,-2,"3.8%"
"32","Tennessee Titans","DST","TEN","2022",13,13,"ppr",32,2,0,0,1,0,0,0,1,-2,-2,"26.3%"
