"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Arizona Cardinals","DST","ARI","2016",17,17,"ppr",1,7,2,1,4,1,0,0,1,26,26,"12.3%"
"2","Minnesota Vikings","DST","MIN","2016",17,17,"ppr",2,2,2,3,1,1,0,0,1,22,22,"23.7%"
"3","New York Giants","DST","NYG","2016",17,17,"ppr",3,4,2,1,0,1,0,0,1,20,20,"6.2%"
"4","Tampa Bay Buccaneers","DST","TB","2016",17,17,"ppr",4,3,3,0,0,1,0,0,1,16,16,"81.2%"
"5","Denver Broncos","DST","DEN","2016",17,17,"ppr",5,2,1,2,3,0,0,0,1,15,15,"38.8%"
"6","Tennessee Titans","DST","TEN","2016",17,17,"ppr",6,4,0,1,1,1,0,0,1,13,13,"26.3%"
"7","New York Jets","DST","NYJ","2016",17,17,"ppr",7,3,1,2,2,0,0,0,1,13,13,"21.1%"
"8","Carolina Panthers","DST","CAR","2016",17,17,"ppr",8,3,1,1,1,0,0,0,1,12,12,"14.1%"
"9","Pittsburgh Steelers","DST","PIT","2016",17,17,"ppr",9,4,1,3,2,0,0,0,1,12,12,"53.2%"
"10","Philadelphia Eagles","DST","PHI","2016",17,17,"ppr",10,3,2,0,1,0,0,0,1,12,12,"58.2%"
"11","Cincinnati Bengals","DST","CIN","2016",17,17,"ppr",11,3,2,0,0,0,0,0,1,11,11,"31.6%"
"12","Seattle Seahawks","DST","SEA","2016",17,17,"ppr",12,5,0,2,2,0,0,0,1,9,9,"20.5%"
"13","Jacksonville Jaguars","DST","JAC","2016",17,17,"ppr",13,4,1,1,0,0,0,0,1,9,9,"3.8%"
"14","Houston Texans","DST","HOU","2016",17,17,"ppr",14,4,1,0,0,0,0,0,1,7,7,"0.8%"
"15","Indianapolis Colts","DST","IND","2016",17,17,"ppr",15,2,0,2,2,0,0,0,1,7,7,"52.4%"
"16","Cleveland Browns","DST","CLE","2016",17,17,"ppr",16,4,1,0,0,0,0,0,1,6,6,"37.2%"
"17","San Francisco 49ers","DST","SF","2016",17,17,"ppr",17,2,0,0,0,0,1,0,1,5,5,"95.5%"
"18","Los Angeles Chargers","DST","LAC","2016",17,17,"ppr",18,1,1,0,0,1,0,0,1,5,5,"30.2%"
"19","Washington Commanders","DST","WAS","2016",17,17,"ppr",19,1,0,0,0,0,0,0,1,5,5,"54.8%"
"20","New England Patriots","DST","NE","2016",17,17,"ppr",20,0,1,1,1,0,0,0,1,5,5,"54.0%"
"21","Kansas City Chiefs","DST","KC","2016",17,17,"ppr",21,0,2,0,0,0,0,1,1,4,4,"47.9%"
"22","Green Bay Packers","DST","GB","2016",17,17,"ppr",22,2,1,0,0,0,0,0,1,4,4,"80.7%"
"23","Atlanta Falcons","DST","ATL","2016",17,17,"ppr",23,2,1,0,1,0,0,0,1,3,3,"1.7%"
"24","Las Vegas Raiders","DST","LV","2016",17,17,"ppr",24,0,1,0,1,0,0,0,1,2,2,"14.2%"
"25","Dallas Cowboys","DST","DAL","2016",17,17,"ppr",25,2,0,0,0,0,0,0,1,2,2,"90.0%"
"26","Los Angeles Rams","DST","LAR","2016",17,17,"ppr",26,1,2,0,0,0,0,0,1,2,2,"34.3%"
"27","Chicago Bears","DST","CHI","2016",17,17,"ppr",27,0,1,0,0,0,0,0,1,1,1,"2.2%"
"28","Baltimore Ravens","DST","BAL","2016",17,17,"ppr",28,1,0,0,0,0,0,0,1,1,1,"89.6%"
"29","Detroit Lions","DST","DET","2016",17,17,"ppr",29,1,0,0,0,0,0,0,1,0,0,"2.5%"
"30","Buffalo Bills","DST","BUF","2016",17,17,"ppr",30,1,0,0,0,0,0,0,1,0,0,"99.0%"
"31","New Orleans Saints","DST","NO","2016",17,17,"ppr",31,1,0,0,0,0,0,0,1,-3,-3,"65.3%"
"32","Miami Dolphins","DST","MIA","2016",17,17,"ppr",32,0,0,0,0,0,0,0,1,-4,-4,"25.9%"
