"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Greg Zuerlein","K","NYJ","2017",4,4,"ppr",1,7,7,100,49,0,1,2,4,0,2,2,1,27,27,"15.9%"
"2","Jake Elliott","K","PHI","2017",4,4,"ppr",2,4,4,100,53,0,0,0,3,1,2,2,1,19,19,"27.9%"
"3","Robbie Gould","K","SF","2017",4,4,"ppr",3,5,5,100,49,0,1,1,3,0,0,0,1,18,18,"42.9%"
"4","Ka'imi Fairbairn","K","HOU","2017",4,4,"ppr",4,3,3,100,50,0,0,1,1,1,6,7,1,18,18,"2.0%"
"5","Stephen Hauschka","K","FA","2017",4,4,"ppr",5,3,3,100,56,0,1,0,0,2,2,2,1,15,15,"0.0%"
"6","Phil Dawson","K","FA","2017",4,4,"ppr",6,4,4,100,50,0,1,1,1,1,0,0,1,15,15,"0.1%"
"7","Stephen Gostkowski","K","FA","2017",4,4,"ppr",7,3,3,100,58,0,0,1,1,1,3,3,1,15,15,"0.0%"
"8","Chandler Catanzaro","K","FA","2017",4,4,"ppr",8,3,4,75,45,0,1,0,2,0,2,2,1,13,13,"0.0%"
"9","Harrison Butker","K","KC","2017",4,4,"ppr",9,3,4,75,43,0,1,1,1,0,2,2,1,12,12,"91.8%"
"10","Brandon McManus","K","DEN","2017",4,4,"ppr",10,3,4,75,46,0,1,1,1,0,1,1,1,11,11,"36.0%"
"11","Graham Gano","K","NYG","2017",4,4,"ppr",11,2,2,100,48,0,0,1,1,0,3,4,1,10,10,"61.0%"
"12","Wil Lutz","K","NO","2017",4,4,"ppr",12,2,3,66.7,45,0,0,0,2,0,2,2,1,10,10,"8.0%"
"13","Chris Boswell","K","PIT","2017",4,4,"ppr",13,2,3,66.7,49,0,0,1,1,0,2,2,1,9,9,"14.1%"
"14","Dustin Hopkins","K","LAC","2017",4,4,"ppr",14,2,2,100,40,1,0,0,1,0,2,2,1,9,9,"2.7%"
"15","Blair Walsh","K","FA","2017",4,4,"ppr",15,1,2,50,44,0,0,0,1,0,5,5,1,9,9,"0.1%"
"16","Jason Myers","K","SEA","2017",4,4,"ppr",16,2,3,66.7,30,0,1,1,0,0,2,2,1,8,8,"55.6%"
"17","Randy Bullock","K","TEN","2017",4,4,"ppr",17,1,1,100,41,0,0,0,1,0,4,4,1,8,8,"1.5%"
"18","Nick Folk","K","NE","2017",4,4,"ppr",18,2,4,50,34,0,1,1,0,0,1,2,1,7,7,"75.5%"
"19","Dan Bailey","K","FA","2017",4,4,"ppr",19,1,1,100,34,0,0,1,0,0,3,3,1,6,6,"0.0%"
"20","Younghoe Koo","K","ATL","2017",4,4,"ppr",20,1,1,100,28,0,1,0,0,0,3,3,1,6,6,"46.2%"
"21","Matt Prater","K","ARI","2017",4,4,"ppr",21,2,3,66.7,37,0,1,1,0,0,0,0,1,6,6,"14.9%"
"22","Mason Crosby","K","GB","2017",4,4,"ppr",22,0,0,0,0,0,0,0,0,0,5,5,1,5,5,"3.2%"
"23","Aldrick Rosas","K","FA","2017",4,4,"ppr",23,1,2,50,30,0,0,1,0,0,2,2,1,5,5,"0.0%"
"24","Matt Bryant","K","FA","2017",4,4,"ppr",24,1,1,100,28,0,1,0,0,0,2,2,1,5,5,"1.1%"
"25","Adam Vinatieri","K","FA","2017",4,4,"ppr",25,1,1,100,40,0,0,0,1,0,1,1,1,5,5,"0.2%"
"26","Giorgio Tavecchio","K","FA","2017",4,4,"ppr",26,1,1,100,38,0,0,1,0,0,1,1,1,4,4,"1.0%"
"27","Justin Tucker","K","BAL","2017",4,4,"ppr",27,1,2,50,42,0,0,0,1,0,0,0,1,4,4,"99.0%"
"28","Ryan Succop","K","TB","2017",4,4,"ppr",28,0,0,0,0,0,0,0,0,0,2,2,1,2,2,"34.3%"
"29","Connor Barth","K","FA","2017",4,4,"ppr",29,0,1,0,0,0,0,0,0,0,2,2,1,2,2,"0.0%"
"30","Zane Gonzalez","K","CAR","2017",4,4,"ppr",30,0,1,0,0,0,0,0,0,0,1,1,1,1,1,"0.1%"
"31","Kai Forbath","K","LAR","2017",4,4,"ppr",31,0,1,0,0,0,0,0,0,0,1,1,1,1,1,"3.0%"
"32","Cody Parkey","K","FA","2017",4,4,"ppr",32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
"33","Michael Palardy","K","NE","2017",4,4,"ppr",33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"33.3%"
