"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Zane Gonzalez","K","CAR","2021",10,10,"ppr",1,4,4,100,49,0,1,0,3,0,2,2,1,17,17,"0.1%"
"2","Jake Elliott","K","PHI","2021",10,10,"ppr",2,3,3,100,52,0,1,1,0,1,3,3,1,14,14,"27.9%"
"3","Joey Slye","K","WAS","2021",10,10,"ppr",3,3,3,100,46,0,2,0,1,0,2,2,1,12,12,"2.0%"
"4","Harrison Butker","K","KC","2021",10,10,"ppr",4,2,3,66.7,40,0,0,1,1,0,5,5,1,12,12,"91.8%"
"5","Chris Boswell","K","PIT","2021",10,10,"ppr",5,3,3,100,51,0,2,0,0,1,1,1,1,12,12,"14.1%"
"6","Randy Bullock","K","TEN","2021",10,10,"ppr",6,3,3,100,36,0,1,2,0,0,2,2,1,11,11,"1.5%"
"7","Michael Badgley","K","DET","2021",10,10,"ppr",7,3,3,100,37,0,2,1,0,0,2,2,1,11,11,"27.0%"
"8","Greg Joseph","K","MIN","2021",10,10,"ppr",8,2,2,100,46,0,0,1,1,0,3,3,1,10,10,"28.3%"
"9","Jason Sanders","K","MIA","2021",10,10,"ppr",9,3,3,100,31,0,2,1,0,0,1,1,1,10,10,"13.2%"
"10","Dustin Hopkins","K","LAC","2021",10,10,"ppr",10,2,2,100,46,0,1,0,1,0,2,2,1,9,9,"2.7%"
"11","Tyler Bass","K","BUF","2021",10,10,"ppr",11,1,1,100,29,0,1,0,0,0,6,6,1,9,9,"94.4%"
"12","Robbie Gould","K","SF","2021",10,10,"ppr",12,1,1,100,50,0,0,0,0,1,4,4,1,9,9,"42.9%"
"13","Nick Folk","K","NE","2021",10,10,"ppr",13,1,1,100,38,0,0,1,0,0,6,6,1,9,9,"75.5%"
"14","Brandon McManus","K","DEN","2021",10,10,"ppr",14,2,3,66.7,28,0,2,0,0,0,1,1,1,7,7,"36.0%"
"15","Ryan Succop","K","TB","2021",10,10,"ppr",15,2,2,100,31,0,1,1,0,0,1,2,1,7,7,"34.3%"
"16","Matt Ammendola","K","FA","2021",10,10,"ppr",16,1,1,100,48,0,0,0,1,0,2,2,1,6,6,"0.1%"
"17","Matt Prater","K","ARI","2021",10,10,"ppr",17,1,1,100,47,0,0,0,1,0,1,1,1,5,5,"14.9%"
"18","Justin Tucker","K","BAL","2021",10,10,"ppr",18,1,2,50,46,0,0,0,1,0,1,1,1,5,5,"99.0%"
"19","Lirim Hajrullahu","K","FA","2021",10,10,"ppr",19,0,0,0,0,0,0,0,0,0,5,5,1,5,5,"0.0%"
"20","Mason Crosby","K","GB","2021",10,10,"ppr",20,1,2,50,27,0,1,0,0,0,2,2,1,5,5,"3.2%"
"21","Matthew Wright","K","FA","2021",10,10,"ppr",21,1,2,50,56,0,0,0,0,1,0,1,1,5,5,"4.7%"
"22","Matt Gay","K","LAR","2021",10,10,"ppr",22,1,1,100,37,0,0,1,0,0,1,1,1,4,4,"41.5%"
"23","Ryan Santoso","K","FA","2021",10,10,"ppr",23,1,2,50,20,0,1,0,0,0,1,2,1,4,4,"0.0%"
"24","Younghoe Koo","K","ATL","2021",10,10,"ppr",24,1,1,100,35,0,0,1,0,0,0,0,1,3,3,"46.2%"
"25","Brian Johnson","K","FA","2021",10,10,"ppr",25,1,1,100,20,0,1,0,0,0,0,2,1,3,3,"0.0%"
"26","Daniel Carlson","K","LV","2021",10,10,"ppr",26,0,0,0,0,0,0,0,0,0,2,2,1,2,2,"96.6%"
"27","Chase McLaughlin","K","IND","2021",10,10,"ppr",27,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"4.0%"
"28","Jason Myers","K","SEA","2021",10,10,"ppr",28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"55.6%"
"29","Ty Long","K","FA","2021",10,10,"ppr",29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.7%"
"30","Michael Palardy","K","NE","2021",10,10,"ppr",30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"33.3%"
