"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Chicago Bears","DST","CHI","2021",17,17,"ppr",1,4,2,2,3,0,1,0,1,21,21,"2.2%"
"2","New Orleans Saints","DST","NO","2021",17,17,"ppr",2,7,1,1,1,0,0,0,1,15,15,"65.3%"
"3","Tennessee Titans","DST","TEN","2021",17,17,"ppr",3,4,1,1,1,0,0,0,1,15,15,"26.3%"
"4","Pittsburgh Steelers","DST","PIT","2021",17,17,"ppr",4,9,2,0,0,0,0,0,1,14,14,"53.2%"
"5","Baltimore Ravens","DST","BAL","2021",17,17,"ppr",5,1,2,1,1,1,0,0,1,14,14,"89.6%"
"6","Los Angeles Chargers","DST","LAC","2021",17,17,"ppr",6,1,0,1,0,0,0,1,1,13,13,"30.2%"
"7","Los Angeles Rams","DST","LAR","2021",17,17,"ppr",7,5,1,1,1,0,0,0,1,13,13,"34.3%"
"8","New England Patriots","DST","NE","2021",17,17,"ppr",8,2,3,0,0,0,0,0,1,12,12,"54.0%"
"9","San Francisco 49ers","DST","SF","2021",17,17,"ppr",9,3,1,0,2,0,0,0,1,9,9,"95.5%"
"10","Buffalo Bills","DST","BUF","2021",17,17,"ppr",10,5,0,1,1,0,0,0,1,8,8,"99.0%"
"11","Atlanta Falcons","DST","ATL","2021",17,17,"ppr",11,1,3,0,0,0,1,0,1,8,8,"1.7%"
"12","Indianapolis Colts","DST","IND","2021",17,17,"ppr",12,2,2,0,2,0,0,0,1,6,6,"52.4%"
"13","Green Bay Packers","DST","GB","2021",17,17,"ppr",13,2,0,0,0,0,0,0,1,6,6,"80.7%"
"14","Philadelphia Eagles","DST","PHI","2021",17,17,"ppr",14,3,1,0,0,0,0,0,1,6,6,"58.2%"
"15","Seattle Seahawks","DST","SEA","2021",17,17,"ppr",15,0,3,0,0,0,0,0,1,5,5,"20.5%"
"16","New York Giants","DST","NYG","2021",17,17,"ppr",16,2,2,0,0,0,0,0,1,5,5,"6.2%"
"17","Cleveland Browns","DST","CLE","2021",17,17,"ppr",17,2,1,0,1,0,0,0,1,4,4,"37.2%"
"18","Houston Texans","DST","HOU","2021",17,17,"ppr",18,1,1,0,0,0,0,0,1,3,3,"0.8%"
"19","Kansas City Chiefs","DST","KC","2021",17,17,"ppr",19,4,0,0,0,0,0,0,1,3,3,"47.9%"
"20","Tampa Bay Buccaneers","DST","TB","2021",17,17,"ppr",20,1,0,1,1,0,0,0,1,3,3,"81.2%"
"21","Carolina Panthers","DST","CAR","2021",17,17,"ppr",21,2,0,0,0,0,0,0,1,3,3,"14.1%"
"22","Arizona Cardinals","DST","ARI","2021",17,17,"ppr",22,1,0,1,2,0,0,0,1,3,3,"12.3%"
"23","Washington Commanders","DST","WAS","2021",17,17,"ppr",23,1,0,0,0,0,0,0,1,2,2,"54.8%"
"24","Las Vegas Raiders","DST","LV","2021",17,17,"ppr",24,1,0,0,1,0,0,0,1,2,2,"14.2%"
"25","New York Jets","DST","NYJ","2021",17,17,"ppr",25,1,1,0,0,0,0,0,1,2,2,"21.1%"
"26","Dallas Cowboys","DST","DAL","2021",17,17,"ppr",26,1,0,0,0,0,0,0,1,1,1,"90.0%"
"27","Miami Dolphins","DST","MIA","2021",17,17,"ppr",27,1,0,0,0,0,0,0,1,0,0,"25.9%"
"28","Denver Broncos","DST","DEN","2021",17,17,"ppr",28,0,0,0,0,0,0,0,1,-1,-1,"38.8%"
"29","Cincinnati Bengals","DST","CIN","2021",17,17,"ppr",29,0,0,0,0,0,0,0,1,-1,-1,"31.6%"
"30","Jacksonville Jaguars","DST","JAC","2021",17,17,"ppr",30,0,0,0,0,0,0,0,1,-2,-2,"3.8%"
"31","Detroit Lions","DST","DET","2021",17,17,"ppr",31,1,0,0,0,0,0,0,1,-3,-3,"2.5%"
"32","Minnesota Vikings","DST","MIN","2021",17,17,"ppr",32,0,0,0,0,0,0,0,1,-4,-4,"23.7%"
