"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Graham Gano","K","NYG","2022",2,2,"ppr",1,4,4,100,56,0,0,2,0,2,1,1,1,17,17,"61.0%"
"2","Evan McPherson","K","CIN","2022",2,2,"ppr",2,3,3,100,50,0,0,0,2,1,0,0,1,13,13,"86.6%"
"3","Daniel Carlson","K","LV","2022",2,2,"ppr",3,3,3,100,55,0,1,1,0,1,2,2,1,13,13,"96.6%"
"4","Brett Maher","K","DAL","2022",2,2,"ppr",4,2,2,100,54,0,0,0,0,2,2,2,1,12,12,"75.1%"
"5","Brandon McManus","K","DEN","2022",2,2,"ppr",5,3,3,100,50,0,2,0,0,1,1,1,1,12,12,"36.0%"
"6","Tyler Bass","K","BUF","2022",2,2,"ppr",6,2,2,100,49,0,0,1,1,0,5,5,1,12,12,"94.4%"
"7","Austin Seibert","K","FA","2022",2,2,"ppr",7,2,2,100,48,0,0,1,1,0,4,4,1,11,11,"0.3%"
"8","Ka'imi Fairbairn","K","HOU","2022",2,2,"ppr",8,3,3,100,44,0,1,0,2,0,0,0,1,11,11,"2.0%"
"9","Eddy Pineiro","K","CAR","2022",2,2,"ppr",9,3,3,100,38,0,0,3,0,0,1,1,1,10,10,"2.2%"
"10","Mason Crosby","K","GB","2022",2,2,"ppr",10,2,2,100,40,0,1,0,1,0,3,3,1,10,10,"3.2%"
"11","Ryan Succop","K","TB","2022",2,2,"ppr",11,2,2,100,47,0,0,0,2,0,2,2,1,10,10,"34.3%"
"12","Justin Tucker","K","BAL","2022",2,2,"ppr",12,1,1,100,51,0,0,0,0,1,5,5,1,10,10,"99.0%"
"13","Greg Zuerlein","K","NYJ","2022",2,2,"ppr",13,1,1,100,57,0,0,0,0,1,4,4,1,9,9,"15.9%"
"14","Robbie Gould","K","SF","2022",2,2,"ppr",14,2,3,66.7,33,0,1,1,0,0,3,3,1,9,9,"42.9%"
"15","Matt Ammendola","K","FA","2022",2,2,"ppr",15,2,2,100,31,1,0,1,0,0,3,3,1,9,9,"0.1%"
"16","Riley Patterson","K","JAC","2022",2,2,"ppr",16,1,1,100,52,0,0,0,0,1,3,3,1,8,8,"2.6%"
"17","Chris Boswell","K","PIT","2022",2,2,"ppr",17,2,2,100,52,0,0,1,0,1,0,0,1,8,8,"14.1%"
"18","Matt Gay","K","LAR","2022",2,2,"ppr",18,1,1,100,20,0,1,0,0,0,4,4,1,7,7,"41.5%"
"19","Jason Sanders","K","MIA","2022",2,2,"ppr",19,0,0,0,0,0,0,0,0,0,6,6,1,6,6,"13.2%"
"20","Jake Elliott","K","PHI","2022",2,2,"ppr",20,1,2,50,38,0,0,1,0,0,3,3,1,6,6,"27.9%"
"21","Cade York","K","CLE","2022",2,2,"ppr",21,1,1,100,22,0,1,0,0,0,3,4,1,6,6,"8.8%"
"22","Dustin Hopkins","K","LAC","2022",2,2,"ppr",22,1,1,100,31,0,0,1,0,0,3,3,1,6,6,"2.7%"
"23","Nick Folk","K","NE","2022",2,2,"ppr",23,1,2,50,28,0,1,0,0,0,2,2,1,5,5,"75.5%"
"24","Cairo Santos","K","CHI","2022",2,2,"ppr",24,1,1,100,44,0,0,0,1,0,1,1,1,5,5,"13.3%"
"25","Younghoe Koo","K","ATL","2022",2,2,"ppr",25,1,2,50,26,0,1,0,0,0,2,2,1,5,5,"46.2%"
"26","Wil Lutz","K","NO","2022",2,2,"ppr",26,1,1,100,31,0,0,1,0,0,1,1,1,4,4,"8.0%"
"27","Randy Bullock","K","TEN","2022",2,2,"ppr",27,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"1.5%"
"28","Matt Prater","K","ARI","2022",2,2,"ppr",28,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"14.9%"
"29","Joey Slye","K","WAS","2022",2,2,"ppr",29,0,0,0,0,0,0,0,0,0,1,2,1,1,1,"2.0%"
