"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"1","Saquon Barkley","RB","NYG","2019",16,16,"ppr","1","22","189","8.6","67","7","1","4","4","90","22.5","1","0","1","43.9","43.9","100.0%"
"2","Devonta Freeman","RB","FA","2019",16,16,"ppr","2","13","53","4.1","17","0","1","9","10","74","8.2","1","0","1","33.7","33.7","0.0%"
"3","Kenyan Drake","RB","BAL","2019",16,16,"ppr","3","24","166","6.9","80","4","2","3","4","18","6.0","0","0","1","33.4","33.4","26.8%"
"4","Christian McCaffrey","RB","SF","2019",16,16,"ppr","4","13","54","4.2","14","0","0","15","15","119","7.9","0","0","1","32.3","32.3","100.0%"
"5","Alvin Kamara","RB","NO","2019",16,16,"ppr","5","11","80","7.3","40","3","2","6","7","30","5.0","0","0","1","29.0","29.0","99.3%"
"6","Aaron Jones","RB","GB","2019",16,16,"ppr","6","23","154","6.7","56","4","2","2","3","6","3.0","0","1","1","28.0","28.0","99.6%"
"7","Miles Sanders","RB","PHI","2019",16,16,"ppr","7","20","79","4.0","38","2","1","5","6","77","15.4","0","0","1","26.6","26.6","96.5%"
"8","Melvin Gordon III","RB","KC","2019",16,16,"ppr","8","9","15","1.7","10","0","2","6","7","32","5.3","0","0","1","22.7","22.7","29.3%"
"9","Ronald Jones II","RB","KC","2019",16,16,"ppr","9","14","77","5.5","49","3","1","3","4","32","10.7","0","0","1","19.9","19.9","2.5%"
"10","Phillip Lindsay","RB","FA","2019",16,16,"ppr","10","19","109","5.7","27","1","1","2","3","9","4.5","0","0","1","19.8","19.8","0.4%"
"11","DeAndre Washington","RB","FA","2019",16,16,"ppr","11","23","85","3.7","13","0","1","2","3","21","10.5","0","0","1","18.6","18.6","11.0%"
"12","Damien Williams","RB","FA","2019",16,16,"ppr","12","16","65","4.1","12","0","0","3","3","27","9.0","1","0","1","18.2","18.2","1.1%"
