"","player","pos","team","season","start_week","end_week","scoring","rank","passing_cmp","passing_att","passing_pct","passing_yds","passing_y_a","passing_td","passing_int","passing_sacks","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Ben Roethlisberger","QB","FA","2017",14,14,"ppr","1","44","66","66.7","506","7.7","2","0","3","1","5","0","0","1","28.7","28.7","13.6%"
"2","Carson Wentz","QB","WAS","2017",14,14,"ppr","2","23","41","56.1","291","7.1","4","1","1","3","16","0","0","1","27.2","27.2","6.5%"
"3","Dak Prescott","QB","DAL","2017",14,14,"ppr","3","20","30","66.7","332","11.1","3","0","0","6","13","0","0","1","26.6","26.6","93.5%"
"4","Brett Hundley","QB","BAL","2017",14,14,"ppr","4","35","46","76.1","265","5.8","3","0","1","7","31","0","0","1","25.7","25.7","0.0%"
"5","Jay Cutler","QB","FA","2017",14,14,"ppr","5","25","38","65.8","263","6.9","3","0","2","4","4","0","0","1","22.9","22.9","0.2%"
"6","Russell Wilson","QB","DEN","2017",14,14,"ppr","6","17","31","54.8","271","8.7","3","3","2","5","50","0","0","1","21.8","21.8","43.7%"
"7","Mitch Trubisky","QB","PIT","2017",14,14,"ppr","7","25","32","78.1","271","8.5","1","0","2","2","5","1","0","1","21.3","21.3","0.8%"
"8","Philip Rivers","QB","FA","2017",14,14,"ppr","8","18","31","58.1","319","10.3","2","0","2","0","0","0","0","1","20.8","20.8","20.6%"
"9","Case Keenum","QB","BUF","2017",14,14,"ppr","9","27","44","61.4","280","6.4","2","2","6","5","40","0","1","1","19.2","19.2","0.4%"
"10","Blake Bortles","QB","FA","2017",14,14,"ppr","10","18","27","66.7","268","9.9","2","0","0","7","-2","0","0","1","18.5","18.5","0.0%"
"11","T.J. Yates","QB","FA","2017",14,14,"ppr","11","14","26","53.8","175","6.7","2","0","1","3","31","0","0","1","18.1","18.1","0.0%"
"12","DeShone Kizer","QB","FA","2017",14,14,"ppr","12","20","28","71.4","214","7.6","3","2","2","2","7","0","0","1","17.3","17.3","0.0%"
"13","Drew Brees","QB","FA","2017",14,14,"ppr","13","26","35","74.3","271","7.7","2","1","2","1","2","0","0","1","17.0","17.0","35.7%"
"14","Joe Flacco","QB","NYJ","2017",14,14,"ppr","14","20","35","57.1","269","7.7","2","1","1","0","0","0","0","1","16.8","16.8","0.3%"
"15","Matthew Stafford","QB","LAR","2017",14,14,"ppr","15","36","44","81.8","381","8.7","1","2","0","0","0","0","0","1","15.2","15.2","29.7%"
"16","Jimmy Garoppolo","QB","SF","2017",14,14,"ppr","16","20","33","60.6","334","10.1","1","1","2","5","-3","0","0","1","15.1","15.1","16.2%"
"17","Cam Newton","QB","FA","2017",14,14,"ppr","17","13","25","52.0","137","5.5","1","1","2","11","70","0","0","1","14.5","14.5","9.1%"
"18","Jameis Winston","QB","NO","2017",14,14,"ppr","18","26","38","68.4","285","7.5","2","2","3","2","10","0","1","1","14.4","14.4","5.6%"
"19","Jared Goff","QB","DET","2017",14,14,"ppr","19","16","26","61.5","199","7.7","2","0","2","2","2","0","1","1","14.2","14.2","60.4%"
"20","Trevor Siemian","QB","CHI","2017",14,14,"ppr","20","19","31","61.3","200","6.5","1","0","2","3","13","0","0","1","13.3","13.3","0.1%"
"21","Alex Smith","QB","FA","2017",14,14,"ppr","21","20","34","58.8","268","7.9","0","1","4","5","24","0","0","1","11.1","11.1","5.0%"
"22","Derek Carr","QB","LV","2017",14,14,"ppr","22","24","41","58.5","211","5.1","1","2","3","0","0","0","0","1","10.4","10.4","64.3%"
"23","Tom Brady","QB","TB","2017",14,14,"ppr","23","24","43","55.8","233","5.4","1","2","2","0","0","0","0","1","9.3","9.3","86.0%"
"24","Eli Manning","QB","FA","2017",14,14,"ppr","24","31","46","67.4","228","5.0","1","2","0","0","0","0","0","1","9.1","9.1","2.3%"
"25","Kirk Cousins","QB","MIN","2017",14,14,"ppr","25","15","27","55.6","151","5.6","1","1","2","2","8","0","0","1","8.8","8.8","87.8%"
"26","Blaine Gabbert","QB","TB","2017",14,14,"ppr","26","17","26","65.4","178","6.8","0","0","8","4","12","0","0","1","8.3","8.3","0.0%"
"27","Jacoby Brissett","QB","CLE","2017",14,14,"ppr","27","11","22","50.0","69","3.1","1","0","1","3","10","0","0","1","7.8","7.8","4.8%"
"28","Andy Dalton","QB","NO","2017",14,14,"ppr","28","14","29","48.3","141","4.9","1","1","2","0","0","0","0","1","7.6","7.6","12.2%"
"29","Nathan Peterman","QB","CHI","2017",14,14,"ppr","29","5","10","50.0","57","5.7","1","0","0","4","10","0","0","1","7.3","7.3","0.1%"
"30","Matt Ryan","QB","IND","2017",14,14,"ppr","30","15","27","55.6","221","8.2","1","3","1","3","0","0","0","1","6.8","6.8","10.6%"
"31","Marcus Mariota","QB","ATL","2017",14,14,"ppr","31","16","31","51.6","159","5.1","0","2","3","2","11","0","0","1","3.5","3.5","19.4%"
"32","Nick Foles","QB","IND","2017",14,14,"ppr","32","6","10","60.0","42","4.2","0","0","1","1","9","0","0","1","2.6","2.6","0.0%"
"33","Tom Savage","QB","FA","2017",14,14,"ppr","33","6","12","50.0","63","5.3","0","0","2","0","0","0","0","1","2.5","2.5","0.0%"
"34","Joe Webb III","QB","FA","2017",14,14,"ppr","34","2","6","33.3","35","5.8","0","1","0","5","27","0","0","1","2.1","2.1","0.0%"
"35","AJ McCarron","QB","FA","2017",14,14,"ppr","35","4","8","50.0","47","5.9","0","0","1","0","0","0","0","1","1.9","1.9","0.0%"
"36","Bryce Petty","QB","FA","2017",14,14,"ppr","36","2","9","22.2","14","1.6","0","0","0","1","7","0","0","1","1.3","1.3","0.0%"
"37","Taysom Hill","QB","NO","2017",14,14,"ppr","37","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","45.3%"
"38","Darius Hillary","QB","FA","2017",14,14,"ppr","38","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"39","Josh McCown","QB","FA","2017",14,14,"ppr","39","6","12","50.0","46","3.8","0","1","4","2","7","0","1","1","-1.5","-1.5","0.0%"
"40","Kellen Clemens","QB","FA","2017",14,14,"ppr","40","1","3","33.3","3","1.0","0","1","0","0","0","0","0","1","-1.9","-1.9","0.0%"
