"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Dan Bailey","K","FA","2016",1,1,"ppr",1,4,4,100,56,0,2,0,0,2,1,1,1,17,17,"0.0%"
"2","Blair Walsh","K","FA","2016",1,1,"ppr",2,4,6,66.7,50,0,0,2,1,1,1,2,1,16,16,"0.1%"
"3","Stephen Gostkowski","K","FA","2016",1,1,"ppr",3,3,3,100,53,0,0,1,1,1,2,2,1,14,14,"0.0%"
"4","Jason Myers","K","SEA","2016",1,1,"ppr",4,3,3,100,50,0,1,1,0,1,2,2,1,13,13,"55.6%"
"5","Mike Nugent","K","FA","2016",1,1,"ppr",5,3,4,75,47,0,1,1,1,0,2,2,1,12,12,"1.0%"
"6","Adam Vinatieri","K","FA","2016",1,1,"ppr",6,2,2,100,50,0,0,0,1,1,3,3,1,12,12,"0.2%"
"7","Wil Lutz","K","NO","2016",1,1,"ppr",7,2,4,50,42,0,1,0,1,0,4,4,1,11,11,"8.0%"
"8","Nick Novak","K","FA","2016",1,1,"ppr",8,3,3,100,38,0,2,1,0,0,2,2,1,11,11,"0.1%"
"9","Nick Folk","K","NE","2016",1,1,"ppr",9,3,4,75,45,0,2,0,1,0,1,2,1,11,11,"75.5%"
"10","Dustin Hopkins","K","LAC","2016",1,1,"ppr",10,3,3,100,40,0,0,2,1,0,1,1,1,11,11,"2.7%"
"11","Matt Bryant","K","FA","2016",1,1,"ppr",11,3,3,100,34,0,1,2,0,0,1,1,1,10,10,"1.1%"
"12","Cairo Santos","K","CHI","2016",1,1,"ppr",12,2,2,100,47,0,0,1,1,0,3,3,1,10,10,"13.3%"
"13","Chris Boswell","K","PIT","2016",1,1,"ppr",13,1,1,100,46,0,0,0,1,0,5,5,1,9,9,"14.1%"
"14","Mason Crosby","K","GB","2016",1,1,"ppr",14,2,2,100,25,0,2,0,0,0,3,3,1,9,9,"3.2%"
"15","Justin Tucker","K","BAL","2016",1,1,"ppr",15,2,2,100,50,0,0,1,0,1,1,1,1,9,9,"99.0%"
"16","Caleb Sturgis","K","FA","2016",1,1,"ppr",16,2,3,66.7,38,0,1,1,0,0,3,3,1,9,9,"0.0%"
"17","Josh Lambo","K","FA","2016",1,1,"ppr",17,2,3,66.7,29,0,2,0,0,0,3,3,1,9,9,"0.0%"
"18","Graham Gano","K","NYG","2016",1,1,"ppr",18,2,3,66.7,44,0,0,1,1,0,2,2,1,9,9,"61.0%"
"19","Sebastian Janikowski","K","FA","2016",1,1,"ppr",19,2,2,100,47,0,0,1,1,0,1,1,1,8,8,"20.0%"
"20","Matt Prater","K","ARI","2016",1,1,"ppr",20,1,1,100,43,0,0,0,1,0,4,5,1,8,8,"14.9%"
"21","Roberto Aguayo","K","FA","2016",1,1,"ppr",21,1,1,100,43,0,0,0,1,0,4,4,1,8,8,"0.1%"
"22","Stephen Hauschka","K","FA","2016",1,1,"ppr",22,2,2,100,39,0,0,2,0,0,0,1,1,6,6,"0.0%"
"23","Andrew Franks","K","FA","2016",1,1,"ppr",23,1,2,50,41,0,0,0,1,0,1,1,1,5,5,"0.0%"
"24","Ryan Succop","K","TB","2016",1,1,"ppr",24,1,1,100,28,0,1,0,0,0,1,1,1,4,4,"34.3%"
"25","Patrick Murray","K","FA","2016",1,1,"ppr",25,1,1,100,35,0,0,1,0,0,1,1,1,4,4,"1.0%"
"26","Phil Dawson","K","FA","2016",1,1,"ppr",26,0,0,0,0,0,0,0,0,0,4,4,1,4,4,"0.1%"
"27","Chandler Catanzaro","K","FA","2016",1,1,"ppr",27,0,1,0,0,0,0,0,0,0,3,3,1,3,3,"0.0%"
"28","Brandon McManus","K","DEN","2016",1,1,"ppr",28,0,0,0,0,0,0,0,0,0,3,3,1,3,3,"36.0%"
"29","Connor Barth","K","FA","2016",1,1,"ppr",29,0,0,0,0,0,0,0,0,0,2,2,1,2,2,"0.0%"
"30","Randy Bullock","K","TEN","2016",1,1,"ppr",30,0,0,0,0,0,0,0,0,0,2,3,1,2,2,"1.5%"
"31","Dan Carpenter","K","FA","2016",1,1,"ppr",31,0,1,0,0,0,0,0,0,0,1,1,1,1,1,"0.2%"
"32","Jordan Gay","K","FA","2016",1,1,"ppr",32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
"33","Greg Zuerlein","K","NYJ","2016",1,1,"ppr",33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"15.9%"
