"","player","pos","team","season","start_week","end_week","scoring","rank","passing_cmp","passing_att","passing_pct","passing_yds","passing_y_a","passing_td","passing_int","passing_sacks","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Kyler Murray","QB","ARI","2020",9,9,"ppr","1","21","26","80.8","283","10.9","3","0","1","11","106","1","1","1","37.9","37.9","62.1%"
"2","Josh Allen","QB","BUF","2020",9,9,"ppr","2","31","38","81.6","415","10.9","3","0","7","7","14","1","0","1","36.0","36.0","100.0%"
"3","Patrick Mahomes II","QB","KC","2020",9,9,"ppr","3","30","45","66.7","372","8.3","4","0","2","1","6","0","0","1","31.5","31.5","100.0%"
"4","Drew Lock","QB","SEA","2020",9,9,"ppr","4","25","48","52.1","313","6.5","2","1","1","7","47","1","0","1","30.2","30.2","0.2%"
"5","Aaron Rodgers","QB","GB","2020",9,9,"ppr","5","25","31","80.6","305","9.8","4","0","1","1","7","0","0","1","28.9","28.9","75.1%"
"6","Teddy Bridgewater","QB","MIA","2020",9,9,"ppr","6","36","49","73.5","310","6.3","2","0","2","2","19","1","0","1","28.3","28.3","0.6%"
"7","Ben Roethlisberger","QB","FA","2020",9,9,"ppr","7","29","42","69.0","306","7.3","3","0","0","1","8","0","0","1","25.0","25.0","13.6%"
"8","Cam Newton","QB","FA","2020",9,9,"ppr","8","27","35","77.1","274","7.8","0","0","0","10","16","2","0","1","24.6","24.6","9.1%"
"9","Deshaun Watson","QB","CLE","2020",9,9,"ppr","9","19","32","59.4","281","8.8","2","0","2","10","50","0","0","1","24.2","24.2","75.7%"
"10","Russell Wilson","QB","DEN","2020",9,9,"ppr","10","28","41","68.3","390","9.5","2","2","5","2","5","1","2","1","24.1","24.1","43.7%"
"11","Matt Ryan","QB","IND","2020",9,9,"ppr","11","25","35","71.4","284","8.1","3","1","2","3","10","0","0","1","23.4","23.4","10.6%"
"12","Justin Herbert","QB","LAC","2020",9,9,"ppr","12","28","42","66.7","326","7.8","2","0","2","5","24","0","0","1","23.4","23.4","98.8%"
