"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Jake Elliott","K","PHI","2021",13,13,"ppr",1,4,4,100,46,0,0,2,2,0,3,3,1,17,17,"27.9%"
"2","Matt Gay","K","LAR","2021",13,13,"ppr",2,3,3,100,44,0,0,1,2,0,4,4,1,15,15,"41.5%"
"3","Harrison Butker","K","KC","2021",13,13,"ppr",3,3,3,100,56,0,1,0,1,1,1,2,1,13,13,"91.8%"
"4","Riley Patterson","K","JAC","2021",13,13,"ppr",4,3,3,100,49,0,0,1,2,0,2,2,1,13,13,"2.6%"
"5","Graham Gano","K","NYG","2021",13,13,"ppr",5,3,4,75,51,0,0,2,0,1,0,0,1,11,11,"61.0%"
"6","Greg Zuerlein","K","NYJ","2021",13,13,"ppr",6,2,2,100,55,0,0,1,0,1,3,3,1,11,11,"15.9%"
"7","Daniel Carlson","K","LV","2021",13,13,"ppr",7,3,3,100,52,0,0,2,0,1,0,0,1,11,11,"96.6%"
"8","Dustin Hopkins","K","LAC","2021",13,13,"ppr",8,2,2,100,43,0,0,0,2,0,3,4,1,11,11,"2.7%"
"9","Greg Joseph","K","MIN","2021",13,13,"ppr",9,3,3,100,41,0,0,2,1,0,0,0,1,10,10,"28.3%"
"10","Jason Sanders","K","MIA","2021",13,13,"ppr",10,2,3,66.7,48,0,0,0,2,0,2,2,1,10,10,"13.2%"
"11","Matt Prater","K","ARI","2021",13,13,"ppr",11,2,2,100,33,0,1,1,0,0,3,3,1,9,9,"14.9%"
"12","Chris Boswell","K","PIT","2021",13,13,"ppr",12,2,2,100,53,0,0,0,1,1,0,1,1,9,9,"14.1%"
"13","Justin Tucker","K","BAL","2021",13,13,"ppr",13,2,2,100,35,0,1,1,0,0,1,1,1,7,7,"99.0%"
"14","Michael Badgley","K","DET","2021",13,13,"ppr",14,1,2,50,23,0,1,0,0,0,4,4,1,7,7,"27.0%"
"15","Robbie Gould","K","SF","2021",13,13,"ppr",15,1,1,100,50,0,0,0,0,1,2,3,1,7,7,"42.9%"
"16","Nick Folk","K","NE","2021",13,13,"ppr",16,2,2,100,41,0,0,1,1,0,0,0,1,7,7,"75.5%"
"17","Brian Johnson","K","FA","2021",13,13,"ppr",17,1,1,100,48,0,0,0,1,0,2,2,1,6,6,"0.0%"
"18","Brett Maher","K","DAL","2021",13,13,"ppr",18,1,2,50,42,0,0,0,1,0,2,2,1,6,6,"75.1%"
"19","Ryan Succop","K","TB","2021",13,13,"ppr",19,1,1,100,31,0,0,1,0,0,3,4,1,6,6,"34.3%"
"20","Younghoe Koo","K","ATL","2021",13,13,"ppr",20,1,1,100,21,0,1,0,0,0,2,2,1,5,5,"46.2%"
"21","Evan McPherson","K","CIN","2021",13,13,"ppr",21,1,1,100,48,0,0,0,1,0,1,2,1,5,5,"86.6%"
"22","Jason Myers","K","SEA","2021",13,13,"ppr",22,0,1,0,0,0,0,0,0,0,4,4,1,4,4,"55.6%"
"23","Tyler Bass","K","BUF","2021",13,13,"ppr",23,1,2,50,35,0,0,1,0,0,1,1,1,4,4,"94.4%"
"24","Brandon McManus","K","DEN","2021",13,13,"ppr",24,1,1,100,42,0,0,0,1,0,0,0,1,4,4,"36.0%"
"25","Cairo Santos","K","CHI","2021",13,13,"ppr",25,0,0,0,0,0,0,0,0,0,2,2,1,2,2,"13.3%"
"26","Matthew Wright","K","FA","2021",13,13,"ppr",26,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"4.7%"
"27","Ka'imi Fairbairn","K","HOU","2021",13,13,"ppr",27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"2.0%"
"28","Alex Kessman","K","FA","2021",13,13,"ppr",28,0,0,0,0,0,0,0,0,0,0,2,1,0,0,"0.0%"
"29","Ty Long","K","FA","2021",13,13,"ppr",29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.7%"
"30","Michael Palardy","K","NE","2021",13,13,"ppr",30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"33.3%"
