"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"118","Nick Bowers (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Feleipe Franks (ATL)","0","2","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"120","Jake Bargas (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Jaeden Graham (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","David Wells (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Kevin Rader (TEN)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"125","Jordan Franks (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Chase Allen (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Matt Sokol (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Matthew Orzech (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"129","Ian Bunting (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Jared Pinkney (LAR)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"131","Devin Asiasi (CIN)","0","2","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"132","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"133","Tyree Jackson (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"134","John Lovett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Hunter Kampmoyer (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Zach Davidson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","John Raine (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Bernhard Seikovits (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Nick Guggemos (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Jeremy Ruckert (NYJ)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Austin Allen (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"142","Jalen Wydermyer (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Sammis Reyes (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Ben Mason (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"145","Jake Tonges (CHI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
