"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","New England Patriots","DST","NE","2016",16,16,"ppr",1,2,3,1,1,0,0,0,1,17,17,"54.0%"
"2","Philadelphia Eagles","DST","PHI","2016",16,16,"ppr",2,0,3,0,0,1,0,0,1,13,13,"58.2%"
"3","Washington Commanders","DST","WAS","2016",16,16,"ppr",3,1,5,0,0,0,0,0,1,12,12,"54.8%"
"4","Jacksonville Jaguars","DST","JAC","2016",16,16,"ppr",4,3,1,0,0,1,0,0,1,12,12,"3.8%"
"5","Los Angeles Chargers","DST","LAC","2016",16,16,"ppr",5,9,0,0,0,0,0,0,1,10,10,"30.2%"
"6","Kansas City Chiefs","DST","KC","2016",16,16,"ppr",6,0,1,2,1,0,0,0,1,10,10,"47.9%"
"7","Houston Texans","DST","HOU","2016",16,16,"ppr",7,3,1,0,0,0,0,0,1,9,9,"0.8%"
"8","Cincinnati Bengals","DST","CIN","2016",16,16,"ppr",8,4,0,0,1,0,0,0,1,9,9,"31.6%"
"9","Los Angeles Rams","DST","LAR","2016",16,16,"ppr",9,4,1,1,2,0,0,0,1,8,8,"34.3%"
"10","San Francisco 49ers","DST","SF","2016",16,16,"ppr",10,4,2,0,1,0,0,0,1,8,8,"95.5%"
"11","Arizona Cardinals","DST","ARI","2016",16,16,"ppr",11,6,0,1,0,0,0,0,1,8,8,"12.3%"
"12","Green Bay Packers","DST","GB","2016",16,16,"ppr",12,4,0,2,1,0,0,0,1,8,8,"80.7%"
"13","Dallas Cowboys","DST","DAL","2016",16,16,"ppr",13,4,1,1,2,0,0,0,1,8,8,"90.0%"
"14","Atlanta Falcons","DST","ATL","2016",16,16,"ppr",14,2,2,0,0,0,0,0,1,7,7,"1.7%"
"15","New Orleans Saints","DST","NO","2016",16,16,"ppr",15,2,2,0,0,0,0,0,1,6,6,"65.3%"
"16","Las Vegas Raiders","DST","LV","2016",16,16,"ppr",16,0,2,1,1,0,0,0,1,6,6,"14.2%"
"17","Carolina Panthers","DST","CAR","2016",16,16,"ppr",17,4,0,0,1,0,0,0,1,4,4,"14.1%"
"18","Cleveland Browns","DST","CLE","2016",16,16,"ppr",18,0,1,0,0,0,0,0,1,4,4,"37.2%"
"19","Pittsburgh Steelers","DST","PIT","2016",16,16,"ppr",19,2,1,0,1,0,0,0,1,4,4,"53.2%"
"20","Tennessee Titans","DST","TEN","2016",16,16,"ppr",20,2,0,1,1,0,0,0,1,3,3,"26.3%"
"21","Baltimore Ravens","DST","BAL","2016",16,16,"ppr",21,0,2,0,0,0,0,0,1,3,3,"89.6%"
"22","New York Giants","DST","NYG","2016",16,16,"ppr",22,0,1,0,0,0,0,0,1,3,3,"6.2%"
"23","Seattle Seahawks","DST","SEA","2016",16,16,"ppr",23,1,0,1,0,0,0,0,1,2,2,"20.5%"
"24","Tampa Bay Buccaneers","DST","TB","2016",16,16,"ppr",24,2,0,0,1,0,0,0,1,1,1,"81.2%"
"25","Buffalo Bills","DST","BUF","2016",16,16,"ppr",25,0,1,0,0,0,0,0,1,1,1,"99.0%"
"26","Miami Dolphins","DST","MIA","2016",16,16,"ppr",26,2,0,0,0,0,0,0,1,1,1,"25.9%"
"27","Denver Broncos","DST","DEN","2016",16,16,"ppr",27,0,1,0,2,0,0,0,1,1,1,"38.8%"
"28","Indianapolis Colts","DST","IND","2016",16,16,"ppr",28,1,0,0,1,0,0,0,1,1,1,"52.4%"
"29","Minnesota Vikings","DST","MIN","2016",16,16,"ppr",29,4,0,0,0,0,0,0,1,0,0,"23.7%"
"30","Detroit Lions","DST","DET","2016",16,16,"ppr",30,1,0,0,0,0,0,0,1,-3,-3,"2.5%"
"31","New York Jets","DST","NYJ","2016",16,16,"ppr",31,1,0,0,1,0,0,0,1,-3,-3,"21.1%"
"32","Chicago Bears","DST","CHI","2016",16,16,"ppr",32,0,0,0,0,0,0,0,1,-4,-4,"2.2%"
