"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Chris Boswell","K","PIT","2021",9,9,"ppr",1,3,3,100,54,0,0,0,1,2,2,3,1,16,16,"14.1%"
"2","Brandon McManus","K","DEN","2021",9,9,"ppr",2,3,4,75,53,0,1,0,1,1,1,2,1,13,13,"36.0%"
"3","Matt Gay","K","LAR","2021",9,9,"ppr",3,3,3,100,54,0,1,1,0,1,1,1,1,12,12,"41.5%"
"4","Graham Gano","K","NYG","2021",9,9,"ppr",4,3,3,100,38,0,0,3,0,0,2,2,1,11,11,"61.0%"
"5","Chase McLaughlin","K","IND","2021",9,9,"ppr",5,2,3,66.7,28,0,2,0,0,0,5,5,1,11,11,"4.0%"
"6","Matthew Wright","K","FA","2021",9,9,"ppr",6,3,4,75,55,0,1,1,0,1,0,0,1,11,11,"4.7%"
"7","Daniel Carlson","K","LV","2021",9,9,"ppr",7,3,4,75,32,0,2,1,0,0,1,1,1,10,10,"96.6%"
"8","Justin Tucker","K","BAL","2021",9,9,"ppr",8,2,2,100,37,0,0,2,0,0,4,4,1,10,10,"99.0%"
"9","Ka'imi Fairbairn","K","HOU","2021",9,9,"ppr",9,3,3,100,40,0,1,1,1,0,0,0,1,10,10,"2.0%"
"10","Harrison Butker","K","KC","2021",9,9,"ppr",10,2,2,100,55,0,1,0,0,1,1,1,1,9,9,"91.8%"
"11","Brian Johnson","K","FA","2021",9,9,"ppr",11,2,2,100,52,0,0,1,0,1,1,1,1,9,9,"0.0%"
"12","Younghoe Koo","K","ATL","2021",9,9,"ppr",12,2,2,100,32,0,1,1,0,0,3,3,1,9,9,"46.2%"
"13","Michael Badgley","K","DET","2021",9,9,"ppr",13,1,1,100,39,0,0,1,0,0,6,6,1,9,9,"27.0%"
"14","Cairo Santos","K","CHI","2021",9,9,"ppr",14,2,3,66.7,30,0,1,1,0,0,3,3,1,9,9,"13.3%"
"15","Matt Prater","K","ARI","2021",9,9,"ppr",15,1,1,100,26,0,1,0,0,0,4,4,1,7,7,"14.9%"
"16","Zane Gonzalez","K","CAR","2021",9,9,"ppr",16,2,2,100,49,0,0,1,1,0,0,0,1,7,7,"0.1%"
"17","Greg Joseph","K","MIN","2021",9,9,"ppr",17,1,1,100,36,0,0,1,0,0,4,4,1,7,7,"28.3%"
"18","Dustin Hopkins","K","LAC","2021",9,9,"ppr",18,2,2,100,30,0,1,1,0,0,1,2,1,7,7,"2.7%"
"19","Tyler Bass","K","BUF","2021",9,9,"ppr",19,2,2,100,41,0,1,0,1,0,0,0,1,7,7,"94.4%"
"20","Jason Sanders","K","MIA","2021",9,9,"ppr",20,1,1,100,42,0,0,0,1,0,2,2,1,6,6,"13.2%"
"21","Nick Folk","K","NE","2021",9,9,"ppr",21,1,2,50,37,0,0,1,0,0,3,3,1,6,6,"75.5%"
"22","Jake Elliott","K","PHI","2021",9,9,"ppr",22,1,1,100,24,0,1,0,0,0,3,3,1,6,6,"27.9%"
"23","Matt Ammendola","K","FA","2021",9,9,"ppr",23,1,1,100,33,0,0,1,0,0,3,3,1,6,6,"0.1%"
"24","Robbie Gould","K","SF","2021",9,9,"ppr",24,1,1,100,26,0,1,0,0,0,2,2,1,5,5,"42.9%"
"25","Randy Bullock","K","TEN","2021",9,9,"ppr",25,0,0,0,0,0,0,0,0,0,4,4,1,4,4,"1.5%"
"26","Evan McPherson","K","CIN","2021",9,9,"ppr",26,1,1,100,27,0,1,0,0,0,1,1,1,4,4,"86.6%"
"27","Mason Crosby","K","GB","2021",9,9,"ppr",27,0,2,0,0,0,0,0,0,0,1,1,1,1,1,"3.2%"
"28","Michael Palardy","K","NE","2021",9,9,"ppr",28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"33.3%"
"29","Greg Zuerlein","K","NYJ","2021",9,9,"ppr",29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"15.9%"
