"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Darren Waller","TE","LV","2020",13,13,"ppr","1","13","17","200","15.4","38","4","2","0","0","0","0","1","45.0","45.0","74.7%"
"2","Travis Kelce","TE","KC","2020",13,13,"ppr","2","8","12","136","17.0","28","3","1","0","0","0","0","1","27.6","27.6","100.0%"
"3","Logan Thomas","TE","WAS","2020",13,13,"ppr","3","9","9","98","10.9","30","2","1","0","0","0","0","1","24.8","24.8","6.9%"
"4","Mike Gesicki","TE","MIA","2020",13,13,"ppr","4","9","11","88","9.8","20","1","1","0","0","0","0","1","23.8","23.8","37.4%"
"5","Dan Arnold","TE","JAC","2020",13,13,"ppr","5","2","3","61","30.5","59","4","2","0","0","0","0","1","20.1","20.1","0.1%"
"6","T.J. Hockenson","TE","MIN","2020",13,13,"ppr","6","7","9","84","12.0","24","1","0","0","0","0","0","1","15.4","15.4","98.5%"
"7","Cole Kmet","TE","CHI","2020",13,13,"ppr","7","5","7","37","7.4","13","0","1","0","0","0","0","1","14.7","14.7","69.3%"
"8","Robert Tonyan","TE","GB","2020",13,13,"ppr","8","4","5","39","9.8","25","1","1","0","0","0","0","1","13.9","13.9","25.9%"
"9","Eric Ebron","TE","FA","2020",13,13,"ppr","9","7","11","68","9.7","22","1","0","0","0","0","0","1","13.8","13.8","0.0%"
"10","Dawson Knox","TE","BUF","2020",13,13,"ppr","10","4","4","27","6.8","12","0","1","0","0","0","0","1","12.7","12.7","74.4%"
"11","Tyler Higbee","TE","LAR","2020",13,13,"ppr","11","4","6","24","6.0","16","0","1","0","0","0","0","1","12.4","12.4","71.9%"
"12","Jordan Reed","TE","FA","2020",13,13,"ppr","12","3","4","32","10.7","17","0","1","0","0","0","0","1","12.2","12.2","19.0%"
"13","Drew Sample","TE","CIN","2020",13,13,"ppr","13","7","7","49","7.0","15","0","0","0","0","0","0","1","11.9","11.9","0.0%"
"14","Jared Cook","TE","FA","2020",13,13,"ppr","14","3","5","28","9.3","11","0","1","0","0","0","0","1","11.8","11.8","0.0%"
"15","Dallas Goedert","TE","PHI","2020",13,13,"ppr","15","5","7","66","13.2","41","3","0","0","0","0","0","1","11.6","11.6","88.2%"
"16","Tyler Eifert","TE","FA","2020",13,13,"ppr","16","6","6","45","7.5","13","0","0","0","0","0","0","1","10.5","10.5","0.0%"
"17","Gerald Everett","TE","LAC","2020",13,13,"ppr","17","6","7","44","7.3","22","1","0","0","0","0","0","1","10.4","10.4","84.7%"
"18","Anthony Firkser","TE","ATL","2020",13,13,"ppr","18","5","7","51","10.2","14","0","0","0","0","0","0","1","10.1","10.1","0.0%"
"19","Noah Fant","TE","SEA","2020",13,13,"ppr","19","4","7","57","14.3","37","2","0","0","0","0","0","1","9.7","9.7","30.3%"
"20","MyCole Pruitt","TE","ATL","2020",13,13,"ppr","20","1","2","22","22.0","22","1","1","0","0","0","0","1","9.2","9.2","0.1%"
"21","Dalton Schultz","TE","DAL","2020",13,13,"ppr","21","4","4","44","11.0","19","0","0","0","0","0","0","1","8.4","8.4","96.1%"
"22","James O'Shaughnessy","TE","MIN","2020",13,13,"ppr","22","4","6","41","10.3","24","1","0","0","0","0","0","1","8.1","8.1","0.0%"
"23","Jesse James","TE","CLE","2020",13,13,"ppr","23","1","3","9","9.0","9","0","1","0","0","0","0","1","7.9","7.9","0.0%"
"24","Evan Engram","TE","JAC","2020",13,13,"ppr","24","4","8","32","8.0","11","0","0","0","0","0","0","1","7.2","7.2","68.5%"
"25","Will Dissly","TE","SEA","2020",13,13,"ppr","25","4","5","28","7.0","10","0","0","0","0","0","0","1","6.8","6.8","3.3%"
"26","Charlie Woerner","TE","SF","2020",13,13,"ppr","26","2","2","33","16.5","18","0","0","0","0","0","0","1","5.3","5.3","0.0%"
"27","Mo Alie-Cox","TE","IND","2020",13,13,"ppr","27","3","5","23","7.7","17","0","0","0","0","0","0","1","5.3","5.3","2.0%"
"28","Zach Ertz","TE","ARI","2020",13,13,"ppr","28","2","4","31","15.5","20","1","0","0","0","0","0","1","5.1","5.1","32.6%"
"29","Ryan Griffin","TE","CHI","2020",13,13,"ppr","29","2","2","31","15.5","18","0","0","0","0","0","0","1","5.1","5.1","0.0%"
"30","Jacob Hollister","TE","FA","2020",13,13,"ppr","30","3","4","20","6.7","10","0","0","0","0","0","0","1","5.0","5.0","0.0%"
"31","Ross Dwelley","TE","SF","2020",13,13,"ppr","31","2","2","29","14.5","17","0","0","0","0","0","0","1","4.9","4.9","0.0%"
"32","Marcedes Lewis","TE","GB","2020",13,13,"ppr","32","1","1","36","36.0","36","2","0","0","0","0","0","1","4.6","4.6","0.1%"
"33","Austin Hooper","TE","TEN","2020",13,13,"ppr","33","2","2","24","12.0","16","0","0","0","0","0","0","1","4.4","4.4","13.8%"
"34","Donald Parham Jr.","TE","LAC","2020",13,13,"ppr","34","2","4","21","10.5","12","0","0","0","0","0","0","1","4.1","4.1","0.1%"
"35","Adam Trautman","TE","NO","2020",13,13,"ppr","35","3","3","9","3.0","5","0","0","0","0","0","0","1","3.9","3.9","0.7%"
"36","Durham Smythe","TE","MIA","2020",13,13,"ppr","36","2","2","16","8.0","11","0","0","0","0","0","0","1","3.6","3.6","0.1%"
"37","Jordan Akins","TE","HOU","2020",13,13,"ppr","37","2","3","10","5.0","9","0","0","0","0","0","0","1","3.0","3.0","0.8%"
"38","Nick Vannett","TE","NYG","2020",13,13,"ppr","38","2","2","7","3.5","7","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"39","Nick Keizer","TE","FA","2020",13,13,"ppr","39","1","1","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"40","Luke Willson","TE","FA","2020",13,13,"ppr","40","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"41","Jack Doyle","TE","FA","2020",13,13,"ppr","41","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","2.0%"
