"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"49","Bryce Perkins (LAR)","19","34","55.9","161","4.7","1","2","6","18","92","0","0","4","17.7","4.4","0.7%"
"50","Sam Ehlinger (IND)","32","52","61.5","304","5.8","0","1","11","11","54","0","1","2","14.5","7.3","0.9%"
"51","Trey Lance (SF)","15","31","48.4","194","6.3","0","1","2","16","67","0","0","3","13.5","4.5","15.3%"
"52","Brett Rypien (DEN)","28","54","51.9","241","4.5","1","2","1","4","9","0","0","2","12.5","6.3","0.5%"
"53","Tyrod Taylor (NYG)","6","8","75.0","58","7.3","1","1","3","5","70","0","1","3","12.3","4.1","0.1%"
"54","Jordan Love (GB)","12","18","66.7","186","10.3","1","0","0","0","0","0","0","3","11.4","3.8","1.4%"
"55","Trevor Siemian (CHI)","15","26","57.7","184","7.1","1","1","2","4","8","0","0","2","11.2","5.6","0.1%"
"56","Jeff Driskel (HOU)","4","6","66.7","38","6.3","1","0","0","9","51","0","0","3","10.6","3.5","10.1%"
"57","Malik Willis (TEN)","14","34","41.2","157","4.6","0","1","6","19","72","0","2","5","8.4","1.7","0.9%"
"58","Skylar Thompson (MIA)","28","53","52.8","278","5.2","0","2","4","10","14","0","2","5","6.5","1.3","0.1%"
"59","Trace McSorley (ARI)","8","14","57.1","71","5.1","0","1","1","4","26","0","0","2","4.5","2.3","0.1%"
"60","Jarrett Stidham (LV)","8","13","61.5","72","5.5","0","0","1","0","0","0","0","1","2.9","2.9","0.0%"
"61","Nick Mullens (MIN)","6","8","75.0","51","6.4","0","0","0","0","0","0","0","2","2.1","1.1","0.0%"
"62","Brian Hoyer (NE)","5","6","83.3","37","6.2","0","0","1","0","0","0","0","1","1.5","1.5","0.1%"
"63","Jacob Eason (SF)","3","5","60.0","59","11.8","0","1","0","0","0","0","0","1","1.4","1.4","0.0%"
"64","Gardner Minshew II (PHI)","2","4","50.0","34","8.5","0","0","0","2","-2","0","0","3","1.1","0.4","0.2%"
"65","Brandon Allen (CIN)","3","3","100.0","22","7.3","0","0","1","3","-1","0","0","1","0.8","0.8","0.1%"
"66","Josh Johnson (SF)","1","2","50.0","10","5.0","0","0","0","2","3","0","0","1","0.7","0.7","0.0%"
"67","Case Keenum (BUF)","2","7","28.6","8","1.1","0","0","0","5","0","0","0","2","0.3","0.2","0.4%"
"68","C.J. Beathard (JAC)","2","3","66.7","6","2.0","0","0","0","1","-1","0","0","2","0.1","0.1","0.1%"
"69","Anthony Brown (BAL)","3","5","60.0","16","3.2","0","0","1","3","-5","0","0","1","0.1","0.1","0.0%"
"70","Ian Book (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Desmond Ridder (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5%"
"73","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"74","Davis Cheek (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Jake Fromm (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"76","Shane Buechele (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Kellen Mond (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Jake Browning (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","David Blough (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","John Lovett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"82","Case Cookus (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Stone Smartt (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"84","Jake Luton (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Jarrett Guarantano (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Chris Streveler (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Matt Corral (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"88","Carson Strong (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Sam Howell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"90","E.J. Perry (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Chase Garbers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Easton Stick (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Blaine Gabbert (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
