"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Washington Commanders","DST","WAS","2019",12,12,"ppr",1,6,3,1,2,0,0,1,1,21,21,"54.8%"
"2","New York Jets","DST","NYJ","2019",12,12,"ppr",2,1,1,1,0,1,0,0,1,18,18,"21.1%"
"3","Seattle Seahawks","DST","SEA","2019",12,12,"ppr",3,3,2,3,3,0,0,0,1,17,17,"20.5%"
"4","Tampa Bay Buccaneers","DST","TB","2019",12,12,"ppr",4,6,1,1,2,1,0,0,1,16,16,"81.2%"
"5","Baltimore Ravens","DST","BAL","2019",12,12,"ppr",5,2,2,0,1,0,0,0,1,13,13,"89.6%"
"6","Buffalo Bills","DST","BUF","2019",12,12,"ppr",6,4,1,0,0,0,0,0,1,13,13,"99.0%"
"7","Pittsburgh Steelers","DST","PIT","2019",12,12,"ppr",7,4,0,2,3,0,0,0,1,12,12,"53.2%"
"8","San Francisco 49ers","DST","SF","2019",12,12,"ppr",8,5,0,1,1,0,0,0,1,11,11,"95.5%"
"9","Philadelphia Eagles","DST","PHI","2019",12,12,"ppr",9,6,1,1,1,0,0,0,1,11,11,"58.2%"
"10","Cleveland Browns","DST","CLE","2019",12,12,"ppr",10,4,2,0,1,0,0,0,1,8,8,"37.2%"
"11","Detroit Lions","DST","DET","2019",12,12,"ppr",11,3,1,1,1,0,0,0,1,8,8,"2.5%"
"12","New England Patriots","DST","NE","2019",12,12,"ppr",12,0,1,0,2,0,0,0,1,8,8,"54.0%"
"13","New York Giants","DST","NYG","2019",12,12,"ppr",13,2,2,0,0,0,0,0,1,7,7,"6.2%"
"14","Tennessee Titans","DST","TEN","2019",12,12,"ppr",14,3,0,1,0,0,0,0,1,6,6,"26.3%"
"15","Cincinnati Bengals","DST","CIN","2019",12,12,"ppr",15,3,1,0,0,0,0,0,1,6,6,"31.6%"
"16","Dallas Cowboys","DST","DAL","2019",12,12,"ppr",16,2,0,0,1,0,0,0,1,6,6,"90.0%"
"17","New Orleans Saints","DST","NO","2019",12,12,"ppr",17,4,0,1,1,0,0,0,1,5,5,"65.3%"
"18","Atlanta Falcons","DST","ATL","2019",12,12,"ppr",18,0,2,0,0,0,0,0,1,5,5,"1.7%"
"19","Chicago Bears","DST","CHI","2019",12,12,"ppr",19,1,0,1,1,0,0,0,1,4,4,"2.2%"
"20","Indianapolis Colts","DST","IND","2019",12,12,"ppr",20,1,1,0,1,0,0,0,1,4,4,"52.4%"
"21","Denver Broncos","DST","DEN","2019",12,12,"ppr",21,1,1,0,0,0,0,0,1,4,4,"38.8%"
"22","Carolina Panthers","DST","CAR","2019",12,12,"ppr",22,2,1,0,0,0,0,0,1,3,3,"14.1%"
"23","Las Vegas Raiders","DST","LV","2019",12,12,"ppr",23,1,0,1,0,0,0,0,1,2,2,"14.2%"
"24","Houston Texans","DST","HOU","2019",12,12,"ppr",24,1,0,0,0,0,0,0,1,2,2,"0.8%"
"25","Jacksonville Jaguars","DST","JAC","2019",12,12,"ppr",25,1,0,2,2,0,0,0,1,1,1,"3.8%"
"26","Los Angeles Rams","DST","LAR","2019",12,12,"ppr",26,3,0,0,0,0,0,0,1,-1,-1,"34.3%"
"27","Green Bay Packers","DST","GB","2019",12,12,"ppr",27,3,0,0,0,0,0,0,1,-1,-1,"80.7%"
"28","Miami Dolphins","DST","MIA","2019",12,12,"ppr",28,1,1,0,0,0,0,0,1,-1,-1,"25.9%"
