"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"69","Josh Hill","TE","FA","2016",11,11,"ppr","69","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"70","Kyle Nelson","TE","FA","2016",11,11,"ppr","70","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"71","Devin Funchess","TE","FA","2016",11,11,"ppr","71","2","7","32","16.0","20","1","0","0","0","0","0","1","0.0","0.0","0.0%"
"72","Nick O'Leary","TE","FA","2016",11,11,"ppr","72","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"73","Ben Koyack","TE","FA","2016",11,11,"ppr","73","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"74","Tyler Kroft","TE","SF","2016",11,11,"ppr","74","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"75","Blake Bell","TE","KC","2016",11,11,"ppr","75","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Ryan Hewitt","TE","FA","2016",11,11,"ppr","76","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"77","Phillip Supernaw","TE","FA","2016",11,11,"ppr","77","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"78","Ross Travis","TE","FA","2016",11,11,"ppr","78","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"79","Beau Brinkley","TE","ATL","2016",11,11,"ppr","79","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"80","James Winchester","TE","KC","2016",11,11,"ppr","80","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"81","Patrick Scales","TE","CHI","2016",11,11,"ppr","81","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"82","Kevin McDermott","TE","FA","2016",11,11,"ppr","82","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"83","Andrew DePaola","TE","MIN","2016",11,11,"ppr","83","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"84","Vince Mayle","TE","FA","2016",11,11,"ppr","84","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"85","Chris Manhertz","TE","JAC","2016",11,11,"ppr","85","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"86","Jake Fisher","TE","FA","2016",11,11,"ppr","86","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"87","Matt Lengel","TE","FA","2016",11,11,"ppr","87","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"88","Randall Telfer","TE","FA","2016",11,11,"ppr","88","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"89","Darren Waller","TE","LV","2016",11,11,"ppr","89","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","74.7%"
"90","Neal Sterling","TE","FA","2016",11,11,"ppr","90","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"91","James O'Shaughnessy","TE","MIN","2016",11,11,"ppr","91","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
