"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"23","Mike Evans (TB)","59","98","805","13.6","51","22","3","0","0","0","0","12","157.5","13.1","98.6%"
"24","Chris Godwin (TB)","73","108","702","9.6","44","11","2","3","5","0","0","11","155.7","14.2","95.9%"
"25","Adam Thielen (MIN)","63","91","645","10.2","36","7","4","0","0","0","0","13","153.5","11.8","90.7%"
"26","JuJu Smith-Schuster (KC)","61","82","762","12.5","53","17","3","0","0","0","1","12","153.2","12.8","93.4%"
"27","Curtis Samuel (WAS)","54","79","556","10.3","49","11","3","31","188","1","1","13","150.4","11.6","61.9%"
"28","Zay Jones (JAC)","68","98","655","9.6","29","6","2","3","21","0","0","12","149.6","12.5","60.7%"
"29","Joshua Palmer (LAC)","61","92","665","10.9","50","12","3","1","4","0","0","12","145.9","12.2","70.3%"
"30","Gabe Davis (BUF)","38","71","696","18.3","98","19","6","0","0","0","0","12","143.6","12.0","94.3%"
"31","Donovan Peoples-Jones (CLE)","53","80","751","14.2","42","19","1","1","2","0","1","13","138.3","10.6","56.0%"
"32","Tyler Boyd (CIN)","45","66","655","14.6","60","17","4","0","0","0","0","13","137.4","10.6","74.4%"
"33","DeAndre Hopkins (ARI)","56","75","653","11.7","33","10","3","0","0","0","1","7","137.3","19.6","98.4%"
"34","Allen Lazard (GB)","45","75","620","13.8","47","17","5","0","0","0","0","11","137.0","12.5","84.6%"
"35","Jerry Jeudy (DEN)","42","68","587","14.0","67","18","6","1","1","0","0","11","136.8","12.4","89.6%"
"36","Diontae Johnson (PIT)","67","113","647","9.7","37","7","0","6","23","0","0","13","136.0","10.5","85.3%"
"37","DJ Moore (CAR)","46","91","605","13.2","62","18","4","9","45","0","0","13","135.0","10.4","91.8%"
"38","Mike Williams (LAC)","44","66","626","14.2","55","16","4","0","0","0","0","9","130.6","14.5","95.7%"
"39","Mack Hollins (LV)","47","77","588","12.5","60","14","3","4","40","0","0","13","128.0","9.8","24.7%"
"40","Marquise Brown (ARI)","53","80","565","10.7","26","8","3","0","0","0","0","8","127.5","15.9","88.1%"
"41","Courtland Sutton (DEN)","52","89","688","13.2","51","16","1","1","5","0","0","12","127.3","10.6","81.5%"
"42","Jakobi Meyers (NE)","50","67","593","11.9","30","11","3","2","9","0","1","10","126.2","12.6","70.1%"
"43","Christian Watson (GB)","25","40","401","16.0","63","12","7","5","68","2","0","10","125.9","12.6","87.3%"
"44","Drake London (ATL)","47","81","533","11.3","37","9","4","0","0","0","1","13","124.3","9.6","66.1%"
"45","George Pickens (PIT)","40","64","590","14.8","42","19","2","3","24","1","0","13","121.4","9.3","67.6%"
"46","Parris Campbell (IND)","50","68","497","9.9","38","8","3","3","31","0","0","13","120.8","9.3","36.6%"
"47","Devin Duvernay (BAL)","35","46","378","10.8","31","7","3","12","84","1","0","13","111.2","8.6","37.7%"
"48","Isaiah McKenzie (BUF)","38","55","380","10.0","30","5","4","8","49","1","0","12","110.9","9.2","32.3%"
"49","Darius Slayton (NYG)","35","55","608","17.4","55","21","2","0","0","0","0","10","107.8","10.8","52.9%"
"50","Brandin Cooks (HOU)","44","71","520","11.8","44","17","1","2","7","0","0","10","102.7","10.3","64.7%"
"51","DeAndre Carter (LAC)","40","55","466","11.7","35","14","3","1","-5","0","1","13","102.1","7.9","14.4%"
"52","Darnell Mooney (CHI)","40","61","493","12.3","56","12","2","1","2","0","0","11","101.5","9.2","37.7%"
"53","Marquez Valdes-Scantling (KC)","34","61","606","17.8","57","21","1","1","-3","0","0","13","100.3","7.7","45.9%"
"54","Chase Claypool (CHI)","44","72","422","9.6","31","7","1","9","59","0","1","13","100.1","7.7","48.5%"
"55","Nico Collins (HOU)","37","66","481","13.0","58","11","2","0","0","0","0","10","97.1","9.7","22.6%"
"56","Alec Pierce (IND)","32","60","510","15.9","47","16","2","0","0","0","0","12","95.0","7.9","11.9%"
"57","Josh Reynolds (DET)","34","52","427","12.6","31","8","3","0","0","0","0","9","94.7","10.5","6.4%"
"58","Mecole Hardman (KC)","25","34","297","11.9","36","8","4","4","31","2","0","8","93.8","11.7","28.0%"
"59","Chris Moore (HOU)","37","51","438","11.8","52","14","2","2","5","0","0","11","93.3","8.5","5.2%"
"60","Olamide Zaccheaus (ATL)","32","44","478","14.9","45","14","2","2","7","0","1","13","90.5","7.0","0.8%"
"61","Rondale Moore (ARI)","41","56","414","10.1","38","8","1","6","-5","0","0","8","87.9","11.0","40.5%"
"62","Marquise Goodwin (SEA)","25","33","377","15.1","38","10","4","2","5","0","0","11","87.2","7.9","2.0%"
"63","Richie James Jr. (NYG)","38","47","361","9.5","20","1","3","2","6","0","3","12","86.7","7.2","6.6%"
"64","Noah Brown (DAL)","34","53","484","14.2","51","12","1","0","0","0","1","12","86.4","7.2","1.8%"
"65","Marvin Jones Jr. (JAC)","33","58","407","12.3","37","7","2","0","0","0","0","12","85.7","7.1","13.6%"
"66","Allen Robinson II (LAR)","33","52","339","10.3","29","3","3","0","0","0","0","10","84.9","8.5","37.2%"
"67","Corey Davis (NYJ)","26","48","460","17.7","66","13","2","0","0","0","0","10","84.0","8.4","18.2%"
"68","Keenan Allen (LAC)","34","49","400","11.8","46","8","2","0","0","0","1","6","84.0","14.0","98.0%"
"69","K.J. Osborn (MIN)","35","57","300","8.6","28","3","3","3","6","0","0","13","83.6","6.4","3.4%"
"70","Ben Skowronek (LAR)","38","58","373","9.8","32","7","0","1","17","1","0","13","83.0","6.4","4.9%"
"71","Demarcus Robinson (BAL)","38","56","390","10.3","31","5","1","0","0","0","0","12","83.0","6.9","11.1%"
"72","Robert Woods (TEN)","38","68","406","10.7","41","6","1","0","0","0","1","13","82.6","6.4","43.6%"
"73","Michael Gallup (DAL)","30","55","337","11.2","27","4","3","0","0","0","0","10","81.7","8.2","65.3%"
"74","Romeo Doubs (GB)","31","50","314","10.1","26","5","3","1","11","0","1","9","79.5","8.8","15.2%"
"75","Nick Westbrook-Ikhine (TEN)","22","41","370","16.8","63","11","3","0","0","0","0","12","77.0","6.4","2.7%"
"76","DeVante Parker (NE)","25","40","460","18.4","43","17","1","0","0","0","0","12","77.0","6.4","13.7%"
"77","Greg Dortch (ARI)","34","39","324","9.5","47","7","2","2","4","0","1","12","76.8","6.4","3.4%"
"78","Kalif Raymond (DET)","34","48","401","11.8","43","10","0","5","24","0","1","13","74.5","5.7","2.8%"
"79","Trent Sherfield (MIA)","26","42","362","13.9","75","8","2","0","0","0","0","13","74.2","5.7","1.6%"
"80","Nelson Agholor (NE)","30","45","359","12.0","44","9","2","0","0","0","2","11","73.9","6.7","1.9%"
"81","Jahan Dotson (WAS)","19","35","233","12.3","40","7","5","2","-7","0","0","8","73.6","9.2","21.2%"
"82","Quez Watkins (PHI)","26","35","315","12.1","53","12","3","1","-3","0","1","13","73.2","5.6","1.3%"
"83","Russell Gage (TB)","32","43","254","7.9","20","1","2","0","0","0","1","9","69.4","7.7","17.5%"
"84","Elijah Moore (NYJ)","28","52","351","12.5","42","8","1","4","2","0","0","12","69.3","5.8","39.6%"
"85","DJ Chark Jr. (DET)","20","37","306","15.3","48","9","3","0","0","0","0","7","68.6","9.8","39.6%"
"86","Treylon Burks (TEN)","25","37","359","14.4","51","14","1","2","12","0","0","8","68.1","8.5","48.8%"
"87","Randall Cobb (GB)","26","40","349","13.4","40","10","1","0","0","0","0","9","66.9","7.4","5.6%"
"88","Julio Jones (TB)","22","39","284","12.9","48","6","2","4","32","0","0","8","65.6","8.2","19.0%"
"89","Jauan Jennings (SF)","27","43","308","11.4","44","5","1","0","0","0","0","12","63.8","5.3","1.4%"
"90","Jarvis Landry (NO)","25","38","272","10.9","40","5","1","0","0","0","0","8","60.2","7.5","21.9%"
"91","Terrace Marshall Jr. (CAR)","19","35","346","18.2","43","11","1","0","0","0","0","9","59.6","6.6","7.3%"
"92","Jamal Agnew (JAC)","18","24","155","8.6","24","1","3","7","40","0","0","11","59.5","5.4","0.4%"
"93","Laviska Shenault Jr. (CAR)","21","24","198","9.4","67","5","1","7","57","1","0","9","58.5","6.5","0.8%"
"94","Kendall Hinton (DEN)","24","31","311","13.0","35","8","0","1","13","0","0","10","56.4","5.6","5.3%"
"95","Equanimeous St. Brown (CHI)","17","33","280","16.5","56","8","1","6","54","0","0","13","56.4","4.3","0.2%"
"96","Isaiah Hodgins (NYG)","21","27","224","10.7","26","3","2","0","0","0","1","6","55.4","9.2","1.3%"
"97","Rashod Bateman (BAL)","15","28","285","19.0","75","12","2","0","0","0","1","6","53.5","8.9","23.5%"
"98","Rashid Shaheed (NO)","12","15","239","19.9","53","11","1","3","50","1","0","8","52.9","6.6","0.9%"
"99","Kendrick Bourne (NE)","24","31","273","11.4","41","5","0","4","8","0","0","12","52.1","4.3","1.0%"
"100","Braxton Berrios (NYJ)","16","25","107","6.7","25","1","0","9","91","2","0","13","51.9","4.0","1.0%"
"101","Wan'Dale Robinson (NYG)","23","31","227","9.9","19","0","1","2","-1","0","0","6","51.6","8.6","5.9%"
"102","Tre'Quan Smith (NO)","18","26","272","15.1","48","6","1","0","0","0","0","9","51.2","5.7","0.5%"
"103","Michael Thomas (NO)","16","22","171","10.7","21","2","3","0","0","0","0","3","51.1","17.0","26.8%"
"104","Robbie Anderson (ARI)","19","41","269","14.2","75","7","1","0","0","0","1","10","49.9","5.0","6.8%"
"105","Dante Pettis (CHI)","14","25","202","14.4","51","7","2","2","37","0","0","13","49.9","3.8","0.1%"
"106","Van Jefferson (LAR)","13","27","180","13.8","23","4","3","0","0","0","0","6","49.0","8.2","25.0%"
"107","Justin Watson (KC)","13","24","221","17.0","41","7","2","0","0","0","0","13","47.1","3.6","1.4%"
"108","Damiere Byrd (ATL)","10","17","241","24.1","75","8","2","0","0","0","0","8","46.1","5.8","0.1%"
"109","Tyquan Thornton (NE)","16","29","145","9.1","21","1","1","3","16","1","0","8","44.1","5.5","0.9%"
"110","Tutu Atwell (LAR)","11","21","237","21.5","62","11","1","7","27","0","0","8","43.4","5.4","1.6%"
"111","David Bell (CLE)","23","31","196","8.5","20","1","0","0","0","0","0","12","42.6","3.6","0.7%"
