"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Chicago Bears","DST","CHI","2017",7,7,"ppr",1,5,2,1,0,2,0,0,1,30,30,"2.2%"
"2","Los Angeles Chargers","DST","LAC","2017",7,7,"ppr",2,5,1,2,3,0,0,1,1,21,21,"30.2%"
"3","Jacksonville Jaguars","DST","JAC","2017",7,7,"ppr",3,10,0,0,2,0,0,0,1,20,20,"3.8%"
"4","Los Angeles Rams","DST","LAR","2017",7,7,"ppr",4,3,2,0,1,0,0,0,1,17,17,"34.3%"
"5","Dallas Cowboys","DST","DAL","2017",7,7,"ppr",5,5,0,3,3,0,0,0,1,15,15,"90.0%"
"6","Tennessee Titans","DST","TEN","2017",7,7,"ppr",6,2,3,0,0,0,0,0,1,12,12,"26.3%"
"7","Carolina Panthers","DST","CAR","2017",7,7,"ppr",7,4,0,0,0,0,0,0,1,12,12,"14.1%"
"8","Pittsburgh Steelers","DST","PIT","2017",7,7,"ppr",8,4,2,0,1,0,0,0,1,9,9,"53.2%"
"9","Cleveland Browns","DST","CLE","2017",7,7,"ppr",9,2,0,1,1,0,0,0,1,8,8,"37.2%"
"10","Seattle Seahawks","DST","SEA","2017",7,7,"ppr",10,1,0,1,1,0,0,0,1,7,7,"20.5%"
"11","Buffalo Bills","DST","BUF","2017",7,7,"ppr",11,1,1,2,3,0,0,0,1,7,7,"99.0%"
"12","New York Jets","DST","NYJ","2017",7,7,"ppr",12,3,2,0,1,0,0,0,1,6,6,"21.1%"
"13","Philadelphia Eagles","DST","PHI","2017",7,7,"ppr",13,4,1,0,0,0,0,0,1,6,6,"58.2%"
"14","Miami Dolphins","DST","MIA","2017",7,7,"ppr",14,3,1,1,0,0,0,0,1,6,6,"25.9%"
"15","New England Patriots","DST","NE","2017",7,7,"ppr",15,1,0,0,0,0,0,0,1,6,6,"54.0%"
"16","Green Bay Packers","DST","GB","2017",7,7,"ppr",16,1,2,0,0,0,0,0,1,6,6,"80.7%"
"17","Minnesota Vikings","DST","MIN","2017",7,7,"ppr",17,5,0,0,1,0,0,0,1,6,6,"23.7%"
"18","Indianapolis Colts","DST","IND","2017",7,7,"ppr",18,1,0,2,2,0,0,0,1,5,5,"52.4%"
"19","Washington Commanders","DST","WAS","2017",7,7,"ppr",19,3,1,0,1,0,0,0,1,4,4,"54.8%"
"20","New Orleans Saints","DST","NO","2017",7,7,"ppr",20,1,1,0,2,0,0,0,1,4,4,"65.3%"
"21","New York Giants","DST","NYG","2017",7,7,"ppr",21,1,0,1,1,0,0,0,1,3,3,"6.2%"
"22","Denver Broncos","DST","DEN","2017",7,7,"ppr",22,3,0,0,0,0,0,0,1,3,3,"38.8%"
"23","Atlanta Falcons","DST","ATL","2017",7,7,"ppr",23,2,0,0,1,0,0,0,1,2,2,"1.7%"
"24","Tampa Bay Buccaneers","DST","TB","2017",7,7,"ppr",24,1,0,1,1,0,0,0,1,2,2,"81.2%"
"25","Baltimore Ravens","DST","BAL","2017",7,7,"ppr",25,0,1,0,0,0,0,0,1,2,2,"89.6%"
"26","Arizona Cardinals","DST","ARI","2017",7,7,"ppr",26,1,1,0,0,0,0,0,1,2,2,"12.3%"
"27","Las Vegas Raiders","DST","LV","2017",7,7,"ppr",27,1,0,0,0,0,0,0,1,0,0,"14.2%"
"28","Kansas City Chiefs","DST","KC","2017",7,7,"ppr",28,0,0,0,0,0,0,0,1,0,0,"47.9%"
"29","Cincinnati Bengals","DST","CIN","2017",7,7,"ppr",29,0,0,0,0,0,0,0,1,-1,-1,"31.6%"
"30","San Francisco 49ers","DST","SF","2017",7,7,"ppr",30,0,0,0,0,0,0,0,1,-4,-4,"95.5%"
