"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"1","Khalil Herbert","RB","CHI","2022",3,3,"ppr","1","20","157","7.9","52","4","2","2","2","12","6.0","0","0","1","30.9","30.9","33.3%"
"2","Derrick Henry","RB","TEN","2022",3,3,"ppr","2","20","85","4.3","24","1","1","5","6","58","11.6","0","0","1","25.3","25.3","100.0%"
"3","Jamaal Williams","RB","DET","2022",3,3,"ppr","3","20","87","4.4","15","0","2","2","2","20","10.0","0","0","1","24.7","24.7","91.0%"
"4","Devin Singletary","RB","BUF","2022",3,3,"ppr","4","9","13","1.4","6","0","0","9","11","78","8.7","1","0","1","24.1","24.1","91.7%"
"5","Saquon Barkley","RB","NYG","2022",3,3,"ppr","5","14","81","5.8","36","2","1","4","4","45","11.3","0","0","1","22.6","22.6","100.0%"
"6","Cordarrelle Patterson","RB","ATL","2022",3,3,"ppr","6","17","141","8.3","40","3","1","1","1","12","12.0","0","0","1","22.3","22.3","85.6%"
"7","James Robinson","RB","NYJ","2022",3,3,"ppr","7","17","100","5.9","50","5","1","3","3","16","5.3","0","0","1","20.6","20.6","39.4%"
"8","Rhamondre Stevenson","RB","NE","2022",3,3,"ppr","8","12","73","6.1","18","0","1","4","5","28","7.0","0","0","1","20.1","20.1","97.4%"
"9","Dameon Pierce","RB","HOU","2022",3,3,"ppr","9","20","80","4.0","24","1","1","2","2","21","10.5","0","0","1","18.1","18.1","89.0%"
"10","Nick Chubb","RB","CLE","2022",3,3,"ppr","10","23","113","4.9","36","2","1","0","1","0","0","0","0","1","17.3","17.3","99.9%"
"11","Melvin Gordon III","RB","KC","2022",3,3,"ppr","11","12","26","2.2","6","0","1","5","6","29","5.8","0","0","1","16.5","16.5","29.3%"
"12","Chase Edmonds","RB","DEN","2022",3,3,"ppr","12","6","21","3.5","8","0","2","1","1","6","6.0","0","0","1","15.7","15.7","23.9%"
"13","Breece Hall","RB","NYJ","2022",3,3,"ppr","13","8","39","4.9","16","0","0","6","11","53","8.8","0","0","1","15.2","15.2","31.7%"
"14","Clyde Edwards-Helaire","RB","KC","2022",3,3,"ppr","14","7","0","0.0","4","0","1","5","5","39","7.8","0","0","1","14.9","14.9","40.4%"
"15","Josh Jacobs","RB","LV","2022",3,3,"ppr","15","13","66","5.1","13","0","0","5","5","31","6.2","0","0","1","14.7","14.7","99.3%"
"16","Ezekiel Elliott","RB","DAL","2022",3,3,"ppr","16","15","73","4.9","27","1","1","1","1","2","2.0","0","0","1","14.5","14.5","97.0%"
"17","Samaje Perine","RB","CIN","2022",3,3,"ppr","17","9","47","5.2","7","0","0","2","2","14","7.0","1","0","1","14.1","14.1","59.4%"
"18","Dalvin Cook","RB","MIN","2022",3,3,"ppr","18","17","96","5.6","13","0","1","0","0","0","0","0","1","1","13.6","13.6","100.0%"
"19","Christian McCaffrey","RB","SF","2022",3,3,"ppr","19","25","108","4.3","18","0","0","2","4","7","3.5","0","0","1","13.5","13.5","100.0%"
"20","Austin Ekeler","RB","LAC","2022",3,3,"ppr","20","4","5","1.3","3","0","0","8","8","48","6.0","0","0","1","13.3","13.3","100.0%"
"21","Najee Harris","RB","PIT","2022",3,3,"ppr","21","15","56","3.7","10","0","1","3","3","5","1.7","0","1","1","13.1","13.1","97.4%"
"22","Damien Harris","RB","NE","2022",3,3,"ppr","22","11","41","3.7","10","0","1","2","3","5","2.5","0","0","1","12.6","12.6","56.6%"
"23","Jonathan Taylor","RB","IND","2022",3,3,"ppr","23","21","71","3.4","13","0","0","3","5","20","6.7","0","0","1","12.1","12.1","100.0%"
"24","Leonard Fournette","RB","TB","2022",3,3,"ppr","24","12","35","2.9","6","0","0","5","6","35","7.0","0","0","1","12.0","12.0","96.9%"
"25","Jeff Wilson Jr.","RB","MIA","2022",3,3,"ppr","25","12","75","6.3","37","2","0","3","3","31","10.3","0","1","1","11.6","11.6","76.6%"
"26","Alexander Mattison","RB","MIN","2022",3,3,"ppr","26","7","28","4.0","9","0","1","1","1","16","16.0","0","0","1","11.4","11.4","27.5%"
"27","Antonio Gibson","RB","WAS","2022",3,3,"ppr","27","12","38","3.2","11","0","1","1","1","2","2.0","0","0","1","11.0","11.0","85.6%"
"28","Travis Etienne Jr.","RB","JAC","2022",3,3,"ppr","28","13","45","3.5","9","0","0","3","3","30","10.0","0","0","1","10.5","10.5","97.9%"
"29","Tony Pollard","RB","DAL","2022",3,3,"ppr","29","13","105","8.1","46","3","0","0","1","0","0","0","0","1","10.5","10.5","96.8%"
"30","Cam Akers","RB","LAR","2022",3,3,"ppr","30","12","61","5.1","14","0","1","0","0","0","0","0","1","1","10.1","10.1","67.5%"
