"","player","pos","team","season","start_week","end_week","scoring","rank","passing_cmp","passing_att","passing_pct","passing_yds","passing_y_a","passing_td","passing_int","passing_sacks","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Joe Burrow","QB","CIN","2021",17,17,"ppr","1","30","39","76.9","446","11.4","4","0","4","5","10","0","0","1","34.8","34.8","99.4%"
"2","Russell Wilson","QB","DEN","2021",17,17,"ppr","2","20","29","69.0","236","8.1","4","0","1","6","24","0","0","1","27.8","27.8","43.7%"
"3","Tom Brady","QB","TB","2021",17,17,"ppr","3","34","50","68.0","410","8.2","3","1","1","0","0","0","0","1","27.4","27.4","86.0%"
"4","Josh Allen","QB","BUF","2021",17,17,"ppr","4","11","26","42.3","120","4.6","0","3","0","15","81","2","0","1","23.9","23.9","100.0%"
"5","Dak Prescott","QB","DAL","2021",17,17,"ppr","5","24","38","63.2","226","5.9","3","0","1","5","20","0","1","1","23.0","23.0","93.5%"
"6","Kyler Murray","QB","ARI","2021",17,17,"ppr","6","26","38","68.4","263","6.9","2","0","1","9","44","0","0","1","22.9","22.9","62.1%"
"7","Mac Jones","QB","NE","2021",17,17,"ppr","7","22","30","73.3","227","7.6","3","0","0","2","12","0","0","1","22.3","22.3","14.1%"
"8","Patrick Mahomes II","QB","KC","2021",17,17,"ppr","8","26","35","74.3","259","7.4","2","0","0","2","25","0","0","1","20.9","20.9","100.0%"
"9","Aaron Rodgers","QB","GB","2021",17,17,"ppr","9","29","38","76.3","288","7.6","2","0","0","2","8","0","0","1","20.3","20.3","75.1%"
"10","Trey Lance","QB","SF","2021",17,17,"ppr","10","16","23","69.6","249","10.8","2","1","1","8","31","0","0","1","20.1","20.1","15.3%"
"11","Tim Boyle","QB","CHI","2021",17,17,"ppr","11","22","37","59.5","262","7.1","2","3","0","1","14","0","0","1","18.9","18.9","0.0%"
"12","Justin Herbert","QB","LAC","2021",17,17,"ppr","12","22","31","71.0","237","7.6","2","0","0","4","2","0","0","1","17.7","17.7","98.8%"
"13","Taysom Hill","QB","NO","2021",17,17,"ppr","13","17","28","60.7","222","7.9","1","0","2","12","45","0","0","1","17.4","17.4","45.3%"
"14","Matthew Stafford","QB","LAR","2021",17,17,"ppr","14","26","35","74.3","309","8.8","2","2","1","1","-1","0","1","1","16.3","16.3","29.7%"
"15","Drew Lock","QB","SEA","2021",17,17,"ppr","15","18","25","72.0","245","9.8","1","0","1","3","10","0","0","1","15.9","15.9","0.2%"
"16","Baker Mayfield","QB","LAR","2021",17,17,"ppr","16","16","38","42.1","185","4.9","2","2","9","2","16","0","0","1","15.0","15.0","6.6%"
"17","Ryan Tannehill","QB","TEN","2021",17,17,"ppr","17","13","18","72.2","120","6.7","2","0","1","4","7","0","0","1","13.5","13.5","28.5%"
"18","Zach Wilson","QB","NYJ","2021",17,17,"ppr","18","19","33","57.6","234","7.1","1","0","1","2","0","0","0","1","13.4","13.4","5.7%"
"19","Sean Mannion","QB","SEA","2021",17,17,"ppr","19","22","36","61.1","189","5.3","1","0","2","2","14","0","0","1","13.0","13.0","0.0%"
"20","Jalen Hurts","QB","PHI","2021",17,17,"ppr","20","17","26","65.4","214","8.2","0","0","1","7","44","0","0","1","13.0","13.0","99.9%"
"21","Tyler Huntley","QB","BAL","2021",17,17,"ppr","21","20","32","62.5","197","6.2","0","1","5","6","54","0","0","1","12.3","12.3","22.0%"
"22","Derek Carr","QB","LV","2021",17,17,"ppr","22","24","31","77.4","255","8.2","1","2","2","0","0","0","0","1","12.2","12.2","64.3%"
"23","Andy Dalton","QB","NO","2021",17,17,"ppr","23","18","35","51.4","173","4.9","1","1","2","3","14","0","0","1","11.3","11.3","12.2%"
"24","Carson Wentz","QB","WAS","2021",17,17,"ppr","24","16","27","59.3","148","5.5","1","0","1","3","10","0","0","1","10.9","10.9","6.5%"
"25","Trevor Lawrence","QB","JAC","2021",17,17,"ppr","25","17","27","63.0","193","7.1","1","3","2","2","16","0","0","1","10.3","10.3","75.8%"
"26","Taylor Heinicke","QB","WAS","2021",17,17,"ppr","26","27","36","75.0","247","6.9","0","1","3","2","14","0","0","1","10.3","10.3","14.0%"
"27","Davis Mills","QB","HOU","2021",17,17,"ppr","27","21","32","65.6","163","5.1","1","1","3","1","4","0","0","1","9.9","9.9","3.4%"
"28","Ben Roethlisberger","QB","FA","2021",17,17,"ppr","28","24","46","52.2","123","2.7","1","1","2","1","-1","0","0","1","7.8","7.8","13.6%"
"29","Matt Ryan","QB","IND","2021",17,17,"ppr","29","13","23","56.5","197","8.6","0","0","5","2","7","0","1","1","6.6","6.6","10.6%"
"30","Tua Tagovailoa","QB","MIA","2021",17,17,"ppr","30","18","38","47.4","205","5.4","0","1","4","2","1","0","1","1","5.3","5.3","94.7%"
"31","Sam Darnold","QB","CAR","2021",17,17,"ppr","31","17","26","65.4","132","5.1","0","1","7","2","7","0","1","1","3.0","3.0","3.9%"
"32","Brian Hoyer","QB","NE","2021",17,17,"ppr","32","3","4","75.0","63","15.8","0","0","0","2","1","0","0","1","2.6","2.6","0.1%"
"33","Jordan Love","QB","GB","2021",17,17,"ppr","33","2","4","50.0","19","4.8","0","0","0","2","9","0","0","1","1.7","1.7","1.4%"
"34","Marcus Mariota","QB","ATL","2021",17,17,"ppr","34","0","1","0.0","0","0.0","0","0","0","3","16","0","0","1","1.6","1.6","19.4%"
"35","Cam Newton","QB","FA","2021",17,17,"ppr","35","0","0","0","0","0","0","0","0","1","5","0","0","1","0.5","0.5","9.1%"
"36","Kellen Mond","QB","CLE","2021",17,17,"ppr","36","2","3","66.7","5","1.7","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"37","Brett Rypien","QB","DEN","2021",17,17,"ppr","37","0","2","0.0","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"38","Trace McSorley","QB","ARI","2021",17,17,"ppr","38","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"39","Brandon Allen","QB","CIN","2021",17,17,"ppr","39","0","1","0.0","0","0.0","0","0","0","1","0","0","0","1","0.0","0.0","0.1%"
"40","Jacoby Brissett","QB","CLE","2021",17,17,"ppr","40","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","4.8%"
