"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Harrison Butker","K","KC","2019",1,1,"ppr",1,4,4,100,46,0,2,1,1,0,4,4,1,17,17,"91.8%"
"2","Stephen Gostkowski","K","FA","2019",1,1,"ppr",2,4,4,100,41,0,1,2,1,0,3,3,1,16,16,"0.0%"
"3","Greg Zuerlein","K","NYJ","2019",1,1,"ppr",3,3,4,75,56,0,1,0,1,1,3,3,1,15,15,"15.9%"
"4","Wil Lutz","K","NO","2019",1,1,"ppr",4,3,4,75,58,0,0,1,1,1,3,3,1,15,15,"8.0%"
"5","Zane Gonzalez","K","CAR","2019",1,1,"ppr",5,4,4,100,42,0,2,1,1,0,1,1,1,14,14,"0.1%"
"6","Cairo Santos","K","CHI","2019",1,1,"ppr",6,2,2,100,53,0,0,1,0,1,5,5,1,13,13,"13.3%"
"7","Joey Slye","K","WAS","2019",1,1,"ppr",7,2,3,66.7,52,0,0,0,1,1,3,3,1,12,12,"2.0%"
"8","Robbie Gould","K","SF","2019",1,1,"ppr",8,3,4,75,47,0,1,1,1,0,2,2,1,12,12,"42.9%"
"9","Matt Prater","K","ARI","2019",1,1,"ppr",9,2,2,100,55,0,0,1,0,1,3,3,1,11,11,"14.9%"
"10","Justin Tucker","K","BAL","2019",1,1,"ppr",10,1,1,100,34,0,0,1,0,0,8,8,1,11,11,"99.0%"
"11","Dustin Hopkins","K","LAC","2019",1,1,"ppr",11,2,2,100,48,0,0,0,2,0,3,3,1,11,11,"2.7%"
"12","Brandon McManus","K","DEN","2019",1,1,"ppr",12,3,4,75,39,0,2,1,0,0,1,1,1,10,10,"36.0%"
"13","Randy Bullock","K","TEN","2019",1,1,"ppr",13,2,3,66.7,39,0,1,1,0,0,2,2,1,8,8,"1.5%"
