"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Tyler Bass","K","BUF","2020",9,9,"ppr",1,3,4,75,44,0,1,1,1,0,5,5,1,15,15,"94.4%"
"2","Greg Zuerlein","K","NYJ","2020",9,9,"ppr",2,4,4,100,45,0,0,2,2,0,1,1,1,15,15,"15.9%"
"3","Nick Folk","K","NE","2020",9,9,"ppr",3,3,3,100,51,0,1,0,1,1,3,3,1,15,15,"75.5%"
"4","Jason Sanders","K","MIA","2020",9,9,"ppr",4,2,2,100,56,0,0,0,0,2,4,4,1,14,14,"13.2%"
"5","Graham Gano","K","NYG","2020",9,9,"ppr",5,3,3,100,48,0,0,1,2,0,2,2,1,13,13,"61.0%"
"6","Jason Myers","K","SEA","2020",9,9,"ppr",6,2,2,100,45,0,0,0,2,0,4,4,1,12,12,"55.6%"
"7","Mason Crosby","K","GB","2020",9,9,"ppr",7,2,2,100,53,1,0,0,0,1,4,4,1,12,12,"3.2%"
"8","Younghoe Koo","K","ATL","2020",9,9,"ppr",8,2,2,100,52,0,0,1,0,1,4,4,1,12,12,"46.2%"
"9","Brandon McManus","K","DEN","2020",9,9,"ppr",9,2,2,100,43,0,0,0,2,0,3,3,1,11,11,"36.0%"
"10","Ka'imi Fairbairn","K","HOU","2020",9,9,"ppr",10,2,2,100,54,0,0,1,0,1,3,3,1,11,11,"2.0%"
"11","Harrison Butker","K","KC","2020",9,9,"ppr",11,2,3,66.7,55,0,0,1,0,1,3,4,1,11,11,"91.8%"
"12","Sergio Castillo","K","NYJ","2020",9,9,"ppr",12,2,2,100,50,0,0,1,0,1,3,3,1,11,11,"0.0%"
"13","Dustin Hopkins","K","LAC","2020",9,9,"ppr",13,2,2,100,48,0,0,0,2,0,2,2,1,10,10,"2.7%"
"14","Matt Prater","K","ARI","2020",9,9,"ppr",14,2,3,66.7,45,0,1,0,1,0,2,2,1,9,9,"14.9%"
"15","Chris Boswell","K","PIT","2020",9,9,"ppr",15,2,2,100,59,0,0,0,1,1,0,2,1,9,9,"14.1%"
"16","Michael Badgley","K","DET","2020",9,9,"ppr",16,2,3,66.7,45,0,1,0,1,0,2,2,1,9,9,"27.0%"
"17","Josh Lambo","K","FA","2020",9,9,"ppr",17,2,2,100,59,0,0,1,0,1,1,2,1,9,9,"0.0%"
"18","Wil Lutz","K","NO","2020",9,9,"ppr",18,1,1,100,36,0,0,1,0,0,5,5,1,8,8,"8.0%"
"19","Joey Slye","K","WAS","2020",9,9,"ppr",19,1,3,33.3,47,0,0,0,1,0,4,4,1,8,8,"2.0%"
"20","Zane Gonzalez","K","CAR","2020",9,9,"ppr",20,1,2,50,37,0,0,1,0,0,4,4,1,7,7,"0.1%"
"21","Justin Tucker","K","BAL","2020",9,9,"ppr",21,1,1,100,48,0,0,0,1,0,3,3,1,7,7,"99.0%"
"22","Stephen Gostkowski","K","FA","2020",9,9,"ppr",22,1,1,100,40,0,0,0,1,0,3,3,1,7,7,"0.0%"
"23","Daniel Carlson","K","LV","2020",9,9,"ppr",23,1,1,100,31,0,0,1,0,0,4,4,1,7,7,"96.6%"
"24","Robbie Gould","K","SF","2020",9,9,"ppr",24,1,1,100,22,0,1,0,0,0,2,2,1,5,5,"42.9%"
"25","Cairo Santos","K","CHI","2020",9,9,"ppr",25,1,1,100,22,0,1,0,0,0,2,2,1,5,5,"13.3%"
"26","Rodrigo Blankenship","K","FA","2020",9,9,"ppr",26,1,1,100,43,0,0,0,1,0,1,1,1,5,5,"0.7%"
"27","Dan Bailey","K","FA","2020",9,9,"ppr",27,0,0,0,0,0,0,0,0,0,4,5,1,4,4,"0.0%"
"28","Ryan Succop","K","TB","2020",9,9,"ppr",28,1,1,100,48,0,0,0,1,0,0,0,1,4,4,"34.3%"
"29","Ty Long","K","FA","2020",9,9,"ppr",29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.7%"
