"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Chris Boswell","K","PIT","2017",2,2,"ppr",1,4,4,100,46,0,1,1,2,0,2,2,1,16,16,"14.1%"
"2","Cody Parkey","K","FA","2017",2,2,"ppr",2,4,4,100,54,0,1,2,0,1,1,1,1,15,15,"0.0%"
"3","Ryan Succop","K","TB","2017",2,2,"ppr",3,3,3,100,41,0,1,0,2,0,4,4,1,15,15,"34.3%"
"4","Matt Bryant","K","FA","2017",2,2,"ppr",4,2,2,100,53,0,0,0,0,2,4,4,1,14,14,"1.1%"
"5","Nick Folk","K","NE","2017",2,2,"ppr",5,3,3,100,50,0,1,0,1,1,2,3,1,14,14,"75.5%"
"6","Stephen Gostkowski","K","FA","2017",2,2,"ppr",6,3,3,100,28,0,3,0,0,0,3,4,1,12,12,"0.0%"
"7","Phil Dawson","K","FA","2017",2,2,"ppr",7,3,4,75,40,0,1,1,1,0,1,1,1,11,11,"0.1%"
"8","Chandler Catanzaro","K","FA","2017",2,2,"ppr",8,2,2,100,46,0,0,0,2,0,2,2,1,10,10,"0.0%"
"9","Dustin Hopkins","K","LAC","2017",2,2,"ppr",9,2,3,66.7,41,0,1,0,1,0,3,3,1,10,10,"2.7%"
"10","Robbie Gould","K","SF","2017",2,2,"ppr",10,3,3,100,40,0,0,2,1,0,0,0,1,10,10,"42.9%"
"11","Cairo Santos","K","CHI","2017",2,2,"ppr",11,2,2,100,39,0,0,2,0,0,3,3,1,9,9,"13.3%"
"12","Wil Lutz","K","NO","2017",2,2,"ppr",12,2,3,66.7,46,0,0,1,1,0,2,2,1,9,9,"8.0%"
"13","Jake Elliott","K","PHI","2017",2,2,"ppr",13,2,3,66.7,40,0,0,1,1,0,2,2,1,9,9,"27.9%"
"14","Graham Gano","K","NYG","2017",2,2,"ppr",14,3,3,100,34,0,2,1,0,0,0,0,1,9,9,"61.0%"
"15","Greg Zuerlein","K","NYJ","2017",2,2,"ppr",15,2,2,100,40,0,0,1,1,0,2,2,1,9,9,"15.9%"
"16","Randy Bullock","K","TEN","2017",2,2,"ppr",16,3,3,100,39,0,1,2,0,0,0,0,1,9,9,"1.5%"
"17","Giorgio Tavecchio","K","FA","2017",2,2,"ppr",17,1,1,100,29,0,1,0,0,0,6,6,1,9,9,"1.0%"
"18","Matt Prater","K","ARI","2017",2,2,"ppr",18,1,1,100,56,0,0,0,0,1,3,3,1,8,8,"14.9%"
"19","Adam Vinatieri","K","FA","2017",2,2,"ppr",19,2,2,100,46,0,1,0,1,0,1,1,1,8,8,"0.2%"
"20","Ka'imi Fairbairn","K","HOU","2017",2,2,"ppr",20,2,2,100,42,0,1,0,1,0,1,1,1,8,8,"2.0%"
"21","Dan Bailey","K","FA","2017",2,2,"ppr",21,1,1,100,56,0,0,0,0,1,2,2,1,7,7,"0.0%"
"22","Blair Walsh","K","FA","2017",2,2,"ppr",22,2,2,100,27,0,2,0,0,0,0,1,1,6,6,"0.1%"
"23","Brandon McManus","K","DEN","2017",2,2,"ppr",23,0,1,0,0,0,0,0,0,0,6,6,1,6,6,"36.0%"
"24","Younghoe Koo","K","ATL","2017",2,2,"ppr",24,1,3,33.3,41,0,0,0,1,0,2,2,1,6,6,"46.2%"
"25","Justin Tucker","K","BAL","2017",2,2,"ppr",25,1,2,50,28,0,1,0,0,0,3,3,1,6,6,"99.0%"
"26","Mason Crosby","K","GB","2017",2,2,"ppr",26,1,1,100,28,0,1,0,0,0,2,2,1,5,5,"3.2%"
"27","Jason Myers","K","SEA","2017",2,2,"ppr",27,1,1,100,43,0,0,0,1,0,1,1,1,5,5,"55.6%"
"28","Kai Forbath","K","LAR","2017",2,2,"ppr",28,1,1,100,42,0,0,0,1,0,0,1,1,4,4,"3.0%"
"29","Stephen Hauschka","K","FA","2017",2,2,"ppr",29,1,1,100,45,0,0,0,1,0,0,0,1,4,4,"0.0%"
"30","Aldrick Rosas","K","FA","2017",2,2,"ppr",30,1,1,100,25,0,1,0,0,0,1,1,1,4,4,"0.0%"
"31","Zane Gonzalez","K","CAR","2017",2,2,"ppr",31,1,1,100,38,0,0,1,0,0,1,1,1,4,4,"0.1%"
"32","Connor Barth","K","FA","2017",2,2,"ppr",32,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"0.0%"
"33","Michael Palardy","K","NE","2017",2,2,"ppr",33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"33.3%"
