"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","DK Metcalf","WR","SEA","2020",8,8,"ppr","1","12","15","161","13.4","46","5","2","0","0","0","0","1","40.1","40.1","97.8%"
"2","Davante Adams","WR","LV","2020",8,8,"ppr","2","7","11","53","7.6","15","0","3","0","0","0","0","1","30.3","30.3","100.0%"
"3","Robert Woods","WR","TEN","2020",8,8,"ppr","3","7","8","85","12.1","26","1","1","2","9","1","0","1","28.4","28.4","44.0%"
"4","Corey Davis","WR","NYJ","2020",8,8,"ppr","4","8","10","128","16.0","27","3","1","0","0","0","0","1","26.8","26.8","17.1%"
"5","Tyreek Hill","WR","MIA","2020",8,8,"ppr","5","4","6","98","24.5","41","5","2","0","0","0","0","1","25.8","25.8","100.0%"
"6","Brandon Aiyuk","WR","SF","2020",8,8,"ppr","6","8","10","91","11.4","33","2","1","0","0","0","0","1","23.1","23.1","91.7%"
"7","Mecole Hardman","WR","KC","2020",8,8,"ppr","7","7","9","96","13.7","30","2","1","0","0","0","0","1","22.6","22.6","28.0%"
"8","Cooper Kupp","WR","LAR","2020",8,8,"ppr","8","11","20","110","10.0","22","1","0","0","0","0","0","1","22.0","22.0","82.7%"
"9","Keenan Allen","WR","LAC","2020",8,8,"ppr","9","9","12","67","7.4","22","1","1","0","0","0","0","1","21.7","21.7","98.1%"
"10","Curtis Samuel","WR","WAS","2020",8,8,"ppr","10","4","5","31","7.8","29","1","1","3","23","1","0","1","21.4","21.4","61.9%"
"11","Mike Williams","WR","LAC","2020",8,8,"ppr","11","5","8","99","19.8","36","3","1","1","1","0","0","1","21.0","21.0","95.8%"
"12","Julio Jones","WR","TB","2020",8,8,"ppr","12","7","10","137","19.6","28","5","0","0","0","0","0","1","20.7","20.7","18.9%"
"13","Allen Robinson II","WR","LAR","2020",8,8,"ppr","13","6","7","87","14.5","28","2","1","0","0","0","0","1","20.7","20.7","36.3%"
"14","Travis Fulgham","WR","GB","2020",8,8,"ppr","14","6","7","78","13.0","32","2","1","0","0","0","0","1","19.8","19.8","0.0%"
"15","Tyler Boyd","WR","CIN","2020",8,8,"ppr","15","6","7","67","11.2","18","0","1","2","9","0","0","1","19.6","19.6","74.0%"
"16","Marvin Jones Jr.","WR","JAC","2020",8,8,"ppr","16","3","7","39","13.0","25","1","2","0","0","0","0","1","18.9","18.9","13.1%"
"17","DaeSean Hamilton","WR","MIA","2020",8,8,"ppr","17","4","5","82","20.5","40","3","1","0","0","0","0","1","18.2","18.2","0.0%"
"18","Darnell Mooney","WR","CHI","2020",8,8,"ppr","18","5","6","69","13.8","50","4","1","0","0","0","0","1","17.9","17.9","36.9%"
"19","Mike Evans","WR","TB","2020",8,8,"ppr","19","5","7","55","11.0","20","1","1","0","0","0","0","1","16.5","16.5","98.6%"
"20","Demarcus Robinson","WR","BAL","2020",8,8,"ppr","20","4","5","63","15.8","26","1","1","0","0","0","0","1","16.3","16.3","11.1%"
"21","Kendrick Bourne","WR","NE","2020",8,8,"ppr","21","8","10","81","10.1","20","1","0","0","0","0","0","1","16.1","16.1","1.0%"
"22","Willie Snead IV","WR","SF","2020",8,8,"ppr","22","5","7","106","21.2","34","5","0","0","0","0","0","1","15.6","15.6","0.0%"
"23","Sterling Shepard","WR","NYG","2020",8,8,"ppr","23","8","10","74","9.3","20","1","0","0","0","0","0","1","15.4","15.4","1.3%"
"24","Marvin Hall","WR","FA","2020",8,8,"ppr","24","4","7","113","28.3","73","4","0","0","0","0","0","1","15.3","15.3","0.0%"
"25","Anthony Miller","WR","PIT","2020",8,8,"ppr","25","8","11","73","9.1","16","0","0","0","0","0","0","1","15.3","15.3","0.0%"
"26","Stefon Diggs","WR","BUF","2020",8,8,"ppr","26","6","9","92","15.3","41","4","0","0","0","0","0","1","15.2","15.2","100.0%"
"27","Tee Higgins","WR","CIN","2020",8,8,"ppr","27","6","9","78","13.0","24","2","0","2","6","0","0","1","14.4","14.4","99.1%"
"28","Jakobi Meyers","WR","NE","2020",8,8,"ppr","28","6","10","58","9.7","16","0","0","0","0","0","0","1","13.8","13.8","69.3%"
"29","JuJu Smith-Schuster","WR","KC","2020",8,8,"ppr","29","7","8","67","9.6","24","1","0","0","0","0","0","1","13.7","13.7","93.5%"
"30","David Moore","WR","FA","2020",8,8,"ppr","30","3","3","18","6.0","7","0","1","2","28","0","0","1","13.6","13.6","0.0%"
"31","Auden Tate","WR","FA","2020",8,8,"ppr","31","7","7","65","9.3","15","0","0","0","0","0","0","1","13.5","13.5","0.0%"
"32","Jalen Reagor","WR","MIN","2020",8,8,"ppr","32","3","6","16","5.3","8","0","1","1","6","0","0","1","13.2","13.2","0.1%"
"33","Chase Claypool","WR","CHI","2020",8,8,"ppr","33","5","9","42","8.4","10","0","1","0","0","0","1","1","13.2","13.2","47.7%"
"34","Michael Gallup","WR","DAL","2020",8,8,"ppr","34","7","12","61","8.7","14","0","0","0","0","0","0","1","13.1","13.1","65.8%"
"35","Hunter Renfrow","WR","LV","2020",8,8,"ppr","35","4","4","26","6.5","11","0","1","0","0","0","0","1","12.6","12.6","26.2%"
"36","A.J. Brown","WR","PHI","2020",8,8,"ppr","36","4","7","24","6.0","9","0","1","0","0","0","0","1","12.4","12.4","99.9%"
"37","Golden Tate","WR","FA","2020",8,8,"ppr","37","2","3","31","15.5","19","0","1","0","0","0","0","1","11.8","11.8","0.0%"
"38","Braxton Berrios","WR","NYJ","2020",8,8,"ppr","38","8","11","34","4.3","15","0","0","0","0","0","0","1","11.4","11.4","1.0%"
"39","Jerry Jeudy","WR","DEN","2020",8,8,"ppr","39","4","10","73","18.3","43","3","0","0","0","0","0","1","11.3","11.3","89.9%"
"40","Darius Slayton","WR","NYG","2020",8,8,"ppr","40","5","9","56","11.2","14","0","0","0","0","0","0","1","10.6","10.6","52.9%"
"41","K.J. Hamler","WR","DEN","2020",8,8,"ppr","41","3","3","13","4.3","7","0","1","0","0","0","0","1","10.3","10.3","0.9%"
"42","Miles Boykin","WR","PIT","2020",8,8,"ppr","42","2","3","20","10.0","14","0","1","0","0","0","0","1","10.0","10.0","0.1%"
"43","Robbie Anderson","WR","ARI","2020",8,8,"ppr","43","5","8","48","9.6","27","1","0","0","0","0","0","1","9.8","9.8","6.7%"
"44","Tre'Quan Smith","WR","NO","2020",8,8,"ppr","44","5","7","43","8.6","14","0","0","0","0","0","0","1","9.3","9.3","0.5%"
"45","Jarvis Landry","WR","NO","2020",8,8,"ppr","45","4","11","52","13.0","25","1","0","0","0","0","0","1","9.2","9.2","21.3%"
"46","CeeDee Lamb","WR","DAL","2020",8,8,"ppr","46","4","5","27","6.8","12","0","0","1","19","0","0","1","8.6","8.6","99.9%"
"47","Jaydon Mickens","WR","NYG","2020",8,8,"ppr","47","5","8","36","7.2","9","0","0","0","0","0","0","1","8.6","8.6","0.0%"
"48","Jakeem Grant Sr.","WR","CLE","2020",8,8,"ppr","48","1","2","15","15.0","15","0","0","0","0","0","0","1","8.5","8.5","0.0%"
"49","Danny Amendola","WR","FA","2020",8,8,"ppr","49","3","4","54","18.0","24","1","0","0","0","0","0","1","8.4","8.4","0.0%"
"50","Josh Reynolds","WR","DET","2020",8,8,"ppr","50","4","9","44","11.0","15","0","0","0","0","0","0","1","8.4","8.4","6.3%"
"51","DJ Moore","WR","CAR","2020",8,8,"ppr","51","2","6","55","27.5","42","3","0","0","0","0","0","1","7.5","7.5","91.8%"
"52","Zach Pascal","WR","PHI","2020",8,8,"ppr","52","3","6","44","14.7","20","1","0","0","0","0","0","1","7.4","7.4","0.1%"
"53","Marquise Brown","WR","ARI","2020",8,8,"ppr","53","1","2","3","3.0","3","0","1","0","0","0","0","1","7.3","7.3","88.1%"
"54","DeVante Parker","WR","NE","2020",8,8,"ppr","54","1","2","3","3.0","3","0","1","0","0","0","0","1","7.3","7.3","13.6%"
"55","Tyler Lockett","WR","SEA","2020",8,8,"ppr","55","4","5","33","8.3","12","0","0","0","0","0","0","1","7.3","7.3","94.8%"
"56","Scotty Miller","WR","TB","2020",8,8,"ppr","56","3","6","35","11.7","19","0","0","1","7","0","0","1","7.2","7.2","0.1%"
"57","Calvin Ridley","WR","JAC","2020",8,8,"ppr","57","3","4","42","14.0","19","0","0","0","0","0","0","1","7.2","7.2","1.6%"
"58","Damiere Byrd","WR","ATL","2020",8,8,"ppr","58","3","4","39","13.0","22","1","0","0","0","0","0","1","6.9","6.9","0.1%"
