"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Arizona Cardinals","DST","ARI","2016",6,6,"ppr",1,1,2,0,1,0,0,0,1,12,12,"12.3%"
"2","Los Angeles Chargers","DST","LAC","2016",6,6,"ppr",2,2,0,2,2,0,1,0,1,12,12,"30.2%"
"3","Dallas Cowboys","DST","DAL","2016",6,6,"ppr",3,1,1,3,5,0,0,0,1,10,10,"90.0%"
"4","Kansas City Chiefs","DST","KC","2016",6,6,"ppr",4,2,1,1,1,0,0,0,1,10,10,"47.9%"
"5","Seattle Seahawks","DST","SEA","2016",6,6,"ppr",5,4,1,1,1,0,0,0,1,8,8,"20.5%"
"6","Philadelphia Eagles","DST","PHI","2016",6,6,"ppr",6,0,1,0,0,1,0,1,1,8,8,"58.2%"
"7","Miami Dolphins","DST","MIA","2016",6,6,"ppr",7,2,2,0,0,0,0,0,1,7,7,"25.9%"
"8","Chicago Bears","DST","CHI","2016",6,6,"ppr",8,2,1,1,1,0,0,0,1,7,7,"2.2%"
"9","Baltimore Ravens","DST","BAL","2016",6,6,"ppr",9,1,2,1,1,0,0,0,1,7,7,"89.6%"
"10","Washington Commanders","DST","WAS","2016",6,6,"ppr",10,5,0,0,0,0,0,0,1,6,6,"54.8%"
"11","Denver Broncos","DST","DEN","2016",6,6,"ppr",11,2,0,2,0,0,0,0,1,6,6,"38.8%"
"12","Tennessee Titans","DST","TEN","2016",6,6,"ppr",12,6,0,0,0,0,0,0,1,6,6,"26.3%"
"13","Buffalo Bills","DST","BUF","2016",6,6,"ppr",13,3,0,1,1,0,0,0,1,6,6,"99.0%"
"14","New England Patriots","DST","NE","2016",6,6,"ppr",14,2,0,0,0,0,1,0,1,5,5,"54.0%"
"15","Green Bay Packers","DST","GB","2016",6,6,"ppr",15,2,1,1,1,0,0,0,1,5,5,"80.7%"
"16","Houston Texans","DST","HOU","2016",6,6,"ppr",16,3,1,0,0,0,0,0,1,5,5,"0.8%"
"17","San Francisco 49ers","DST","SF","2016",6,6,"ppr",17,3,0,2,3,0,0,0,1,3,3,"95.5%"
"18","Cleveland Browns","DST","CLE","2016",6,6,"ppr",18,2,1,0,0,0,0,0,1,3,3,"37.2%"
"19","Indianapolis Colts","DST","IND","2016",6,6,"ppr",19,1,1,0,1,0,0,0,1,3,3,"52.4%"
"20","New York Giants","DST","NYG","2016",6,6,"ppr",20,2,0,0,0,0,0,0,1,2,2,"6.2%"
"21","Atlanta Falcons","DST","ATL","2016",6,6,"ppr",21,1,0,0,3,0,0,0,1,2,2,"1.7%"
"22","Jacksonville Jaguars","DST","JAC","2016",6,6,"ppr",22,1,0,0,0,0,0,0,1,2,2,"3.8%"
"23","Detroit Lions","DST","DET","2016",6,6,"ppr",23,1,1,0,1,0,0,0,1,2,2,"2.5%"
"24","New Orleans Saints","DST","NO","2016",6,6,"ppr",24,2,1,1,1,0,0,0,1,2,2,"65.3%"
"25","Las Vegas Raiders","DST","LV","2016",6,6,"ppr",25,1,0,0,0,0,0,0,1,1,1,"14.2%"
"26","Pittsburgh Steelers","DST","PIT","2016",6,6,"ppr",26,0,0,0,0,0,0,0,1,0,0,"53.2%"
"27","Los Angeles Rams","DST","LAR","2016",6,6,"ppr",27,1,0,0,0,0,0,0,1,0,0,"34.3%"
"28","Cincinnati Bengals","DST","CIN","2016",6,6,"ppr",28,3,0,0,0,0,0,0,1,-1,-1,"31.6%"
"29","New York Jets","DST","NYJ","2016",6,6,"ppr",29,0,0,0,1,0,0,0,1,-1,-1,"21.1%"
"30","Carolina Panthers","DST","CAR","2016",6,6,"ppr",30,1,1,0,0,0,0,0,1,-1,-1,"14.1%"
