"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"1","Dalvin Cook","RB","MIN","2020",11,11,"ppr","1","27","115","4.3","16","0","1","5","5","45","9.0","0","1","1","25.0","25.0","100.0%"
"2","Clyde Edwards-Helaire","RB","KC","2020",11,11,"ppr","2","14","69","4.9","14","0","2","1","2","8","8.0","0","0","1","20.7","20.7","40.4%"
"3","Derrick Henry","RB","TEN","2020",11,11,"ppr","3","28","133","4.8","29","2","1","1","2","-1","-1.0","0","0","1","20.2","20.2","100.0%"
"4","Ezekiel Elliott","RB","DAL","2020",11,11,"ppr","4","21","103","4.9","18","0","0","2","2","11","5.5","1","0","1","19.4","19.4","97.0%"
"5","J.K. Dobbins","RB","BAL","2020",11,11,"ppr","5","15","70","4.7","11","0","1","2","2","15","7.5","0","0","1","18.5","18.5","80.2%"
"6","Melvin Gordon III","RB","KC","2020",11,11,"ppr","6","15","84","5.6","25","2","2","0","0","0","0","0","1","1","18.4","18.4","29.3%"
"7","Carlos Hyde","RB","FA","2020",11,11,"ppr","7","14","79","5.6","17","0","1","2","3","16","8.0","0","0","1","17.5","17.5","0.0%"
"8","Antonio Gibson","RB","WAS","2020",11,11,"ppr","8","16","94","5.9","19","0","1","1","2","10","10.0","0","0","1","17.4","17.4","85.6%"
"9","Aaron Jones","RB","GB","2020",11,11,"ppr","9","10","41","4.1","15","0","1","4","4","30","7.5","0","0","1","17.1","17.1","99.6%"
"10","Kenyan Drake","RB","BAL","2020",11,11,"ppr","10","11","29","2.6","12","0","1","4","5","31","7.8","0","0","1","16.0","16.0","26.8%"
"11","Mike Davis","RB","FA","2020",11,11,"ppr","11","19","64","3.4","9","0","1","2","2","15","7.5","0","0","1","15.9","15.9","1.0%"
"12","Jonathan Taylor","RB","IND","2020",11,11,"ppr","12","22","90","4.1","18","0","0","4","4","24","6.0","0","0","1","15.4","15.4","100.0%"
"13","Frank Gore","RB","FA","2020",11,11,"ppr","13","15","61","4.1","14","0","1","2","2","10","5.0","0","0","1","15.1","15.1","12.1%"
"14","Chase Edmonds","RB","DEN","2020",11,11,"ppr","14","2","13","6.5","11","0","0","4","4","36","9.0","1","0","1","14.9","14.9","23.9%"
"15","James White","RB","FA","2020",11,11,"ppr","15","5","19","3.8","8","0","0","6","9","64","10.7","0","0","1","14.3","14.3","0.1%"
"16","Kalen Ballage","RB","FA","2020",11,11,"ppr","16","16","44","2.8","17","0","0","7","9","27","3.9","0","0","1","14.1","14.1","0.0%"
"17","Josh Jacobs","RB","LV","2020",11,11,"ppr","17","17","55","3.2","13","0","1","1","1","9","9.0","0","0","1","13.4","13.4","99.3%"
"18","James Conner","RB","ARI","2020",11,11,"ppr","18","13","89","6.8","25","1","0","3","3","10","3.3","0","0","1","12.9","12.9","97.8%"
"19","Salvon Ahmed","RB","MIA","2020",11,11,"ppr","19","12","43","3.6","14","0","0","5","6","31","6.2","0","0","1","12.4","12.4","0.1%"
"20","Damien Harris","RB","NE","2020",11,11,"ppr","20","11","43","3.9","9","0","1","1","2","11","11.0","0","0","1","12.4","12.4","56.6%"
"21","Tony Pollard","RB","DAL","2020",11,11,"ppr","21","5","60","12.0","42","3","1","0","0","0","0","0","0","1","12.0","12.0","96.8%"
"22","Nick Chubb","RB","CLE","2020",11,11,"ppr","22","20","114","5.7","54","4","0","0","0","0","0","0","0","1","11.4","11.4","99.9%"
"23","James Robinson","RB","NYJ","2020",11,11,"ppr","23","17","73","4.3","18","0","0","2","2","21","10.5","0","0","1","11.4","11.4","39.4%"
"24","Le'Veon Bell","RB","FA","2020",11,11,"ppr","24","7","25","3.6","11","0","1","1","1","11","11.0","0","0","1","10.6","10.6","0.1%"
"25","Alvin Kamara","RB","NO","2020",11,11,"ppr","25","13","45","3.5","12","0","1","0","1","0","0","0","0","1","10.5","10.5","99.3%"
"26","Latavius Murray","RB","DEN","2020",11,11,"ppr","26","12","49","4.1","11","0","0","2","2","36","18.0","0","0","1","10.5","10.5","75.6%"
"27","J.D. McKissic","RB","WAS","2020",11,11,"ppr","27","6","43","7.2","14","0","0","3","4","26","8.7","0","0","1","9.9","9.9","8.4%"
"28","Leonard Fournette","RB","TB","2020",11,11,"ppr","28","7","17","2.4","6","0","1","1","4","9","9.0","0","0","1","9.6","9.6","96.9%"
"29","Giovani Bernard","RB","TB","2020",11,11,"ppr","29","9","18","2.0","7","0","0","4","5","37","9.3","0","0","1","9.5","9.5","0.2%"
"30","La'Mical Perine","RB","MIA","2020",11,11,"ppr","30","8","33","4.1","11","0","1","0","1","0","0","0","0","1","9.3","9.3","0.0%"
"31","Miles Sanders","RB","PHI","2020",11,11,"ppr","31","16","66","4.1","11","0","0","3","5","15","5.0","0","1","1","9.1","9.1","96.5%"
"32","Kareem Hunt","RB","CLE","2020",11,11,"ppr","32","13","11","0.8","6","0","1","1","1","10","10.0","0","0","1","9.1","9.1","76.3%"
"33","Cam Akers","RB","LAR","2020",11,11,"ppr","33","5","15","3.0","11","0","0","1","1","4","4.0","1","0","1","8.9","8.9","67.5%"
"34","Jamaal Williams","RB","DET","2020",11,11,"ppr","34","5","12","2.4","4","0","0","1","2","4","4.0","1","0","1","8.6","8.6","91.0%"
"35","Nyheim Hines","RB","BUF","2020",11,11,"ppr","35","6","2","0.3","4","0","0","3","4","31","10.3","0","0","1","8.3","8.3","29.1%"
"36","Phillip Lindsay","RB","FA","2020",11,11,"ppr","36","16","82","5.1","20","2","0","0","0","0","0","0","0","1","8.2","8.2","0.4%"
"37","Boston Scott","RB","PHI","2020",11,11,"ppr","37","5","24","4.8","9","0","0","3","3","26","8.7","0","0","1","8.0","8.0","1.3%"
"38","Benny Snell Jr.","RB","PIT","2020",11,11,"ppr","38","7","15","2.1","5","0","1","0","0","0","0","0","0","1","7.5","7.5","1.4%"
"39","Duke Johnson Jr.","RB","BUF","2020",11,11,"ppr","39","10","15","1.5","3","0","0","3","5","20","6.7","0","0","1","6.5","6.5","0.0%"
"40","Kerryon Johnson","RB","FA","2020",11,11,"ppr","40","6","17","2.8","8","0","0","2","5","21","10.5","0","0","1","5.8","5.8","0.0%"
"41","Ty Johnson","RB","NYJ","2020",11,11,"ppr","41","0","0","0","0","0","0","4","6","17","4.3","0","0","1","5.7","5.7","3.4%"
"42","Darrel Williams","RB","ARI","2020",11,11,"ppr","42","0","0","0","0","0","0","3","3","22","7.3","0","0","1","5.2","5.2","1.5%"
"43","DeeJay Dallas","RB","SEA","2020",11,11,"ppr","43","1","13","13.0","13","0","0","2","2","19","9.5","0","0","1","5.2","5.2","4.5%"
"44","Jordan Wilkins","RB","IND","2020",11,11,"ppr","44","4","21","5.3","8","0","0","1","1","15","15.0","0","0","1","4.6","4.6","0.0%"
"45","Todd Gurley II","RB","FA","2020",11,11,"ppr","45","8","26","3.3","7","0","0","1","2","3","3.0","0","0","1","3.9","3.9","0.1%"
"46","Malcolm Brown","RB","LAR","2020",11,11,"ppr","46","3","20","6.7","14","0","0","1","1","8","8.0","0","0","1","3.8","3.8","0.1%"
"47","Troymaine Pope","RB","FA","2020",11,11,"ppr","47","3","4","1.3","5","0","0","2","2","12","6.0","0","0","1","3.6","3.6","0.0%"
"48","Devine Ozigbo","RB","DEN","2020",11,11,"ppr","48","0","0","0","0","0","0","3","3","5","1.7","0","0","1","3.5","3.5","0.0%"
"49","Rex Burkhead","RB","HOU","2020",11,11,"ppr","49","4","7","1.8","4","0","0","2","3","5","2.5","0","0","1","3.2","3.2","12.7%"
"50","C.J. Prosise","RB","FA","2020",11,11,"ppr","50","3","4","1.3","3","0","0","2","2","8","4.0","0","0","1","3.2","3.2","0.0%"
"51","Samaje Perine","RB","CIN","2020",11,11,"ppr","51","5","19","3.8","8","0","0","1","2","2","2.0","0","0","1","3.1","3.1","59.4%"
"52","Bo Scarbrough","RB","FA","2020",11,11,"ppr","52","6","31","5.2","12","0","0","0","0","0","0","0","0","1","3.1","3.1","0.0%"
"53","Rodney Smith","RB","FA","2020",11,11,"ppr","53","8","29","3.6","9","0","0","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"54","Devontae Booker","RB","FA","2020",11,11,"ppr","54","5","16","3.2","6","0","0","1","1","3","3.0","0","0","1","2.9","2.9","0.0%"
"55","Darrell Henderson Jr.","RB","FA","2020",11,11,"ppr","55","8","5","0.6","4","0","0","2","3","4","2.0","0","0","1","2.9","2.9","25.4%"
"56","Peyton Barber","RB","FA","2020",11,11,"ppr","56","8","28","3.5","11","0","0","0","0","0","0","0","0","1","2.8","2.8","1.0%"
"57","Ronald Jones II","RB","KC","2020",11,11,"ppr","57","10","24","2.4","6","0","0","0","1","0","0","0","0","1","2.4","2.4","2.5%"
"58","Joshua Kelley","RB","LAC","2020",11,11,"ppr","58","4","-2","-0.5","4","0","0","2","2","4","2.0","0","0","1","2.2","2.2","4.5%"
"59","Alec Ingold","RB","MIA","2020",11,11,"ppr","59","0","0","0","0","0","0","1","3","11","11.0","0","0","1","2.1","2.1","0.1%"
"60","Patrick Laird","RB","TB","2020",11,11,"ppr","60","0","0","0","0","0","0","1","2","8","8.0","0","0","1","1.8","1.8","0.0%"
"61","Brian Hill","RB","FA","2020",11,11,"ppr","61","4","18","4.5","7","0","0","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"62","Adrian Peterson","RB","FA","2020",11,11,"ppr","62","7","18","2.6","4","0","0","0","1","0","0","0","0","1","1.8","1.8","2.1%"
