"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Stefon Diggs","WR","BUF","2019",6,6,"ppr","1","7","11","167","23.9","62","8","3","2","18","0","0","1","43.5","43.5","100.0%"
"2","Terry McLaurin","WR","WAS","2019",6,6,"ppr","2","4","7","100","25.0","33","5","2","0","0","0","0","1","26.0","26.0","98.1%"
"3","Chris Godwin","WR","TB","2019",6,6,"ppr","3","10","12","151","15.1","26","3","0","0","0","0","0","1","25.1","25.1","96.0%"
"4","Tyreek Hill","WR","MIA","2019",6,6,"ppr","4","5","10","80","16.0","46","3","2","0","0","0","0","1","25.0","25.0","100.0%"
"5","Curtis Samuel","WR","WAS","2019",6,6,"ppr","5","4","6","70","17.5","30","3","1","1","8","1","0","1","23.8","23.8","61.9%"
"6","Alshon Jeffery","WR","FA","2019",6,6,"ppr","6","10","12","76","7.6","26","2","1","0","0","0","0","1","23.6","23.6","0.0%"
"7","Robbie Anderson","WR","ARI","2019",6,6,"ppr","7","5","8","125","25.0","92","4","1","0","0","0","0","1","23.5","23.5","6.7%"
"8","Golden Tate","WR","FA","2019",6,6,"ppr","8","6","9","102","17.0","64","4","1","0","0","0","0","1","22.2","22.2","0.0%"
"9","Mike Evans","WR","TB","2019",6,6,"ppr","9","9","17","96","10.7","17","0","0","0","0","0","0","1","20.6","20.6","98.6%"
"10","Julian Edelman","WR","FA","2019",6,6,"ppr","10","9","15","113","12.6","36","3","0","0","0","0","0","1","20.3","20.3","12.1%"
"11","Julio Jones","WR","TB","2019",6,6,"ppr","11","8","9","108","13.5","22","2","0","0","0","0","0","1","18.8","18.8","18.9%"
"12","Jaron Brown","WR","FA","2019",6,6,"ppr","12","3","5","29","9.7","17","0","2","0","0","0","0","1","17.9","17.9","0.0%"
"13","Adam Thielen","WR","MIN","2019",6,6,"ppr","13","6","8","57","9.5","20","1","1","1","0","0","0","1","17.7","17.7","90.7%"
"14","Kenny Golladay","WR","NYG","2019",6,6,"ppr","14","5","9","121","24.2","66","5","0","0","0","0","0","1","17.1","17.1","6.7%"
