"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Baltimore Ravens","DST","BAL","2017",11,11,"ppr",1,6,3,2,3,0,0,0,1,26,26,"89.6%"
"2","Los Angeles Chargers","DST","LAC","2017",11,11,"ppr",2,1,5,1,1,2,0,0,1,25,25,"30.2%"
"3","Jacksonville Jaguars","DST","JAC","2017",11,11,"ppr",3,5,2,3,4,1,0,0,1,25,25,"3.8%"
"4","Philadelphia Eagles","DST","PHI","2017",11,11,"ppr",4,4,3,1,1,1,0,0,1,22,22,"58.2%"
"5","Tampa Bay Buccaneers","DST","TB","2017",11,11,"ppr",5,1,3,2,2,1,0,0,1,18,18,"81.2%"
"6","Pittsburgh Steelers","DST","PIT","2017",11,11,"ppr",6,5,4,0,0,0,0,0,1,15,15,"53.2%"
"7","Atlanta Falcons","DST","ATL","2017",11,11,"ppr",7,3,1,1,1,1,0,0,1,12,12,"1.7%"
"8","New York Giants","DST","NYG","2017",11,11,"ppr",8,1,3,0,0,0,0,0,1,11,11,"6.2%"
"9","Detroit Lions","DST","DET","2017",11,11,"ppr",9,1,0,1,0,1,0,0,1,9,9,"2.5%"
"10","Cincinnati Bengals","DST","CIN","2017",11,11,"ppr",10,3,1,1,1,0,0,0,1,9,9,"31.6%"
"11","New England Patriots","DST","NE","2017",11,11,"ppr",11,1,1,1,1,0,0,0,1,9,9,"54.0%"
"12","Cleveland Browns","DST","CLE","2017",11,11,"ppr",12,2,0,1,3,0,0,0,1,8,8,"37.2%"
"13","Minnesota Vikings","DST","MIN","2017",11,11,"ppr",13,2,0,1,1,0,0,0,1,8,8,"23.7%"
"14","Houston Texans","DST","HOU","2017",11,11,"ppr",14,2,2,0,0,0,0,0,1,6,6,"0.8%"
"15","Kansas City Chiefs","DST","KC","2017",11,11,"ppr",15,0,1,0,0,0,0,0,1,6,6,"47.9%"
"16","Green Bay Packers","DST","GB","2017",11,11,"ppr",16,3,1,0,0,0,0,0,1,5,5,"80.7%"
"17","Chicago Bears","DST","CHI","2017",11,11,"ppr",17,3,0,1,1,0,0,0,1,5,5,"2.2%"
"18","Arizona Cardinals","DST","ARI","2017",11,11,"ppr",18,1,1,1,4,0,0,0,1,4,4,"12.3%"
"19","Denver Broncos","DST","DEN","2017",11,11,"ppr",19,2,0,0,1,0,0,0,1,4,4,"38.8%"
"20","Washington Commanders","DST","WAS","2017",11,11,"ppr",20,2,1,0,0,0,0,0,1,3,3,"54.8%"
"21","Seattle Seahawks","DST","SEA","2017",11,11,"ppr",21,1,0,1,0,0,0,0,1,2,2,"20.5%"
"22","New Orleans Saints","DST","NO","2017",11,11,"ppr",22,2,0,0,1,0,0,0,1,1,1,"65.3%"
"23","Miami Dolphins","DST","MIA","2017",11,11,"ppr",23,1,0,0,0,0,0,0,1,1,1,"25.9%"
"24","Las Vegas Raiders","DST","LV","2017",11,11,"ppr",24,1,0,0,1,0,0,0,1,0,0,"14.2%"
"25","Los Angeles Rams","DST","LAR","2017",11,11,"ppr",25,0,0,0,0,0,0,0,1,0,0,"34.3%"
"26","Dallas Cowboys","DST","DAL","2017",11,11,"ppr",26,0,0,0,0,0,0,0,1,-1,-1,"90.0%"
"27","Tennessee Titans","DST","TEN","2017",11,11,"ppr",27,3,0,0,1,0,0,0,1,-1,-1,"26.3%"
"28","Buffalo Bills","DST","BUF","2017",11,11,"ppr",28,1,0,0,1,0,0,0,1,-3,-3,"99.0%"
