"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","George Kittle","TE","SF","2021",13,13,"ppr","1","9","12","181","20.1","48","6","2","1","5","0","0","1","39.6","39.6","98.9%"
"2","Dallas Goedert","TE","PHI","2021",13,13,"ppr","2","6","6","105","17.5","36","3","2","0","0","0","0","1","28.5","28.5","88.2%"
"3","Rob Gronkowski","TE","FA","2021",13,13,"ppr","3","4","8","58","14.5","27","1","2","0","0","0","0","1","21.8","21.8","1.0%"
"4","T.J. Hockenson","TE","MIN","2021",13,13,"ppr","4","4","8","49","12.3","25","1","1","0","0","0","0","1","14.9","14.9","98.5%"
"5","Logan Thomas","TE","WAS","2021",13,13,"ppr","5","3","5","48","16.0","35","2","1","0","0","0","0","1","13.8","13.8","6.9%"
"6","Tyler Conklin","TE","NYJ","2021",13,13,"ppr","6","7","9","56","8.0","19","0","0","0","0","0","0","1","12.6","12.6","35.3%"
"7","Mike Gesicki","TE","MIA","2021",13,13,"ppr","7","7","11","46","6.6","17","0","0","0","0","0","0","1","11.6","11.6","37.4%"
"8","Brock Wright","TE","DET","2021",13,13,"ppr","8","2","3","28","14.0","23","1","1","0","0","0","0","1","10.8","10.8","0.2%"
"9","Evan Engram","TE","JAC","2021",13,13,"ppr","9","4","5","61","15.3","18","0","0","0","0","0","0","1","10.1","10.1","68.5%"
"10","Tyler Higbee","TE","LAR","2021",13,13,"ppr","10","5","6","48","9.6","22","1","0","0","0","0","0","1","9.8","9.8","71.9%"
"11","Ryan Griffin","TE","CHI","2021",13,13,"ppr","11","2","2","15","7.5","14","0","1","0","0","0","0","1","9.5","9.5","0.0%"
"12","Dalton Schultz","TE","DAL","2021",13,13,"ppr","12","5","5","43","8.6","12","0","0","0","0","0","0","1","9.3","9.3","96.1%"
"13","Jimmy Graham","TE","FA","2021",13,13,"ppr","13","1","1","1","1.0","1","0","1","0","0","0","0","1","9.1","9.1","0.0%"
"14","Mark Andrews","TE","BAL","2021",13,13,"ppr","14","4","9","50","12.5","29","1","0","0","0","0","0","1","9.0","9.0","99.9%"
"15","Kyle Pitts","TE","ATL","2021",13,13,"ppr","15","4","7","48","12.0","29","1","0","0","0","0","0","1","8.8","8.8","41.3%"
"16","Nick Vannett","TE","NYG","2021",13,13,"ppr","16","3","4","48","16.0","30","2","0","0","0","0","0","1","7.8","7.8","0.0%"
"17","Pat Freiermuth","TE","PIT","2021",13,13,"ppr","17","3","4","26","8.7","17","0","0","0","0","0","0","1","7.6","7.6","93.9%"
"18","Cameron Brate","TE","TB","2021",13,13,"ppr","18","1","1","3","3.0","3","0","1","0","0","0","0","1","7.3","7.3","1.6%"
"19","Noah Fant","TE","SEA","2021",13,13,"ppr","19","4","4","33","8.3","12","0","0","0","0","0","0","1","7.3","7.3","30.3%"
"20","John Bates","TE","WAS","2021",13,13,"ppr","20","3","4","42","14.0","23","1","0","0","0","0","0","1","7.2","7.2","0.1%"
"21","Cole Kmet","TE","CHI","2021",13,13,"ppr","21","3","7","41","13.7","24","1","0","0","0","0","0","1","7.1","7.1","69.3%"
