"","player","pos","team","season","start_week","end_week","scoring","rank","passing_cmp","passing_att","passing_pct","passing_yds","passing_y_a","passing_td","passing_int","passing_sacks","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Russell Wilson","QB","DEN","2017",8,8,"ppr","1","26","41","63.4","452","11.0","4","1","2","4","30","0","0","1","35.1","35.1","43.7%"
"2","Deshaun Watson","QB","CLE","2017",8,8,"ppr","2","19","30","63.3","402","13.4","4","3","5","8","67","0","0","1","32.8","32.8","75.7%"
"3","Andy Dalton","QB","NO","2017",8,8,"ppr","3","17","29","58.6","243","8.4","2","0","3","3","10","0","0","1","18.7","18.7","12.2%"
"4","Josh McCown","QB","FA","2017",8,8,"ppr","4","26","33","78.8","257","7.8","2","0","3","1","0","0","0","1","18.3","18.3","0.0%"
"5","Matthew Stafford","QB","LAR","2017",8,8,"ppr","5","27","45","60.0","423","9.4","0","0","2","1","11","0","0","1","18.0","18.0","29.7%"
"6","Case Keenum","QB","BUF","2017",8,8,"ppr","6","27","43","62.8","288","6.7","2","1","1","0","0","0","0","1","17.5","17.5","0.4%"
"7","Tom Brady","QB","TB","2017",8,8,"ppr","7","32","47","68.1","333","7.1","1","0","3","1","2","0","0","1","17.5","17.5","86.0%"
"8","Carson Wentz","QB","WAS","2017",8,8,"ppr","8","18","32","56.3","211","6.6","2","1","3","2","7","0","0","1","17.1","17.1","6.5%"
"9","Tyrod Taylor","QB","NYG","2017",8,8,"ppr","9","20","27","74.1","165","6.1","1","0","0","6","1","1","0","1","16.7","16.7","0.1%"
"10","Matt Ryan","QB","IND","2017",8,8,"ppr","10","18","29","62.1","254","8.8","2","0","1","6","17","0","2","1","15.9","15.9","10.6%"
"11","Jacoby Brissett","QB","CLE","2017",8,8,"ppr","11","25","39","64.1","233","6.0","2","1","4","1","6","0","0","1","15.9","15.9","4.8%"
"12","DeShone Kizer","QB","FA","2017",8,8,"ppr","12","18","34","52.9","179","5.3","0","0","3","5","18","1","0","1","15.0","15.0","0.0%"
"13","Ben Roethlisberger","QB","FA","2017",8,8,"ppr","13","17","31","54.8","317","10.2","1","1","0","3","-2","0","0","1","14.5","14.5","13.6%"
"14","Alex Smith","QB","FA","2017",8,8,"ppr","14","14","31","45.2","202","6.5","1","0","1","4","33","0","1","1","13.4","13.4","5.0%"
"15","Cam Newton","QB","FA","2017",8,8,"ppr","15","18","32","56.3","154","4.8","1","1","0","11","44","0","0","1","12.6","12.6","9.1%"
"16","Derek Carr","QB","LV","2017",8,8,"ppr","16","31","49","63.3","313","6.4","1","2","0","0","0","0","0","1","12.5","12.5","64.3%"
"17","Drew Brees","QB","FA","2017",8,8,"ppr","17","23","28","82.1","299","10.7","0","0","2","4","-2","0","0","1","11.8","11.8","35.7%"
"18","C.J. Beathard","QB","JAC","2017",8,8,"ppr","18","17","36","47.2","167","4.6","1","2","4","6","40","0","0","1","10.7","10.7","0.1%"
"19","Kirk Cousins","QB","MIN","2017",8,8,"ppr","19","26","39","66.7","263","6.7","1","1","4","1","0","0","1","1","10.5","10.5","87.8%"
"20","Philip Rivers","QB","FA","2017",8,8,"ppr","20","17","30","56.7","212","7.1","1","1","1","0","0","0","0","1","10.5","10.5","20.6%"
"21","Mitch Trubisky","QB","PIT","2017",8,8,"ppr","21","14","32","43.8","164","5.1","0","1","2","3","53","0","0","1","9.9","9.9","0.8%"
"22","Joe Flacco","QB","NYJ","2017",8,8,"ppr","22","10","15","66.7","101","6.7","1","0","0","1","9","0","0","1","8.9","8.9","0.3%"
"23","Trevor Siemian","QB","CHI","2017",8,8,"ppr","23","19","36","52.8","198","5.5","1","3","3","2","20","0","0","1","7.9","7.9","0.1%"
"24","Dak Prescott","QB","DAL","2017",8,8,"ppr","24","14","22","63.6","143","6.5","0","0","2","3","16","0","0","1","7.3","7.3","93.5%"
"25","Ryan Mallett","QB","FA","2017",8,8,"ppr","25","3","7","42.9","20","2.9","1","0","0","4","-3","0","0","1","4.5","4.5","0.0%"
"26","Jameis Winston","QB","NO","2017",8,8,"ppr","26","21","38","55.3","210","5.5","0","2","3","3","13","0","1","1","3.7","3.7","5.6%"
"27","Matt Moore","QB","FA","2017",8,8,"ppr","27","25","44","56.8","176","4.0","0","2","3","0","0","0","0","1","3.0","3.0","0.0%"
"28","Joe Webb III","QB","FA","2017",8,8,"ppr","28","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"29","Nick Foles","QB","IND","2017",8,8,"ppr","29","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.0%"
