"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Dustin Hopkins","K","LAC","2018",16,16,"ppr",1,3,3,100,50,0,0,0,2,1,1,1,1,14,14,"2.7%"
"2","Harrison Butker","K","KC","2018",16,16,"ppr",2,3,3,100,54,0,1,1,0,1,2,2,1,13,13,"91.8%"
"3","Mason Crosby","K","GB","2018",16,16,"ppr",3,3,3,100,42,0,1,1,1,0,3,3,1,13,13,"3.2%"
"4","Justin Tucker","K","BAL","2018",16,16,"ppr",4,3,5,60,56,0,1,1,0,1,1,1,1,12,12,"99.0%"
"5","Brett Maher","K","DAL","2018",16,16,"ppr",5,2,2,100,59,0,1,0,0,1,3,3,1,11,11,"75.1%"
"6","Matt Prater","K","ARI","2018",16,16,"ppr",6,3,3,100,48,0,0,1,2,0,0,0,1,11,11,"14.9%"
"7","Daniel Carlson","K","LV","2018",16,16,"ppr",7,2,2,100,45,0,0,0,2,0,3,3,1,11,11,"96.6%"
"8","Aldrick Rosas","K","FA","2018",16,16,"ppr",8,2,2,100,40,0,1,0,1,0,3,3,1,10,10,"0.0%"
"9","Robbie Gould","K","SF","2018",16,16,"ppr",9,3,3,100,33,0,1,2,0,0,0,0,1,9,9,"42.9%"
"10","Jake Elliott","K","PHI","2018",16,16,"ppr",10,2,2,100,47,0,0,1,1,0,2,3,1,9,9,"27.9%"
"11","Cairo Santos","K","CHI","2018",16,16,"ppr",11,2,3,66.7,45,0,0,1,1,0,2,2,1,9,9,"13.3%"
"12","Dan Bailey","K","FA","2018",16,16,"ppr",12,2,2,100,29,0,2,0,0,0,3,3,1,9,9,"0.0%"
"13","Chris Boswell","K","PIT","2018",16,16,"ppr",13,2,2,100,49,0,0,1,1,0,2,2,1,9,9,"14.1%"
"14","Ryan Succop","K","TB","2018",16,16,"ppr",14,2,2,100,42,0,0,1,1,0,1,2,1,8,8,"34.3%"
"15","Sebastian Janikowski","K","FA","2018",16,16,"ppr",15,1,2,50,28,0,1,0,0,0,5,5,1,8,8,"20.0%"
"16","Jason Myers","K","SEA","2018",16,16,"ppr",16,1,2,50,33,0,0,1,0,0,5,5,1,8,8,"55.6%"
"17","Greg Joseph","K","MIN","2018",16,16,"ppr",17,2,2,100,37,0,0,2,0,0,2,3,1,8,8,"28.3%"
"18","Wil Lutz","K","NO","2018",16,16,"ppr",18,1,2,50,43,0,0,0,1,0,4,4,1,8,8,"8.0%"
"19","Greg Zuerlein","K","NYJ","2018",16,16,"ppr",19,1,2,50,21,0,1,0,0,0,4,4,1,7,7,"15.9%"
"20","Stephen Hauschka","K","FA","2018",16,16,"ppr",20,2,3,66.7,41,0,0,1,1,0,0,0,1,7,7,"0.0%"
"21","Randy Bullock","K","TEN","2018",16,16,"ppr",21,1,1,100,51,0,0,0,0,1,1,1,1,6,6,"1.5%"
"22","Chandler Catanzaro","K","FA","2018",16,16,"ppr",22,1,1,100,50,0,0,0,0,1,1,1,1,6,6,"0.0%"
"23","Stephen Gostkowski","K","FA","2018",16,16,"ppr",23,1,1,100,24,0,1,0,0,0,3,3,1,6,6,"0.0%"
"24","Ka'imi Fairbairn","K","HOU","2018",16,16,"ppr",24,1,1,100,30,0,0,1,0,0,3,4,1,6,6,"2.0%"
"25","Matt Bryant","K","FA","2018",16,16,"ppr",25,1,1,100,39,0,0,1,0,0,3,3,1,6,6,"1.1%"
"26","Kai Forbath","K","LAR","2018",16,16,"ppr",26,1,2,50,26,0,1,0,0,0,2,2,1,5,5,"3.0%"
"27","Michael Badgley","K","DET","2018",16,16,"ppr",27,1,1,100,38,0,0,1,0,0,1,1,1,4,4,"27.0%"
"28","Adam Vinatieri","K","FA","2018",16,16,"ppr",28,0,0,0,0,0,0,0,0,0,4,4,1,4,4,"0.2%"
"29","Zane Gonzalez","K","CAR","2018",16,16,"ppr",29,1,2,50,36,0,0,1,0,0,0,1,1,3,3,"0.1%"
"30","Brandon McManus","K","DEN","2018",16,16,"ppr",30,0,1,0,0,0,0,0,0,0,2,2,1,2,2,"36.0%"
"31","Cody Parkey","K","FA","2018",16,16,"ppr",31,0,1,0,0,0,0,0,0,0,2,2,1,2,2,"0.0%"
"32","Jason Sanders","K","MIA","2018",16,16,"ppr",32,0,1,0,0,0,0,0,0,0,1,1,1,1,1,"13.2%"
"33","Michael Palardy","K","NE","2018",16,16,"ppr",33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"33.3%"
