"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Tampa Bay Buccaneers","DST","TB","2017",2,2,"ppr",1,1,2,2,1,1,0,0,1,19,19,"81.2%"
"2","Baltimore Ravens","DST","BAL","2017",2,2,"ppr",2,3,4,1,1,0,0,0,1,17,17,"89.6%"
"3","Denver Broncos","DST","DEN","2017",2,2,"ppr",3,2,2,0,0,1,0,0,1,13,13,"38.8%"
"4","Atlanta Falcons","DST","ATL","2017",2,2,"ppr",4,3,1,1,1,1,0,0,1,13,13,"1.7%"
"5","Kansas City Chiefs","DST","KC","2017",2,2,"ppr",5,6,1,1,2,0,0,0,1,11,11,"47.9%"
"6","Detroit Lions","DST","DET","2017",2,2,"ppr",6,5,1,0,1,0,0,1,1,11,11,"2.5%"
"7","Arizona Cardinals","DST","ARI","2017",2,2,"ppr",7,4,1,0,1,0,0,0,1,10,10,"12.3%"
"8","Buffalo Bills","DST","BUF","2017",2,2,"ppr",8,6,0,0,0,0,0,0,1,10,10,"99.0%"
"9","Carolina Panthers","DST","CAR","2017",2,2,"ppr",9,3,0,0,1,0,0,0,1,10,10,"14.1%"
"10","Tennessee Titans","DST","TEN","2017",2,2,"ppr",10,2,2,1,2,0,0,0,1,9,9,"26.3%"
"11","Houston Texans","DST","HOU","2017",2,2,"ppr",11,3,0,1,1,0,0,0,1,9,9,"0.8%"
"12","Las Vegas Raiders","DST","LV","2017",2,2,"ppr",12,4,0,2,1,0,0,0,1,9,9,"14.2%"
"13","Seattle Seahawks","DST","SEA","2017",2,2,"ppr",13,2,1,0,0,0,0,0,1,8,8,"20.5%"
"14","Pittsburgh Steelers","DST","PIT","2017",2,2,"ppr",14,2,0,1,1,0,0,0,1,8,8,"53.2%"
"15","San Francisco 49ers","DST","SF","2017",2,2,"ppr",15,3,0,0,0,0,0,0,1,7,7,"95.5%"
"16","Washington Commanders","DST","WAS","2017",2,2,"ppr",16,2,1,1,3,0,0,0,1,7,7,"54.8%"
"17","Indianapolis Colts","DST","IND","2017",2,2,"ppr",17,4,1,0,0,0,0,0,1,7,7,"52.4%"
"18","Cincinnati Bengals","DST","CIN","2017",2,2,"ppr",18,3,0,0,0,0,0,0,1,7,7,"31.6%"
"19","Cleveland Browns","DST","CLE","2017",2,2,"ppr",19,2,1,1,1,0,0,0,1,6,6,"37.2%"
"20","New York Giants","DST","NYG","2017",2,2,"ppr",20,3,0,1,1,0,0,0,1,5,5,"6.2%"
"21","Philadelphia Eagles","DST","PHI","2017",2,2,"ppr",21,4,0,0,0,0,0,0,1,4,4,"58.2%"
"22","Chicago Bears","DST","CHI","2017",2,2,"ppr",22,2,0,1,1,0,0,0,1,4,4,"2.2%"
"23","Los Angeles Chargers","DST","LAC","2017",2,2,"ppr",23,2,0,0,0,0,0,0,1,3,3,"30.2%"
"24","Minnesota Vikings","DST","MIN","2017",2,2,"ppr",24,2,0,0,0,0,0,0,1,2,2,"23.7%"
"25","New England Patriots","DST","NE","2017",2,2,"ppr",25,1,0,0,0,0,0,0,1,2,2,"54.0%"
"26","Green Bay Packers","DST","GB","2017",2,2,"ppr",26,3,0,0,0,0,0,0,1,2,2,"80.7%"
"27","Dallas Cowboys","DST","DAL","2017",2,2,"ppr",27,2,1,1,1,0,0,0,1,2,2,"90.0%"
"28","Los Angeles Rams","DST","LAR","2017",2,2,"ppr",28,2,0,0,1,0,0,0,1,2,2,"34.3%"
"29","Miami Dolphins","DST","MIA","2017",2,2,"ppr",29,1,0,0,0,0,0,0,1,2,2,"25.9%"
"30","Jacksonville Jaguars","DST","JAC","2017",2,2,"ppr",30,1,1,0,0,0,0,0,1,-1,-1,"3.8%"
"31","New Orleans Saints","DST","NO","2017",2,2,"ppr",31,2,0,0,0,0,0,0,1,-2,-2,"65.3%"
"32","New York Jets","DST","NYJ","2017",2,2,"ppr",32,0,0,0,1,0,0,0,1,-4,-4,"21.1%"
