"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Buffalo Bills","DST","BUF","2018",3,3,"ppr",1,4,1,2,2,0,0,0,1,17,17,"99.0%"
"2","Pittsburgh Steelers","DST","PIT","2018",3,3,"ppr",2,3,3,1,1,1,0,0,1,17,17,"53.2%"
"3","Seattle Seahawks","DST","SEA","2018",3,3,"ppr",3,5,2,1,1,0,0,0,1,15,15,"20.5%"
"4","Chicago Bears","DST","CHI","2018",3,3,"ppr",4,4,3,1,2,0,0,0,1,13,13,"2.2%"
"5","Los Angeles Rams","DST","LAR","2018",3,3,"ppr",5,2,0,2,2,0,0,0,1,13,13,"34.3%"
"6","Tennessee Titans","DST","TEN","2018",3,3,"ppr",6,3,0,1,1,0,0,0,1,12,12,"26.3%"
"7","Indianapolis Colts","DST","IND","2018",3,3,"ppr",7,5,1,1,1,0,0,0,1,10,10,"52.4%"
"8","Carolina Panthers","DST","CAR","2018",3,3,"ppr",8,2,4,0,0,0,0,0,1,10,10,"14.1%"
"9","Cleveland Browns","DST","CLE","2018",3,3,"ppr",9,2,2,1,1,0,0,0,1,9,9,"37.2%"
"10","Arizona Cardinals","DST","ARI","2018",3,3,"ppr",10,3,1,1,1,0,0,0,1,8,8,"12.3%"
"11","Miami Dolphins","DST","MIA","2018",3,3,"ppr",11,3,2,0,0,0,0,0,1,8,8,"25.9%"
"12","Detroit Lions","DST","DET","2018",3,3,"ppr",12,2,1,0,0,0,0,0,1,8,8,"2.5%"
"13","Washington Commanders","DST","WAS","2018",3,3,"ppr",13,4,0,1,1,0,0,0,1,7,7,"54.8%"
"14","New York Giants","DST","NYG","2018",3,3,"ppr",14,3,1,1,1,0,0,0,1,7,7,"6.2%"
"15","Jacksonville Jaguars","DST","JAC","2018",3,3,"ppr",15,3,0,0,0,0,0,0,1,7,7,"3.8%"
"16","Baltimore Ravens","DST","BAL","2018",3,3,"ppr",16,3,1,0,1,0,0,0,1,6,6,"89.6%"
"17","Tampa Bay Buccaneers","DST","TB","2018",3,3,"ppr",17,3,1,0,1,0,0,0,1,5,5,"81.2%"
"18","Los Angeles Chargers","DST","LAC","2018",3,3,"ppr",18,1,1,1,1,0,0,0,1,4,4,"30.2%"
"19","Denver Broncos","DST","DEN","2018",3,3,"ppr",19,2,0,0,1,0,0,0,1,4,4,"38.8%"
"20","Houston Texans","DST","HOU","2018",3,3,"ppr",20,4,0,0,1,0,0,0,1,4,4,"0.8%"
"21","New York Jets","DST","NYJ","2018",3,3,"ppr",21,4,0,0,2,0,0,0,1,4,4,"21.1%"
"22","Kansas City Chiefs","DST","KC","2018",3,3,"ppr",22,4,0,0,2,0,0,0,1,4,4,"47.9%"
"23","Philadelphia Eagles","DST","PHI","2018",3,3,"ppr",23,2,0,0,0,0,0,0,1,3,3,"58.2%"
"24","New England Patriots","DST","NE","2018",3,3,"ppr",24,1,1,0,0,0,0,0,1,3,3,"54.0%"
"25","Minnesota Vikings","DST","MIN","2018",3,3,"ppr",25,3,0,0,1,0,0,0,1,3,3,"23.7%"
"26","Dallas Cowboys","DST","DAL","2018",3,3,"ppr",26,2,0,0,0,0,0,0,1,2,2,"90.0%"
"27","Green Bay Packers","DST","GB","2018",3,3,"ppr",27,0,1,0,0,0,0,0,1,1,1,"80.7%"
"28","New Orleans Saints","DST","NO","2018",3,3,"ppr",28,3,0,0,0,0,0,0,1,0,0,"65.3%"
"29","Las Vegas Raiders","DST","LV","2018",3,3,"ppr",29,1,0,0,0,0,0,0,1,0,0,"14.2%"
"30","Cincinnati Bengals","DST","CIN","2018",3,3,"ppr",30,1,0,0,1,0,0,0,1,0,0,"31.6%"
"31","San Francisco 49ers","DST","SF","2018",3,3,"ppr",31,2,0,0,1,0,0,0,1,-2,-2,"95.5%"
"32","Atlanta Falcons","DST","ATL","2018",3,3,"ppr",32,1,0,0,0,0,0,0,1,-3,-3,"1.7%"
