"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","New England Patriots","DST","NE","2019",4,4,"ppr",1,5,4,0,2,0,0,1,1,25,25,"54.0%"
"2","New York Giants","DST","NYG","2019",4,4,"ppr",2,3,4,0,0,1,0,0,1,24,24,"6.2%"
"3","Pittsburgh Steelers","DST","PIT","2019",4,4,"ppr",3,8,1,1,2,0,0,0,1,19,19,"53.2%"
"4","Chicago Bears","DST","CHI","2019",4,4,"ppr",4,6,0,2,3,0,0,0,1,17,17,"2.2%"
"5","Seattle Seahawks","DST","SEA","2019",4,4,"ppr",5,4,1,0,0,1,0,0,1,16,16,"20.5%"
"6","Tampa Bay Buccaneers","DST","TB","2019",4,4,"ppr",6,2,3,1,1,1,0,0,1,15,15,"81.2%"
"7","Carolina Panthers","DST","CAR","2019",4,4,"ppr",7,6,1,1,1,0,0,0,1,14,14,"14.1%"
"8","Kansas City Chiefs","DST","KC","2019",4,4,"ppr",8,4,0,2,2,1,0,0,1,13,13,"47.9%"
"9","Tennessee Titans","DST","TEN","2019",4,4,"ppr",9,5,0,1,1,0,0,0,1,11,11,"26.3%"
"10","New Orleans Saints","DST","NO","2019",4,4,"ppr",10,1,1,2,2,0,0,0,1,11,11,"65.3%"
"11","Dallas Cowboys","DST","DAL","2019",4,4,"ppr",11,5,1,0,0,0,0,0,1,11,11,"90.0%"
"12","Los Angeles Chargers","DST","LAC","2019",4,4,"ppr",12,5,1,0,2,0,0,0,1,11,11,"30.2%"
"13","Cleveland Browns","DST","CLE","2019",4,4,"ppr",13,4,2,1,1,0,0,0,1,10,10,"37.2%"
"14","Las Vegas Raiders","DST","LV","2019",4,4,"ppr",14,0,1,1,1,1,0,0,1,10,10,"14.2%"
"15","Houston Texans","DST","HOU","2019",4,4,"ppr",15,3,0,3,3,0,0,0,1,10,10,"0.8%"
"16","Washington Commanders","DST","WAS","2019",4,4,"ppr",16,0,2,2,2,0,0,0,1,9,9,"54.8%"
"17","Los Angeles Rams","DST","LAR","2019",4,4,"ppr",17,2,1,0,0,1,0,0,1,6,6,"34.3%"
"18","Buffalo Bills","DST","BUF","2019",4,4,"ppr",18,0,1,0,1,0,0,0,1,6,6,"99.0%"
"19","Philadelphia Eagles","DST","PHI","2019",4,4,"ppr",19,1,1,1,1,0,0,0,1,5,5,"58.2%"
"20","Denver Broncos","DST","DEN","2019",4,4,"ppr",20,5,0,0,1,0,0,0,1,5,5,"38.8%"
"21","Detroit Lions","DST","DET","2019",4,4,"ppr",21,0,0,3,2,0,0,0,1,5,5,"2.5%"
"22","Arizona Cardinals","DST","ARI","2019",4,4,"ppr",22,4,0,0,3,0,0,0,1,4,4,"12.3%"
"23","Indianapolis Colts","DST","IND","2019",4,4,"ppr",23,1,0,1,0,0,0,0,1,3,3,"52.4%"
"24","Minnesota Vikings","DST","MIN","2019",4,4,"ppr",24,1,0,0,0,0,0,0,1,2,2,"23.7%"
"25","Jacksonville Jaguars","DST","JAC","2019",4,4,"ppr",25,0,1,0,0,0,0,0,1,2,2,"3.8%"
"26","Cincinnati Bengals","DST","CIN","2019",4,4,"ppr",26,0,0,1,1,0,0,0,1,2,2,"31.6%"
"27","Atlanta Falcons","DST","ATL","2019",4,4,"ppr",27,0,0,0,3,0,0,0,1,0,0,"1.7%"
"28","Miami Dolphins","DST","MIA","2019",4,4,"ppr",28,1,0,0,0,0,0,0,1,0,0,"25.9%"
"29","Green Bay Packers","DST","GB","2019",4,4,"ppr",29,0,0,0,0,0,0,0,1,-1,-1,"80.7%"
"30","Baltimore Ravens","DST","BAL","2019",4,4,"ppr",30,1,1,0,0,0,0,0,1,-1,-1,"89.6%"
