"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Mark Andrews","TE","BAL","2019",10,10,"ppr","1","6","8","53","8.8","19","0","2","0","0","0","0","1","23.3","23.3","99.9%"
"2","Travis Kelce","TE","KC","2019",10,10,"ppr","2","7","7","75","10.7","17","0","1","0","0","0","0","1","20.5","20.5","100.0%"
"3","Jacob Hollister","TE","FA","2019",10,10,"ppr","3","8","10","62","7.8","13","0","1","0","0","0","0","1","20.2","20.2","0.0%"
"4","Kyle Rudolph","TE","TB","2019",10,10,"ppr","4","4","5","14","3.5","7","0","2","0","0","0","0","1","19.4","19.4","0.6%"
"5","Greg Olsen","TE","FA","2019",10,10,"ppr","5","8","10","98","12.3","18","0","0","0","0","0","0","1","17.8","17.8","7.0%"
"6","Gerald Everett","TE","LAC","2019",10,10,"ppr","6","8","12","68","8.5","17","0","0","0","0","0","0","1","14.8","14.8","84.7%"
"7","O.J. Howard","TE","HOU","2019",10,10,"ppr","7","4","7","47","11.8","26","1","1","0","0","0","0","1","14.7","14.7","0.3%"
"8","Jared Cook","TE","FA","2019",10,10,"ppr","8","6","10","74","12.3","22","1","0","0","0","0","0","1","13.4","13.4","0.0%"
"9","Jack Doyle","TE","FA","2019",10,10,"ppr","9","3","4","44","14.7","23","2","1","0","0","0","0","1","13.4","13.4","2.0%"
"10","Hunter Henry","TE","NE","2019",10,10,"ppr","10","4","7","30","7.5","13","0","1","0","0","0","0","1","13.0","13.0","38.7%"
"11","Anthony Firkser","TE","ATL","2019",10,10,"ppr","11","3","4","36","12.0","20","1","1","0","0","0","0","1","12.6","12.6","0.0%"
"12","Nick Boyle","TE","BAL","2019",10,10,"ppr","12","4","4","78","19.5","35","3","0","0","0","0","0","1","11.8","11.8","0.0%"
"13","Austin Hooper","TE","TEN","2019",10,10,"ppr","13","4","5","17","4.3","9","0","1","0","0","0","0","1","11.7","11.7","13.8%"
"14","Eric Ebron","TE","FA","2019",10,10,"ppr","14","5","12","56","11.2","23","1","0","0","0","0","0","1","10.6","10.6","0.0%"
"15","Tyler Eifert","TE","FA","2019",10,10,"ppr","15","2","4","20","10.0","14","0","1","0","0","0","0","1","10.0","10.0","0.0%"
"16","Dawson Knox","TE","BUF","2019",10,10,"ppr","16","4","6","55","13.8","21","1","0","0","0","0","0","1","9.5","9.5","74.4%"
"17","Ben Braunecker","TE","FA","2019",10,10,"ppr","17","1","1","18","18.0","18","0","1","0","0","0","0","1","8.8","8.8","0.0%"
"18","Irv Smith Jr.","TE","MIN","2019",10,10,"ppr","18","5","6","34","6.8","9","0","0","0","0","0","0","1","8.4","8.4","13.5%"
