"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","William Fuller V","WR","FA","2019",5,5,"ppr","1","14","16","217","15.5","44","9","3","0","0","0","0","1","53.7","53.7","0.1%"
"2","Michael Thomas","WR","NO","2019",5,5,"ppr","2","11","13","182","16.5","42","6","2","0","0","0","0","1","41.2","41.2","26.7%"
"3","Amari Cooper","WR","CLE","2019",5,5,"ppr","3","11","14","226","20.5","53","10","1","0","0","0","0","1","39.6","39.6","96.2%"
"4","DJ Chark Jr.","WR","DET","2019",5,5,"ppr","4","8","11","164","20.5","37","7","2","0","0","0","0","1","36.4","36.4","40.6%"
"5","Adam Thielen","WR","MIN","2019",5,5,"ppr","5","7","8","130","18.6","44","4","2","0","0","0","0","1","32.0","32.0","90.7%"
"6","Chris Godwin","WR","TB","2019",5,5,"ppr","6","7","9","125","17.9","26","3","2","0","0","0","0","1","31.5","31.5","96.0%"
"7","Allen Robinson II","WR","LAR","2019",5,5,"ppr","7","7","9","97","13.9","32","2","2","0","0","0","0","1","28.7","28.7","36.3%"
"8","Tyler Boyd","WR","CIN","2019",5,5,"ppr","8","10","14","123","12.3","42","4","1","0","0","0","0","1","28.3","28.3","74.0%"
"9","Cooper Kupp","WR","LAR","2019",5,5,"ppr","9","9","17","117","13.0","26","2","1","0","0","0","0","1","26.7","26.7","82.7%"
"10","Julian Edelman","WR","FA","2019",5,5,"ppr","10","8","9","110","13.8","31","2","1","0","0","0","0","1","25.0","25.0","12.1%"
"11","Michael Gallup","WR","DAL","2019",5,5,"ppr","11","7","14","113","16.1","40","4","1","0","0","0","0","1","24.3","24.3","65.8%"
"12","Byron Pringle","WR","CHI","2019",5,5,"ppr","12","6","8","103","17.2","28","3","1","0","0","0","0","1","22.3","22.3","0.2%"
"13","Calvin Ridley","WR","JAC","2019",5,5,"ppr","13","5","9","88","17.6","29","2","1","0","0","0","0","1","19.8","19.8","1.6%"
"14","Courtland Sutton","WR","DEN","2019",5,5,"ppr","14","4","7","92","23.0","70","4","1","0","0","0","0","1","19.2","19.2","80.1%"
"15","JuJu Smith-Schuster","WR","KC","2019",5,5,"ppr","15","7","7","75","10.7","35","2","1","0","0","0","1","1","18.5","18.5","93.5%"
"16","Darius Slayton","WR","NYG","2019",5,5,"ppr","16","4","5","62","15.5","35","2","1","0","0","0","0","1","16.2","16.2","52.9%"
"17","DeAndre Hopkins","WR","ARI","2019",5,5,"ppr","17","7","8","88","12.6","29","2","0","0","0","0","0","1","15.8","15.8","98.4%"
"18","Mohamed Sanu Sr.","WR","FA","2019",5,5,"ppr","18","5","5","42","8.4","14","0","1","1","1","0","0","1","15.3","15.3","0.0%"
"19","Dede Westbrook","WR","FA","2019",5,5,"ppr","19","7","11","82","11.7","30","2","0","0","0","0","0","1","15.2","15.2","0.0%"
"20","DJ Moore","WR","CAR","2019",5,5,"ppr","20","6","8","91","15.2","52","4","0","0","0","0","0","1","15.1","15.1","91.8%"
"21","Steven Sims Jr.","WR","PIT","2019",5,5,"ppr","21","2","3","1","0.5","5","0","0","1","65","1","0","1","14.6","14.6","0.3%"
"22","Tyler Lockett","WR","SEA","2019",5,5,"ppr","22","4","4","51","12.8","17","0","1","1","-8","0","0","1","14.3","14.3","94.8%"
"23","Mike Williams","WR","LAC","2019",5,5,"ppr","23","6","13","74","12.3","20","1","0","0","0","0","0","1","13.4","13.4","95.8%"
"24","Duke Williams","WR","FA","2019",5,5,"ppr","24","4","4","29","7.3","11","0","1","0","0","0","0","1","12.9","12.9","0.0%"
"25","John Brown","WR","BUF","2019",5,5,"ppr","25","5","5","75","15.0","21","1","0","0","0","0","0","1","12.5","12.5","0.1%"
"26","DK Metcalf","WR","SEA","2019",5,5,"ppr","26","2","3","44","22.0","40","3","1","0","0","0","0","1","12.4","12.4","97.8%"
"27","Larry Fitzgerald","WR","FA","2019",5,5,"ppr","27","6","8","58","9.7","17","0","0","0","0","0","0","1","11.8","11.8","0.1%"
"28","Ted Ginn Jr.","WR","FA","2019",5,5,"ppr","28","2","2","35","17.5","33","2","1","1","1","0","0","1","11.6","11.6","0.0%"
"29","Auden Tate","WR","FA","2019",5,5,"ppr","29","3","6","26","8.7","15","0","1","0","0","0","0","1","11.6","11.6","0.0%"
"30","Jarvis Landry","WR","NO","2019",5,5,"ppr","30","4","6","75","18.8","25","2","0","0","0","0","0","1","11.5","11.5","21.3%"
"31","Mecole Hardman","WR","KC","2019",5,5,"ppr","31","4","6","79","19.8","31","2","0","1","-6","0","0","1","11.3","11.3","28.0%"
"32","Alshon Jeffery","WR","FA","2019",5,5,"ppr","32","6","8","52","8.7","13","0","0","0","0","0","0","1","11.2","11.2","0.0%"
"33","Marquise Brown","WR","ARI","2019",5,5,"ppr","33","3","5","22","7.3","11","0","1","0","0","0","0","1","11.2","11.2","88.1%"
"34","Josh Gordon","WR","FA","2019",5,5,"ppr","34","5","8","59","11.8","24","1","0","0","0","0","0","1","10.9","10.9","0.1%"
"35","Keke Coutee","WR","FA","2019",5,5,"ppr","35","3","4","72","24.0","51","4","0","0","0","0","0","1","10.2","10.2","0.0%"
"36","Robert Woods","WR","TEN","2019",5,5,"ppr","36","5","9","48","9.6","17","0","0","0","0","0","0","1","9.8","9.8","44.0%"
"37","Sterling Shepard","WR","NYG","2019",5,5,"ppr","37","5","9","49","9.8","18","0","0","1","-2","0","0","1","9.7","9.7","1.3%"
"38","Anthony Miller","WR","PIT","2019",5,5,"ppr","38","4","7","52","13.0","32","2","0","0","0","0","0","1","9.2","9.2","0.0%"
"39","Willie Snead IV","WR","SF","2019",5,5,"ppr","39","4","5","51","12.8","23","1","0","0","0","0","0","1","9.1","9.1","0.0%"
"40","Demaryius Thomas","WR","FA","2019",5,5,"ppr","40","4","9","47","11.8","16","0","0","0","0","0","0","1","8.7","8.7","0.1%"
"41","Marquise Goodwin","WR","SEA","2019",5,5,"ppr","41","3","4","41","13.7","17","0","0","1","15","0","0","1","8.6","8.6","2.0%"
"42","Bisi Johnson","WR","MIN","2019",5,5,"ppr","42","4","4","43","10.8","23","1","0","0","0","0","0","1","8.3","8.3","0.0%"
"43","Randall Cobb","WR","GB","2019",5,5,"ppr","43","3","6","53","17.7","25","1","0","0","0","0","0","1","8.3","8.3","5.6%"
"44","James Washington","WR","DAL","2019",5,5,"ppr","44","3","6","52","17.3","26","2","0","0","0","0","0","1","8.2","8.2","0.7%"
"45","Terry McLaurin","WR","WAS","2019",5,5,"ppr","45","3","7","51","17.0","22","1","0","0","0","0","0","1","8.1","8.1","98.1%"
"46","David Moore","WR","FA","2019",5,5,"ppr","46","1","2","10","10.0","10","0","1","0","0","0","0","1","8.0","8.0","0.0%"
"47","Vyncint Smith","WR","IND","2019",5,5,"ppr","47","0","0","0","0","0","0","0","1","19","1","0","1","7.9","7.9","0.0%"
"48","Damion Willis","WR","FA","2019",5,5,"ppr","48","4","4","38","9.5","12","0","0","0","0","0","0","1","7.8","7.8","0.0%"
"49","Diontae Johnson","WR","PIT","2019",5,5,"ppr","49","5","8","27","5.4","13","0","0","0","0","0","0","1","7.7","7.7","85.3%"
"50","T.Y. Hilton","WR","DAL","2019",5,5,"ppr","50","4","4","37","9.3","14","0","0","0","0","0","0","1","7.7","7.7","3.8%"
"51","Stefon Diggs","WR","BUF","2019",5,5,"ppr","51","3","4","44","14.7","20","1","0","0","0","0","0","1","7.4","7.4","100.0%"
"52","Curtis Samuel","WR","WAS","2019",5,5,"ppr","52","3","6","19","6.3","7","0","0","2","25","0","0","1","7.4","7.4","61.9%"
"53","Isaiah McKenzie","WR","BUF","2019",5,5,"ppr","53","2","2","52","26.0","46","3","0","0","0","0","0","1","7.2","7.2","32.2%"
"54","Julio Jones","WR","TB","2019",5,5,"ppr","54","3","7","42","14.0","20","1","0","0","0","0","0","1","7.2","7.2","18.9%"
"55","Adam Humphries","WR","FA","2019",5,5,"ppr","55","4","6","30","7.5","10","0","0","0","0","0","0","1","7.0","7.0","1.0%"
"56","Brandin Cooks","WR","HOU","2019",5,5,"ppr","56","1","3","29","29.0","29","1","0","1","27","0","0","1","6.6","6.6","64.4%"
"57","Trevor Davis","WR","FA","2019",5,5,"ppr","57","4","4","42","10.5","21","1","0","0","0","0","1","1","6.2","6.2","0.0%"
"58","Demarcus Robinson","WR","BAL","2019",5,5,"ppr","58","3","6","31","10.3","14","0","0","0","0","0","0","1","6.1","6.1","11.1%"
"59","Keenan Allen","WR","LAC","2019",5,5,"ppr","59","4","6","18","4.5","10","0","0","0","0","0","0","1","5.8","5.8","98.1%"
"60","KeeSean Johnson","WR","BUF","2019",5,5,"ppr","60","3","7","22","7.3","9","0","0","1","3","0","0","1","5.5","5.5","0.0%"
"61","Pharoh Cooper","WR","ARI","2019",5,5,"ppr","61","2","2","33","16.5","28","1","0","0","0","0","0","1","5.3","5.3","0.0%"
"62","Cole Beasley","WR","BUF","2019",5,5,"ppr","62","3","4","21","7.0","8","0","0","0","0","0","0","1","5.1","5.1","1.5%"
"63","Odell Beckham Jr.","WR","FA","2019",5,5,"ppr","63","2","6","27","13.5","20","1","0","2","15","0","1","1","5.0","5.0","19.2%"
"64","Corey Davis","WR","NYJ","2019",5,5,"ppr","64","2","4","28","14.0","23","1","0","0","0","0","0","1","4.8","4.8","17.1%"
"65","Geronimo Allison","WR","FA","2019",5,5,"ppr","65","2","6","28","14.0","22","1","0","0","0","0","0","1","4.8","4.8","0.0%"
"66","A.J. Brown","WR","PHI","2019",5,5,"ppr","66","2","2","27","13.5","14","0","0","0","0","0","0","1","4.7","4.7","99.9%"
"67","Kendrick Bourne","WR","NE","2019",5,5,"ppr","67","2","2","24","12.0","14","0","0","0","0","0","0","1","4.4","4.4","1.0%"
"68","Golden Tate","WR","FA","2019",5,5,"ppr","68","3","6","13","4.3","5","0","0","0","0","0","0","1","4.3","4.3","0.0%"
"69","Tavon Austin","WR","FA","2019",5,5,"ppr","69","1","1","13","13.0","13","0","0","1","14","0","0","1","3.7","3.7","0.0%"
"70","Jaron Brown","WR","FA","2019",5,5,"ppr","70","2","4","36","18.0","21","1","0","0","0","0","1","1","3.6","3.6","0.0%"
"71","Chris Conley","WR","TEN","2019",5,5,"ppr","71","1","3","26","26.0","26","1","0","0","0","0","0","1","3.6","3.6","0.1%"
"72","Paul Richardson Jr.","WR","FA","2019",5,5,"ppr","72","2","2","14","7.0","8","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"73","Trent Sherfield","WR","MIA","2019",5,5,"ppr","73","1","3","23","23.0","23","1","0","0","0","0","0","1","3.3","3.3","1.5%"
