"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Baltimore Ravens","DST","BAL","2017",15,15,"ppr",1,2,2,2,2,1,0,0,1,20,20,"89.6%"
"2","Los Angeles Rams","DST","LAR","2017",15,15,"ppr",2,7,0,2,3,0,1,0,1,17,17,"34.3%"
"3","Minnesota Vikings","DST","MIN","2017",15,15,"ppr",3,3,2,0,0,1,0,0,1,17,17,"23.7%"
"4","Kansas City Chiefs","DST","KC","2017",15,15,"ppr",4,2,3,1,1,0,0,0,1,14,14,"47.9%"
"5","Detroit Lions","DST","DET","2017",15,15,"ppr",5,2,3,0,0,0,0,0,1,12,12,"2.5%"
"6","Carolina Panthers","DST","CAR","2017",15,15,"ppr",6,3,3,1,1,0,0,0,1,11,11,"14.1%"
"7","Washington Commanders","DST","WAS","2017",15,15,"ppr",7,5,1,1,1,0,0,0,1,10,10,"54.8%"
"8","Buffalo Bills","DST","BUF","2017",15,15,"ppr",8,3,3,0,1,0,0,0,1,10,10,"99.0%"
"9","Jacksonville Jaguars","DST","JAC","2017",15,15,"ppr",9,4,1,0,1,0,0,0,1,10,10,"3.8%"
"10","Chicago Bears","DST","CHI","2017",15,15,"ppr",10,4,0,1,1,0,0,0,1,7,7,"2.2%"
"11","Las Vegas Raiders","DST","LV","2017",15,15,"ppr",11,2,2,0,0,0,0,0,1,7,7,"14.2%"
"12","New Orleans Saints","DST","NO","2017",15,15,"ppr",12,1,2,0,0,0,0,0,1,6,6,"65.3%"
"13","Philadelphia Eagles","DST","PHI","2017",15,15,"ppr",13,1,1,0,0,0,0,0,1,5,5,"58.2%"
"14","New York Jets","DST","NYJ","2017",15,15,"ppr",14,0,1,2,2,0,0,0,1,5,5,"21.1%"
"15","Denver Broncos","DST","DEN","2017",15,15,"ppr",15,1,0,0,1,0,0,0,1,5,5,"38.8%"
"16","Pittsburgh Steelers","DST","PIT","2017",15,15,"ppr",16,2,1,0,0,0,0,0,1,4,4,"53.2%"
"17","New England Patriots","DST","NE","2017",15,15,"ppr",17,2,1,0,0,0,0,0,1,4,4,"54.0%"
"18","Arizona Cardinals","DST","ARI","2017",15,15,"ppr",18,1,0,1,1,0,0,0,1,4,4,"12.3%"
"19","Atlanta Falcons","DST","ATL","2017",15,15,"ppr",19,2,0,1,2,1,0,0,1,4,4,"1.7%"
"20","Indianapolis Colts","DST","IND","2017",15,15,"ppr",20,2,1,0,1,0,0,0,1,4,4,"52.4%"
"21","San Francisco 49ers","DST","SF","2017",15,15,"ppr",21,1,0,1,1,0,0,0,1,3,3,"95.5%"
"22","Cincinnati Bengals","DST","CIN","2017",15,15,"ppr",22,2,1,0,0,0,0,0,1,3,3,"31.6%"
"23","Tennessee Titans","DST","TEN","2017",15,15,"ppr",23,3,0,0,0,0,0,0,1,3,3,"26.3%"
"24","Tampa Bay Buccaneers","DST","TB","2017",15,15,"ppr",24,1,0,0,2,0,0,0,1,2,2,"81.2%"
"25","Miami Dolphins","DST","MIA","2017",15,15,"ppr",25,2,0,0,0,0,0,0,1,2,2,"25.9%"
"26","Dallas Cowboys","DST","DAL","2017",15,15,"ppr",26,0,0,0,2,0,0,0,1,1,1,"90.0%"
"27","Cleveland Browns","DST","CLE","2017",15,15,"ppr",27,1,0,0,0,0,0,0,1,1,1,"37.2%"
"28","New York Giants","DST","NYG","2017",15,15,"ppr",28,1,0,0,1,0,0,0,1,0,0,"6.2%"
"29","Green Bay Packers","DST","GB","2017",15,15,"ppr",29,1,0,0,0,0,0,0,1,0,0,"80.7%"
"30","Los Angeles Chargers","DST","LAC","2017",15,15,"ppr",30,1,0,0,0,0,0,0,1,0,0,"30.2%"
"31","Seattle Seahawks","DST","SEA","2017",15,15,"ppr",31,2,1,0,1,0,0,0,1,0,0,"20.5%"
"32","Houston Texans","DST","HOU","2017",15,15,"ppr",32,1,0,0,0,0,0,0,1,-3,-3,"0.8%"
