"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"1","Alvin Kamara","RB","NO","2020",10,10,"ppr","1","8","15","1.9","8","0","2","7","8","83","11.9","1","0","1","34.8","34.8","99.3%"
"2","Josh Jacobs","RB","LV","2020",10,10,"ppr","2","21","112","5.3","24","1","2","4","4","24","6.0","0","0","1","29.6","29.6","99.3%"
"3","Nyheim Hines","RB","BUF","2020",10,10,"ppr","3","12","70","5.8","14","0","1","5","6","45","9.0","1","0","1","28.5","28.5","29.1%"
"4","D'Andre Swift","RB","DET","2020",10,10,"ppr","4","16","81","5.1","17","0","0","5","5","68","13.6","1","0","1","25.9","25.9","97.8%"
"5","Ronald Jones II","RB","KC","2020",10,10,"ppr","5","23","192","8.3","98","4","1","1","2","6","6.0","0","1","1","24.8","24.8","2.5%"
"6","Rex Burkhead","RB","HOU","2020",10,10,"ppr","6","6","31","5.2","9","0","0","4","5","35","8.8","2","0","1","22.6","22.6","12.7%"
"7","Antonio Gibson","RB","WAS","2020",10,10,"ppr","7","13","45","3.5","12","0","2","4","4","20","5.0","0","0","1","22.5","22.5","85.6%"
"8","Devontae Booker","RB","FA","2020",10,10,"ppr","8","16","81","5.1","23","1","2","1","1","2","2.0","0","0","1","21.3","21.3","0.0%"
"9","Malcolm Brown","RB","LAR","2020",10,10,"ppr","9","6","33","5.5","13","0","2","2","2","18","9.0","0","0","1","19.1","19.1","0.1%"
"10","Wayne Gallman Jr.","RB","SEA","2020",10,10,"ppr","10","18","53","2.9","17","0","2","1","2","7","7.0","0","0","1","19.0","19.0","0.1%"
"11","Nick Chubb","RB","CLE","2020",10,10,"ppr","11","19","126","6.6","59","4","1","0","1","0","0","0","0","1","18.6","18.6","99.9%"
"12","J.D. McKissic","RB","WAS","2020",10,10,"ppr","12","8","6","0.8","5","0","1","7","15","43","6.1","0","0","1","17.9","17.9","8.4%"
"13","Kareem Hunt","RB","CLE","2020",10,10,"ppr","13","19","104","5.5","19","0","0","3","4","28","9.3","0","0","1","16.2","16.2","76.3%"
"14","Salvon Ahmed","RB","MIA","2020",10,10,"ppr","14","21","85","4.0","18","0","1","1","1","5","5.0","0","0","1","16.0","16.0","0.1%"
"15","Dalvin Cook","RB","MIN","2020",10,10,"ppr","15","30","96","3.2","14","0","0","4","4","16","4.0","0","0","1","15.2","15.2","100.0%"
"16","Kalen Ballage","RB","FA","2020",10,10,"ppr","16","18","68","3.8","11","0","0","5","6","34","6.8","0","0","1","15.2","15.2","0.0%"
"17","Aaron Jones","RB","GB","2020",10,10,"ppr","17","13","46","3.5","20","1","0","5","6","49","9.8","0","0","1","14.5","14.5","99.6%"
"18","Boston Scott","RB","PHI","2020",10,10,"ppr","18","3","63","21.0","56","4","1","1","1","11","11.0","0","0","1","14.4","14.4","1.3%"
"19","Miles Sanders","RB","PHI","2020",10,10,"ppr","19","15","85","5.7","14","0","0","2","5","10","5.0","0","0","1","13.5","13.5","96.5%"
"20","James Robinson","RB","NYJ","2020",10,10,"ppr","20","23","109","4.7","20","1","0","2","5","3","1.5","0","0","1","13.2","13.2","39.4%"
"21","Damien Harris","RB","NE","2020",10,10,"ppr","21","22","121","5.5","25","1","0","0","0","0","0","0","0","1","12.1","12.1","56.6%"
"22","Derrick Henry","RB","TEN","2020",10,10,"ppr","22","19","103","5.4","20","1","0","1","2","6","6.0","0","0","1","11.9","11.9","100.0%"
"23","Alex Collins","RB","FA","2020",10,10,"ppr","23","11","43","3.9","13","0","1","1","2","4","4.0","0","0","1","11.7","11.7","19.0%"
"24","Chase Edmonds","RB","DEN","2020",10,10,"ppr","24","8","56","7.0","25","1","0","3","3","21","7.0","0","0","1","10.7","10.7","23.9%"
"25","Darrell Henderson Jr.","RB","FA","2020",10,10,"ppr","25","7","28","4.0","16","0","1","1","1","5","5.0","0","0","1","10.3","10.3","25.4%"
"26","Kenyan Drake","RB","BAL","2020",10,10,"ppr","26","16","100","6.3","20","1","0","1","1","9","9.0","0","1","1","9.9","9.9","26.8%"
"27","D'Onta Foreman","RB","CAR","2020",10,10,"ppr","27","7","18","2.6","8","0","0","1","1","5","5.0","1","0","1","9.3","9.3","83.0%"
"28","Giovani Bernard","RB","TB","2020",10,10,"ppr","28","8","30","3.8","11","0","0","4","7","17","4.3","0","0","1","8.7","8.7","0.2%"
"29","Jamaal Williams","RB","DET","2020",10,10,"ppr","29","8","30","3.8","7","0","0","3","4","25","8.3","0","0","1","8.5","8.5","91.0%"
"30","Mike Davis","RB","FA","2020",10,10,"ppr","30","7","32","4.6","7","0","0","4","5","12","3.0","0","0","1","8.4","8.4","1.0%"
"31","Gus Edwards","RB","BAL","2020",10,10,"ppr","31","7","42","6.0","11","0","0","1","1","31","31.0","0","0","1","8.3","8.3","39.7%"
"32","James Conner","RB","ARI","2020",10,10,"ppr","32","13","36","2.8","16","0","0","2","2","12","6.0","0","0","1","6.8","6.8","97.8%"
"33","Corey Clement","RB","ARI","2020",10,10,"ppr","33","1","5","5.0","5","0","1","0","0","0","0","0","0","1","6.5","6.5","0.0%"
"34","Samaje Perine","RB","CIN","2020",10,10,"ppr","34","7","48","6.9","15","0","0","1","1","7","7.0","0","0","1","6.5","6.5","59.4%"
"35","Jonathan Taylor","RB","IND","2020",10,10,"ppr","35","7","12","1.7","4","0","0","2","2","25","12.5","0","0","1","5.7","5.7","100.0%"
"36","Latavius Murray","RB","DEN","2020",10,10,"ppr","36","9","57","6.3","18","0","0","0","0","0","0","0","0","1","5.7","5.7","75.6%"
"37","Jerick McKinnon","RB","KC","2020",10,10,"ppr","37","18","33","1.8","9","0","0","1","3","13","13.0","0","0","1","5.6","5.6","68.7%"
"38","Duke Johnson Jr.","RB","BUF","2020",10,10,"ppr","38","14","54","3.9","23","1","0","0","1","0","0","0","0","1","5.4","5.4","0.0%"
"39","DeeJay Dallas","RB","SEA","2020",10,10,"ppr","39","2","8","4.0","5","0","0","2","3","23","11.5","0","0","1","5.1","5.1","4.5%"
"40","Leonard Fournette","RB","TB","2020",10,10,"ppr","40","8","19","2.4","14","0","0","2","3","11","5.5","0","0","1","5.0","5.0","96.9%"
"41","Travis Homer","RB","SEA","2020",10,10,"ppr","41","0","0","0","0","0","0","3","3","19","6.3","0","0","1","4.9","4.9","22.6%"
"42","Mark Ingram II","RB","NO","2020",10,10,"ppr","42","5","5","1.0","5","0","0","2","2","24","12.0","0","0","1","4.9","4.9","4.3%"
"43","Melvin Gordon III","RB","KC","2020",10,10,"ppr","43","11","46","4.2","11","0","0","0","2","0","0","0","0","1","4.6","4.6","29.3%"
"44","Royce Freeman","RB","HOU","2020",10,10,"ppr","44","2","11","5.5","9","0","0","2","2","15","7.5","0","0","1","4.6","4.6","0.0%"
"45","Jeremy McNichols","RB","PIT","2020",10,10,"ppr","45","3","26","8.7","16","0","0","1","1","8","8.0","0","0","1","4.4","4.4","0.0%"
"46","Austin Walter","RB","LV","2020",10,10,"ppr","46","1","3","3.0","3","0","0","1","1","27","27.0","0","0","1","4.0","4.0","0.0%"
"47","Adrian Peterson","RB","FA","2020",10,10,"ppr","47","4","21","5.3","13","0","0","1","1","9","9.0","0","0","1","4.0","4.0","2.1%"
"48","Jakob Johnson","RB","LV","2020",10,10,"ppr","48","0","0","0","0","0","0","2","2","20","10.0","0","0","1","4.0","4.0","0.0%"
"49","Cam Akers","RB","LAR","2020",10,10,"ppr","49","10","38","3.8","17","0","0","0","0","0","0","0","0","1","3.8","3.8","67.5%"
"50","Dion Lewis","RB","FA","2020",10,10,"ppr","50","0","0","0","0","0","0","2","2","17","8.5","0","0","1","3.7","3.7","2.0%"
"51","Alfred Morris","RB","FA","2020",10,10,"ppr","51","8","34","4.3","10","0","0","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"52","JaMycal Hasty","RB","JAC","2020",10,10,"ppr","52","3","13","4.3","8","0","0","2","2","-4","-2.0","0","0","1","2.9","2.9","5.1%"
"53","James White","RB","FA","2020",10,10,"ppr","53","0","0","0","0","0","0","2","2","8","4.0","0","0","1","2.8","2.8","0.1%"
"54","Jordan Wilkins","RB","IND","2020",10,10,"ppr","54","8","28","3.5","18","0","0","0","1","0","0","0","0","1","2.8","2.8","0.0%"
"55","Ryan Nall","RB","FA","2020",10,10,"ppr","55","1","0","0.0","0","0","0","1","2","18","18.0","0","0","1","2.8","2.8","0.0%"
"56","Zack Moss","RB","IND","2020",10,10,"ppr","56","7","20","2.9","14","0","0","1","2","-3","-3.0","0","0","1","2.7","2.7","1.4%"
"57","Lamar Miller","RB","FA","2020",10,10,"ppr","57","0","0","0","0","0","0","2","2","6","3.0","0","0","1","2.6","2.6","0.0%"
"58","Rodney Smith","RB","FA","2020",10,10,"ppr","58","3","13","4.3","10","0","0","1","1","2","2.0","0","0","1","2.5","2.5","0.0%"
"59","J.K. Dobbins","RB","BAL","2020",10,10,"ppr","59","5","13","2.6","4","0","0","1","2","1","1.0","0","0","1","2.4","2.4","80.2%"
"60","Peyton Barber","RB","FA","2020",10,10,"ppr","60","2","7","3.5","6","0","0","1","1","7","7.0","0","0","1","2.4","2.4","1.0%"
"61","Khari Blasingame","RB","CHI","2020",10,10,"ppr","61","0","0","0","0","0","0","1","1","13","13.0","0","0","1","2.3","2.3","0.0%"
"62","Trayveon Williams","RB","CIN","2020",10,10,"ppr","62","5","22","4.4","8","0","0","0","0","0","0","0","0","1","2.2","2.2","0.1%"
"63","Joshua Kelley","RB","LAC","2020",10,10,"ppr","63","7","21","3.0","8","0","0","0","0","0","0","0","0","1","2.1","2.1","4.5%"
"64","Devin Singletary","RB","BUF","2020",10,10,"ppr","64","4","15","3.8","13","0","0","1","3","-5","-5.0","0","0","1","2.0","2.0","91.7%"
"65","Gabe Nabers","RB","FA","2020",10,10,"ppr","65","0","0","0","0","0","0","1","1","9","9.0","0","0","1","1.9","1.9","0.0%"
"66","Patrick Laird","RB","TB","2020",10,10,"ppr","66","2","19","9.5","17","0","0","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"67","C.J. Ham","RB","MIN","2020",10,10,"ppr","67","0","0","0","0","0","0","1","1","8","8.0","0","0","1","1.8","1.8","0.1%"
"68","Alex Armah Jr.","RB","WAS","2020",10,10,"ppr","68","0","0","0","0","0","0","2","2","-5","-2.5","0","0","1","1.5","1.5","0.0%"
"69","Dare Ogunbowale","RB","HOU","2020",10,10,"ppr","69","0","0","0","0","0","0","1","2","5","5.0","0","0","1","1.5","1.5","3.7%"
"70","Tyler Ervin","RB","FA","2020",10,10,"ppr","70","1","0","0.0","0","0","0","1","1","3","3.0","0","0","1","1.3","1.3","0.0%"
"71","Justice Hill","RB","BAL","2020",10,10,"ppr","71","0","0","0","0","0","0","1","1","3","3.0","0","0","1","1.3","1.3","0.8%"
"72","Benny Snell Jr.","RB","PIT","2020",10,10,"ppr","72","3","12","4.0","8","0","0","0","0","0","0","0","0","1","1.2","1.2","1.4%"
"73","Patrick Ricard","RB","BAL","2020",10,10,"ppr","73","0","0","0","0","0","0","1","1","2","2.0","0","0","1","1.2","1.2","0.1%"
"74","Artavis Pierce","RB","FA","2020",10,10,"ppr","74","3","9","3.0","6","0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"75","C.J. Prosise","RB","FA","2020",10,10,"ppr","75","0","0","0","0","0","0","1","1","-2","-2.0","0","0","1","0.8","0.8","0.0%"
"76","Kyle Juszczyk","RB","SF","2020",10,10,"ppr","76","1","5","5.0","5","0","0","0","1","0","0","0","0","1","0.5","0.5","0.4%"
"77","Alexander Mattison","RB","MIN","2020",10,10,"ppr","77","2","4","2.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","27.5%"
"78","Kerryon Johnson","RB","FA","2020",10,10,"ppr","78","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"79","Phillip Lindsay","RB","FA","2020",10,10,"ppr","79","4","2","0.5","4","0","0","0","1","0","0","0","0","1","0.2","0.2","0.4%"
"80","DeAndre Washington","RB","FA","2020",10,10,"ppr","80","2","2","1.0","3","0","0","0","0","0","0","0","0","1","0.2","0.2","11.0%"
"81","Jonathan Ward","RB","TEN","2020",10,10,"ppr","81","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"82","Alec Ingold","RB","MIA","2020",10,10,"ppr","82","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"83","Mike Boone","RB","DEN","2020",10,10,"ppr","83","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","5.3%"
"84","Cullen Gillaspia","RB","SEA","2020",10,10,"ppr","84","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"85","Reggie Gilliam","RB","BUF","2020",10,10,"ppr","85","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"86","Xavier Jones","RB","FA","2020",10,10,"ppr","86","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"87","Jeremy Cox","RB","FA","2020",10,10,"ppr","87","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"88","D'Ernest Johnson","RB","CLE","2020",10,10,"ppr","88","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"89","Nick Bellore","RB","SEA","2020",10,10,"ppr","89","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"90","Cordarrelle Patterson","RB","ATL","2020",10,10,"ppr","90","12","30","2.5","6","0","0","2","2","19","9.5","0","0","1","0.0","0.0","85.6%"
"91","Chris Thompson","RB","FA","2020",10,10,"ppr","91","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"92","LeSean McCoy","RB","FA","2020",10,10,"ppr","92","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"93","Buddy Howell","RB","FA","2020",10,10,"ppr","93","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"94","J.P. Holtz","RB","NO","2020",10,10,"ppr","94","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
