"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Dallas Cowboys","DST","DAL","2022",7,7,"ppr",1,5,2,3,4,0,0,0,1,22,22,"90.0%"
"2","Tennessee Titans","DST","TEN","2022",7,7,"ppr",2,3,2,1,1,1,0,0,1,19,19,"26.3%"
"3","Arizona Cardinals","DST","ARI","2022",7,7,"ppr",3,0,3,0,0,2,0,0,1,17,17,"12.3%"
"4","Kansas City Chiefs","DST","KC","2022",7,7,"ppr",4,5,2,1,1,0,1,0,1,13,13,"47.9%"
"5","Miami Dolphins","DST","MIA","2022",7,7,"ppr",5,2,3,0,0,0,0,0,1,12,12,"25.9%"
"6","Baltimore Ravens","DST","BAL","2022",7,7,"ppr",6,5,0,2,3,0,0,0,1,12,12,"89.6%"
"7","Chicago Bears","DST","CHI","2022",7,7,"ppr",7,1,3,1,0,0,0,0,1,10,10,"2.2%"
"8","Las Vegas Raiders","DST","LV","2022",7,7,"ppr",8,1,1,0,0,1,0,0,1,10,10,"14.2%"
"9","Green Bay Packers","DST","GB","2022",7,7,"ppr",9,1,1,0,0,1,0,0,1,9,9,"80.7%"
"10","Carolina Panthers","DST","CAR","2022",7,7,"ppr",10,1,0,0,0,0,0,0,1,8,8,"14.1%"
"11","Indianapolis Colts","DST","IND","2022",7,7,"ppr",11,2,0,1,0,0,0,0,1,8,8,"52.4%"
"12","Seattle Seahawks","DST","SEA","2022",7,7,"ppr",12,3,1,1,2,0,0,0,1,7,7,"20.5%"
"13","New York Jets","DST","NYJ","2022",7,7,"ppr",13,1,1,0,0,0,0,0,1,7,7,"21.1%"
"14","New York Giants","DST","NYG","2022",7,7,"ppr",14,0,0,1,1,0,0,0,1,5,5,"6.2%"
"15","New England Patriots","DST","NE","2022",7,7,"ppr",15,4,1,0,2,0,0,0,1,5,5,"54.0%"
"16","Cleveland Browns","DST","CLE","2022",7,7,"ppr",16,3,0,1,1,0,0,0,1,5,5,"37.2%"
"17","Cincinnati Bengals","DST","CIN","2022",7,7,"ppr",17,3,0,0,0,0,0,0,1,4,4,"31.6%"
"18","Detroit Lions","DST","DET","2022",7,7,"ppr",18,2,0,1,1,0,0,0,1,4,4,"2.5%"
"19","Los Angeles Chargers","DST","LAC","2022",7,7,"ppr",19,2,1,1,0,0,1,0,1,4,4,"30.2%"
"20","Denver Broncos","DST","DEN","2022",7,7,"ppr",20,3,0,0,0,0,0,0,1,4,4,"38.8%"
"21","Washington Commanders","DST","WAS","2022",7,7,"ppr",21,0,0,1,0,0,0,0,1,3,3,"54.8%"
"22","San Francisco 49ers","DST","SF","2022",7,7,"ppr",22,1,1,1,0,0,0,0,1,1,1,"95.5%"
"23","New Orleans Saints","DST","NO","2022",7,7,"ppr",23,2,0,0,1,0,0,0,1,1,1,"65.3%"
"24","Jacksonville Jaguars","DST","JAC","2022",7,7,"ppr",24,1,0,0,0,0,0,0,1,1,1,"3.8%"
"25","Tampa Bay Buccaneers","DST","TB","2022",7,7,"ppr",25,1,0,0,0,0,0,0,1,1,1,"81.2%"
"26","Pittsburgh Steelers","DST","PIT","2022",7,7,"ppr",26,0,0,0,0,0,0,0,1,1,1,"53.2%"
"27","Los Angeles Rams","DST","LAR","2022",7,7,"ppr",27,0,0,0,0,0,0,0,0,0,0,"34.3%"
"28","Buffalo Bills","DST","BUF","2022",7,7,"ppr",28,0,0,0,0,0,0,0,0,0,0,"99.0%"
"29","Minnesota Vikings","DST","MIN","2022",7,7,"ppr",29,0,0,0,0,0,0,0,0,0,0,"23.7%"
"30","Houston Texans","DST","HOU","2022",7,7,"ppr",30,1,0,0,0,0,0,0,1,0,0,"0.8%"
"31","Philadelphia Eagles","DST","PHI","2022",7,7,"ppr",31,0,0,0,0,0,0,0,0,0,0,"58.2%"
"32","Atlanta Falcons","DST","ATL","2022",7,7,"ppr",32,3,0,0,0,0,0,0,1,-1,-1,"1.7%"
