"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","New England Patriots","DST","NE","2019",7,7,"ppr",1,1,4,2,1,0,1,0,1,25,25,"54.0%"
"2","Kansas City Chiefs","DST","KC","2019",7,7,"ppr",2,9,0,1,3,1,0,0,1,24,24,"47.9%"
"3","Los Angeles Rams","DST","LAR","2019",7,7,"ppr",3,5,1,2,3,1,0,0,1,21,21,"34.3%"
"4","Baltimore Ravens","DST","BAL","2019",7,7,"ppr",4,1,1,1,0,2,0,0,1,18,18,"89.6%"
"5","Jacksonville Jaguars","DST","JAC","2019",7,7,"ppr",5,2,3,1,1,1,0,0,1,17,17,"3.8%"
"6","Arizona Cardinals","DST","ARI","2019",7,7,"ppr",6,8,1,2,3,0,0,0,1,15,15,"12.3%"
"7","San Francisco 49ers","DST","SF","2019",7,7,"ppr",7,3,0,1,1,0,0,0,1,15,15,"95.5%"
"8","Dallas Cowboys","DST","DAL","2019",7,7,"ppr",8,3,1,3,3,0,0,0,1,15,15,"90.0%"
"9","Buffalo Bills","DST","BUF","2019",7,7,"ppr",9,1,1,1,2,0,0,1,1,11,11,"99.0%"
"10","New York Giants","DST","NYG","2019",7,7,"ppr",10,2,0,0,0,0,0,0,1,10,10,"6.2%"
"11","New Orleans Saints","DST","NO","2019",7,7,"ppr",11,2,0,2,2,0,1,0,1,10,10,"65.3%"
"12","Indianapolis Colts","DST","IND","2019",7,7,"ppr",12,3,2,0,0,0,1,0,1,9,9,"52.4%"
"13","Washington Commanders","DST","WAS","2019",7,7,"ppr",13,2,1,0,0,0,0,0,1,8,8,"54.8%"
"14","Los Angeles Chargers","DST","LAC","2019",7,7,"ppr",14,2,1,0,1,0,0,0,1,4,4,"30.2%"
"15","Tennessee Titans","DST","TEN","2019",7,7,"ppr",15,1,0,1,2,0,0,0,1,4,4,"26.3%"
"16","Chicago Bears","DST","CHI","2019",7,7,"ppr",16,1,0,0,0,0,0,1,1,3,3,"2.2%"
"17","Minnesota Vikings","DST","MIN","2019",7,7,"ppr",17,2,1,0,0,0,0,0,1,3,3,"23.7%"
"18","Houston Texans","DST","HOU","2019",7,7,"ppr",18,1,0,1,0,0,0,0,1,2,2,"0.8%"
"19","Green Bay Packers","DST","GB","2019",7,7,"ppr",19,0,1,0,1,0,0,0,1,2,2,"80.7%"
"20","Seattle Seahawks","DST","SEA","2019",7,7,"ppr",20,1,0,0,1,0,0,0,1,2,2,"20.5%"
"21","Cincinnati Bengals","DST","CIN","2019",7,7,"ppr",21,2,0,0,0,0,0,0,1,2,2,"31.6%"
"22","Philadelphia Eagles","DST","PHI","2019",7,7,"ppr",22,3,1,0,1,0,0,0,1,1,1,"58.2%"
"23","Miami Dolphins","DST","MIA","2019",7,7,"ppr",23,2,0,0,0,0,0,0,1,1,1,"25.9%"
"24","New York Jets","DST","NYJ","2019",7,7,"ppr",24,0,1,0,0,0,0,0,1,1,1,"21.1%"
"25","Denver Broncos","DST","DEN","2019",7,7,"ppr",25,1,0,0,0,0,0,0,1,1,1,"38.8%"
"26","Atlanta Falcons","DST","ATL","2019",7,7,"ppr",26,0,0,0,0,0,0,0,1,-1,-1,"1.7%"
"27","Las Vegas Raiders","DST","LV","2019",7,7,"ppr",27,1,0,0,0,0,0,0,1,-3,-3,"14.2%"
"28","Detroit Lions","DST","DET","2019",7,7,"ppr",28,0,0,0,2,0,0,0,1,-4,-4,"2.5%"
