"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","Buffalo Bills","DST","BUF","2021",5,5,"ppr",1,2,2,2,0,1,0,0,1,17,17,"99.0%"
"2","Tennessee Titans","DST","TEN","2021",5,5,"ppr",2,2,1,1,1,1,0,0,1,13,13,"26.3%"
"3","Philadelphia Eagles","DST","PHI","2021",5,5,"ppr",3,3,3,0,0,0,0,0,1,12,12,"58.2%"
"4","Dallas Cowboys","DST","DAL","2021",5,5,"ppr",4,0,2,0,0,1,0,0,1,11,11,"90.0%"
"5","Minnesota Vikings","DST","MIN","2021",5,5,"ppr",5,4,1,1,1,0,0,0,1,9,9,"23.7%"
"6","Chicago Bears","DST","CHI","2021",5,5,"ppr",6,3,1,0,0,0,0,0,1,9,9,"2.2%"
"7","Arizona Cardinals","DST","ARI","2021",5,5,"ppr",7,2,1,0,0,0,0,0,1,8,8,"12.3%"
"8","Tampa Bay Buccaneers","DST","TB","2021",5,5,"ppr",8,3,1,1,1,0,0,0,1,8,8,"81.2%"
"9","Carolina Panthers","DST","CAR","2021",5,5,"ppr",9,2,1,1,1,0,1,0,1,8,8,"14.1%"
"10","Los Angeles Rams","DST","LAR","2021",5,5,"ppr",10,2,2,0,0,0,0,0,1,7,7,"34.3%"
"11","Detroit Lions","DST","DET","2021",5,5,"ppr",11,2,1,1,1,0,0,0,1,7,7,"2.5%"
"12","Green Bay Packers","DST","GB","2021",5,5,"ppr",12,3,2,0,0,0,0,0,1,7,7,"80.7%"
"13","Baltimore Ravens","DST","BAL","2021",5,5,"ppr",13,2,0,1,1,0,0,0,1,6,6,"89.6%"
"14","New Orleans Saints","DST","NO","2021",5,5,"ppr",14,2,2,0,0,0,0,0,1,6,6,"65.3%"
"15","San Francisco 49ers","DST","SF","2021",5,5,"ppr",15,2,0,1,1,0,0,0,1,5,5,"95.5%"
"16","Pittsburgh Steelers","DST","PIT","2021",5,5,"ppr",16,2,1,0,0,0,0,0,1,5,5,"53.2%"
"17","New England Patriots","DST","NE","2021",5,5,"ppr",17,3,0,1,1,0,0,0,1,5,5,"54.0%"
"18","Washington Commanders","DST","WAS","2021",5,5,"ppr",18,2,1,1,1,0,0,0,1,5,5,"54.8%"
"19","Atlanta Falcons","DST","ATL","2021",5,5,"ppr",19,2,1,0,1,0,0,0,1,5,5,"1.7%"
"20","Houston Texans","DST","HOU","2021",5,5,"ppr",20,1,1,1,1,0,0,0,1,5,5,"0.8%"
"21","New York Jets","DST","NYJ","2021",5,5,"ppr",21,0,0,2,3,0,0,0,1,4,4,"21.1%"
"22","Cincinnati Bengals","DST","CIN","2021",5,5,"ppr",22,2,1,0,0,0,0,0,1,4,4,"31.6%"
"23","Las Vegas Raiders","DST","LV","2021",5,5,"ppr",23,2,0,0,0,0,0,0,1,3,3,"14.2%"
"24","Indianapolis Colts","DST","IND","2021",5,5,"ppr",24,2,0,1,1,0,0,0,1,3,3,"52.4%"
"25","Seattle Seahawks","DST","SEA","2021",5,5,"ppr",25,1,1,0,0,0,0,0,1,3,3,"20.5%"
"26","Denver Broncos","DST","DEN","2021",5,5,"ppr",26,1,0,1,1,0,0,0,1,3,3,"38.8%"
"27","New York Giants","DST","NYG","2021",5,5,"ppr",27,2,1,1,1,0,0,0,1,2,2,"6.2%"
"28","Jacksonville Jaguars","DST","JAC","2021",5,5,"ppr",28,3,0,0,0,0,0,0,1,2,2,"3.8%"
"29","Cleveland Browns","DST","CLE","2021",5,5,"ppr",29,2,0,1,2,0,0,0,1,0,0,"37.2%"
"30","Kansas City Chiefs","DST","KC","2021",5,5,"ppr",30,0,0,0,0,0,0,0,1,-1,-1,"47.9%"
"31","Miami Dolphins","DST","MIA","2021",5,5,"ppr",31,2,0,0,0,0,0,0,1,-2,-2,"25.9%"
"32","Los Angeles Chargers","DST","LAC","2021",5,5,"ppr",32,1,0,0,1,0,0,0,1,-3,-3,"30.2%"
