"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Wil Lutz","K","NO","2019",13,13,"ppr",1,4,4,100,47,0,1,0,3,0,2,2,1,17,17,"8.0%"
"2","Brandon McManus","K","DEN","2019",13,13,"ppr",2,3,3,100,53,0,0,1,0,2,2,2,1,15,15,"36.0%"
"3","Jason Sanders","K","MIA","2019",13,13,"ppr",3,1,1,100,51,0,0,0,0,1,2,3,1,14.1,14.1,"13.2%"
"4","Jake Elliott","K","PHI","2019",13,13,"ppr",4,3,4,75,48,0,0,1,2,0,2,2,1,13,13,"27.9%"
"5","Jason Myers","K","SEA","2019",13,13,"ppr",5,3,3,100,36,0,2,1,0,0,4,4,1,13,13,"55.6%"
"6","Dustin Hopkins","K","LAC","2019",13,13,"ppr",6,3,4,75,42,0,1,1,1,0,2,2,1,12,12,"2.7%"
"7","Harrison Butker","K","KC","2019",13,13,"ppr",7,1,1,100,50,0,0,0,0,1,5,5,1,10,10,"91.8%"
"8","Greg Zuerlein","K","NYJ","2019",13,13,"ppr",8,2,3,66.7,33,0,1,1,0,0,4,4,1,10,10,"15.9%"
"9","Michael Badgley","K","DET","2019",13,13,"ppr",9,2,3,66.7,46,0,0,1,1,0,2,2,1,9,9,"27.0%"
"10","Stephen Hauschka","K","FA","2019",13,13,"ppr",10,2,3,66.7,41,0,1,0,1,0,2,3,1,9,9,"0.0%"
"11","Randy Bullock","K","TEN","2019",13,13,"ppr",11,2,3,66.7,47,0,1,0,1,0,2,2,1,9,9,"1.5%"
"12","Justin Tucker","K","BAL","2019",13,13,"ppr",12,2,2,100,49,0,0,1,1,0,2,2,1,9,9,"99.0%"
"13","Matt Prater","K","ARI","2019",13,13,"ppr",13,2,2,100,25,0,2,0,0,0,2,2,1,8,8,"14.9%"
"14","Chris Boswell","K","PIT","2019",13,13,"ppr",14,2,2,100,39,0,1,1,0,0,2,2,1,8,8,"14.1%"
"15","Mason Crosby","K","GB","2019",13,13,"ppr",15,1,1,100,47,0,0,0,1,0,4,4,1,8,8,"3.2%"
"16","Aldrick Rosas","K","FA","2019",13,13,"ppr",16,2,2,100,45,0,1,0,1,0,1,1,1,8,8,"0.0%"
"17","Matt Gay","K","LAR","2019",13,13,"ppr",17,2,2,100,37,0,1,1,0,0,2,2,1,8,8,"41.5%"
"18","Younghoe Koo","K","ATL","2019",13,13,"ppr",18,2,3,66.7,45,0,0,0,2,0,0,1,1,8,8,"46.2%"
"19","Austin Seibert","K","FA","2019",13,13,"ppr",19,2,2,100,34,0,0,2,0,0,1,1,1,7,7,"0.3%"
"20","Sam Ficken","K","DET","2019",13,13,"ppr",20,2,2,100,42,0,0,1,1,0,0,0,1,7,7,"0.0%"
"21","Dan Bailey","K","FA","2019",13,13,"ppr",21,1,1,100,47,0,0,0,1,0,3,4,1,7,7,"0.0%"
"22","Ryan Succop","K","TB","2019",13,13,"ppr",22,1,1,100,31,0,0,1,0,0,4,4,1,7,7,"34.3%"
"23","Eddy Pineiro","K","CAR","2019",13,13,"ppr",23,1,1,100,30,0,0,1,0,0,3,3,1,6,6,"2.2%"
"24","Josh Lambo","K","FA","2019",13,13,"ppr",24,1,1,100,53,0,0,0,0,1,0,0,1,5,5,"0.0%"
"25","Robbie Gould","K","SF","2019",13,13,"ppr",25,1,2,50,32,0,0,1,0,0,2,2,1,5,5,"42.9%"
"26","Adam Vinatieri","K","FA","2019",13,13,"ppr",26,1,4,25,28,0,1,0,0,0,2,2,1,5,5,"0.2%"
"27","Ka'imi Fairbairn","K","HOU","2019",13,13,"ppr",27,0,0,0,0,0,0,0,0,0,4,4,1,4,4,"2.0%"
"28","Kai Forbath","K","LAR","2019",13,13,"ppr",28,1,1,100,23,0,1,0,0,0,1,2,1,4,4,"3.0%"
"29","Daniel Carlson","K","LV","2019",13,13,"ppr",29,1,2,50,34,0,0,1,0,0,0,1,1,3,3,"96.6%"
"30","Joey Slye","K","WAS","2019",13,13,"ppr",30,0,0,0,0,0,0,0,0,0,3,3,1,3,3,"2.0%"
"31","Brett Maher","K","DAL","2019",13,13,"ppr",31,0,2,0,0,0,0,0,0,0,1,1,1,1,1,"75.1%"
"32","Zane Gonzalez","K","CAR","2019",13,13,"ppr",32,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"0.1%"
"33","Ryan Santoso","K","FA","2019",13,13,"ppr",33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%"
"34","Michael Palardy","K","NE","2019",13,13,"ppr",34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"33.3%"
"35","Ty Long","K","FA","2019",13,13,"ppr",35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.7%"
