"","player","pos","team","season","start_week","end_week","scoring","rank","fg","fga","pct","lg","x1_19","x20_29","x30_39","x40_49","x50","xpt","xpa","g","fpts","fpts_g","rost"
"1","Chandler Catanzaro","K","FA","2016",17,17,"ppr",1,3,3,100,47,0,0,2,1,0,5,5,1,15,15,"0.0%"
"2","Cairo Santos","K","CHI","2016",17,17,"ppr",2,3,3,100,37,0,1,2,0,0,4,4,1,13,13,"13.3%"
"3","Stephen Hauschka","K","FA","2016",17,17,"ppr",3,4,4,100,33,0,1,3,0,0,1,2,1,13,13,"0.0%"
"4","Nick Folk","K","NE","2016",17,17,"ppr",4,3,3,100,36,0,1,2,0,0,3,3,1,12,12,"75.5%"
"5","Jason Myers","K","SEA","2016",17,17,"ppr",5,2,4,50,47,0,0,0,2,0,2,2,1,10,10,"55.6%"
"6","Stephen Gostkowski","K","FA","2016",17,17,"ppr",6,2,3,66.7,40,0,1,0,1,0,3,3,1,10,10,"0.0%"
"7","Wil Lutz","K","NO","2016",17,17,"ppr",7,2,2,100,40,1,0,0,1,0,2,2,1,9,9,"8.0%"
"8","Josh Lambo","K","FA","2016",17,17,"ppr",8,2,2,100,35,0,1,1,0,0,3,3,1,9,9,"0.0%"
"9","Caleb Sturgis","K","FA","2016",17,17,"ppr",9,2,3,66.7,33,0,1,1,0,0,3,3,1,9,9,"0.0%"
"10","Randy Bullock","K","TEN","2016",17,17,"ppr",10,2,2,100,24,0,2,0,0,0,3,3,1,9,9,"1.5%"
"11","Dan Bailey","K","FA","2016",17,17,"ppr",11,2,2,100,49,0,1,0,1,0,1,1,1,8,8,"0.0%"
"12","Kai Forbath","K","LAR","2016",17,17,"ppr",12,1,1,100,21,0,1,0,0,0,5,5,1,8,8,"3.0%"
"13","Robbie Gould","K","SF","2016",17,17,"ppr",13,2,2,100,40,0,1,0,1,0,1,1,1,8,8,"42.9%"
"14","Matt Prater","K","ARI","2016",17,17,"ppr",14,1,2,50,54,0,0,0,0,1,3,3,1,8,8,"14.9%"
"15","Matt Bryant","K","FA","2016",17,17,"ppr",15,1,1,100,22,0,1,0,0,0,5,5,1,8,8,"1.1%"
"16","Mason Crosby","K","GB","2016",17,17,"ppr",16,1,1,100,53,0,0,0,0,1,2,3,1,7,7,"3.2%"
"17","Adam Vinatieri","K","FA","2016",17,17,"ppr",17,1,2,50,45,0,0,0,1,0,3,3,1,7,7,"0.2%"
"18","Greg Zuerlein","K","NYJ","2016",17,17,"ppr",18,2,2,100,37,0,0,2,0,0,0,0,1,6,6,"15.9%"
"19","Brandon McManus","K","DEN","2016",17,17,"ppr",19,1,2,50,22,0,1,0,0,0,3,3,1,6,6,"36.0%"
"20","Cody Parkey","K","FA","2016",17,17,"ppr",20,1,2,50,34,0,0,1,0,0,3,3,1,6,6,"0.0%"
"21","Ryan Succop","K","TB","2016",17,17,"ppr",21,1,1,100,35,0,0,1,0,0,3,3,1,6,6,"34.3%"
"22","Graham Gano","K","NYG","2016",17,17,"ppr",22,1,4,25,54,0,0,0,0,1,1,1,1,6,6,"61.0%"
"23","Roberto Aguayo","K","FA","2016",17,17,"ppr",23,1,3,33.3,33,0,0,1,0,0,2,2,1,5,5,"0.1%"
"24","Nick Novak","K","FA","2016",17,17,"ppr",24,1,2,50,26,0,1,0,0,0,2,2,1,5,5,"0.1%"
"25","Dan Carpenter","K","FA","2016",17,17,"ppr",25,1,1,100,34,0,0,1,0,0,1,1,1,4,4,"0.2%"
"26","Connor Barth","K","FA","2016",17,17,"ppr",26,1,1,100,29,0,1,0,0,0,1,1,1,4,4,"0.0%"
"27","Justin Tucker","K","BAL","2016",17,17,"ppr",27,1,1,100,30,0,0,1,0,0,1,1,1,4,4,"99.0%"
"28","Dustin Hopkins","K","LAC","2016",17,17,"ppr",28,1,2,50,32,0,0,1,0,0,1,1,1,4,4,"2.7%"
"29","Phil Dawson","K","FA","2016",17,17,"ppr",29,0,0,0,0,0,0,0,0,0,3,3,1,3,3,"0.1%"
"30","Chris Boswell","K","PIT","2016",17,17,"ppr",30,0,0,0,0,0,0,0,0,0,3,3,1,3,3,"14.1%"
"31","Andrew Franks","K","FA","2016",17,17,"ppr",31,0,0,0,0,0,0,0,0,0,2,2,1,2,2,"0.0%"
"32","Sebastian Janikowski","K","FA","2016",17,17,"ppr",32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"20.0%"
"33","Michael Palardy","K","NE","2016",17,17,"ppr",33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"33.3%"
