"","player","pos","team","season","start_week","end_week","scoring","rank","sack","int","fr","ff","def_td","sfty","spc_td","g","fpts","fpts_g","rost"
"1","San Francisco 49ers","DST","SF","2022",4,4,"ppr",1,7,1,1,1,1,0,0,1,21,21,"95.5%"
"2","New York Giants","DST","NYG","2022",4,4,"ppr",2,6,0,3,3,0,0,0,1,16,16,"6.2%"
"3","Philadelphia Eagles","DST","PHI","2022",4,4,"ppr",3,4,1,4,3,0,0,0,1,15,15,"58.2%"
"4","Arizona Cardinals","DST","ARI","2022",4,4,"ppr",4,2,2,1,0,0,0,0,1,12,12,"12.3%"
"5","New York Jets","DST","NYJ","2022",4,4,"ppr",5,3,4,0,0,0,0,0,1,12,12,"21.1%"
"6","New England Patriots","DST","NE","2022",4,4,"ppr",6,1,1,1,1,1,0,0,1,11,11,"54.0%"
"7","Las Vegas Raiders","DST","LV","2022",4,4,"ppr",7,3,0,1,1,1,0,0,1,11,11,"14.2%"
"8","Tennessee Titans","DST","TEN","2022",4,4,"ppr",8,3,1,2,3,0,0,0,1,10,10,"26.3%"
"9","Dallas Cowboys","DST","DAL","2022",4,4,"ppr",9,2,2,0,1,0,0,0,1,10,10,"90.0%"
"10","Jacksonville Jaguars","DST","JAC","2022",4,4,"ppr",10,2,1,0,0,1,0,0,1,9,9,"3.8%"
"11","Carolina Panthers","DST","CAR","2022",4,4,"ppr",11,1,1,0,1,1,0,0,1,9,9,"14.1%"
"12","Cincinnati Bengals","DST","CIN","2022",4,4,"ppr",12,1,2,0,0,0,0,0,1,8,8,"31.6%"
"13","Los Angeles Chargers","DST","LAC","2022",4,4,"ppr",13,4,2,0,1,0,0,0,1,8,8,"30.2%"
"14","Seattle Seahawks","DST","SEA","2022",4,4,"ppr",14,1,1,1,1,1,0,0,1,7,7,"20.5%"
"15","Buffalo Bills","DST","BUF","2022",4,4,"ppr",15,2,2,0,0,0,0,0,1,7,7,"99.0%"
"16","Green Bay Packers","DST","GB","2022",4,4,"ppr",16,4,0,1,1,0,0,0,1,7,7,"80.7%"
"17","Chicago Bears","DST","CHI","2022",4,4,"ppr",17,1,1,1,1,0,0,0,1,6,6,"2.2%"
"18","Atlanta Falcons","DST","ATL","2022",4,4,"ppr",18,1,1,1,1,0,0,0,1,6,6,"1.7%"
"19","Minnesota Vikings","DST","MIN","2022",4,4,"ppr",19,2,0,2,1,0,0,0,1,6,6,"23.7%"
"20","Pittsburgh Steelers","DST","PIT","2022",4,4,"ppr",20,1,2,0,0,0,0,0,1,5,5,"53.2%"
"21","Baltimore Ravens","DST","BAL","2022",4,4,"ppr",21,1,1,1,1,0,0,0,1,5,5,"89.6%"
"22","Kansas City Chiefs","DST","KC","2022",4,4,"ppr",22,1,0,2,1,0,0,0,1,4,4,"47.9%"
"23","New Orleans Saints","DST","NO","2022",4,4,"ppr",23,3,1,0,0,0,0,0,1,4,4,"65.3%"
"24","Washington Commanders","DST","WAS","2022",4,4,"ppr",24,1,0,0,0,0,0,0,1,3,3,"54.8%"
"25","Cleveland Browns","DST","CLE","2022",4,4,"ppr",25,1,1,0,0,0,0,0,1,3,3,"37.2%"
"26","Indianapolis Colts","DST","IND","2022",4,4,"ppr",26,3,0,0,0,0,0,0,1,3,3,"52.4%"
"27","Houston Texans","DST","HOU","2022",4,4,"ppr",27,1,0,1,0,0,0,0,1,2,2,"0.8%"
"28","Denver Broncos","DST","DEN","2022",4,4,"ppr",28,2,0,0,0,0,0,0,1,2,2,"38.8%"
"29","Los Angeles Rams","DST","LAR","2022",4,4,"ppr",29,0,0,0,0,0,0,0,1,1,1,"34.3%"
"30","Tampa Bay Buccaneers","DST","TB","2022",4,4,"ppr",30,3,1,0,0,0,0,0,1,1,1,"81.2%"
"31","Miami Dolphins","DST","MIA","2022",4,4,"ppr",31,1,0,0,0,0,0,0,1,1,1,"25.9%"
"32","Detroit Lions","DST","DET","2022",4,4,"ppr",32,0,0,1,0,0,0,0,1,-2,-2,"2.5%"
