"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"1","Ryan Griffin","TE","CHI","2019",8,8,"ppr","1","4","4","66","16.5","24","2","2","0","0","0","0","1","24.6","24.6","0.0%"
"2","Darren Fells","TE","FA","2019",8,8,"ppr","2","6","6","58","9.7","23","1","2","0","0","0","0","1","23.8","23.8","0.0%"
"3","Jonnu Smith","TE","NE","2019",8,8,"ppr","3","6","7","78","13.0","26","2","1","0","0","0","0","1","19.8","19.8","1.1%"
"4","Austin Hooper","TE","TEN","2019",8,8,"ppr","4","6","7","65","10.8","35","2","1","0","0","0","0","1","18.5","18.5","13.8%"
"5","Travis Kelce","TE","KC","2019",8,8,"ppr","5","4","8","63","15.8","29","1","1","0","0","0","0","1","16.3","16.3","100.0%"
"6","George Kittle","TE","SF","2019",8,8,"ppr","6","6","7","86","14.3","29","2","0","0","0","0","0","1","14.6","14.6","98.9%"
"7","Evan Engram","TE","JAC","2019",8,8,"ppr","7","4","7","40","10.0","18","0","1","0","0","0","0","1","14.0","14.0","68.5%"
"8","Tyler Eifert","TE","FA","2019",8,8,"ppr","8","6","9","74","12.3","27","1","0","0","0","0","0","1","13.4","13.4","0.0%"
"9","Charles Clay","TE","FA","2019",8,8,"ppr","9","3","3","88","29.3","47","4","0","0","0","0","0","1","11.8","11.8","0.0%"
"10","Demetrius Harris","TE","FA","2019",8,8,"ppr","10","2","3","33","16.5","21","1","1","0","0","0","0","1","11.3","11.3","0.0%"
"11","Dallas Goedert","TE","PHI","2019",8,8,"ppr","11","3","5","22","7.3","10","0","1","0","0","0","0","1","11.2","11.2","88.2%"
"12","Jack Doyle","TE","FA","2019",8,8,"ppr","12","4","5","61","15.3","19","0","0","0","0","0","0","1","10.1","10.1","2.0%"
"13","Darren Waller","TE","LV","2019",8,8,"ppr","13","2","8","11","5.5","8","0","1","0","0","0","0","1","9.1","9.1","74.7%"
"14","Hunter Henry","TE","NE","2019",8,8,"ppr","14","4","6","47","11.8","20","1","0","0","0","0","0","1","8.7","8.7","38.7%"
"15","Noah Fant","TE","SEA","2019",8,8,"ppr","15","5","9","26","5.2","17","0","0","0","0","0","0","1","7.6","7.6","30.3%"
"16","Anthony Firkser","TE","ATL","2019",8,8,"ppr","16","3","5","43","14.3","23","1","0","0","0","0","0","1","7.3","7.3","0.0%"
"17","Josh Hill","TE","FA","2019",8,8,"ppr","17","3","5","39","13.0","29","1","0","0","0","0","0","1","6.9","6.9","0.0%"
"18","Cameron Brate","TE","TB","2019",8,8,"ppr","18","3","6","32","10.7","12","0","0","0","0","0","0","1","6.2","6.2","1.6%"
"19","Eric Ebron","TE","FA","2019",8,8,"ppr","19","3","4","26","8.7","12","0","0","0","0","0","0","1","5.6","5.6","0.0%"
"20","Tyler Kroft","TE","SF","2019",8,8,"ppr","20","2","4","32","16.0","20","1","0","0","0","0","0","1","5.2","5.2","0.0%"
"21","Irv Smith Jr.","TE","MIN","2019",8,8,"ppr","21","3","3","21","7.0","11","0","0","0","0","0","0","1","5.1","5.1","13.5%"
"22","Jimmy Graham","TE","FA","2019",8,8,"ppr","22","3","5","20","6.7","11","0","0","0","0","0","0","1","5.0","5.0","0.0%"
"23","Vance McDonald","TE","FA","2019",8,8,"ppr","23","3","4","19","6.3","14","0","0","0","0","0","0","1","4.9","4.9","0.0%"
"24","Kyle Rudolph","TE","TB","2019",8,8,"ppr","24","3","3","17","5.7","7","0","0","0","0","0","0","1","4.7","4.7","0.6%"
"25","Dan Arnold","TE","JAC","2019",8,8,"ppr","25","2","3","25","12.5","19","0","0","0","0","0","0","1","4.5","4.5","0.1%"
"26","Zach Ertz","TE","ARI","2019",8,8,"ppr","26","2","4","20","10.0","18","0","0","0","0","0","0","1","4.0","4.0","32.6%"
"27","Jacob Hollister","TE","FA","2019",8,8,"ppr","27","2","2","18","9.0","12","0","0","0","0","0","0","1","3.8","3.8","0.0%"
"28","Benjamin Watson","TE","FA","2019",8,8,"ppr","28","1","1","26","26.0","26","1","0","0","0","0","0","1","3.6","3.6","2.8%"
"29","Gerald Everett","TE","LAC","2019",8,8,"ppr","29","2","3","15","7.5","11","0","0","0","0","0","0","1","3.5","3.5","84.7%"
"30","Greg Olsen","TE","FA","2019",8,8,"ppr","30","2","2","13","6.5","9","0","0","0","0","0","0","1","3.3","3.3","7.0%"
"31","Jeremy Sprinkle","TE","FA","2019",8,8,"ppr","31","2","2","12","6.0","6","0","0","0","0","0","0","1","3.2","3.2","0.0%"
